timestamp_ms,wire1_pin34,wire2_pin32
31861,0,0
31871,0,0
31881,0,0
31891,0,0
31901,0,0
31911,0,0
31921,0,0
31931,0,0
31941,0,0
31951,0,0
31961,0,0
31971,0,0
31981,0,0
31991,0,0
32001,0,0
32011,0,0
32021,0,0
32031,0,0
32041,0,0
32051,0,0
32061,0,0
32071,0,0
32081,0,0
32091,0,0
32101,0,0
32111,0,0
32121,0,0
32131,0,0
32141,0,0
32151,0,0
32161,0,0
32171,0,0
32181,0,0
32191,9,0
32201,10,0
32211,62,0
32221,48,0
32231,41,0
32241,30,0
32251,48,0
32261,45,0
32271,47,0
32281,54,0
32291,41,0
32301,30,0
32311,17,0
32321,7,0
32331,14,0
32341,0,0
32351,9,0
32361,5,14
32371,25,16
32381,39,90
32391,23,134
32401,33,124
32411,36,103
32421,25,109
32431,21,75
32441,51,65
32451,54,56
32461,48,48
32471,75,32
32481,119,29
32491,161,49
32501,236,77
32511,240,62
32521,205,44
32531,170,29
32541,172,53
32551,172,64
32561,142,54
32571,115,70
32581,87,65
32591,85,57
32601,76,80
32611,61,59
32621,52,38
32631,41,48
32641,22,55
32651,9,65
32661,0,42
32671,0,47
32681,0,21
32691,0,51
32701,0,48
32711,0,80
32721,0,50
32731,0,66
32741,0,37
32751,0,35
32761,0,17
32771,0,12
32781,0,16
32791,0,0
32801,0,0
32811,0,0
32821,0,0
32831,0,16
32841,0,0
32851,0,6
32861,0,15
32871,0,48
32881,0,78
32891,0,35
32901,0,1
32911,0,109
32921,0,35
32931,0,0
32941,0,17
32951,0,25
32961,0,0
32971,0,0
32981,0,25
32991,0,66
33001,0,70
33011,1,65
33021,0,93
33031,0,54
33041,0,47
33051,1,41
33061,0,38
33071,1,55
33081,0,33
33091,0,64
33101,0,70
33111,0,132
33121,0,135
33131,0,141
33141,0,139
33151,0,143
33161,0,137
33171,0,130
33181,0,131
33191,0,143
33201,0,114
33211,0,100
33221,0,71
33231,0,69
33241,0,91
33251,0,87
33261,0,79
33271,0,87
33281,0,71
33291,0,77
33301,0,94
33311,0,98
33321,0,80
33331,0,81
33341,0,107
33351,0,98
33361,0,85
33371,0,83
33381,0,93
33391,0,78
33401,0,80
33411,0,79
33421,0,76
33431,0,79
33441,0,60
33451,0,57
33461,0,37
33471,0,49
33481,0,48
33491,0,67
33501,0,69
33511,0,51
33521,0,42
33531,0,49
33541,0,47
33551,0,64
33561,0,47
33571,0,33
33581,0,18
33591,0,19
33601,0,29
33611,0,41
33621,0,36
33631,0,43
33641,0,27
33651,0,28
33661,0,25
33671,0,16
33681,0,9
33691,0,48
33701,0,42
33711,0,49
33721,0,48
33731,0,43
33741,0,32
33751,0,32
33761,0,16
33771,0,41
33781,0,65
33791,0,48
33801,0,26
33811,0,11
33821,0,16
33831,0,21
33841,0,32
33851,0,19
38360,0,0
38370,0,0
38380,0,0
38390,0,0
38400,0,0
38410,0,0
38420,0,0
38430,0,0
38440,0,0
38450,0,0
38460,0,0
38470,15,0
38480,0,0
38490,0,0
38500,0,0
38510,0,0
38520,0,0
38530,0,0
38540,0,0
38550,0,0
38560,0,0
38570,0,0
38580,0,0
38590,0,0
38600,0,0
38610,0,0
38620,0,0
38630,0,0
38640,0,0
38650,0,0
38660,0,0
38670,0,0
38680,0,0
38690,0,0
38700,0,0
38710,0,0
38720,0,0
38730,0,0
38740,0,0
38750,0,0
38760,0,0
38770,0,1
38780,0,13
38790,0,80
38800,0,202
38810,0,210
38820,0,178
38830,0,221
38840,0,208
38850,0,179
38860,2,157
38870,0,166
38880,0,122
38890,29,85
38900,30,73
38910,64,63
38920,94,64
38930,131,52
38940,111,48
38950,98,35
38960,86,31
38970,103,48
38980,131,37
38990,110,57
39000,86,74
39010,94,80
39020,80,80
39030,96,80
39040,124,66
39050,100,69
39060,125,64
39070,99,55
39080,112,45
39090,106,34
39100,80,22
39110,80,18
39120,72,16
39130,48,5
39140,47,0
39150,26,0
39160,11,0
39170,7,14
39180,14,11
39190,16,0
39200,2,21
39210,0,10
39220,0,27
39230,5,12
39240,0,25
39250,0,13
39260,0,13
39270,0,38
39280,0,48
39290,0,36
39300,0,45
39310,0,30
39320,0,29
39330,0,29
39340,0,43
39350,0,40
39360,0,23
39370,0,29
39380,0,44
9390,0,52
39400,0,80
39410,0,78
39420,0,97
39430,0,73
39440,0,61
39450,0,59
39460,0,81
39470,0,77
39480,0,61
39490,0,49
39500,0,28
39510,0,30
39520,0,17
39530,0,21
39540,0,16
39550,0,6
39560,0,67
39570,0,26
39580,0,21
39590,0,30
39600,0,52
39610,0,3
39620,0,28
39630,0,17
39640,0,5
39650,0,5
39660,0,2
39670,0,32
39680,0,47
39690,0,20
39700,0,16
39710,0,18
39720,0,23
39730,0,2
39740,0,16
39750,0,4
39760,0,7
39770,0,5
39780,0,0
39790,0,0
39800,0,13
39810,0,3
39820,0,54
39830,0,68
39840,0,33
39850,0,0
39860,0,27
39870,0,25
39880,0,37
39890,0,5
39900,0,0
39910,0,2
39920,0,0
39930,0,7
39940,0,17
39950,0,8
39960,0,3
39970,0,2
39980,0,0
39990,0,0
40000,0,5
40010,0,0
40020,0,0
40030,0,0
40040,0,0
40050,0,0
40060,0,5
40070,0,3
40080,0,3
40090,0,21
40100,0,20
40110,0,38
40120,0,59
40130,0,66
40140,0,85
40150,0,94
40160,0,118
40170,0,147
40180,0,169
40190,0,139
40200,0,145
40210,0,109
40220,0,117
40230,0,182
40240,0,158
40250,0,183
40260,0,163
40270,0,140
40280,0,149
40290,0,117
40300,0,95
40310,0,80
40320,0,80
40330,0,65
40340,0,64
40350,0,60
44859,0,0
44869,0,0
44879,0,0
44889,0,0
44899,0,0
44909,0,0
44919,0,0
44929,0,0
44939,0,0
44949,0,0
44959,0,0
44969,0,0
44979,0,0
44989,0,0
44999,0,0
45009,0,0
45019,0,0
45029,0,0
45039,0,0
45049,0,0
45059,0,0
45069,0,0
45079,0,0
45089,0,0
45099,0,0
45109,0,0
45119,0,0
45129,0,0
45139,0,0
45149,0,0
45159,0,0
45169,0,0
45179,0,0
45189,0,0
45199,0,0
45209,0,0
45219,0,0
45229,0,0
45239,0,0
45249,0,0
45259,0,0
45269,0,0
45279,0,0
45289,0,0
45299,0,9
45309,0,18
45319,0,6
45329,0,7
45339,0,5
45349,0,0
45359,16,54
45369,1,97
45379,70,157
45389,51,224
45399,95,225
45409,208,173
45419,236,166
45429,237,131
45439,329,124
45449,377,167
45459,369,146
45469,296,199
45479,388,203
45489,311,168
45499,329,177
45509,352,192
45519,372,185
45529,279,171
45539,290,151
45549,265,135
45559,236,112
45569,242,126
45579,227,99
45589,181,70
45599,143,53
45609,117,46
45619,147,37
45629,144,15
45639,97,2
45649,67,0
45659,107,0
45669,100,0
45679,69,0
45689,47,0
45699,18,0
45709,6,0
45719,2,0
45729,0,0
45739,0,0
45749,0,0
45759,0,0
45769,0,10
45779,0,1
45789,0,14
45799,0,23
45809,0,45
45819,0,26
45829,0,14
45839,0,46
45849,0,34
45859,0,17
45869,0,27
45879,0,16
45889,0,4
45899,0,0
45909,0,1
45919,0,0
45929,0,2
45939,0,0
45949,0,0
45959,0,0
45969,0,0
45979,0,0
45989,0,0
45999,0,0
46009,0,0
46019,0,0
46029,0,0
46039,0,0
46049,0,0
46059,0,0
46069,0,0
46079,0,0
46089,0,0
46099,0,0
46109,0,0
46119,0,0
46129,0,0
46139,0,7
46149,0,15
46159,0,0
46169,0,0
46179,0,1
46189,0,0
46199,0,0
46209,0,0
46219,0,0
46229,0,0
46239,0,0
46249,0,0
46259,0,0
46269,0,0
46279,0,0
46289,0,0
46299,0,0
46309,0,0
46319,0,0
46329,0,0
46339,0,0
46349,0,0
46359,0,0
46369,0,0
46379,0,0
46389,0,0
46399,0,0
46409,0,0
46419,0,0
46429,0,0
46439,0,0
46449,0,0
46459,0,0
46469,0,0
46479,0,0
46489,0,0
46499,0,0
46509,0,0
46519,0,0
46529,0,0
46539,0,0
46549,0,0
46559,0,0
46569,0,0
46579,0,0
46589,0,0
46599,0,0
46609,0,0
46619,0,0
46629,0,0
46639,0,0
46649,0,0
46659,0,0
46669,0,0
46679,0,0
46689,0,0
46699,0,0
46709,0,0
46719,0,0
46729,0,0
46739,0,0
46749,0,0
46759,0,0
46769,0,0
46779,0,0
46789,0,27
