timestamp_ms,wire1_pin34,wire2_pin32
844831,0,878
844841,0,810
844851,0,854
844861,0,798
844871,0,848
844881,0,799
844891,0,862
844901,0,816
844911,0,863
844921,0,811
844931,0,848
844941,0,795
844951,0,834
844961,0,784
844971,0,827
844981,0,784
844991,0,833
845001,0,785
845011,0,831
845021,0,789
845031,0,846
845041,0,791
845051,0,847
845061,0,801
845071,0,846
845081,0,806
845091,0,855
845101,0,799
845111,0,847
845121,0,797
845131,0,871
845141,0,829
845151,0,862
845161,0,844
845171,0,917
845181,0,880
845191,2,944
845201,9,896
845211,17,944
845221,48,864
845231,48,929
845241,56,849
845251,111,928
845261,121,1177
845271,179,1179
845281,215,1365
845291,271,1968
845301,251,2436
845311,263,2347
845321,263,2116
845331,222,1921
845341,237,2160
845351,223,2185
845361,176,1935
845371,157,2095
845381,187,2256
845391,176,2341
845401,176,2101
845411,174,2120
845421,244,2245
845431,266,2502
845441,274,2337
845451,339,2044
845461,293,1904
845471,347,1569
845481,309,2293
845491,304,2145
845501,320,2114
845511,318,2160
845521,372,2153
845531,372,1872
845541,361,1746
845551,362,1726
845561,356,1535
845571,341,1452
845581,358,1191
845591,334,1162
845601,304,1104
845611,310,1199
845621,311,1116
845631,406,1107
845641,371,1065
845651,400,1093
845661,411,965
845671,391,1069
845681,362,957
845691,322,993
845701,309,1126
845711,331,1075
845721,417,1090
845731,370,1162
845741,326,1079
845751,336,1008
845761,272,1065
845771,289,931
845781,270,840
845791,251,922
845801,331,848
845811,299,1071
845821,320,975
845831,381,906
845841,354,769
845851,287,877
845861,285,864
845871,316,913
845881,291,935
845891,302,1104
845901,319,1077
845911,291,1247
845921,240,1292
845931,208,1324
845941,221,1342
845951,270,1331
845961,283,1139
845971,272,1040
845981,272,949
845991,236,901
846001,256,898
846011,325,816
846021,327,827
846031,304,933
846041,285,861
846051,240,747
846061,223,733
846071,240,882
846081,191,876
846091,147,982
846101,118,1015
846111,145,1082
846121,150,1189
846131,140,1187
846141,120,1146
846151,106,1199
846161,71,1159
846171,58,1104
846181,39,1009
846191,29,1087
846201,16,980
846211,16,931
846221,7,839
846231,4,816
846241,0,784
846251,0,857
846261,0,815
846271,0,835
846281,0,721
846291,0,816
846301,0,733
846311,0,1010
846321,0,944
846331,0,941
846341,0,937
846351,0,917
846361,0,836
846371,0,830
846381,0,781
846391,0,851
846401,0,810
846411,0,845
846421,0,777
846431,0,821
846441,0,770
846451,0,877
846461,0,838
846471,0,885
846481,0,848
846491,0,896
846501,0,847
846511,0,912
846521,0,861
846531,0,918
846541,0,830
846551,0,869
846561,0,785
846571,0,892
846581,0,845
846591,0,907
846601,0,854
846611,0,943
846621,0,869
846631,0,956
846641,0,877
846651,0,927
846661,0,848
846671,0,919
846681,0,863
846691,0,913
846701,0,842
846711,0,896
846721,0,825
846731,0,862
846741,0,784
846751,0,874
846761,0,835
846771,0,912
846781,0,844
846791,0,911
846801,0,837
846811,0,893
846821,0,831
851330,0,897
851340,0,795
851350,0,880
851360,0,789
851370,0,880
851380,0,793
851390,0,880
851400,0,805
851410,0,890
851420,0,813
851430,0,887
851440,0,797
851450,0,881
851460,0,797
851470,0,884
851480,0,803
851490,0,886
851500,0,799
851510,0,887
851520,0,802
851530,0,885
851540,0,801
851550,0,886
851560,0,790
851570,0,883
851580,0,796
851590,0,890
851600,0,802
851610,0,922
851620,16,942
851630,14,1066
851640,16,1095
851650,14,1248
851660,57,1148
851670,126,1139
851680,174,1075
851690,177,1107
851700,150,1170
851710,176,1303
851720,176,1392
851730,211,1514
851740,210,1655
851750,270,1815
851760,275,2069
851770,270,2214
851780,213,2416
851790,209,2614
851800,192,2498
851810,147,2704
851820,157,2480
851830,207,2426
851840,191,2509
851850,176,2341
851860,200,2153
851870,176,2094
851880,222,1922
851890,245,2262
851900,220,2352
851910,206,2233
851920,282,2389
851930,279,2367
851940,244,2176
851950,305,2272
851960,288,2070
851970,275,2130
851980,298,2004
851990,252,2310
852000,213,2160
852010,252,2002
852020,246,1874
852030,304,1695
852040,347,1583
852050,356,1535
852060,336,1607
852070,294,1641
852080,268,1435
852090,293,1360
852100,372,1185
852110,384,1261
852120,337,1115
852130,432,1088
852140,460,930
852150,415,1039
852160,336,989
852170,287,1082
852180,321,1053
852190,315,1083
852200,320,1136
852210,269,1239
852220,257,1106
852230,254,1210
852240,271,1083
852250,246,1105
852260,274,969
852270,275,1109
852280,258,1059
852290,273,1136
852300,235,1047
852310,236,1246
852320,208,1229
852330,208,1195
852340,193,1023
852350,178,1098
852360,184,1093
852370,176,1183
852380,208,1088
852390,243,1314
852400,253,1235
852410,240,1363
852420,207,1135
852430,345,1167
852440,317,1166
852450,314,1081
852460,336,1219
852470,385,1346
852480,413,1189
852490,387,1178
852500,371,1119
852510,330,1382
852520,368,1177
852530,384,1321
852540,320,1232
852550,352,1535
852560,403,1321
852570,352,1303
852580,323,1155
852590,275,1015
852600,261,987
852610,231,1092
852620,199,1066
852630,225,976
852640,202,827
852650,170,1066
852660,139,1105
852670,112,1281
852680,80,1151
852690,132,1221
852700,125,1163
852710,119,1415
852720,97,1427
852730,83,1363
852740,55,1289
852750,54,1203
852760,27,1116
852770,38,1118
852780,34,1091
852790,42,1270
852800,23,1186
852810,31,1170
852820,14,1152
852830,18,1253
852840,3,1177
852850,6,1185
852860,0,1043
852870,5,1070
852880,0,973
852890,3,991
852900,0,983
852910,0,1002
852920,0,905
852930,0,951
852940,0,821
852950,0,880
852960,0,810
852970,0,928
852980,0,829
852990,1,907
853000,0,811
853010,0,882
853020,0,867
853030,2,986
853040,0,899
853050,1,957
853060,0,820
853070,0,927
853080,0,835
853090,0,938
853100,0,830
853110,0,934
853120,0,822
853130,2,912
853140,0,815
853150,0,910
853160,0,833
853170,0,945
853180,0,858
853190,0,955
853200,0,880
853210,0,973
853220,0,880
853230,0,963
853240,0,866
853250,0,970
853260,0,864
853270,0,944
853280,0,847
853290,0,944
853300,0,839
853310,0,948
853320,0,848
857829,0,907
857839,0,829
857849,0,912
857859,0,832
857869,0,919
857879,0,823
857889,0,921
857899,0,827
857909,0,914
857919,0,835
857929,0,932
857939,0,833
857949,0,914
857959,0,829
857969,0,912
857979,0,827
857989,0,921
857999,0,837
858009,0,915
858019,0,816
858029,0,902
858039,0,813
858049,0,909
858059,0,848
858069,0,965
858079,0,901
858089,14,995
858099,7,1049
858109,13,1112
858119,8,1249
858129,13,1156
858139,10,1079
858149,5,1057
858159,38,1142
858169,26,1435
858179,48,1399
858189,70,1535
858199,97,1602
858209,122,1607
858219,154,1422
858229,209,1676
858239,203,1572
858249,155,1562
858259,159,1449
858269,170,1394
858279,128,1297
858289,120,1328
858299,101,1451
858309,141,1441
858319,118,1250
858329,137,1282
858339,112,1157
858349,112,1058
858359,112,1071
858369,103,1357
858379,112,1422
858389,128,1381
858399,99,1247
858409,96,1316
858419,86,1332
858429,103,1390
858439,107,1350
858449,112,1654
858459,97,1578
858469,131,1785
858479,111,2070
858489,80,2785
858499,75,2678
858509,85,2542
858519,87,2243
858529,179,2135
858539,192,2829
858549,149,2881
858559,134,2469
858569,166,2411
858579,163,2090
858589,128,1954
858599,96,1792
858609,129,1663
858619,131,1480
858629,115,1392
858639,153,1232
858649,167,1212
858659,132,1121
858669,115,1077
858679,91,1034
858689,75,974
858699,112,872
858709,81,885
858719,77,851
858729,80,898
858739,61,818
858749,64,941
858759,91,900
858769,83,925
858779,64,869
858789,62,1055
858799,78,944
858809,61,1070
858819,77,1059
858829,111,990
858839,142,935
858849,173,973
858859,237,959
858869,199,954
858879,183,983
858889,191,1215
858899,178,1158
858909,202,1108
858919,203,985
858929,257,1104
858939,329,1048
858949,310,1043
858959,291,967
858969,277,998
858979,246,1011
858989,239,1159
858999,195,1184
859009,206,1186
859019,178,1165
859029,151,1250
859039,141,1147
859049,114,1173
859059,133,1246
859069,158,1206
859079,131,1072
859089,186,1101
859099,176,1083
859109,198,1096
859119,162,987
859129,160,1136
859139,145,1110
859149,114,1139
859159,91,1066
859169,91,1246
859179,106,1232
859189,90,1366
859199,76,1232
859209,63,1463
859219,41,1595
859229,41,1683
859239,26,1534
859249,34,1557
859259,30,1325
859269,44,1322
859279,26,1169
859289,29,1126
859299,37,1083
859309,47,1149
859319,20,1055
859329,18,1115
859339,3,1016
859349,0,1072
859359,9,974
859369,24,989
859379,16,907
859389,16,951
859399,10,880
859409,11,927
859419,5,848
859429,11,927
859439,0,870
859449,1,942
859459,0,845
859469,0,881
859479,0,815
859489,9,877
859499,0,832
859509,9,917
859519,0,848
859529,2,899
859539,0,848
859549,0,943
859559,0,907
859569,0,950
859579,0,897
859589,0,975
859599,0,909
859609,0,1035
859619,0,963
859629,0,1015
859639,0,913
859649,0,933
859659,0,843
859669,0,887
859679,0,839
859689,0,910
859699,0,814
859709,0,883
859719,0,825
859729,0,880
859739,0,795
859749,0,875
859759,0,816
859769,0,883
859779,0,848
859789,0,930
859799,0,860
859809,0,921
859819,0,867
864328,5,933
864338,0,907
864348,2,940
864358,1,893
864368,2,932
864378,0,883
864388,1,939
864398,0,889
864408,2,926
864418,0,897
864428,2,942
864438,0,894
864448,3,935
864458,0,895
864468,3,929
864478,0,887
864488,0,932
864498,0,898
864508,0,935
864518,0,897
864528,0,939
864538,0,896
864548,0,923
864558,0,880
864568,0,912
864578,0,817
864588,0,1115
864598,0,1467
864608,1,1727
864618,3,1574
864628,15,1370
864638,10,1629
864648,0,1595
864658,6,1419
864668,3,1607
864678,15,1680
864688,33,1793
864698,31,1775
864708,50,1914
864718,48,2423
864728,64,2227
864738,53,1918
864748,57,1905
864758,41,1980
864768,48,1819
864778,50,1910
864788,54,1767
864798,46,1611
864808,37,1991
864818,37,2179
864828,25,1984
864838,20,1731
864848,17,1679
864858,45,1697
864868,49,1785
864878,41,2029
864888,44,2047
864898,23,2098
864908,21,2355
864918,51,2422
864928,57,2288
864938,59,2007
864948,51,1936
864958,45,1988
864968,61,2295
864978,48,2119
864988,61,2231
864998,54,2737
865008,41,2557
865018,59,2368
865028,85,2274
865038,53,2032
865048,48,2111
865058,31,1951
865068,29,1783
865078,16,1535
865088,23,1438
865098,16,1285
865108,29,1247
865118,19,1136
865128,30,1149
865138,27,1127
865148,32,1088
865158,20,1054
865168,30,1041
865178,17,1053
865188,34,1038
865198,19,986
865208,37,985
865218,31,906
865228,35,875
865238,16,842
865248,22,864
865258,16,832
865268,7,954
865278,17,945
865288,39,980
865298,29,934
865308,16,941
865318,11,875
865328,17,880
865338,31,881
865348,31,864
865358,63,804
865368,80,793
865378,97,770
865388,159,822
865398,196,816
865408,191,855
865418,207,827
865428,222,976
865438,197,991
865448,182,1063
865458,186,989
865468,184,963
865478,271,906
865488,328,890
865498,337,860
865508,336,939
865518,285,890
865528,291,945
865538,271,887
865548,302,976
865558,290,961
865568,270,993
865578,256,978
865588,257,925
865598,218,923
865608,199,911
865618,156,958
865628,174,965
865638,173,925
865648,144,966
865658,115,1008
865668,106,1063
865678,118,1015
865688,168,1015
865698,131,985
865708,112,1072
865718,83,1040
865728,76,1041
865738,48,1008
865748,48,1023
865758,31,1008
865768,16,1011
865778,13,913
865788,16,920
865798,9,897
865808,16,978
865818,9,993
865828,13,1050
865838,8,1035
865848,6,1104
865858,4,1111
865868,16,1108
865878,0,983
865888,1,971
865898,0,912
865908,0,941
865918,0,912
865928,0,973
865938,0,917
865948,0,943
865958,0,912
865968,0,919
865978,0,935
865988,0,942
865998,0,898
866008,0,912
866018,0,903
866028,1,934
866038,0,912
866048,0,931
866058,0,887
866068,1,915
866078,0,899
866088,0,927
866098,0,890
866108,0,897
866118,0,916
866128,2,975
866138,0,957
866148,0,959
866158,0,944
866168,3,976
866178,0,954
866188,2,1009
866198,0,985
866208,1,976
