wire1_pin34,wire2_pin32
0,965
0,940
0,961
0,947
0,966
0,944
0,971
0,944
0,958
0,947
0,961
0,950
0,959
0,943
0,955
0,930
0,961
0,938
0,959
0,938
0,955
0,943
0,960
0,925
0,954
0,944
0,961
0,935
0,953
0,939
0,953
0,931
0,963
0,944
0,961
0,945
0,965
0,947
0,963
0,937
0,960
0,944
0,957
0,935
0,959
0,937
0,952
0,928
0,939
0,918
0,942
0,917
0,940
0,913
0,937
0,925
0,939
0,910
0,934
0,924
0,947
0,921
0,944
0,909
0,929
0,918
0,930
0,899
0,945
0,888
0,922
0,919
1,943
0,943
19,882
65,874
70,896
74,955
51,912
41,831
43,843
77,813
89,784
69,746
69,784
64,739
64,731
103,730
158,759
181,681
175,737
164,727
130,752
105,660
133,685
170,711
165,705
136,693
103,711
144,725
111,751
119,739
130,764
114,847
140,899
163,850
171,810
160,854
159,849
145,843
142,912
144,941
121,964
119,1075
113,908
112,1078
105,1012
100,982
79,1045
78,993
68,1127
67,934
64,1085
63,965
48,1005
43,1068
51,1014
49,988
34,1072
42,1007
25,1019
27,991
20,1043
27,1054
39,976
35,1053
38,1100
50,938
55,1008
38,1069
48,959
46,999
51,1094
50,967
49,981
44,976
23,1015
31,971
38,976
31,989
18,937
46,961
30,994
15,982
10,946
5,964
0,986
0,978
0,997
0,989
0,1014
0,995
0,1018
0,987
0,1007
0,990
0,1013
0,983
0,1005
0,977
0,1008
0,976
0,995
0,981
0,995
0,981
0,1015
0,982
0,1008
0,976
0,986
0,991
0,1006
0,976
0,992
0,975
0,1003
0,974
0,979
0,973
0,983
0,966
0,982
0,958
0,981
0,971
0,979
0,976
0,989
0,970
0,874
0,871
0,846
0,850
0,845
0,849
0,847
0,847
0,833
0,834
0,834
0,844
0,838
0,842
0,832
0,839
0,846
0,852
0,829
0,844
0,842
0,848
0,829
0,839
0,831
0,848
0,843
0,837
0,825
0,788
0,819
0,859
0,803
0,824
0,799
0,815
7,942
2,769
2,851
11,877
37,880
36,821
45,902
64,831
83,720
74,851
84,811
77,956
82,877
78,934
107,949
107,871
118,901
159,1021
04,955
251,993
208,899
214,1074
219,990
204,997
183,989
144,1143
113,1121
80,1150
80,1180
64,1107
54,1095
39,1150
47,1088
33,1054
17,1079
4,1110
6,1034
0,1079
10,1095
15,1062
21,1051
8,1059
0,1066
0,1008
9,976
3,1022
2,978
6,1008
5,958
0,992
0,973
0,945
29,975
16,986
13,942
34,956
50,946
35,994
38,967
46,975
25,919
20,1019
61,947
41,1008
51,941
62,1005
60,954
47,1015
59,940
77,927
71,944
48,960
43,965
43,1008
19,933
29,944
59,976
67,927
64,944
79,990
51,944
77,947
67,975
48,1011
62,997
48,978
42,933
42,997
19,976
13,944
7,999
15,976
17,941
16,1008
9,960
1,946
8,980
6,981
0,978
7,1014
0,915
0,949
0,950
