timestamp_ms,wire1_pin34,wire2_pin32
82,3926,0
76,3921,0
79,3898,0
87,3922,0
86,3938,0
99,3917,0
80,3901,0
89,3938,0
82,3928,0
82,3914,0
82,3925,0
81,3911,0
84,3925,0
83,3920,0
82,3917,0
84,3919,0
81,3905,0
81,3918,0
81,3926,0
81,3925,0
80,3928,0
80,3914,0
80,3921,0
83,3918,0
92,3916,0
82,3922,0
79,3907,0
83,3920,0
81,3921,0
82,3926,0
81,3926,0
80,3909,0
87,3919,0
84,3938,0
80,3920,0
81,3920,0
78,3901,0
82,3917,0
78,3929,0
87,3918,0
82,3923,0
80,3920,0
83,3903,0
83,3917,0
83,3915,0
82,3932,0
89,3915,0
82,3924,0
82,3928,0
83,3919,0
82,3921,0
80,3917,0
91,3919,0
91,3920,0
95,3915,0
74,3908,0
79,3910,0
95,3945,0
82,3927,0
80,3923,0
75,3910,0
79,3916,0
90,3917,0
84,3933,0
85,3926,0
81,3925,0
75,3915,0
81,3940,0
81,3922,0
83,3927,0
85,3913,0
80,3914,0
82,3928,0
77,3912,0
83,3921,0
82,3940,0
71,3916,0
85,3910,0
77,3930,0
80,3938,0
78,3925,0
80,3901,0
83,3913,0
86,3916,0
90,3922,0
80,3938,0
79,3915,0
86,3921,0
87,3930,0
81,3922,0
81,3907,0
79,3922,0
86,3918,0
86,3903,0
81,3909,0
83,3923,0
80,3918,0
87,3917,0
81,3921,0
88,3915,0
81,3913,0
97,3907,0
80,3918,0
82,3919,0
79,3914,0
83,3916,0
81,3909,0
81,3921,0
82,3924,0
81,3917,0
80,3920,0
92,3900,0
81,3933,0
81,3922,0
80,3916,0
81,3923,0
80,3921,0
82,3922,0
82,3915,0
84,3916,0
85,3925,0
80,3909,0
81,3913,0
81,3921,0
82,3924,0
76,3926,0
74,3916,0
80,3893,0
82,3924,0
76,3913,0
88,3916,0
99,3909,0
83,3898,0
86,3922,0
84,3915,0
79,3932,0
80,3912,0
83,3937,0
82,3921,0
84,3919,0
85,3918,0
75,3909,0
81,3921,0
89,3916,0
84,3927,0
83,3929,0
79,3918,0
81,3934,0
82,3916,0
89,3934,0
85,3916,0
81,3909,0
82,3921,0
83,3922,0
74,3922,0
83,3900,0
80,3915,0
85,3919,0
82,3916,0
81,3919,0
83,3922,0
80,3924,0
82,3914,0
82,3924,0
81,3927,0
80,3924,0
78,3928,0
82,3926,0
83,3913,0
80,3921,0
83,3914,0
81,3909,0
75,3923,0
83,3924,0
87,3923,0
84,3909,0
80,3913,0
81,3919,0
76,3924,0
83,3920,0
82,3920,0
80,3913,0
83,3920,0
83,3921,0
81,3912,0
81,3932,0
80,3915,0
81,3920,0
83,3917,0
86,3921,0
82,3926,0
79,3917,0
87,3921,0
87,3936,0
86,3924,0
80,3920,0
88,3916,0
83,3913,0
85,3914,0
85,3922,0
96,3923,0
80,3912,0
73,3922,0
102,3920,0
81,3908,0
81,3921,0
83,3898,0
83,3923,0
79,3914,0
80,3919,0
80,3903,0
84,3926,0
84,3925,0
81,3925,0
82,3926,0
78,3922,0
79,3932,0
76,3915,0
82,3913,0
83,3923,0
82,3914,0
71,3910,0
83,3906,0
81,3892,0
81,3929,0
81,3916,0
78,3906,0
80,3920,0
98,3925,0
81,3920,0
81,3941,0
87,3912,0
84,3922,0
82,3922,0
83,3922,0
82,3910,0
79,3910,0
83,3911,0
80,3907,0
75,3900,0
83,3918,0
81,3914,0
81,3926,0
81,3923,0
83,3929,0
82,3911,0
79,3908,0
82,3918,0
87,3923,0
83,3922,0
80,3924,0
79,3914,0
85,3932,0
76,3923,0
83,3924,0
81,3898,0
79,3929,0
85,3913,0
83,3928,0
84,3910,0
81,3939,0
76,3916,0
81,3921,0
84,3914,0
84,3921,0
74,3920,0
78,3909,0
82,3927,0
84,3917,0
79,3938,0
81,3916,0
73,3911,0
80,3913,0
81,3925,0
83,3914,0
85,3905,0
81,3914,0
81,3924,0
82,3923,0
82,3926,0
83,3905,0
81,3921,0
81,3926,0
77,3932,0
81,3918,0
82,3909,0
83,3919,0
84,3927,0
85,3925,0
82,3916,0
81,3920,0
80,3899,0
85,3930,0
81,3924,0
86,3909,0
73,3936,0
76,3908,0
84,3922,0
80,3924,0
72,3929,0
79,3915,0
81,3910,0
83,3928,0
80,3921,0
84,3921,0
82,3925,0
81,3906,0
82,3916,0
84,3927,0
82,3924,0
76,3938,0
77,3915,0
83,3923,0
99,3930,0
83,3918,0
82,3907,0
79,3910,0
82,3924,0
85,3921,0
102,3923,0
80,3926,0
78,3902,0
83,3926,0
81,3916,0
86,3930,0
74,3909,0
81,3883,0
89,3921,0
81,3925,0
80,3901,0
80,3915,0
78,3913,0
82,3924,0
76,3923,0
84,3921,0
80,3901,0
79,3907,0
82,3933,0
81,3920,0
83,3930,0
73,3916,0
79,3944,0
82,3917,0
82,3918,0
73,3920,0
78,3923,0
79,3915,0
81,3920,0
84,3911,0
83,3927,0
75,3917,0
79,3915,0
80,3918,0
83,3919,0
82,3921,0
80,3906,0
84,3940,0
87,3919,0
75,3923,0
81,3916,0
86,3921,0
79,3906,0
81,3918,0
82,3897,0
84,3917,0
71,3918,0
90,3924,0
83,3934,0
73,3924,0
93,3915,0
80,3912,0
76,3908,0
82,3916,0
84,3919,0
82,3916,0
81,3916,0
80,3929,0
85,3926,0
83,3908,0
82,3926,0
86,3918,0
83,3913,0
83,3919,0
87,3918,0
84,3919,0
78,3905,0
80,3914,0
82,3920,0
89,3913,0
81,3938,0
80,3902,0
81,3914,0
82,3922,0
89,3911,0
82,3922,0
80,3919,0
72,3900,0
71,3905,0
83,3925,0
83,3925,0
85,3909,0
101,3911,0
88,3909,0
81,3918,0
75,3918,0
81,3918,0
80,3901,0
82,3919,0
82,3921,0
82,3925,0
79,3917,0
81,3915,0
83,3917,0
83,3916,0
81,3923,0
79,3923,0
79,3927,0
86,3923,0
79,3946,0
84,3924,0
81,3899,0
94,3906,0
84,3929,0
83,3919,0
87,3904,0
78,3930,0
72,3923,0
81,3925,0
82,3922,0
83,3926,0
80,3911,0
72,3931,0
82,3909,0
88,3910,0
82,3923,0
78,3928,0
83,3918,0
82,3923,0
82,3912,0
79,3925,0
76,3909,0
78,3911,0
84,3917,0
86,3916,0
81,3925,0
80,3900,0
79,3920,0
79,3920,0
88,3931,0
81,3919,0
80,3901,0
82,3910,0
76,3928,0
83,3922,0
76,3925,0
81,3913,0
80,3920,0
83,3920,0
88,3916,0
82,3922,0
79,3912,0
80,3911,0
82,3928,0
81,3929,0
84,3929,0
72,3931,0
74,3912,0
94,3921,0
85,3920,0
82,3922,0
79,3910,0
91,3912,0
75,3922,0
91,3925,0
98,3928,0
81,3909,0
78,3907,0
83,3943,0
83,3922,0
82,3920,0
81,3904,0
81,3911,0
82,3893,0
82,3921,0
81,3926,0
78,3904,0
79,3924,0
82,3922,0
66,3923,0
74,3919,0
80,3859,0
82,3909,0
83,3927,0
82,3911,0
84,3925,0
80,3925,0
84,3916,0
79,3926,0
82,3917,0
84,3919,0
84,3908,0
79,3913,0
66,3929,0
87,3925,0
74,3922,0
82,3910,0
80,3909,0
77,3925,0
83,3918,0
84,3919,0
83,3911,0
84,3910,0
81,3921,0
85,3931,0
82,3926,0
76,3916,0
86,3922,0
83,3922,0
83,3918,0
93,3922,0
74,3914,0
83,3916,0
82,3926,0
83,3921,0
82,3932,0
84,3929,0
77,3924,0
83,3925,0
83,3922,0
84,3932,0
73,3918,0
87,3919,0
81,3938,0
87,3925,0
84,3926,0
81,3910,0
80,3927,0
79,3930,0
82,3933,0
84,3916,0
81,3905,0
86,3918,0
81,3924,0
85,3929,0
81,3921,0
83,3915,0
81,3936,0
88,3919,0
82,3901,0
81,3927,0
79,3912,0
75,3913,0
83,3919,0
82,3937,0
82,3929,0
82,3917,0
79,3925,0
82,3922,0
84,3920,0
82,3904,0
79,3917,0
92,3910,0
79,3908,0
83,3920,0
81,3925,0
86,3908,0
81,3920,0
84,3930,0
81,3918,0
84,3921,0
82,3915,0
84,3922,0
88,3939,0
83,3929,0
83,3924,0
78,3933,0
83,3923,0
81,3911,0
84,3918,0
90,3931,0
71,3911,0
81,3920,0
84,3918,0
79,3921,0
82,3931,0
82,3918,0
81,3924,0
80,3920,0
82,3912,0
82,3927,0
80,3889,0
78,3928,0
79,3926,0
81,3924,0
81,3925,0
81,3906,0
80,3922,0
79,3905,0
83,3916,0
82,3910,0
80,3921,0
81,3928,0
83,3929,0
80,3925,0
79,3939,0
105,3912,0
110,3919,0
84,3921,0
81,3924,0
82,3921,0
80,3918,0
74,3919,0
82,3903,0
86,3921,0
81,3923,0
81,3913,0
94,3912,0
82,3913,0
89,3927,0
80,3917,0
77,3910,0
80,3926,0
82,3911,0
81,3920,0
81,3927,0
82,3911,0
80,3910,0
88,3906,0
81,3920,0
80,3943,0
71,3923,0
87,3922,0
78,3917,0
81,3922,0
82,3909,0
66,3895,0
77,3910,0
82,3925,0
86,3921,0
79,3926,0
81,3909,0
83,3909,0
82,3920,0
82,3908,0
72,3918,0
78,3910,0
81,3909,0
82,3925,0
88,3930,0
83,3917,0
81,3901,0
76,3932,0
77,3922,0
83,3919,0
83,3917,0
85,3898,0
81,3893,0
82,3924,0
74,3931,0
77,3925,0
84,3919,0
82,3924,0
90,3919,0
79,3918,0
78,3924,0
80,3910,0
87,3924,0
80,3922,0
80,3927,0
78,3920,0
76,3923,0
82,3919,0
83,3921,0
84,3914,0
70,3911,0
78,3914,0
88,3920,0
80,3923,0
82,3925,0
81,3924,0
83,3931,0
78,3919,0
85,3918,0
76,3917,0
79,3932,0
81,3889,0
82,3926,0
86,3924,0
88,3925,0
79,3930,0
101,3920,0
86,3891,0
87,3929,0
81,3921,0
80,3910,0
87,3912,0
84,3938,0
78,3917,0
80,3924,0
81,3919,0
76,3922,0
82,3918,0
83,3917,0
83,3924,0
79,3912,0
80,3916,0
81,3923,0
80,3924,0
81,3930,0
80,3917,0
79,3915,0
82,3941,0
82,3936,0
76,3926,0
80,3917,0
85,3917,0
91,3925,0
81,3922,0
81,3925,0
80,3926,0
79,3911,0
78,3921,0
81,3914,0
86,3914,0
80,3927,0
78,3899,0
82,3920,0
85,3918,0
84,3912,0
81,3914,0
78,3904,0
76,3919,0
86,3919,0
84,3922,0
81,3915,0
80,3915,0
81,3923,0
81,3919,0
78,3918,0
98,3921,0
84,3917,0
81,3922,0
83,3917,0
84,3923,0
78,3920,0
80,3911,0
91,3941,0
80,3929,0
81,3910,0
80,3917,0
81,3930,0
87,3920,0
83,3927,0
79,3932,0
76,3918,0
81,3913,0
82,3927,0
82,3926,0
81,3927,0
84,3916,0
80,3906,0
83,3937,0
87,3916,0
82,3916,0
80,3920,0
79,3914,0
82,3945,0
80,3925,0
74,3903,0
81,3915,0
81,3914,0
81,3933,0
80,3917,0
82,3930,0
84,3921,0
80,3903,0
79,3924,0
79,3925,0
96,3933,0
79,3913,0
80,3910,0
82,3915,0
82,3919,0
83,3919,0
81,3927,0
78,3913,0
80,3927,0
81,3937,0
83,3921,0
75,3914,0
80,3912,0
81,3912,0
82,3920,0
89,3932,0
89,3918,0
78,3914,0
81,3921,0
83,3924,0
82,3919,0
80,3908,0
80,3888,0
86,3925,0
76,3927,0
80,3919,0
82,3912,0
85,3919,0
82,3926,0
82,3925,0
82,3902,0
76,3913,0
86,3911,0
82,3921,0
86,3906,0
81,3922,0
79,3923,0
80,3916,0
81,3925,0
81,3918,0
83,3920,0
88,3903,0
82,3910,0
77,3931,0
76,3925,0
77,3925,0
83,3911,0
78,3911,0
81,3928,0
81,3922,0
84,3921,0
78,3912,0
81,3910,0
82,3921,0
81,3930,0
84,3920,0
80,3897,0
77,3927,0
82,3935,0
81,3918,0
84,3900,0
85,3914,0
81,3909,0
82,3923,0
80,3919,0
85,3926,0
79,3912,0
81,3914,0
81,3929,0
74,3932,0
84,3922,0
72,3910,0
79,3909,0
81,3923,0
76,3924,0
80,3925,0
83,3918,0
82,3918,0
88,3923,0
77,3912,0
82,3898,0
81,3905,0
81,3922,0
84,3928,0
82,3938,0
81,3931,0
81,3894,0
85,3919,0
89,3922,0
79,3921,0
83,3922,0
90,3912,0
76,3913,0
82,3911,0
84,3934,0
84,3927,0
74,3919,0
81,3920,0
83,3929,0
82,3922,0
84,3926,0
92,3910,0
80,3911,0
80,3926,0
81,3930,0
81,3929,0
77,3912,0
80,3911,0
83,3920,0
79,3917,0
84,3917,0
80,3914,0
79,3945,0
76,3928,0
84,3922,0
