timestamp_ms,wire1_pin34,wire2_pin32
1579075,127,1786
1579085,116,1742
1579095,127,1760
1579105,118,1745
1579115,127,1944
1579125,118,1907
1579135,129,2005
1579145,119,1931
1579155,129,1877
1579165,120,1838
1579175,130,1797
1579185,118,1745
1579195,128,1808
1579205,122,1728
1579215,128,1787
1579225,123,1681
1579235,129,1728
1579245,120,1730
1579255,127,1791
1579265,114,1712
1579275,125,1744
1579285,117,1714
1579295,125,1801
1579305,114,1774
1579315,128,1840
1579325,118,1805
1579335,125,1858
1579345,113,1790
1579355,119,1813
1579365,119,1687
1579375,140,1827
1579385,131,1832
1579395,155,2025
1579405,162,1925
1579415,171,2182
1579425,162,2493
1579435,159,2333
1579445,149,2032
1579455,158,1971
1579465,151,1999
1579475,147,2208
1579485,133,1943
1579495,130,2167
1579505,140,2027
1579515,147,2274
1579525,138,2297
1579535,125,2394
1579545,158,2194
1579555,238,2192
1579565,220,2107
1579575,207,2224
1579585,177,2079
1579595,218,2074
1579605,291,1971
1579615,270,2042
1579625,252,1850
1579635,241,1957
1579645,261,1936
1579655,262,1991
1579665,261,1915
1579675,281,2160
1579685,261,2105
1579695,218,2109
1579705,194,2177
1579715,161,2107
1579725,177,2087
1579735,182,1919
1579745,181,1893
1579755,183,2556
1579765,208,2911
1579775,201,2962
1579785,208,3501
1579795,218,3744
1579805,227,3530
1579815,219,3255
1579825,202,3392
1579835,181,3422
1579845,175,3343
1579855,172,2800
1579865,191,2896
1579875,187,3134
1579885,207,2757
1579895,229,2499
1579905,240,2301
1579915,267,2247
1579925,256,2589
1579935,312,2800
1579945,258,2510
1579955,237,2599
1579965,181,2370
1579975,163,2367
1579985,177,2256
1579995,166,2215
1580005,165,2108
1580015,159,2094
1580025,167,2095
1580035,187,2252
1580045,214,2320
1580055,226,2375
1580065,197,2281
1580075,176,2362
1580085,160,2253
1580095,181,2242
1580105,163,2176
1580115,157,2047
1580125,136,2015
1580135,122,1927
1580145,128,1825
1580155,118,1826
1580165,111,1726
1580175,103,1749
1580185,127,1787
1580195,134,1921
1580205,176,1745
1580215,179,1776
1580225,195,1661
1580235,194,1781
1580245,204,1735
1580255,201,1729
1580265,183,1648
1580275,153,1729
1580285,176,1761
