timestamp_ms,wire1_pin34,wire2_pin32
74290,0,47
74300,0,49
74310,0,43
74320,84,46
74330,0,33
74340,0,47
74350,0,29
74360,0,38
74370,0,42
74380,0,51
74390,0,39
74400,22,48
74410,0,47
74420,0,62
74430,0,47
74440,0,51
74450,0,34
74460,0,47
74470,0,44
74480,0,45
74490,0,37
74500,0,40
74510,0,21
74520,0,30
74530,0,35
74540,2,32
74550,0,48
74560,54,86
74570,0,71
74580,0,71
74590,0,58
74600,0,54
74610,3,72
74620,0,110
74630,0,80
74640,33,76
74650,35,84
74660,43,126
74670,36,126
74680,113,187
74690,54,203
74700,137,217
74710,112,212
74720,128,226
74730,211,222
74740,250,249
74750,231,240
74760,241,297
74770,221,256
74780,144,262
74790,156,251
74800,256,242
74810,133,269
74820,129,266
74830,191,269
74840,215,368
74850,235,367
74860,232,369
74870,214,439
74880,315,436
74890,287,423
74900,305,397
74910,269,323
74920,264,339
74930,277,351
74940,295,372
74950,227,353
74960,336,325
74970,279,343
74980,245,389
74990,258,386
75000,319,347
75010,318,394
75020,359,369
75030,528,384
75040,811,435
75050,866,417
75060,401,390
75070,44,333
75080,0,357
75090,0,334
75100,0,314
75110,444,401
75120,698,374
75130,609,192
75140,622,511
75150,432,385
75160,382,361
75170,331,352
75180,257,297
75190,246,256
75200,207,205
75210,173,205
75220,144,189
75230,148,171
75240,81,161
75250,128,134
75260,112,31
75270,71,133
75280,64,119
75290,111,99
75300,0,102
75310,91,134
75320,96,167
75330,151,171
75340,48,177
75350,177,217
75360,154,234
75370,112,240
75380,109,192
75390,105,202
75400,208,199
75410,229,253
75420,237,206
75430,237,193
75440,202,181
75450,240,187
75460,263,145
75470,209,141
75480,193,152
75490,176,156
75500,151,117
75510,204,99
75520,191,128
75530,167,103
75540,163,76
75550,131,54
75560,109,52
75570,112,54
75580,108,41
75590,80,17
75600,67,32
75610,48,45
75620,27,38
75630,41,32
75640,23,46
75650,25,37
75660,18,32
75670,16,31
75680,11,31
75690,6,48
75700,0,53
75710,1,43
75720,3,48
75730,0,53
75740,0,52
75750,1,71
75760,0,58
75770,0,38
75780,0,30
75790,0,21
75800,0,29
75810,1,10
75820,0,7
75830,0,12
75840,16,8
75850,0,17
75860,0,19
75870,0,23
75880,0,31
75890,0,45
75900,0,47
75910,0,45
75920,0,50
75930,0,48
75940,0,48
75950,0,39
75960,0,43
75970,0,36
75980,0,54
75990,0,65
76000,0,80
76010,0,71
76020,0,64
76030,0,47
76040,0,59
76050,0,48
76060,0,48
76070,0,41
76080,0,48
76090,0,52
76100,0,35
76110,0,19
76120,0,26
76130,0,25
76140,0,40
76150,0,46
76160,0,48
76170,0,50
76180,0,49
76190,0,42
76200,0,38
76210,0,27
76220,0,30
76230,0,23
76240,0,36
76250,0,39
76260,0,39
76270,0,39
76280,0,48
80789,0,0
80799,0,0
80809,0,0
80819,0,0
80829,0,0
80839,0,0
80849,0,0
80859,0,0
80869,0,0
80879,0,0
80889,0,0
80899,0,0
80909,0,0
80919,0,0
80929,0,0
80939,0,0
80949,0,0
80959,0,0
80969,0,0
80979,0,0
