timestamp_ms,wire1_pin34,wire2_pin32
30873,0,0
30883,0,0
30893,0,0
30903,0,0
30913,0,0
30923,0,0
30933,0,0
30943,0,0
30953,0,0
30963,0,0
30973,0,0
30983,5,0
30993,0,0
31003,0,0
31013,0,0
31023,0,0
31033,0,0
31043,0,0
31053,0,0
31063,0,0
31073,0,0
31083,0,0
31093,0,0
31103,0,0
31113,0,0
31123,0,0
31133,0,0
31143,0,0
31153,0,0
31163,0,0
31173,0,0
31183,0,0
31193,0,0
31203,0,0
31213,0,0
31223,0,0
31233,0,0
31243,0,0
31253,0,0
31263,0,0
31273,0,0
31283,0,0
31293,0,0
31303,0,14
31313,0,23
31323,0,9
31333,0,31
31343,0,35
31353,0,62
31363,0,63
31373,0,83
31383,0,89
31393,0,123
31403,0,138
31413,0,133
31423,0,162
31433,0,137
31443,0,112
31453,0,80
31463,0,62
31473,0,30
31483,0,131
31493,0,183
31503,0,236
31513,0,246
31523,62,255
31533,67,230
31543,57,231
31553,58,238
31563,37,289
31573,47,275
31583,48,298
31593,64,266
31603,55,247
31613,58,215
31623,75,247
31633,55,219
31643,57,201
31653,58,220
31663,39,255
31673,67,270
31683,61,257
31693,79,337
31703,96,347
31713,123,336
31723,126,357
31733,127,413
31743,203,374
31753,177,486
31763,211,564
31773,216,775
31783,320,1237
31793,343,1615
31803,462,2256
31813,440,2453
31823,405,2666
31833,379,2739
31843,413,2864
31853,434,2855
31863,383,2800
31873,342,2727
31883,308,2603
31893,304,2230
31903,274,1967
31913,240,1717
31923,206,1529
31933,183,1296
31943,176,1071
31953,148,925
31963,112,752
31973,91,571
31983,67,567
31993,57,561
32003,91,585
32013,96,635
32023,92,648
32033,67,724
32043,77,907
32053,69,1082
32063,64,1198
32073,88,1342
32083,80,1379
32093,80,1345
32103,65,1359
32113,67,1291
32123,58,1151
32133,50,1118
32143,38,976
32153,33,912
32163,27,850
32173,13,765
32183,8,686
32193,0,602
32203,0,509
32213,0,469
32223,0,402
32233,0,354
32243,0,320
32253,0,278
32263,0,222
32273,0,210
32283,0,176
32293,0,182
32303,0,157
32313,0,183
32323,0,177
32333,0,160
32343,0,155
32353,0,141
32363,0,115
32373,0,97
32383,0,69
32393,0,50
32403,0,48
32413,0,35
32423,0,25
32433,0,16
32443,0,9
32453,0,3
32463,0,0
32473,0,0
32483,0,0
32493,0,0
32503,0,0
32513,0,0
32523,0,0
32533,0,0
32543,0,0
32553,0,0
32563,0,0
32573,0,0
32583,0,0
32593,0,0
32603,0,0
32613,0,0
32623,0,0
32633,0,0
32643,0,0
32653,0,0
32663,0,0
32673,0,0
32683,0,0
32693,0,0
32703,0,0
32713,0,0
32723,0,0
32733,0,0
32743,0,0
32753,0,0
32763,0,0
32773,0,0
32783,0,0
32793,0,0
32803,0,0
32813,0,0
32823,0,0
32833,0,0
32843,0,0
32853,0,0
32863,0,0
37372,0,0
37382,0,0
37392,0,0
37402,0,0
37412,0,0
37422,0,0
37432,0,0
37442,0,0
37452,0,0
37462,0,0
37472,0,0
37482,0,0
37492,0,0
37502,0,0
37512,0,0
37522,0,0
37532,0,0
37542,0,0
37552,3,0
37562,0,0
37572,0,0
37582,0,0
37592,0,0
37602,0,0
37612,0,0
37622,0,0
37632,0,0
37642,0,0
37652,0,0
37662,0,0
37672,0,0
37682,0,0
37692,0,0
37702,0,0
37712,0,0
37722,0,13
37732,0,1
37742,0,30
37752,0,37
37762,0,22
37772,0,73
37782,0,99
37792,58,141
37802,116,230
37812,114,322
37822,123,417
37832,132,459
37842,160,666
37852,140,1011
37862,62,1340
37872,92,1790
37882,93,2646
37892,80,3907
37902,87,3937
37912,95,3932
37922,81,3407
37932,52,2891
37942,39,2399
37952,27,2025
37962,36,1634
37972,32,1302
37982,66,1136
37992,102,970
38002,105,811
38012,103,673
38022,93,573
38032,131,525
38042,159,476
38052,158,495
38062,240,481
38072,330,437
38082,320,464
38092,276,426
38102,274,434
38112,286,452
38122,270,385
38132,327,389
38142,305,392
38152,268,354
38162,208,347
38172,187,304
38182,162,288
38192,221,304
38202,198,316
38212,183,334
38222,134,272
38232,99,235
38242,79,240
38252,65,290
38262,63,378
38272,37,511
38282,43,618
38292,51,727
38302,63,833
38312,53,895
38322,48,1005
38332,45,1053
38342,27,1041
38352,14,1011
38362,0,993
38372,0,942
38382,0,887
38392,0,853
38402,0,747
38412,0,665
38422,0,594
38432,0,509
38442,0,439
38452,0,389
38462,0,332
38472,0,294
38482,0,282
38492,0,271
38502,0,243
38512,0,214
38522,0,195
38532,0,189
38542,0,176
38552,0,177
38562,0,161
38572,0,147
38582,0,122
38592,0,95
38602,0,89
38612,0,80
38622,0,64
38632,0,52
38642,0,45
38652,0,34
38662,0,23
38672,0,16
38682,0,6
38692,0,2
38702,0,0
38712,0,0
38722,0,0
38732,0,0
38742,0,0
38752,0,0
38762,0,0
38772,0,14
38782,0,0
38792,0,0
38802,0,0
38812,0,0
38822,0,0
38832,0,0
38842,0,0
38852,0,0
38862,0,0
38872,0,0
38882,0,0
38892,0,0
38902,0,0
38912,0,0
38922,0,0
38932,0,0
38942,0,0
38952,0,0
38962,0,0
38972,0,0
38982,0,0
38992,0,0
39002,0,0
39012,0,0
39022,0,0
39032,0,0
39042,0,0
39052,0,0
39062,0,0
39072,0,0
39082,0,0
39092,0,0
39102,0,0
39112,0,0
39122,0,0
39132,0,0
39142,0,0
39152,0,0
39162,0,0
39172,0,0
39182,0,0
39192,0,0
39202,0,0
39212,0,69
39222,0,0
39232,0,0
39242,0,0
39252,0,0
39262,0,0
39272,0,0
39282,0,0
39292,0,0
39302,0,0
39312,0,0
39322,0,0
39332,0,0
39342,0,0
39352,0,0
39362,0,0
43871,0,0
43881,0,0
43891,0,0
43901,0,0
43911,0,0
43921,0,0
43931,0,0
43941,0,0
43951,0,0
43961,0,0
43971,0,0
43981,0,0
43991,0,0
44001,0,0
44011,0,0
44021,0,0
44031,0,0
44041,0,0
44051,0,0
44061,0,0
44071,0,0
44081,0,0
44091,0,0
44101,0,0
44111,0,0
44121,0,0
44131,0,0
44141,0,0
44151,0,0
44161,0,0
44171,0,0
44181,0,0
44191,0,0
44201,0,0
44211,0,17
44221,0,16
44231,0,21
44241,0,13
44251,45,6
44261,64,122
44271,63,198
44281,149,288
44291,180,304
44301,181,332
44311,176,421
44321,123,606
44331,126,765
44341,112,1136
44351,112,1417
44361,112,1692
44371,103,1761
44381,80,1790
44391,94,2001
44401,80,2254
44411,102,2375
44421,156,2251
44431,159,2402
44441,158,2286
44451,176,2180
44461,261,2153
44471,236,2138
44481,210,2079
44491,209,2000
44501,189,1936
44511,274,1805
44521,269,1739
44531,342,1617
44541,471,1479
44551,436,1321
44561,382,1177
44571,378,976
44581,322,830
44591,278,750
44601,272,611
44611,256,587
44621,239,546
44631,192,437
44641,149,373
44651,105,366
44661,75,432
44671,87,420
