timestamp_ms,wire1_pin34,wire2_pin32
13692,205,76
13702,217,87
13712,225,78
13722,241,84
13732,231,82
13742,240,83
13752,232,74
13762,251,86
13772,243,71
13782,254,128
13792,235,98
13802,242,86
13812,228,86
13822,234,87
13832,217,79
13842,217,81
13852,203,75
13862,218,75
13872,211,74
13882,222,75
13892,219,80
13902,244,75
13912,230,75
13922,230,78
13932,229,114
13942,231,80
13952,224,73
13962,243,80
13972,241,89
13982,239,113
13992,237,98
14002,267,95
14012,302,94
14022,307,102
14032,257,94
14042,316,133
14052,351,111
14062,390,100
14072,339,80
14082,338,85
14092,299,80
14102,272,78
14112,267,78
14122,288,83
14132,263,95
14142,286,91
14152,247,80
14162,251,132
14172,233,65
14182,211,161
14192,182,57
14202,194,64
14212,192,64
14222,244,75
14232,251,64
14242,263,71
14252,256,54
14262,267,70
14272,253,58
14282,305,80
14292,302,79
14302,315,80
14312,273,73
14322,327,49
14332,379,128
14342,423,80
14352,459,64
14362,499,80
14372,482,65
14382,451,83
14392,401,66
14402,439,119
14412,559,211
14422,571,82
14432,493,102
14442,503,0
14452,439,63
14462,474,64
14472,464,54
14482,496,50
14492,682,49
14502,722,64
14512,704,65
14522,648,67
14532,540,0
14542,662,59
14552,565,61
14562,559,64
14572,473,55
14582,475,61
14592,449,64
14602,406,67
14612,373,62
14622,417,78
14632,454,77
14642,443,146
14652,510,83
14662,592,22
14672,613,205
14682,597,84
14692,640,75
14702,682,81
14712,752,67
14722,694,70
14732,657,67
14742,606,69
14752,526,58
14762,625,70
14772,605,64
14782,591,71
14792,611,59
14802,673,70
14812,739,82
14822,751,78
14832,811,70
14842,765,88
14852,770,80
14862,781,97
14872,766,107
14882,690,131
14892,679,126
14902,651,116
14912,575,121
14922,644,129
14932,693,107
14942,770,102
14952,702,101
14962,608,125
14972,543,130
14982,603,135
14992,651,123
15002,638,140
15012,754,139
15022,823,143
15032,722,135
15042,761,144
15052,766,124
15062,826,149
15072,739,183
15082,785,211
15092,711,176
15102,625,176
15112,524,154
15122,542,161
15132,477,158
15142,529,137
15152,508,166
15162,413,176
15172,522,154
15182,466,154
15192,459,147
15202,486,144
15212,487,133
15222,560,136
15232,573,142
15242,689,128
15252,705,121
15262,688,133
15272,622,128
15282,587,134
15292,565,115
15302,637,118
15312,619,112
15322,592,103
15332,659,89
15342,586,83
15352,562,80
15362,528,82
15372,511,74
15382,446,86
15392,511,79
15402,530,83
15412,571,88
15422,511,99
15432,533,97
15442,493,98
15452,450,87
15462,383,92
15472,349,80
15482,388,85
15492,337,80
15502,354,89
15512,347,77
15522,335,80
15532,335,80
15542,333,87
15552,304,80
15562,334,82
15572,345,73
15582,304,74
15592,272,73
15602,228,80
15612,225,70
15622,225,83
15632,288,80
15642,225,80
15652,206,75
15662,179,82
15672,162,71
15682,163,75
19191,242,78
19201,256,81
19211,226,80
19221,204,76
19231,185,77
19241,0,74
19251,178,75
19261,176,74
19271,196,70
19281,195,72
19291,208,89
19301,213,75
19311,215,70
19321,219,70
19331,268,69
19341,227,73
19351,70,73
19361,244,70
19371,233,73
19381,214,74
19391,201,69
19401,206,77
19411,121,74
19421,208,64
19431,199,69
19441,203,68
19451,207,67
19461,204,68
19471,205,67
19481,182,69
19491,184,70
19501,199,70
19511,187,75
19521,97,72
19531,144,71
19541,183,79
19551,176,80
19561,199,80
19571,190,81
19581,188,66
19591,182,79
19601,183,81
19611,195,77
19621,234,77
19631,270,71
19641,247,69
19651,214,77
19661,241,80
19671,215,80
19681,247,80
19691,254,89
19701,234,101
19711,189,97
19721,187,96
19731,202,80
19741,219,79
19751,239,79
19761,274,87
19771,286,103
19781,235,187
19791,221,75
19801,178,66
19811,229,63
19821,240,71
19831,276,78
19841,277,81
19851,318,73
19861,280,64
19871,354,67
19881,337,96
19891,321,115
19901,502,111
19911,523,94
19921,583,75
19931,672,102
19941,592,118
19951,588,114
19961,692,114
19971,692,112
19981,1010,97
19991,898,92
20001,804,96
20011,813,105
20021,766,117
20031,859,101
20041,746,93
20051,654,93
20061,610,80
20071,678,107
20081,631,71
20091,683,60
20101,770,64
20111,848,15
20121,879,61
20131,831,101
20141,927,65
20151,970,74
20161,967,69
20171,983,31
20181,1007,72
20191,1035,98
20201,1020,71
20211,915,83
20221,889,81
20231,983,79
20241,967,63
20251,841,83
20261,807,55
20271,790,78
20281,723,59
20291,675,63
20301,670,55
20311,617,64
20321,560,53
20331,547,63
20341,547,64
20351,522,61
20361,530,70
20371,579,64
20381,547,64
20391,507,74
20401,471,64
20411,509,80
20421,546,80
20431,531,73
20441,528,55
20451,466,61
20461,510,55
20471,462,74
20481,428,74
20491,475,64
20501,459,55
20511,526,65
20521,654,91
20531,595,106
20541,626,94
20551,570,83
20561,590,74
20571,549,73
20581,468,80
20591,530,96
20601,494,84
20611,443,82
20621,469,70
20631,423,106
20641,400,95
20651,335,80
20661,377,66
20671,405,82
20681,368,54
20691,422,68
20701,420,74
20711,382,64
20721,390,99
20731,346,107
20741,327,111
20751,286,245
20761,301,141
20771,345,121
20781,345,114
20791,367,115
20801,432,137
20811,415,153
20821,400,165
20831,427,190
20841,449,160
20851,499,221
20861,511,190
20871,464,178
20881,407,170
20891,396,134
20901,394,129
20911,377,143
20921,371,166
20931,321,169
20941,275,171
20951,345,217
20961,316,187
20971,304,177
20981,302,174
20991,301,202
21001,265,177
21011,256,174
21021,237,148
21031,245,144
21041,221,115
21051,253,118
21061,240,106
21071,235,101
21081,227,97
21091,210,94
21101,216,80
21111,208,85
21121,232,90
21131,215,95
21141,211,79
21151,237,85
21161,263,92
21171,263,94
21181,258,80
24690,245,79
24700,283,75
24710,226,82
24720,278,81
24730,249,90
24740,302,73
24750,256,77
24760,295,74
24770,261,80
24780,309,70
24790,285,80
24800,281,70
24810,241,80
24820,272,77
24830,243,77
24840,279,80
24850,240,82
24860,271,70
24870,230,77
24880,275,75
24890,267,87
24900,303,78
24910,256,90
24920,208,84
24930,268,84
24940,285,81
24950,240,90
24960,293,85
24970,269,89
24980,305,80
24990,272,113
25000,336,114
25010,322,128
25020,399,139
25030,311,151
25040,385,174
25050,367,175
25060,400,140
25070,167,130
25080,401,123
25090,371,112
25100,454,96
25110,347,114
25120,373,124
25130,423,130
25140,479,117
25150,438,122
25160,498,114
25170,528,119
