timestamp_ms,wire1_pin34,wire2_pin32
421629,0,59
421639,0,61
421649,0,50
421659,0,61
421669,0,48
421679,0,61
421689,0,48
421699,0,58
421709,0,49
421719,0,63
421729,0,49
421739,0,63
421749,0,49
421759,0,60
421769,0,47
421779,0,57
421789,0,48
421799,0,59
421809,0,49
421819,0,63
421829,0,49
421839,0,64
421849,0,55
421859,0,61
421869,0,48
421879,10,64
421889,18,51
421899,2,50
421909,22,33
421919,35,34
421929,30,33
421939,16,37
421949,7,16
421959,14,27
421969,14,15
421979,19,50
421989,16,51
421999,19,64
422009,18,48
422019,45,64
422029,33,67
422039,42,68
422049,64,59
422059,61,48
422069,52,45
422079,74,64
422089,64,55
422099,66,65
422109,60,48
422119,64,67
422129,64,80
422139,61,96
422149,51,86
422159,61,82
422169,79,67
422179,80,71
422189,76,49
422199,71,54
422209,51,26
422219,59,37
422229,67,48
422239,53,62
422249,48,61
422259,38,75
422269,39,74
422279,75,81
422289,80,75
422299,101,87
422309,91,97
422319,86,106
422329,77,112
422339,61,112
422349,66,112
422359,64,113
422369,71,80
422379,70,80
422389,68,68
422399,80,93
422409,80,68
422419,72,65
422429,81,48
422439,107,53
422449,75,55
422459,93,48
422469,98,37
422479,80,57
422489,93,64
422499,113,55
422509,94,52
422519,80,80
422529,64,112
422539,64,117
422549,58,93
422559,65,94
422569,57,127
422579,57,172
422589,90,161
422599,137,143
422609,175,1002
422619,139,1840
422629,143,2370
422639,130,2919
422649,112,3502
422659,82,3823
422669,64,3376
422679,122,3202
422689,118,3120
422699,123,3123
422709,125,3066
422719,134,3097
422729,144,3057
422739,209,3046
422749,355,586
422759,355,1435
422769,359,1343
422779,305,1070
422789,312,866
422799,288,704
422809,221,567
422819,203,501
422829,157,401
422839,134,358
422849,112,289
422859,98,248
422869,94,233
422879,90,233
422889,78,192
422899,64,156
422909,64,125
422919,52,123
422929,48,109
422939,37,87
422949,27,63
422959,32,67
422969,25,67
422979,16,63
422989,16,67
422999,177,90
423009,673,145
423019,954,152
423029,944,127
423039,278,123
423049,1,185
423059,1104,310
423069,1433,256
