timestamp_ms,wire1_pin34,wire2_pin32
10147,0,0
10157,0,0
10167,0,0
10177,0,0
10187,0,0
10197,0,0
10207,0,0
10217,0,0
10227,0,0
10237,0,0
10247,0,0
10257,0,0
10267,0,0
10277,0,0
10287,0,0
10297,0,0
10307,0,0
10317,0,0
10327,0,0
10337,0,0
10347,0,0
10357,0,0
10367,0,0
10377,0,0
10387,0,0
10397,0,0
10407,0,0
10417,0,0
10427,0,0
10437,0,0
10447,0,0
10457,0,0
10467,0,0
10477,0,0
10487,0,0
10497,0,0
10507,0,0
10517,0,0
10527,0,0
10537,0,0
10547,0,0
10557,0,0
10567,0,0
10577,0,0
10587,0,0
10597,0,0
10607,0,0
10617,0,4
10627,0,29
10637,0,134
10647,0,209
10657,15,285
10667,39,251
10677,61,279
10687,122,339
10697,171,491
10707,191,631
10717,158,688
10727,153,855
10737,231,1013
10747,289,1266
10757,307,1382
10767,432,1513
10777,437,1599
10787,376,1682
10797,347,1697
10807,286,1635
10817,238,1378
10827,291,1201
10837,266,1125
10847,240,967
10857,231,834
10867,269,733
10877,231,621
10887,174,561
10897,141,485
10907,114,438
10917,83,459
10927,48,402
10937,37,537
10947,54,575
10957,50,599
10967,22,751
10977,20,752
10987,15,784
10997,0,818
11007,0,847
11017,0,830
11027,0,817
11037,0,859
11047,0,896
11057,0,771
11067,0,788
11077,0,716
11087,0,605
11097,0,548
11107,0,563
11117,0,571
11127,0,465
11137,0,448
11147,0,362
11157,0,336
11167,19,421
11177,26,350
11187,15,375
11197,5,348
11207,34,326
11217,48,382
11227,27,378
11237,23,343
11247,95,394
11257,96,320
11267,131,358
11277,167,347
11287,153,351
11297,129,315
11307,75,289
11317,115,271
11327,101,267
11337,129,257
11347,173,247
11357,123,230
11367,218,249
11377,182,251
11387,166,291
11397,130,347
11407,112,399
11417,87,358
11427,83,355
11437,147,348
11447,112,311
11457,71,342
11467,43,288
11477,31,257
11487,17,246
11497,0,257
11507,0,351
11517,0,272
11527,50,233
11537,0,236
11547,0,215
11557,0,183
11567,0,131
11577,0,93
11587,0,64
11597,0,41
11607,0,17
11617,0,0
11627,1,0
11637,0,0
11647,0,0
11657,0,0
11667,0,0
11677,0,0
11687,0,0
11697,0,0
11707,0,0
11717,0,0
11727,0,0
11737,0,0
11747,0,0
11757,0,42
11767,0,61
11777,0,54
11787,0,42
11797,0,60
11807,0,47
11817,0,32
11827,0,22
11837,0,40
11847,0,16
11857,0,19
11867,0,13
11877,0,8
11887,0,12
11897,0,15
11907,0,10
11917,0,10
11927,0,23
11937,0,7
11947,0,0
11957,0,0
11967,0,0
11977,0,0
11987,0,0
11997,0,0
12007,0,0
12017,0,0
12027,0,0
12037,0,0
12047,0,0
12057,0,0
12067,0,0
12077,0,0
12087,0,0
12097,0,0
12107,0,0
12117,0,0
12127,0,0
12137,0,0
16646,0,0
16656,0,0
16666,0,0
16676,0,0
16686,0,0
16696,0,0
16706,0,0
16716,0,0
16726,0,0
16736,0,0
16746,0,0
16756,0,0
16766,0,0
16776,0,0
16786,0,0
16796,0,0
16806,0,0
16816,0,0
16826,0,0
16836,0,0
16846,0,0
16856,0,10
16866,0,0
16876,0,0
16886,0,0
16896,0,0
16906,0,0
16916,0,0
16926,0,0
16936,0,0
16946,0,0
16956,0,0
16966,0,45
16976,0,146
16986,0,197
16996,0,290
17006,0,552
17016,0,633
17026,17,631
17036,24,621
17046,13,591
17056,8,612
17066,8,683
17076,14,593
17086,0,656
17096,23,592
17106,49,702
17116,32,598
17126,36,591
17136,39,613
17146,31,639
17156,20,630
17166,12,571
17176,6,501
17186,16,443
17196,11,610
17206,0,583
17216,0,478
17226,0,495
17236,21,511
17246,1,433
17256,0,412
17266,0,422
17276,0,375
17286,0,397
17296,0,322
17306,0,301
17316,0,435
17326,0,448
17336,0,446
17346,0,545
17356,0,498
17366,0,525
17376,0,460
17386,0,467
17396,0,417
17406,0,372
17416,0,310
17426,0,449
17436,0,359
17446,0,321
17456,0,306
17466,0,325
17476,0,384
17486,0,396
17496,0,359
17506,4,467
17516,35,437
17526,17,386
17536,17,365
17546,80,302
17556,65,251
17566,65,273
17576,107,360
17586,111,361
17596,116,339
17606,115,336
17616,111,347
17626,119,347
17636,127,377
17646,176,463
17656,151,479
17666,161,475
17676,169,430
17686,135,371
17696,147,381
17706,123,397
17716,113,414
17726,74,461
17736,97,471
17746,123,504
17756,93,555
17766,81,511
17776,80,481
17786,44,587
17796,46,553
17806,22,493
17816,10,525
17826,14,470
17836,3,387
17846,0,408
17856,0,415
17866,0,325
17876,0,354
17886,0,295
17896,0,278
17906,0,240
17916,0,227
17926,0,186
17936,0,164
17946,0,118
17956,0,98
17966,0,62
17976,0,45
17986,0,18
17996,0,16
18006,0,1
18016,0,0
18026,0,1
18036,0,0
18046,0,0
18056,0,5
18066,0,0
18076,0,2
18086,0,30
18096,0,18
18106,0,16
18116,0,28
18126,0,27
18136,0,16
18146,0,30
18156,0,16
18166,0,22
18176,0,5
18186,0,0
18196,0,0
18206,0,0
18216,0,0
18226,0,0
18236,0,0
18246,0,0
18256,0,0
18266,0,0
18276,0,0
18286,0,0
18296,0,0
18306,0,0
18316,0,0
18326,0,0
18336,0,0
18346,0,0
18356,0,0
18366,0,0
18376,0,0
18386,0,0
18396,0,0
18406,0,0
18416,0,0
18426,0,0
18436,0,0
18446,0,0
18456,0,0
18466,0,0
18476,0,0
18486,0,0
18496,0,0
18506,0,0
18516,0,0
18526,0,0
18536,0,0
18546,0,0
18556,0,0
18566,0,0
18576,0,0
18586,0,0
18596,0,0
18606,0,0
18616,0,0
18626,0,0
18636,0,0
23145,0,0
23155,0,0
23165,0,0
23175,0,0
23185,0,0
23195,0,0
23205,0,0
23215,0,0
23225,0,0
23235,0,0
23245,0,0
23255,0,0
23265,0,0
23275,0,0
23285,0,0
23295,0,0
23305,0,0
23315,0,0
23325,0,0
23335,0,0
23345,0,0
23355,0,0
23365,0,0
23375,0,0
23385,0,0
23395,0,0
23405,0,9
23415,0,116
23425,0,208
23435,0,339
23445,0,415
23455,0,646
23465,0,527
23475,0,599
23485,0,547
23495,0,511
23505,0,571
23515,0,587
23525,18,598
23535,34,734
23545,101,912
23555,85,1003
23565,78,1002
23575,81,899
23585,80,1023
23595,65,828
23605,47,767
23615,32,719
23625,13,609
23635,7,576
23645,7,526
23655,0,458
23665,0,382
23675,0,401
23685,0,389
23695,0,367
23705,0,339
23715,0,426
23725,0,334
23735,0,434
23745,0,405
23755,0,432
23765,0,493
23775,0,525
23785,0,544
23795,0,445
23805,0,400
23815,0,432
23825,0,330
23835,0,284
23845,0,279
23855,0,383
23865,0,334
23875,0,335
23885,0,404
23895,0,362
23905,0,331
23915,0,378
23925,50,482
23935,65,398
23945,62,409
23955,95,377
23965,99,334
23975,112,511
23985,40,511
23995,128,528
24005,210,628
24015,295,711
24025,337,751
24035,322,818
24045,358,764
24055,387,720
24065,463,670
24075,450,624
24085,368,597
24095,316,560
24105,281,507
24115,252,492
24125,201,466
24135,176,470
24145,209,461
24155,166,458
24165,146,525
24175,121,645
24185,102,577
24195,76,656
24205,59,717
24215,28,670
24225,10,720
24235,0,656
24245,0,639
24255,0,586
24265,0,510
24275,0,395
24285,0,303
24295,0,230
24305,0,171
24315,0,120
24325,0,81
24335,0,53
24345,0,34
24355,0,15
24365,0,0
24375,0,0
24385,0,0
24395,0,0
24405,0,0
24415,0,0
24425,0,0
24435,0,0
24445,0,0
24455,0,0
24465,0,0
24475,0,0
24485,0,66
24495,0,93
24505,0,75
24515,0,69
24525,0,69
24535,0,59
24545,0,51
24555,0,39
24565,0,54
24575,0,30
24585,0,31
24595,0,14
24605,0,18
24615,0,2
24625,0,5
24635,0,0
24645,0,0
24655,0,0
24665,0,0
24675,0,0
24685,0,0
24695,0,0
24705,0,0
24715,0,0
24725,0,0
24735,0,0
24745,0,0
24755,0,0
24765,0,0
24775,0,0
24785,0,0
24795,0,0
24805,0,0
24815,0,0
24825,0,0
24835,0,0
24845,0,0
24855,0,0
24865,0,0
24875,0,0
24885,0,0
24895,0,0
24905,0,0
24915,0,0
24925,0,0
24935,0,0
24945,0,0
24955,0,0
24965,0,0
24975,0,0
24985,0,0
24995,0,0
25005,0,0
25015,0,0
25025,0,0
25035,0,0
25045,0,0
25055,0,0
25065,0,0
25075,0,0
25085,0,0
25095,0,0
25105,0,0
25115,0,0
25125,0,0
25135,0,0
29644,0,0
29654,0,0
29664,0,0
29674,0,0
29684,0,0
29694,0,0
29704,0,0
29714,0,0
29724,0,0
29734,0,0
29744,0,0
29754,0,0
29764,0,0
29774,0,0
29784,0,0
29794,0,0
29804,0,0
29814,0,0
29824,0,0
29834,0,0
29844,0,0
29854,0,0
29864,0,0
29874,0,0
29884,0,0
29894,0,0
29904,0,0
29914,0,0
29924,0,0
29934,0,0
29944,0,0
29954,0,0
29964,0,0
29974,0,0
29984,0,0
29994,0,0
30004,0,0
30014,0,0
30024,0,0
30034,0,0
30044,0,0
30054,0,0
30064,0,0
30074,0,0
30084,0,0
30094,0,0
30104,0,0
30114,0,7
30124,0,39
30134,0,73
30144,0,188
30154,0,288
30164,34,350
30174,49,494
30184,59,579
30194,54,637
30204,52,738
30214,66,759
30224,79,887
30234,80,1386
30244,70,1524
30254,107,1805
30264,95,1808
30274,131,1662
30284,121,1661
30294,96,1449
30304,80,1224
30314,79,1041
30324,60,861
30334,53,788
30344,61,773
30354,56,662
30364,41,599
30374,31,580
30384,6,575
30394,0,539
30404,0,496
30414,0,476
30424,0,568
30434,0,647
30444,0,644
30454,0,690
30464,0,755
30474,0,849
30484,0,851
30494,0,863
30504,0,779
30514,0,652
30524,0,528
30534,0,481
30544,0,407
30554,0,347
30564,0,334
30574,0,413
30584,0,343
30594,1,392
30604,0,437
30614,35,459
30624,40,560
30634,68,538
30644,135,672
30654,139,591
30664,145,580
30674,191,625
30684,260,547
30694,272,592
30704,316,470
30714,379,465
30724,462,631
30734,461,595
30744,439,564
30754,371,625
30764,310,528
30774,298,464
30784,263,423
30794,226,320
30804,186,356
30814,163,305
30824,149,429
30834,125,392
30844,97,343
30854,73,562
30864,60,480
30874,28,430
30884,15,534
30894,13,549
30904,0,560
30914,0,547
30924,0,593
30934,0,528
30944,0,475
30954,0,397
30964,0,302
30974,0,227
30984,0,167
30994,0,122
31004,0,81
31014,0,51
31024,0,33
31034,0,12
31044,0,0
31054,0,0
31064,0,0
31074,0,0
31084,0,0
31094,0,0
31104,0,0
31114,0,0
31124,0,0
31134,0,0
31144,0,0
31154,0,0
31164,0,0
31174,0,0
31184,0,0
31194,0,0
31204,0,0
31214,0,48
31224,0,33
31234,0,42
31244,0,23
31254,0,37
31264,0,25
31274,0,31
31284,0,16
31294,0,18
31304,0,19
31314,0,9
31324,0,0
31334,0,11
31344,0,0
31354,0,0
31364,0,0
31374,0,0
31384,0,0
31394,0,0
31404,0,0
31414,0,0
31424,0,0
31434,0,0
31444,0,0
31454,0,0
31464,0,0
31474,0,0
31484,0,0
31494,0,0
31504,0,0
31514,0,0
31524,0,0
31534,0,0
