timestamp_ms,wire1_pin34,wire2_pin32
11995,0,0
12005,0,0
12015,0,0
12025,0,0
12035,0,0
12045,0,0
12055,0,0
12065,0,0
12075,0,0
12085,0,0
12095,0,0
12105,0,0
12115,0,0
12125,0,0
12135,0,0
12145,0,0
12155,0,0
12165,0,0
12175,0,0
12185,0,0
12195,0,0
12205,0,0
12215,0,0
12225,0,0
12235,0,0
12245,0,0
12255,0,0
12265,0,0
12275,0,0
12285,0,0
12295,0,0
12305,0,0
12315,0,0
12325,0,0
12335,0,0
12345,0,0
12355,0,0
12365,0,768
12375,0,1677
12385,0,2224
12395,0,2774
12405,159,769
12415,176,876
12425,136,816
12435,91,733
12445,58,674
12455,27,592
12465,6,537
12475,5,497
12485,0,446
12495,0,436
12505,0,379
12515,0,380
12525,0,432
12535,1,455
12545,3,493
12555,2,541
12565,7,599
12575,30,528
12585,31,463
12595,40,402
12605,41,382
12615,54,315
12625,117,269
12635,109,223
12645,115,224
12655,104,237
12665,79,219
12675,105,261
12685,144,314
12695,150,251
12705,139,241
12715,190,257
12725,151,250
12735,138,211
12745,128,211
12755,108,165
12765,86,165
12775,66,140
12785,92,159
12795,80,153
12805,89,175
12815,119,176
12825,96,178
12835,77,147
12845,77,263
12855,83,293
12865,111,371
12875,116,386
12885,117,328
12895,125,332
12905,192,346
12915,203,331
12925,179,379
12935,194,368
12945,191,363
12955,157,429
12965,141,413
12975,129,368
12985,135,347
12995,202,297
13005,163,366
13015,213,299
13025,238,309
13035,256,260
13045,228,227
13055,217,201
13065,203,181
13075,227,149
13085,218,194
13095,250,270
13105,240,256
13115,192,234
13125,171,177
13135,165,179
13145,186,179
13155,210,205
13165,182,176
13175,143,159
13185,114,143
13195,129,122
13205,167,95
13215,161,89
13225,172,122
13235,157,121
13245,163,116
13255,154,119
13265,153,132
13275,144,106
13285,106,101
13295,100,89
13305,93,79
13315,99,66
13325,121,50
13335,98,47
13345,142,51
13355,157,64
13365,176,55
13375,167,29
13385,132,36
13395,122,57
13405,122,69
13415,80,48
13425,65,30
13435,70,16
13445,80,8
13455,81,0
13465,69,0
13475,48,0
13485,26,0
13495,15,0
13505,25,0
13515,22,0
13525,64,29
13535,40,19
13545,50,23
13555,48,5
13565,80,16
13575,80,38
13585,60,26
13595,48,13
13605,53,5
13615,32,0
13625,50,16
13635,44,32
13645,48,16
13655,32,14
13665,33,19
13675,19,166
13685,12,5
13695,0,0
13705,0,0
13715,0,0
13725,0,0
13735,0,0
13745,0,0
13755,0,0
13765,0,0
13775,0,0
13785,0,0
13795,0,0
13805,0,0
13815,0,0
13825,0,0
13835,0,0
13845,0,0
13855,0,0
13865,0,0
13875,0,0
13885,0,0
13895,0,0
13905,0,0
13915,0,0
13925,0,0
13935,0,0
13945,0,0
13955,0,0
13965,0,0
13975,0,0
13985,0,0
18494,0,0
18504,0,0
18514,0,0
18524,0,0
18534,0,0
18544,0,0
18554,0,0
18564,0,0
18574,0,0
18584,0,0
18594,0,0
18604,0,0
18614,0,0
18624,0,0
18634,0,0
18644,0,0
18654,0,0
18664,0,0
18674,0,0
18684,0,0
18694,0,0
18704,0,0
18714,0,0
18724,0,0
18734,0,0
18744,0,0
18754,0,12
18764,0,11
18774,0,47
18784,0,45
18794,0,112
18804,0,208
18814,0,267
18824,0,303
18834,20,320
18844,16,273
18854,16,285
18864,74,305
18874,74,257
18884,128,331
18894,167,379
18904,163,342
18914,171,347
18924,222,323
18934,210,368
18944,219,379
18954,170,396
18964,158,448
18974,134,467
18984,157,592
18994,181,575
