timestamp_ms,wire1_pin34,wire2_pin32
57790,0,31
57800,0,30
57810,0,29
57820,0,32
57830,0,21
57840,0,21
57850,185,16
57860,0,27
57870,0,25
57880,0,37
57890,0,34
57900,0,27
57910,0,34
57920,0,28
57930,3,31
57940,0,29
57950,0,33
57960,0,28
57970,0,29
57980,0,32
57990,0,33
58000,0,31
58010,0,33
58020,0,34
58030,0,44
58040,0,40
58050,6,37
58060,14,30
58070,7,34
58080,3,30
58090,1,34
58100,3,37
58110,0,42
58120,0,37
58130,0,35
58140,0,33
58150,0,32
58160,0,29
58170,0,35
58180,0,32
58190,0,32
58200,0,36
58210,0,35
58220,0,29
58230,0,31
58240,0,30
58250,0,34
58260,0,42
58270,0,47
58280,0,48
58290,0,46
58300,0,34
58310,0,43
58320,0,39
58330,0,48
58340,0,38
58350,0,32
58360,0,33
58370,0,31
58380,0,34
58390,10,26
58400,6,23
58410,0,29
58420,0,26
58430,1,39
58440,0,17
58450,0,32
58460,0,21
58470,0,33
58480,0,32
58490,0,28
58500,0,25
58510,0,33
58520,0,41
58530,0,33
58540,0,29
58550,0,27
58560,0,26
58570,0,31
58580,0,32
58590,0,35
58600,0,28
58610,0,21
58620,0,26
58630,0,33
58640,0,28
58650,0,31
58660,0,28
58670,0,38
58680,0,39
58690,0,42
58700,0,34
58710,0,39
58720,0,48
58730,0,48
58740,0,49
58750,8,48
58760,0,44
58770,0,39
58780,0,30
58790,0,35
58800,0,29
58810,0,41
58820,0,38
58830,0,48
58840,0,37
58850,0,43
58860,0,48
58870,0,42
58880,0,33
58890,0,41
58900,0,29
58910,0,37
58920,0,33
58930,0,48
58940,0,44
58950,0,34
58960,0,32
58970,7,37
58980,3,22
58990,0,27
59000,0,25
59010,0,22
59020,0,18
59030,0,29
59040,0,23
59050,0,23
59060,0,23
59070,0,22
59080,0,47
59090,0,43
59100,0,49
59110,0,46
59120,0,18
59130,0,4
59140,0,0
59150,0,23
59160,0,58
59170,2,0
59180,0,53
59190,0,91
59200,0,80
59210,0,65
59220,0,96
59230,1,126
59240,0,128
59250,12,139
59260,5,126
59270,7,161
59280,2,176
59290,2,159
59300,6,189
59310,0,326
59320,6,349
59330,0,326
59340,0,288
59350,0,279
59360,0,276
59370,0,303
59380,0,286
59390,0,304
59400,0,319
59410,0,281
59420,0,223
59430,2,206
59440,0,219
59450,0,214
59460,0,213
59470,0,177
59480,0,180
59490,0,150
59500,0,130
59510,0,114
59520,0,110
59530,0,90
59540,0,91
59550,2,68
59560,0,64
59570,0,50
59580,0,41
59590,0,35
59600,0,29
59610,0,48
59620,0,59
59630,1,86
59640,0,71
59650,0,52
59660,0,39
59670,0,38
59680,0,34
59690,0,30
59700,0,41
59710,0,48
59720,0,64
59730,0,74
59740,0,70
59750,0,74
59760,0,62
59770,3,74
59780,20,69
64289,0,61
64299,0,59
64309,0,59
64319,0,43
64329,7,42
64339,0,27
64349,0,31
64359,0,28
64369,0,32
64379,0,18
64389,0,16
64399,0,17
64409,0,43
64419,0,39
64429,0,40
64439,0,23
64449,0,34
64459,0,26
64469,0,19
64479,0,9
64489,0,11
64499,0,29
64509,0,41
64519,0,77
64529,0,95
64539,0,131
64549,0,122
64559,4,190
64569,16,224
64579,12,267
64589,17,272
64599,21,251
64609,49,298
64619,67,377
64629,102,335
64639,190,427
64649,251,347
64659,238,337
64669,201,364
64679,211,450
64689,176,529
64699,202,491
64709,269,409
64719,272,326
64729,238,496
64739,186,521
64749,219,467
64759,215,452
64769,198,420
64779,181,448
64789,185,452
64799,159,459
64809,178,404
64819,216,355
64829,231,375
64839,194,362
64849,209,349
64859,213,400
64869,256,354
64879,283,323
64889,246,421
64899,221,369
64909,230,320
64919,208,351
64929,180,320
64939,143,327
64949,141,330
64959,139,268
64969,114,314
64979,125,303
64989,142,287
64999,122,247
65009,125,238
65019,109,259
65029,87,238
65039,76,266
65049,70,226
65059,67,198
65069,53,238
65079,59,201
65089,70,199
65099,70,224
65109,55,174
65119,48,136
65129,33,145
65139,32,128
65149,48,154
65159,39,189
65169,30,157
65179,23,176
65189,2,173
65199,0,176
65209,0,186
65219,31,217
65229,44,240
65239,30,194
65249,55,192
65259,55,272
65269,53,268
65279,59,254
65289,70,317
65299,77,256
65309,88,266
65319,80,268
65329,114,289
65339,99,277
65349,91,372
65359,76,329
65369,76,321
65379,81,295
65389,77,291
65399,64,294
65409,53,342
65419,63,287
65429,83,185
65439,70,256
65449,58,345
65459,37,274
65469,47,215
65479,67,199
65489,70,144
65499,55,167
65509,72,181
65519,53,96
65529,80,170
65539,97,142
65549,87,177
65559,80,194
65569,55,192
65579,41,165
65589,55,182
65599,52,223
65609,46,154
65619,142,181
65629,205,208
65639,182,172
65649,195,167
65659,222,144
65669,208,190
65679,160,180
65689,112,174
65699,93,131
65709,112,152
65719,93,146
65729,85,128
65739,73,110
65749,53,80
65759,48,59
65769,48,68
65779,37,73
65789,20,66
65799,26,61
65809,19,74
65819,29,53
65829,13,51
65839,14,36
65849,1,39
65859,0,33
65869,0,39
65879,0,30
65889,1,46
65899,9,24
65909,27,34
65919,8,19
65929,0,52
65939,0,23
65949,0,27
65959,0,25
65969,0,21
65979,0,16
65989,0,25
65999,0,22
66009,0,16
66019,0,5
66029,0,112
66039,0,22
66049,0,41
66059,0,27
66069,0,29
66079,0,28
66089,0,36
66099,0,33
66109,0,32
66119,0,33
66129,0,0
66139,0,20
66149,0,39
66159,0,48
66169,0,79
66179,0,64
66189,0,70
66199,0,46
66209,0,32
66219,0,25
66229,0,48
66239,0,64
66249,0,111
66259,0,67
