timestamp_ms,wire1_pin34,wire2_pin32
18853,0,0
18863,0,0
18873,0,0
18883,0,0
18893,0,0
18903,0,0
18913,0,0
18923,0,0
18933,0,0
18943,0,0
18953,0,0
18963,0,0
18973,0,0
18983,0,0
18993,0,0
19003,0,0
19013,0,0
19023,0,0
19033,0,0
19043,0,0
19053,0,0
19063,0,0
19073,0,0
19083,0,0
19093,0,0
19103,0,0
19113,0,0
19123,0,0
19133,0,0
19143,0,0
19153,0,0
19163,0,0
19173,0,0
19183,0,0
19193,0,0
19203,0,0
19213,0,0
19223,0,0
19233,0,0
19243,20,0
19253,80,0
19263,71,0
19273,122,0
19283,164,0
19293,151,0
19303,163,0
19313,226,0
19323,303,0
19333,323,0
19343,351,13
19353,336,9
19363,277,1
19373,264,17
19383,279,16
19393,292,10
19403,234,1
19413,218,2
19423,224,0
19433,198,0
19443,159,0
19453,126,0
19463,106,0
19473,96,0
19483,80,0
19493,57,0
19503,35,0
19513,22,0
19523,16,0
19533,16,0
19543,34,0
19553,19,0
19563,34,0
19573,36,0
19583,54,0
19593,64,0
19603,84,0
19613,96,0
19623,96,0
19633,86,0
19643,81,0
19653,64,0
19663,43,0
19673,30,0
19683,16,0
19693,5,0
19703,0,0
19713,0,0
19723,0,0
19733,0,0
19743,0,4
19753,0,0
19763,0,0
19773,0,0
19783,0,0
19793,0,16
19803,0,31
19813,7,42
19823,7,82
19833,28,108
19843,45,112
19853,74,121
19863,65,145
19873,49,219
19883,53,277
19893,47,336
19903,45,261
19913,39,319
19923,18,321
19933,16,290
19943,14,276
19953,1,227
19963,0,169
19973,0,162
19983,0,271
19993,304,285
20003,351,279
20013,290,258
20023,219,214
20033,167,179
20043,148,163
20053,111,176
20063,87,91
20073,70,60
20083,49,55
20093,36,37
20103,16,16
20113,1,5
20123,1,0
20133,0,0
20143,0,0
20153,0,4
20163,0,0
20173,0,0
20183,0,0
20193,0,0
20203,0,0
20213,0,0
20223,122,0
20233,686,3
20243,1311,32
20253,1299,23
20263,1077,22
20273,848,28
20283,667,14
20293,511,16
20303,395,14
20313,295,0
20323,219,0
20333,145,2
20343,118,0
20353,80,54
20363,51,0
20373,21,0
20383,1,0
20393,0,0
20403,0,0
20413,0,0
20423,0,0
20433,0,0
20443,0,0
20453,0,0
20463,0,0
20473,0,0
20483,0,0
20493,0,0
20503,0,0
20513,0,0
20523,0,0
20533,0,0
20543,0,0
20553,0,0
20563,128,0
20573,242,0
20583,222,0
20593,157,0
20603,123,0
20613,82,0
20623,57,0
20633,33,0
20643,14,0
20653,0,0
20663,0,0
20673,0,0
20683,0,0
20693,0,0
20703,0,0
20713,0,0
20723,0,0
20733,0,0
20743,0,0
20753,0,0
20763,0,0
20773,0,0
20783,0,0
20793,0,0
20803,0,0
20813,0,0
20823,0,0
20833,0,0
20843,0,0
25352,0,0
25362,0,0
25372,0,0
