timestamp_ms,wire1_pin34,wire2_pin32
63124,0,26
63134,0,21
63144,0,26
63154,0,23
63164,0,25
63174,0,17
63184,0,17
63194,0,23
63204,0,29
63214,0,20
63224,0,28
63234,0,26
63244,0,23
63254,0,26
63264,0,28
63274,0,16
63284,0,16
63294,0,16
63304,0,21
63314,0,16
63324,0,21
63334,0,23
63344,0,22
63354,0,15
63364,0,13
63374,0,14
63384,0,12
63394,0,6
63404,0,5
63414,0,9
63424,0,13
63434,0,5
63444,0,14
63454,0,7
63464,0,6
63474,0,3
63484,0,13
63494,0,3
63504,0,10
63514,0,15
63524,0,11
63534,0,14
63544,0,16
63554,0,14
63564,0,10
63574,0,10
63584,21,2
63594,16,5
63604,19,7
63614,17,16
63624,17,29
63634,22,47
63644,18,53
63654,21,39
63664,1,44
63674,12,55
63684,16,48
63694,16,48
63704,11,37
63714,16,19
63724,32,12
63734,35,31
63744,34,48
63754,48,70
63764,50,94
63774,46,75
63784,86,96
63794,95,110
63804,62,83
63814,60,75
63824,87,78
63834,197,95
63844,209,152
63854,223,143
63864,195,117
63874,146,128
63884,161,90
63894,180,91
63904,142,196
63914,115,254
63924,80,273
63934,64,274
63944,38,358
63954,33,297
63964,18,298
63974,17,272
63984,3,240
63994,0,238
64004,5,226
64014,5,198
64024,0,176
64034,0,142
64044,0,112
64054,0,110
64064,0,108
64074,0,111
64084,0,143
64094,0,142
64104,0,135
64114,0,105
64124,0,80
64134,0,60
64144,0,42
64154,0,43
64164,0,80
64174,0,97
64184,0,96
64194,0,89
64204,0,143
64214,0,139
64224,0,144
64234,0,128
64244,0,113
64254,0,137
64264,0,144
64274,0,131
64284,0,152
64294,0,143
64304,0,143
64314,0,112
64324,0,99
64334,0,112
64344,0,88
64354,0,86
64364,0,154
64374,0,169
64384,0,144
64394,0,157
64404,16,153
64414,16,115
64424,0,99
64434,0,101
64444,0,119
64454,0,144
64464,0,101
64474,0,112
64484,0,85
64494,0,107
64504,0,64
64514,0,57
64524,0,109
64534,0,101
64544,0,37
64554,0,51
64564,0,54
64574,0,38
64584,0,39
64594,0,64
64604,0,26
64614,0,78
64624,0,113
64634,0,0
64644,0,48
64654,0,47
64664,0,44
64674,0,63
64684,0,51
64694,0,48
64704,0,32
64714,0,39
64724,0,14
64734,0,25
64744,0,28
64754,0,56
64764,0,74
64774,0,80
64784,0,94
64794,0,105
64804,0,96
64814,0,80
64824,0,112
64834,0,160
64844,0,122
64854,0,139
64864,0,145
64874,0,138
64884,0,180
64894,0,146
64904,0,139
64914,0,132
64924,0,150
64934,0,151
64944,0,141
64954,0,109
64964,0,91
64974,0,54
64984,0,39
64994,0,29
65004,0,41
65014,0,59
65024,0,55
65034,0,54
65044,0,51
65054,0,32
65064,0,43
65074,0,24
65084,0,52
65094,0,99
65104,0,114
65114,0,97
69623,0,0
69633,0,17
69643,16,14
69653,0,16
69663,0,19
69673,0,16
69683,0,19
69693,0,22
69703,0,23
69713,0,18
69723,1,23
69733,0,22
69743,0,19
69753,0,17
69763,0,21
69773,0,18
69783,0,23
69793,0,26
69803,0,31
69813,0,31
69823,0,44
69833,0,33
69843,0,24
69853,0,31
69863,0,31
69873,2,25
69883,11,27
69893,0,30
69903,0,35
69913,16,27
69923,1,38
69933,48,31
69943,0,33
69953,22,33
69963,32,49
69973,48,53
69983,58,51
69993,42,39
70003,51,35
70013,58,24
70023,101,16
70033,96,6
70043,80,12
70053,101,17
70063,82,26
70073,88,10
70083,85,3
70093,134,35
70103,163,40
70113,173,48
70123,144,43
70133,111,43
70143,81,32
70153,59,27
70163,51,41
70173,97,85
70183,86,143
70193,75,185
70203,67,191
70213,48,171
70223,21,162
70233,12,227
70243,4,394
70253,30,400
70263,39,538
70273,56,607
70283,43,576
70293,47,558
70303,23,503
70313,30,413
70323,20,343
70333,12,306
70343,0,320
70353,0,249
70363,0,199
70373,0,151
70383,0,129
70393,0,105
70403,0,74
70413,0,48
70423,0,33
70433,0,48
70443,0,46
70453,0,84
70463,0,87
70473,0,87
70483,0,78
70493,0,59
70503,0,50
70513,0,62
70523,0,73
70533,0,89
70543,0,73
70553,0,80
70563,0,66
