timestamp_ms,wire1_pin34,wire2_pin32
15299,80,155
15309,77,155
15319,76,157
15329,74,153
15339,73,160
15349,65,158
15359,64,153
15369,63,155
15379,59,148
15389,61,144
15399,0,144
15409,65,145
15419,180,158
15429,189,154
15439,209,150
15449,190,150
15459,187,149
15469,208,151
15479,176,156
15489,150,154
15499,157,156
15509,128,158
15519,34,156
15529,70,151
15539,104,154
15549,97,147
15559,158,155
15569,68,155
15579,94,158
15589,68,158
15599,46,162
15609,78,159
15619,64,160
15629,80,164
15639,83,159
15649,75,169
15659,98,156
15669,66,159
15679,48,153
15689,112,153
15699,50,151
15709,86,145
15719,240,147
15729,165,145
15739,193,150
15749,262,160
15759,222,162
15769,343,166
15779,326,170
15789,423,170
15799,588,169
15809,637,176
15819,980,173
15829,960,177
15839,1104,176
15849,1109,171
15859,1229,208
15869,1289,215
15879,1455,208
15889,2121,257
15899,1982,233
15909,1792,238
15919,1840,228
15929,1886,259
15939,1941,240
15949,1711,247
15959,1789,320
15969,1842,304
15979,2154,271
15989,2243,290
15999,2272,307
16009,2169,306
16019,2128,305
16029,2643,283
16039,2271,275
16049,2202,321
16059,1984,309
16069,2256,314
16079,2334,345
16089,2127,539
16099,1969,560
16109,2096,529
16119,2032,549
16129,1983,544
16139,1757,508
16149,1682,446
16159,1965,435
16169,1817,433
16179,1706,479
16189,1665,523
16199,1439,555
16209,1443,511
16219,1712,623
16229,1580,784
16239,1412,887
16249,1375,1229
16259,1328,1199
16269,1328,1107
16279,1216,1371
16289,1258,1359
16299,1339,1463
16309,1323,1535
16319,1424,1382
16329,1624,1382
16339,1561,1280
16349,1305,1218
16359,1354,1266
16369,1275,1232
16379,1184,1376
16389,1215,1305
16399,1222,1214
16409,1196,1177
16419,1587,1136
16429,1418,1069
16439,1579,1078
16449,1457,1154
16459,1395,1162
16469,1616,1104
16479,1601,1051
16489,1412,1140
16499,1328,1217
16509,1186,1076
16519,1061,1456
16529,1103,1243
16539,1118,1115
16549,1008,1146
16559,1039,1167
16569,1011,1190
16579,894,1160
16589,894,1158
16599,789,1147
16609,724,1267
16619,673,1237
16629,653,1155
16639,713,1206
16649,644,1183
16659,629,1377
16669,551,1199
16679,566,1104
16689,604,1050
16699,547,917
16709,500,991
16719,449,1186
16729,542,1170
16739,659,1120
16749,639,1045
16759,573,1007
16769,503,922
16779,482,813
16789,494,883
16799,448,962
16809,433,967
16819,378,905
16829,323,821
16839,330,752
16849,355,785
16859,298,826
16869,250,816
16879,219,857
16889,176,961
16899,160,1013
16909,151,933
16919,151,873
16929,144,877
16939,124,768
16949,110,870
16959,110,873
16969,98,855
16979,91,932
16989,103,917
16999,95,940
17009,96,855
17019,114,899
17029,135,918
17039,183,884
17049,210,834
17059,187,816
17069,167,897
17079,182,951
17089,167,928
17099,146,973
17109,131,916
17119,115,836
17129,109,802
17139,99,778
17149,90,831
17159,86,829
17169,90,800
17179,80,768
17189,83,822
17199,78,803
17209,77,755
17219,82,748
17229,75,688
17239,96,624
17249,90,639
