timestamp_ms,wire1_pin34,wire2_pin32
1489022,58,161
1489032,60,160
1489042,54,154
1489052,51,158
1489062,62,153
1489072,54,144
1489082,50,147
1489092,48,160
1489102,54,158
1489112,54,150
1489122,54,155
1489132,54,156
1489142,57,147
1489152,64,159
1489162,63,164
1489172,60,158
1489182,61,171
1489192,58,159
1489202,55,155
1489212,58,157
1489222,49,139
1489232,59,163
1489242,57,156
1489252,61,157
1489262,58,155
1489272,64,144
1489282,62,153
1489292,70,175
1489302,71,208
1489312,68,181
1489322,74,194
1489332,115,170
1489342,122,227
1489352,129,160
1489362,142,172
1489372,174,175
1489382,230,199
1489392,253,176
1489402,357,106
1489412,566,199
1489422,690,140
1489432,823,194
1489442,1146,364
1489452,1204,214
1489462,1430,253
1489472,1312,205
1489482,1634,220
1489492,1442,194
1489502,1664,189
1489512,1822,211
1489522,2096,196
1489532,2324,193
1489542,2525,192
1489552,2510,196
1489562,2441,125
1489572,2096,185
1489582,2098,192
1489592,2102,181
1489602,2407,178
1489612,2125,191
1489622,1941,178
1489632,1872,237
1489642,2075,258
1489652,2042,227
1489662,2290,288
1489672,2064,396
1489682,1971,421
1489692,1722,593
1489702,1859,616
1489712,1905,788
1489722,1798,840
1489732,2214,873
1489742,2192,818
1489752,2203,1115
1489762,2366,1203
1489772,2407,1214
1489782,2640,1052
1489792,2401,955
1489802,2559,895
1489812,2918,917
1489822,2806,978
1489832,2818,894
1489842,2559,762
1489852,2399,675
1489862,2219,614
1489872,2683,656
1489882,2781,657
1489892,2608,680
1489902,2161,711
1489912,2352,658
1489922,2128,588
1489932,2288,582
1489942,2326,583
1489952,2211,578
1489962,2226,549
1489972,1933,559
1489982,1707,547
1489992,1577,541
1490002,1806,579
1490012,2064,647
1490022,2510,637
1490032,2768,678
1490042,3055,718
1490052,2718,719
1490062,2559,703
1490072,2895,640
1490082,3345,720
1490092,3425,706
1490102,3038,832
1490112,2672,909
1490122,3059,961
1490132,2640,1123
1490142,2262,1181
1490152,1995,1212
1490162,1936,1180
1490172,1871,1090
1490182,2771,1064
1490192,2506,1168
1490202,2192,1191
1490212,2497,1123
1490222,2512,1167
1490232,2416,1106
1490242,2003,1069
1490252,2106,1168
1490262,1895,1268
1490272,1945,1159
1490282,1991,1131
1490292,1873,1088
1490302,2104,1091
1490312,2670,1055
1490322,2304,1055
1490332,2192,929
1490342,1929,1002
1490352,1943,996
1490362,1781,989
1490372,1728,994
1490382,1797,906
1490392,1669,874
1490402,1717,796
1490412,1669,722
1490422,1535,722
1490432,1275,641
1490442,1389,608
1490452,1234,711
1490462,1263,735
1490472,1278,689
1490482,1241,636
1490492,1234,640
1490502,1091,695
1490512,1072,669
1490522,1177,653
1490532,1283,624
1490542,1616,701
1490552,1711,641
1490562,1563,631
1490572,1468,662
1490582,1370,664
1490592,1424,618
1490602,1232,571
1490612,1083,511
1490622,1270,481
1490632,1199,433
1490642,1182,434
1490652,1429,491
1490662,1472,441
1490672,1309,430
1490682,1266,398
1490692,1119,411
1490702,977,393
1490712,1110,420
1490722,1073,432
1490732,939,423
1490742,884,403
1490752,827,431
1490762,927,400
1490772,987,368
1490782,947,327
1490792,815,303
1490802,752,325
1490812,675,370
1490822,587,337
1490832,633,307
1490842,663,275
1490852,586,263
1490862,527,252
1490872,541,270
1490882,496,250
1490892,426,245
1490902,377,236
1490912,377,239
1490922,354,218
1490932,337,226
1490942,313,232
1490952,272,221
1490962,266,220
1490972,310,209
1490982,306,208
1490992,262,205
1491002,283,199
1491012,263,211
1495521,61,154
1495531,59,157
1495541,64,157
1495551,67,156
1495561,56,155
1495571,64,150
1495581,64,158
1495591,62,154
1495601,58,157
1495611,60,160
1495621,60,161
1495631,55,155
1495641,55,151
1495651,52,158
1495661,51,151
1495671,62,157
1495681,58,158
1495691,59,150
1495701,58,158
1495711,61,163
1495721,55,158
1495731,53,154
1495741,58,153
1495751,57,157
1495761,63,158
1495771,89,153
1495781,112,155
1495791,138,163
1495801,158,165
1495811,249,161
1495821,297,163
1495831,393,159
1495841,498,161
1495851,462,178
1495861,509,184
1495871,641,185
1495881,614,176
1495891,668,172
1495901,733,171
1495911,704,181
1495921,625,208
1495931,691,211
1495941,614,225
1495951,877,218
1495961,1301,224
1495971,1237,253
1495981,1196,267
1495991,1277,272
1496001,1277,269
1496011,1344,265
1496021,1168,254
1496031,1057,240
1496041,1217,240
1496051,1072,224
1496061,1287,231
1496071,1261,215
1496081,1168,209
1496091,1155,208
1496101,1114,210
1496111,1186,225
1496121,1202,221
1496131,1088,240
1496141,1114,262
1496151,983,269
1496161,917,302
1496171,878,288
1496181,994,354
1496191,956,338
1496201,1111,442
1496211,1075,487
1496221,1211,545
1496231,1071,505
1496241,1200,487
1496251,1248,592
1496261,1217,624
1496271,1226,655
1496281,1040,574
1496291,1456,496
1496301,1515,525
1496311,1535,527
1496321,1787,503
1496331,1648,551
1496341,1634,501
1496351,1565,467
1496361,1757,543
1496371,1825,488
1496381,1707,461
1496391,1626,437
1496401,1680,407
1496411,2126,402
1496421,1947,385
1496431,1841,351
1496441,1571,341
1496451,1401,339
1496461,1284,340
1496471,1261,335
1496481,1293,341
1496491,1428,365
1496501,1563,362
1496511,1345,365
1496521,1162,365
1496531,999,434
1496541,898,509
1496551,1201,722
1496561,1055,1040
1496571,959,1102
1496581,914,1011
1496591,944,1072
1496601,866,1131
1496611,718,1051
1496621,663,950
1496631,602,880
1496641,505,783
1496651,496,763
1496661,447,688
1496671,502,651
1496681,468,623
1496691,546,573
1496701,485,535
1496711,463,525
1496721,395,523
1496731,398,653
1496741,717,624
1496751,627,674
1496761,511,691
1496771,655,650
1496781,637,582
1496791,640,545
1496801,606,525
1496811,769,464
1496821,1109,471
1496831,929,539
1496841,867,547
1496851,916,505
1496861,801,635
1496871,742,569
1496881,637,594
1496891,656,576
1496901,751,547
1496911,739,528
1496921,766,482
1496931,961,563
1496941,994,574
1496951,1141,528
1496961,967,541
1496971,1119,619
1496981,1344,663
1496991,1647,656
1497001,1601,631
1497011,1705,592
1497021,1619,566
1497031,1873,566
1497041,2199,590
1497051,2101,576
1497061,1845,589
1497071,1554,535
1497081,1472,505
1497091,1776,551
1497101,1847,592
1497111,1935,585
1497121,1611,695
1497131,1449,610
1497141,1342,560
1497151,1395,533
1497161,1467,473
1497171,1579,464
1497181,1414,563
1497191,1221,483
1497201,1069,433
1497211,1011,388
1497221,925,341
1497231,838,347
1497241,780,384
1497251,629,373
1497261,548,340
1497271,496,320
1497281,413,297
1497291,406,278
1497301,393,262
1497311,369,268
1497321,359,250
1497331,373,264
1497341,372,254
1497351,351,239
1497361,293,239
1497371,259,225
1497381,222,235
1497391,213,222
1497401,190,217
1497411,158,210
1497421,143,206
1497431,128,193
1497441,121,199
1497451,138,199
1497461,144,190
1497471,123,186
1497481,138,196
1497491,146,189
1497501,132,177
1497511,138,182
1502020,53,155
1502030,57,143
1502040,53,145
1502050,54,149
1502060,60,144
1502070,54,154
1502080,54,149
1502090,60,153
1502100,69,171
1502110,64,157
1502120,60,139
1502130,62,144
1502140,63,101
1502150,57,152
1502160,54,155
1502170,54,158
1502180,60,157
1502190,57,228
1502200,58,151
1502210,51,238
1502220,52,151
1502230,53,159
1502240,64,144
1502250,69,71
1502260,84,162
1502270,127,144
1502280,208,161
1502290,248,66
1502300,293,161
1502310,333,214
1502320,449,167
1502330,592,55
1502340,603,245
1502350,901,253
1502360,870,260
1502370,821,307
1502380,847,272
1502390,931,294
1502400,927,294
1502410,959,310
1502420,857,315
1502430,907,299
1502440,896,297
1502450,873,297
1502460,944,295
1502470,977,291
1502480,1089,268
1502490,1001,257
1502500,1373,256
1502510,2018,257
1502520,1745,256
1502530,1600,253
1502540,1314,234
1502550,1245,231
1502560,1294,238
1502570,1170,228
1502580,1039,225
1502590,1106,236
1502600,1090,220
1502610,1125,228
1502620,1106,230
1502630,1099,220
1502640,1152,240
1502650,1107,231
1502660,1205,226
1502670,1486,260
1502680,1575,251
1502690,1581,227
1502700,1466,234
1502710,1397,255
1502720,1346,271
1502730,1185,291
1502740,1335,264
1502750,1412,260
1502760,1328,267
1502770,1225,246
1502780,1168,240
1502790,1349,231
1502800,1298,250
1502810,1191,253
1502820,1108,241
1502830,1130,240
1502840,1120,224
1502850,1079,246
1502860,1040,252
1502870,1040,273
1502880,934,286
1502890,841,283
1502900,841,287
1502910,798,390
1502920,719,426
1502930,861,426
1502940,818,497
1502950,751,715
1502960,706,801
1502970,752,848
1502980,986,952
1502990,960,1143
1503000,1200,1344
1503010,1586,1306
1503020,1533,1274
1503030,1454,1199
1503040,1394,1116
1503050,1390,1057
1503060,1360,976
1503070,1440,914
1503080,1713,971
1503090,1573,963
1503100,1584,928
1503110,1648,912
1503120,1710,820
1503130,2181,859
1503140,2161,783
1503150,2247,854
1503160,2087,929
1503170,1971,922
1503180,1731,903
1503190,1518,862
1503200,1392,843
1503210,1455,854
1503220,1535,782
1503230,1567,860
1503240,1440,902
1503250,1491,822
1503260,1434,864
1503270,1279,814
1503280,1246,830
1503290,1170,783
1503300,1098,750
1503310,1014,734
1503320,859,749
1503330,931,701
1503340,880,659
1503350,841,688
1503360,812,588
1503370,795,541
1503380,772,523
1503390,784,490
1503400,741,434
1503410,691,449
1503420,624,429
1503430,687,446
1503440,716,428
1503450,671,381
1503460,625,361
1503470,560,414
1503480,528,438
1503490,562,449
1503500,563,480
1503510,528,473
1503520,735,549
1503530,695,570
1503540,605,617
1503550,762,664
1503560,698,631
1503570,681,627
1503580,702,694
1503590,759,675
1503600,656,603
1503610,660,593
1503620,578,636
1503630,527,591
1503640,482,571
1503650,414,531
1503660,405,502
1503670,395,479
1503680,368,483
1503690,338,432
1503700,297,432
1503710,294,387
1503720,270,370
1503730,262,340
1503740,304,311
1503750,287,311
1503760,269,315
1503770,223,287
1503780,208,294
1503790,182,269
1503800,183,247
1503810,168,230
1503820,153,247
1503830,146,238
1503840,145,239
1503850,139,231
1503860,160,241
1503870,147,239
1503880,135,218
1503890,130,222
1503900,128,221
1503910,112,212
1503920,109,217
1503930,123,208
1503940,113,224
1503950,107,227
1503960,99,209
1503970,99,212
1503980,90,227
1503990,87,215
1504000,86,212
1504010,80,208
1508519,80,152
1508529,80,152
1508539,75,151
1508549,74,145
1508559,75,145
1508569,80,150
1508579,67,151
1508589,111,154
1508599,116,151
1508609,106,155
1508619,98,156
1508629,97,150
1508639,93,150
1508649,81,153
1508659,74,159
1508669,74,151
1508679,80,146
1508689,87,145
1508699,83,146
1508709,83,149
1508719,73,151
1508729,91,157
1508739,110,159
1508749,99,151
1508759,107,150
1508769,128,154
1508779,137,155
1508789,133,154
1508799,179,155
1508809,202,149
1508819,229,154
1508829,224,158
1508839,295,151
1508849,302,161
1508859,422,157
1508869,464,158
1508879,479,163
1508889,445,169
1508899,496,176
1508909,656,176
1508919,650,172
1508929,719,169
1508939,777,175
1508949,1089,173
1508959,1418,177
1508969,1422,186
1508979,1456,185
1508989,1791,186
1508999,1616,192
1509009,2831,234
1509019,2987,255
1509029,2907,271
1509039,3008,255
1509049,3217,256
1509059,2838,288
1509069,3053,317
1509079,3029,345
1509089,3248,425
1509099,2800,384
1509109,2838,406
1509119,2737,368
1509129,3008,445
1509139,3110,509
1509149,2975,558
1509159,3403,626
1509169,3410,660
1509179,3099,625
1509189,3267,617
1509199,2789,606
1509209,3821,631
1509219,3789,615
1509229,3739,719
1509239,3766,705
1509249,3535,694
1509259,3061,706
1509269,3511,669
1509279,3458,752
1509289,3423,707
1509299,3294,668
1509309,3088,748
1509319,2661,827
1509329,2475,930
1509339,2902,999
1509349,2664,1069
1509359,2481,963
1509369,2297,931
1509379,2196,1098
1509389,2066,1066
1509399,2218,1088
1509409,2401,1170
1509419,2617,1396
1509429,2338,1309
1509439,2135,1207
1509449,2193,1207
1509459,2250,1389
1509469,2062,1250
1509479,1821,1256
1509489,1903,1159
1509499,2003,1090
1509509,2032,1213
1509519,1803,1141
1509529,1779,1166
1509539,1721,1136
1509549,1623,1051
1509559,1741,1040
1509569,1667,1040
1509579,1507,998
1509589,1535,1007
1509599,1365,980
1509609,1354,1008
1509619,1296,923
1509629,1403,831
1509639,1460,809
1509649,1424,746
1509659,1486,719
1509669,1419,759
1509679,1395,736
1509689,1375,747
1509699,1243,738
1509709,1430,653
1509719,1518,625
1509729,1317,592
1509739,1563,551
1509749,1392,538
1509759,1277,496
1509769,1186,496
1509779,1232,498
1509789,1211,464
1509799,1063,469
1509809,980,423
1509819,1351,400
1509829,1154,368
1509839,965,369
1509849,910,347
1509859,848,330
1509869,743,304
1509879,697,322
1509889,635,317
1509899,589,331
1509909,593,317
1509919,624,310
1509929,664,291
1509939,752,308
1509949,621,294
1509959,536,285
1509969,496,290
1509979,483,274
1509989,453,269
1509999,378,270
1510009,358,279
1510019,357,272
1510029,336,274
1510039,289,260
1510049,257,256
1510059,251,256
1510069,214,257
1510079,215,239
1510089,219,247
1510099,203,258
1510109,196,265
1510119,164,239
1510129,156,269
1510139,143,251
1510149,128,259
1510159,120,265
1510169,119,252
1510179,142,252
1510189,131,240
1510199,127,240
1510209,137,262
1510219,142,262
1510229,186,272
1510239,240,259
1510249,207,263
1510259,214,239
1510269,272,271
1510279,233,274
1510289,202,281
1510299,183,272
1510309,169,262
1510319,170,245
1510329,149,252
1510339,170,427
1510349,176,335
1510359,213,306
1510369,183,333
1510379,211,180
1510389,214,448
1510399,203,318
1510409,214,320
1510419,199,251
1510429,176,331
1510439,178,320
1510449,161,310
1510459,236,325
1510469,209,333
1510479,188,315
1510489,207,323
1510499,217,323
1510509,225,334
1515018,64,151
1515028,62,144
1515038,59,144
1515048,64,143
1515058,55,148
1515068,58,145
1515078,64,142
1515088,61,145
1515098,66,144
1515108,59,146
1515118,65,149
1515128,65,146
1515138,57,146
1515148,64,147
1515158,55,147
1515168,63,153
1515178,61,147
1515188,55,149
1515198,58,146
1515208,58,149
1515218,62,148
1515228,55,144
1515238,61,144
1515248,64,144
1515258,61,144
1515268,60,143
1515278,66,143
1515288,64,144
1515298,66,149
1515308,65,149
1515318,69,145
1515328,71,144
1515338,69,144
1515348,69,148
1515358,62,147
1515368,69,149
1515378,75,146
1515388,66,144
1515398,69,149
1515408,68,145
1515418,71,145
1515428,68,146
1515438,66,149
1515448,59,160
1515458,63,173
1515468,81,177
1515478,80,181
1515488,84,197
1515498,75,201
1515508,74,207
1515518,76,210
1515528,112,217
1515538,112,221
1515548,101,210
1515558,176,203
1515568,207,187
1515578,221,177
1515588,230,176
1515598,282,185
1515608,465,192
1515618,800,186
1515628,746,176
1515638,833,178
1515648,764,165
1515658,723,174
1515668,703,173
1515678,752,203
1515688,744,203
1515698,849,189
1515708,955,217
1515718,1125,258
1515728,1098,284
1515738,1158,306
1515748,1180,321
1515758,1230,311
1515768,1125,294
1515778,1079,278
1515788,899,257
1515798,851,239
1515808,927,219
1515818,944,208
1515828,911,221
1515838,1100,207
1515848,1183,261
1515858,1015,283
1515868,1006,375
1515878,1047,451
1515888,962,537
1515898,870,593
1515908,839,545
1515918,986,656
1515928,1169,709
1515938,1125,733
1515948,1143,730
1515958,1235,912
1515968,1581,869
1515978,1524,875
1515988,1478,765
1515998,1562,698
1516008,2192,707
1516018,2167,827
1516028,2141,843
1516038,1988,849
1516048,1685,847
1516058,1799,751
1516068,1780,786
1516078,1834,720
1516088,1729,653
1516098,1607,570
1516108,1653,591
1516118,1505,677
1516128,1365,739
1516138,1275,693
1516148,1280,687
1516158,1277,657
1516168,1249,691
1516178,1424,679
1516188,1381,603
1516198,1405,986
1516208,1279,1166
1516218,1337,1014
1516228,1344,883
1516238,1281,910
1516248,1093,885
1516258,1050,916
1516268,1061,934
1516278,1222,870
1516288,1286,954
1516298,1463,980
1516308,1406,879
1516318,1371,1013
1516328,1208,1085
1516338,1023,1115
1516348,1008,1229
1516358,918,1162
1516368,803,1156
1516378,940,1323
1516388,983,1515
1516398,891,1581
1516408,915,1484
1516418,1184,1509
1516428,1213,1446
1516438,1104,1293
1516448,939,1247
1516458,976,1222
1516468,999,1132
1516478,953,1096
1516488,896,1031
1516498,924,970
1516508,959,951
1516518,995,976
1516528,911,909
1516538,784,973
1516548,1033,953
1516558,1040,903
1516568,926,1053
1516578,1142,1072
1516588,1083,987
1516598,1151,960
1516608,1210,902
1516618,1102,880
1516628,1014,870
1516638,1072,833
1516648,1098,834
1516658,1152,773
1516668,1051,701
1516678,1017,629
1516688,983,633
1516698,924,693
1516708,783,663
1516718,911,606
1516728,817,605
1516738,790,566
1516748,720,511
1516758,624,462
1516768,668,431
1516778,576,445
1516788,533,415
1516798,477,389
1516808,493,374
1516818,496,350
1516828,465,343
1516838,403,327
1516848,413,341
1516858,412,320
1516868,437,293
1516878,464,272
1516888,425,254
1516898,362,261
1516908,402,279
1516918,407,272
1516928,448,271
1516938,528,259
1516948,542,259
1516958,592,237
1516968,509,243
1516978,432,256
1516988,400,246
1516998,359,266
1517008,340,272
1521517,66,144
1521527,53,142
1521537,64,144
1521547,59,144
1521557,59,146
1521567,47,149
1521577,55,146
1521587,53,148
1521597,61,144
1521607,63,144
1521617,57,148
1521627,53,149
1521637,55,149
1521647,51,151
1521657,57,144
1521667,62,146
1521677,64,146
1521687,66,148
1521697,80,149
1521707,64,149
1521717,58,144
1521727,64,150
1521737,64,145
1521747,59,145
1521757,62,144
1521767,58,145
1521777,0,150
1521787,58,143
1521797,65,147
1521807,54,145
1521817,109,144
1521827,110,155
1521837,206,163
1521847,269,164
1521857,358,160
1521867,307,176
1521877,565,176
1521887,704,187
1521897,798,199
1521907,863,190
1521917,848,209
1521927,916,206
1521937,837,208
1521947,842,195
1521957,905,205
1521967,951,204
1521977,885,205
1521987,960,208
1521997,916,208
1522007,959,204
1522017,919,192
