timestamp_ms,wire1_pin34,wire2_pin32
1193719,0,912
1193729,0,816
1193739,0,907
1193749,0,812
1193759,0,887
1193769,0,793
1193779,0,888
1193789,0,796
1193799,0,882
1193809,0,790
1193819,0,893
1193829,0,804
1193839,0,896
1193849,0,805
1193859,0,903
1193869,0,803
1193879,0,896
1193889,0,799
1193899,0,894
1193909,0,798
1193919,0,893
1193929,0,798
1193939,0,885
1193949,0,804
1193959,0,906
1193969,0,818
1193979,0,913
1193989,0,816
1193999,0,900
1194009,0,812
1194019,0,944
1194029,0,833
1194039,0,891
1194049,0,801
1194059,0,817
1194069,0,735
1194079,9,913
1194089,3,902
1194099,1,1061
1194109,0,995
1194119,3,1073
1194129,25,939
1194139,41,1117
1194149,67,1099
1194159,177,1148
1194169,202,994
1194179,181,1054
1194189,166,944
1194199,144,1313
1194209,159,1190
1194219,144,1222
1194229,143,1318
1194239,142,1131
1194249,142,1037
1194259,114,1115
1194269,99,989
1194279,127,1040
1194289,138,949
1194299,112,1012
1194309,97,931
1194319,138,993
1194329,151,914
1194339,115,1021
1194349,125,880
1194359,151,944
1194369,194,866
1194379,196,992
1194389,164,873
1194399,151,929
1194409,122,836
1194419,133,930
1194429,135,865
1194439,136,896
1194449,118,823
1194459,116,893
1194469,89,785
1194479,91,933
1194489,78,903
1194499,68,1009
1194509,67,905
1194519,79,919
1194529,78,835
1194539,80,891
1194549,80,939
1194559,53,1077
1194569,55,971
1194579,55,1046
1194589,33,958
1194599,38,971
1194609,28,897
1194619,50,905
1194629,48,897
1194639,46,892
1194649,22,877
1194659,29,960
1194669,16,908
1194679,21,981
1194689,14,926
1194699,23,1031
1194709,43,976
1194719,35,1207
1194729,18,1099
1194739,37,1103
1194749,50,1005
1194759,58,1033
1194769,44,941
1194779,45,942
1194789,45,978
1194799,47,940
1194809,51,909
1194819,57,1104
1194829,49,1018
1194839,61,1119
1194849,48,1006
1194859,34,990
1194869,48,916
1194879,73,1085
1194889,58,993
1194899,64,979
1194909,43,881
1194919,32,909
1194929,35,830
1194939,39,861
1194949,51,786
1194959,64,876
1194969,79,1100
1194979,112,1723
1194989,125,2033
1194999,91,2345
1195009,109,2301
1195019,144,2130
1195029,141,1902
1195039,118,1777
1195049,117,1819
1195059,118,2282
1195069,112,2273
1195079,122,2103
1195089,103,1997
1195099,208,2008
1195109,207,1792
1195119,184,1803
1195129,181,1854
1195139,182,1934
1195149,144,1745
1195159,142,1747
1195169,116,1535
1195179,106,1312
1195189,115,1147
1195199,122,1088
1195209,95,1071
1195219,80,1121
1195229,80,951
1195239,62,795
1195249,64,711
1195259,57,811
1195269,61,769
1195279,69,807
1195289,59,769
1195299,81,851
1195309,83,784
1195319,59,836
1195329,44,771
1195339,45,785
1195349,27,762
1195359,95,842
1195369,70,790
1195379,58,885
1195389,32,818
1195399,55,880
1195409,38,824
1195419,32,881
1195429,16,833
1195439,16,901
1195449,17,833
1195459,9,915
1195469,0,855
1195479,0,941
1195489,5,867
1195499,9,923
1195509,0,848
1195519,0,919
1195529,0,849
1195539,5,923
1195549,0,845
1195559,3,939
1195569,0,876
1195579,0,933
1195589,0,851
1195599,3,946
1195609,0,884
1195619,0,949
1195629,0,875
1195639,1,912
1195649,0,848
1195659,16,913
1195669,3,853
1195679,16,942
1195689,1,869
1195699,5,921
1195709,1,851
1200218,0,886
1200228,0,882
1200238,0,901
1200248,0,880
1200258,0,879
1200268,0,875
1200278,0,875
1200288,0,874
1200298,0,894
1200308,0,876
1200318,0,909
1200328,0,890
1200338,0,913
1200348,0,886
1200358,0,907
1200368,0,890
1200378,0,908
1200388,0,881
1200398,0,887
1200408,0,881
1200418,1,905
1200428,0,882
1200438,0,895
1200448,0,887
1200458,0,897
1200468,0,902
1200478,0,922
1200488,0,901
1200498,0,931
1200508,0,913
1200518,0,914
1200528,6,916
1200538,0,937
1200548,0,944
1200558,0,917
1200568,0,881
1200578,0,877
1200588,0,890
1200598,0,951
1200608,5,908
1200618,34,944
1200628,66,906
1200638,65,929
1200648,62,911
1200658,58,917
1200668,45,877
1200678,80,885
1200688,118,825
1200698,97,842
1200708,79,798
1200718,60,896
1200728,77,882
1200738,80,999
1200748,58,976
1200758,81,1075
1200768,99,1005
1200778,101,1058
1200788,108,918
1200798,101,934
1200808,96,959
1200818,76,1013
1200828,69,990
1200838,42,959
1200848,35,958
1200858,15,978
1200868,22,1008
1200878,16,990
1200888,30,914
