timestamp_ms,wire1_pin34,wire2_pin32
13932,688,208
13942,678,208
13952,671,208
13962,663,208
13972,672,208
13982,615,203
13992,661,199
14002,625,208
14012,668,203
14022,670,207
14032,674,208
14042,671,208
14052,685,207
14062,679,205
14072,682,208
14082,666,209
14092,679,208
14102,673,207
14112,690,205
14122,679,207
14132,679,199
14142,683,204
14152,688,205
14162,685,202
14172,653,206
14182,677,208
14192,595,203
14202,661,213
14212,655,208
14222,650,208
14232,603,208
14242,642,207
14252,647,193
14262,653,192
14272,623,197
14282,611,222
14292,711,210
14302,701,212
14312,718,208
14322,717,216
14332,770,222
14342,759,220
14352,738,204
14362,806,202
14372,764,206
14382,787,208
14392,720,222
14402,799,226
14412,993,211
14422,1020,215
14432,903,214
14442,954,207
14452,978,194
14462,863,214
14472,945,227
14482,833,225
14492,830,203
14502,773,213
14512,851,193
14522,914,169
14532,849,157
14542,899,184
14552,923,192
14562,847,211
14572,829,210
14582,767,215
14592,883,194
14602,848,187
14612,782,200
14622,752,207
14632,816,190
14642,948,190
14652,1078,181
14662,1114,181
14672,1058,194
14682,1184,195
14692,1060,205
14702,1071,214
14712,1057,199
14722,1008,208
14732,1181,205
14742,1185,208
14752,1008,201
14762,976,208
14772,935,206
14782,912,195
14792,814,183
14802,848,181
14812,925,173
14822,873,178
14832,881,180
14842,913,189
14852,821,181
14862,841,187
14872,848,201
14882,789,207
14892,816,192
14902,803,188
14912,789,186
14922,825,206
14932,959,190
14942,943,186
14952,873,177
14962,864,186
14972,951,187
14982,976,198
14992,927,203
15002,903,212
15012,912,197
15022,878,192
15032,737,203
15042,848,207
15052,871,193
15062,864,175
15072,837,176
15082,856,193
15092,833,202
15102,816,234
15112,893,204
15122,991,201
15132,1171,199
15142,1110,164
15152,977,189
15162,1039,171
15172,1005,216
15182,1172,233
15192,1402,331
15202,1467,323
15212,1234,315
15222,1167,305
15232,1184,327
15242,1327,347
15252,1328,302
15262,1264,268
15272,1076,254
15282,1033,258
15292,923,273
15302,865,271
15312,765,277
15322,667,283
15332,688,269
15342,683,264
15352,693,242
15362,670,224
15372,577,228
15382,603,235
15392,599,228
15402,650,222
15412,692,215
15422,734,223
15432,720,227
15442,755,225
15452,752,219
15462,741,215
15472,729,194
15482,763,201
15492,727,197
15502,720,196
15512,711,201
15522,712,205
15532,691,199
15542,674,201
15552,656,204
15562,683,205
15572,656,201
15582,666,197
15592,630,192
15602,637,203
15612,645,194
15622,663,202
15632,687,201
15642,704,215
15652,713,205
15662,703,218
15672,678,208
15682,709,211
15692,693,208
15702,688,208
15712,658,203
15722,657,201
15732,686,195
15742,688,207
15752,668,195
15762,671,206
15772,650,193
15782,657,208
15792,672,197
15802,703,208
15812,705,193
15822,719,200
15832,699,174
15842,686,193
15852,666,199
15862,650,208
15872,627,201
15882,666,211
15892,643,206
15902,643,206
15912,656,199
15922,690,199
19431,711,221
19441,745,232
19451,718,212
19461,748,237
19471,720,231
19481,735,230
19491,705,215
19501,726,237
19511,687,402
19521,707,209
19531,674,242
19541,708,317
19551,669,219
19561,702,285
19571,661,219
19581,704,228
19591,690,221
19601,723,225
19611,715,210
19621,752,230
19631,720,221
19641,731,230
19651,688,217
19661,719,224
19671,670,211
19681,694,98
19691,658,217
19701,690,274
19711,662,218
19721,698,231
19731,686,213
19741,736,213
19751,718,197
19761,752,217
19771,733,203
19781,771,214
19791,765,198
19801,784,202
19811,721,187
19821,689,196
19831,647,189
19841,695,205
19851,667,180
19861,691,174
19871,615,174
19881,645,208
19891,617,225
19901,735,269
19911,723,287
19921,689,294
19931,682,272
19941,737,267
19951,630,226
19961,701,221
19971,655,193
19981,746,226
19991,703,199
20001,746,201
20011,810,192
20021,847,192
20031,865,171
20041,842,194
20051,806,181
20061,802,192
20071,891,160
20081,916,169
20091,858,166
20101,900,182
20111,822,179
20121,820,191
20131,788,170
20141,874,205
20151,774,226
20161,786,224
20171,832,199
20181,919,224
20191,903,209
20201,823,232
20211,821,220
20221,880,228
20231,874,203
20241,914,214
20251,847,189
20261,841,197
20271,820,179
20281,805,186
20291,720,189
20301,707,204
20311,672,189
20321,771,207
20331,778,183
20341,795,192
20351,750,207
20361,820,214
20371,805,202
20381,887,208
20391,816,179
20401,849,205
20411,782,192
20421,832,192
20431,797,186
20441,795,221
20451,763,223
20461,822,237
20471,784,208
20481,799,209
20491,773,198
20501,699,223
20511,665,207
20521,654,220
20531,651,206
20541,605,213
20551,752,183
20561,816,210
20571,783,177
20581,785,218
20591,773,208
20601,784,227
20611,809,221
20621,813,236
20631,784,214
20641,720,206
20651,671,180
20661,731,195
20671,692,187
20681,773,254
20691,816,240
20701,907,245
20711,848,257
20721,721,251
20731,703,241
20741,674,240
20751,719,225
20761,735,214
20771,846,193
20781,1125,192
20791,1259,201
20801,1093,245
20811,1072,233
20821,1206,230
20831,1200,225
20841,1089,217
20851,951,256
20861,848,266
20871,865,231
20881,806,261
20891,807,261
20901,789,296
20911,717,275
20921,848,271
20931,842,258
20941,957,255
20951,886,240
20961,918,240
20971,860,230
20981,831,246
20991,829,226
21001,846,231
21011,787,216
21021,777,240
21031,694,234
21041,731,245
21051,705,241
21061,734,254
21071,730,227
21081,771,240
21091,756,224
21101,782,222
21111,752,196
21121,789,208
21131,784,199
21141,875,218
21151,835,225
21161,810,264
21171,804,238
21181,793,242
21191,719,202
21201,722,213
21211,673,222
21221,665,233
21231,626,221
21241,674,230
21251,649,244
21261,618,255
21271,593,244
21281,592,246
21291,550,235
21301,615,257
21311,549,231
21321,592,221
21331,639,221
21341,461,239
21351,555,223
21361,623,214
21371,688,199
21381,679,208
21391,653,194
21401,690,211
21411,746,206
21421,691,221
24930,673,213
24940,656,218
24950,657,213
24960,659,211
24970,672,210
24980,679,219
24990,669,218
25000,656,217
25010,661,221
25020,673,205
25030,677,208
25040,675,208
25050,678,209
25060,685,208
25070,688,225
25080,672,210
25090,676,223
25100,685,209
25110,697,210
25120,703,209
25130,697,213
25140,694,208
25150,688,211
25160,692,208
25170,686,222
25180,693,209
25190,704,208
25200,699,213
25210,679,223
25220,686,222
25230,682,229
25240,671,210
25250,647,208
25260,662,200
25270,780,212
25280,816,216
25290,830,210
25300,816,208
25310,794,205
25320,788,186
25330,844,197
25340,757,208
25350,762,220
25360,787,198
25370,823,209
25380,856,212
25390,865,198
25400,811,225
25410,787,231
25420,771,226
25430,752,237
25440,695,199
25450,751,183
25460,753,193
25470,720,192
25480,766,201
25490,739,188
25500,736,192
25510,766,197
25520,837,195
25530,878,223
25540,889,215
25550,995,214
25560,1086,227
25570,1008,202
25580,921,184
25590,907,202
25600,838,217
25610,850,304
25620,848,247
25630,832,230
25640,811,217
25650,842,205
25660,785,202
25670,749,230
25680,686,221
25690,678,79
25700,683,223
25710,752,224
25720,754,201
25730,811,158
25740,723,185
25750,719,197
25760,816,189
25770,816,144
25780,719,126
25790,694,336
25800,656,192
25810,679,111
25820,653,238
25830,688,261
25840,697,353
25850,722,217
25860,675,312
25870,759,252
25880,756,226
25890,791,257
25900,721,272
25910,730,284
25920,736,309
25930,785,231
25940,751,271
25950,765,326
25960,748,342
25970,737,292
25980,761,160
25990,773,251
26000,798,289
26010,771,267
26020,743,272
26030,720,290
26040,743,285
26050,847,277
26060,761,267
26070,784,267
26080,767,227
26090,821,235
26100,866,290
26110,881,327
26120,757,293
26130,634,272
26140,694,273
26150,871,215
26160,841,186
26170,784,163
26180,881,179
26190,1023,256
26200,973,310
26210,951,318
26220,999,362
26230,959,405
26240,926,368
26250,980,368
26260,1006,350
26270,976,304
26280,906,304
26290,849,288
26300,875,283
26310,942,311
26320,893,281
26330,858,270
26340,923,265
26350,935,226
26360,918,261
26370,911,287
26380,885,275
26390,910,272
26400,890,240
26410,899,249
26420,837,242
26430,796,224
26440,738,222
26450,753,210
26460,703,199
26470,723,214
26480,659,212
26490,663,220
26500,675,213
26510,703,215
26520,748,197
26530,688,203
26540,661,183
26550,691,191
26560,679,183
26570,682,189
26580,627,190
26590,629,207
26600,615,196
26610,607,196
26620,593,190
26630,613,189
26640,631,183
26650,642,178
26660,566,186
26670,586,199
26680,592,190
26690,623,208
26700,598,230
26710,675,261
26720,718,256
26730,737,256
26740,720,215
26750,759,208
26760,791,216
26770,847,241
26780,802,270
26790,787,279
26800,808,257
26810,842,254
26820,797,221
26830,754,221
26840,688,197
26850,707,206
26860,679,211
26870,688,208
26880,756,186
26890,769,186
26900,746,195
26910,805,205
26920,784,179
30429,693,228
30439,673,210
30449,707,228
30459,700,209
30469,724,223
30479,689,216
30489,713,225
30499,687,215
30509,702,223
30519,676,210
30529,702,226
30539,656,222
30549,695,225
30559,666,215
30569,691,223
30579,657,218
30589,705,227
30599,667,212
30609,691,231
30619,655,215
30629,649,227
30639,656,213
30649,702,226
30659,675,210
30669,688,221
30679,656,210
30689,720,224
30699,752,209
30709,759,208
30719,720,201
30729,782,225
30739,752,218
30749,780,230
30759,763,210
30769,635,234
30779,675,213
30789,658,239
30799,691,237
30809,765,236
30819,751,212
30829,775,234
30839,793,222
30849,871,237
30859,757,221
30869,853,228
30879,784,224
30889,807,237
30899,730,230
30909,640,238
30919,731,222
30929,849,235
30939,720,221
30949,920,226
30959,754,211
30969,784,228
30979,791,207
30989,1089,203
30999,674,191
31009,801,214
31019,695,209
31029,697,231
31039,656,208
31049,682,222
31059,679,208
31069,783,192
31079,753,176
31089,817,188
31099,794,166
31109,827,192
31119,739,166
31129,784,182
31139,681,177
31149,703,202
31159,727,203
31169,677,213
31179,466,193
31189,749,199
31199,671,189
31209,717,196
31219,672,188
31229,707,207
31239,649,181
31249,699,196
31259,688,182
31269,725,199
31279,688,183
31289,758,187
31299,678,177
31309,656,202
31319,607,192
31329,685,209
31339,701,193
31349,730,181
31359,674,164
31369,769,181
31379,709,179
31389,695,205
31399,653,198
31409,719,228
31419,719,202
31429,770,217
31439,739,193
31449,784,186
31459,771,176
31469,786,190
31479,774,194
31489,781,213
31499,762,208
31509,765,222
31519,714,208
31529,696,219
31539,683,220
31549,720,215
31559,682,183
31569,691,213
31579,686,213
31589,662,210
31599,611,213
31609,559,194
31619,551,208
31629,663,244
31639,685,226
31649,747,189
31659,721,174
31669,901,208
31679,1093,206
31689,1331,190
31699,1435,194
31709,1280,238
31719,1213,207
31729,1168,186
31739,1099,191
31749,1174,159
31759,1005,181
31769,903,238
31779,753,228
31789,716,286
31799,720,257
31809,718,274
31819,747,266
31829,789,321
31839,766,322
31849,759,304
31859,756,289
31869,797,274
31879,702,275
31889,726,284
31899,688,270
31909,710,271
31919,663,251
31929,719,261
31939,699,243
31949,720,130
31959,695,210
31969,703,211
31979,685,187
31989,719,217
31999,709,210
32009,746,226
32019,731,214
32029,770,276
32039,731,208
32049,762,223
32059,750,203
32069,801,240
32079,772,211
32089,814,220
32099,769,252
32109,784,213
32119,752,203
32129,791,206
32139,767,202
32149,797,214
32159,757,201
32169,750,232
32179,704,198
32189,721,223
32199,699,243
32209,743,335
32219,720,219
32229,761,238
32239,710,161
32249,744,227
32259,695,211
32269,737,209
32279,688,203
32289,715,221
32299,688,159
32309,719,223
32319,700,207
32329,734,225
32339,704,266
32349,734,226
32359,705,208
32369,739,226
32379,704,215
32389,744,231
32399,707,172
32409,730,219
32419,694,311
35928,735,218
35938,711,208
35948,727,213
35958,709,204
35968,731,211
35978,703,208
35988,725,215
35998,718,206
36008,719,211
36018,698,209
36028,703,216
36038,683,208
36048,701,215
36058,703,205
36068,704,218
36078,673,214
36088,684,221
36098,670,209
36108,698,218
36118,688,208
36128,702,219
36138,663,213
36148,705,214
36158,688,208
36168,743,208
36178,720,209
36188,765,217
36198,705,188
36208,686,204
36218,679,213
36228,786,230
36238,730,210
36248,763,216
36258,805,218
36268,816,221
36278,727,208
36288,734,235
36298,738,233
36308,725,245
36318,726,245
36328,770,250
36338,706,256
36348,727,266
36358,711,266
36368,765,252
36378,721,235
36388,794,249
36398,799,241
36408,783,248
36418,801,240
36428,784,245
36438,721,240
36448,725,241
36458,739,214
36468,784,210
36478,786,237
36488,753,231
36498,777,216
36508,816,227
36518,768,241
36528,714,231
36538,688,239
36548,671,239
36558,753,266
36568,752,261
36578,723,250
36588,794,242
36598,832,237
36608,809,224
36618,798,206
36628,757,222
36638,752,208
36648,722,220
36658,718,227
36668,763,208
36678,799,194
36688,730,207
36698,729,208
36708,658,220
36718,733,207
36728,744,208
36738,705,199
36748,761,209
36758,735,208
36768,781,214
36778,848,203
36788,880,193
36798,783,192
36808,735,192
36818,770,179
36828,749,199
36838,815,202
36848,773,207
36858,758,191
36868,913,203
36878,929,193
36888,890,189
36898,845,182
36908,864,186
36918,894,192
36928,884,209
36938,832,207
36948,815,195
36958,853,208
36968,858,189
36978,813,196
36988,757,193
36998,763,192
37008,811,203
37018,815,190
37028,847,190
37038,838,190
37048,835,193
37058,822,191
37068,789,176
37078,763,173
37088,751,169
37098,688,185
37108,677,167
37118,674,157
37128,710,163
37138,730,171
37148,790,249
37158,752,260
37168,845,260
37178,895,230
37188,848,251
37198,733,267
37208,913,231
37218,1231,220
37228,1255,233
37238,1061,203
37248,942,220
37258,910,199
37268,1008,289
37278,946,348
37288,953,373
37298,1235,368
37308,1105,349
37318,885,346
37328,976,318
37338,1349,285
37348,1222,300
37358,1040,274
37368,1009,309
37378,1119,327
37388,1152,325
37398,1078,327
37408,1082,298
37418,1158,272
37428,890,259
37438,957,292
37448,1287,266
37458,1285,245
37468,1132,231
37478,1009,208
37488,917,225
37498,909,225
37508,844,246
37518,786,235
37528,821,211
37538,749,208
37548,785,208
37558,748,198
37568,720,197
37578,723,189
37588,701,195
37598,709,212
37608,755,218
37618,786,217
37628,797,213
37638,763,209
37648,783,211
37658,772,207
37668,767,214
37678,750,210
37688,738,220
37698,734,224
37708,749,235
37718,738,231
37728,733,237
37738,711,227
37748,723,226
37758,723,227
37768,724,217
37778,679,211
37788,704,214
37798,739,208
37808,754,215
37818,741,208
37828,743,208
37838,732,222
37848,739,213
37858,739,210
37868,748,202
37878,752,204
37888,747,201
37898,768,199
37908,784,210
37918,766,213
41427,613,183
41437,622,195
41447,598,186
41457,609,192
41467,603,182
41477,635,193
41487,619,163
41497,641,183
41507,597,189
41517,609,191
41527,606,189
41537,638,197
41547,615,199
41557,619,178
41567,592,188
41577,594,201
41587,589,192
41597,607,197
41607,586,89
41617,601,202
41627,612,181
41637,624,208
41647,598,197
41657,609,208
41667,601,240
41677,639,223
41687,637,253
41697,682,223
41707,686,194
41717,698,208
41727,676,192
41737,697,208
41747,692,288
41757,675,111
41767,638,187
41777,591,199
41787,576,188
41797,654,197
41807,656,192
41817,738,192
41827,789,186
41837,793,255
41847,718,241
41857,703,225
41867,686,218
41877,688,219
41887,674,210
41897,654,218
41907,644,208
41917,700,217
41927,667,220
41937,640,208
41947,617,215
41957,654,151
41967,694,198
41977,710,207
41987,718,208
41997,707,211
42007,739,199
42017,741,213
42027,688,192
42037,666,199
42047,677,210
42057,711,223
42067,719,207
42077,759,204
42087,816,192
42097,822,202
42107,775,198
42117,775,208
42127,816,188
42137,848,187
42147,807,189
42157,815,191
42167,797,175
42177,803,183
42187,810,177
42197,838,205
42207,801,196
42217,781,210
42227,758,203
42237,752,195
42247,757,192
42257,785,208
42267,770,182
42277,789,194
42287,720,189
42297,807,201
42307,822,192
42317,867,209
42327,862,198
42337,847,205
42347,785,193
42357,766,211
42367,737,203
42377,749,208
42387,747,202
42397,757,210
42407,770,208
42417,816,215
42427,814,221
42437,806,235
42447,752,223
42457,754,240
42467,773,223
42477,852,217
42487,805,192
42497,787,186
42507,768,163
42517,739,166
42527,784,179
42537,773,208
42547,741,208
42557,727,207
42567,683,197
42577,717,202
42587,705,199
42597,687,202
42607,688,198
42617,720,211
42627,688,208
42637,708,221
42647,720,187
42657,700,176
42667,647,174
42677,634,178
42687,611,159
42697,655,193
42707,683,195
42717,724,215
42727,736,191
42737,741,208
42747,741,206
42757,741,240
42767,686,242
42777,659,241
42787,631,253
42797,682,239
42807,651,224
42817,645,245
42827,614,233
42837,558,240
42847,587,240
42857,667,251
42867,694,247
42877,723,246
42887,687,254
42897,645,263
42907,593,258
42917,623,233
42927,630,201
42937,593,224
42947,602,259
42957,557,283
42967,569,277
42977,538,275
42987,576,257
42997,601,250
43007,542,230
43017,570,223
43027,576,191
43037,609,192
43047,609,199
43057,624,220
43067,592,210
43077,618,219
43087,611,204
43097,642,209
43107,643,194
43117,661,209
43127,688,207
43137,722,218
43147,725,208
43157,734,209
43167,707,199
43177,711,204
43187,685,204
43197,688,213
43207,687,205
43217,719,218
43227,699,208
43237,707,215
43247,656,222
43257,637,215
43267,617,204
43277,634,211
43287,624,212
43297,645,213
43307,643,209
43317,677,217
43327,654,203
43337,656,204
43347,632,197
43357,661,208
43367,660,208
43377,677,225
43387,691,208
43397,720,217
43407,694,209
43417,724,212
46926,652,202
46936,682,209
46946,533,203
46956,663,214
46966,613,197
46976,654,203
46986,619,183
46996,651,207
47006,630,194
47016,663,208
47026,640,194
47036,663,208
47046,617,191
47056,629,199
47066,641,192
47076,675,198
47086,722,187
47096,630,201
47106,611,195
47116,699,201
47126,622,192
47136,639,203
47146,592,189
47156,638,204
47166,631,191
47176,667,204
47186,631,189
47196,670,208
47206,653,197
47216,721,206
47226,664,195
47236,700,210
47246,661,208
47256,654,210
47266,630,195
47276,642,208
47286,703,197
47296,795,206
47306,733,188
47316,725,196
47326,658,178
47336,703,199
47346,698,181
47356,721,205
47366,624,192
47376,672,205
47386,671,203
47396,660,217
47406,705,208
47416,739,214
47426,773,193
47436,814,207
47446,799,192
47456,817,204
47466,730,195
47476,770,211
47486,669,208
47496,669,223
47506,656,201
47516,688,216
47526,635,207
47536,645,223
47546,607,205
47556,705,208
47566,656,192
47576,698,208
47586,656,182
47596,656,197
47606,628,182
47616,602,193
47626,594,185
47636,638,198
47646,623,191
47656,645,203
47666,629,178
47676,638,191
47686,590,186
47696,602,192
47706,609,190
47716,624,198
47726,614,182
47736,640,199
47746,611,183
47756,640,205
47766,624,183
47776,657,194
47786,634,183
47796,685,202
47806,634,195
47816,709,208
47826,727,194
47836,720,199
47846,697,186
47856,758,198
47866,736,183
47876,733,197
47886,709,177
47896,691,193
47906,691,184
47916,769,188
47926,755,176
47936,762,187
47946,684,181
47956,689,201
47966,624,183
47976,667,194
47986,663,188
47996,682,197
48006,665,181
48016,720,197
48026,735,176
48036,782,191
48046,678,195
48056,717,196
48066,752,183
48076,792,199
48086,753,181
48096,786,186
48106,722,176
48116,751,193
48126,769,182
48136,783,191
48146,723,176
48156,751,189
48166,765,176
48176,739,188
48186,662,169
48196,637,210
48206,629,196
48216,720,185
48226,690,192
48236,734,201
48246,689,203
48256,743,206
48266,679,187
48276,659,206
48286,675,193
48296,707,208
48306,752,192
48316,795,203
48326,737,194
48336,753,203
48346,749,190
48356,779,193
48366,750,271
48376,929,202
48386,874,284
48396,849,205
48406,748,192
48416,709,192
48426,660,239
48436,741,210
48446,689,144
48456,656,187
48466,587,155
48476,531,323
48486,463,290
48496,662,162
48506,730,98
48516,750,207
48526,747,219
48536,737,254
48546,647,251
48556,593,271
48566,529,269
48576,529,259
48586,434,166
48596,432,295
48606,417,244
48616,525,307
48626,497,242
48636,581,269
48646,585,256
48656,640,240
48666,538,217
48676,545,238
48686,532,197
48696,582,229
48706,627,186
48716,624,177
48726,599,182
48736,626,198
48746,637,186
48756,625,189
48766,609,167
48776,640,144
48786,609,166
48796,615,175
48806,624,167
48816,649,182
48826,624,176
48836,679,197
48846,641,176
48856,711,192
48866,687,181
48876,695,194
48886,704,176
48896,737,189
48906,651,177
48916,692,190
52425,698,222
52435,707,229
52445,701,215
52455,718,222
52465,697,223
52475,714,226
52485,715,224
52495,727,230
52505,699,229
52515,715,232
52525,711,221
52535,730,225
52545,711,224
52555,735,227
52565,722,225
52575,747,224
52585,730,227
52595,752,224
52605,725,213
52615,745,219
52625,752,214
52635,751,224
52645,743,215
52655,771,225
52665,778,215
52675,775,227
52685,763,224
52695,768,218
52705,734,211
52715,767,224
52725,767,214
52735,775,221
52745,730,219
52755,752,213
52765,702,212
52775,698,218
52785,652,201
52795,695,211
52805,742,208
52815,737,208
52825,834,209
52835,847,208
52845,877,203
52855,847,217
52865,788,224
52875,798,231
52885,757,218
52895,775,213
52905,760,212
52915,802,214
52925,775,211
52935,784,212
52945,734,205
52955,743,222
52965,735,208
52975,704,206
52985,692,208
52995,756,206
53005,807,221
53015,765,240
53025,703,229
53035,752,208
53045,665,199
53055,640,223
53065,665,227
53075,723,243
53085,667,241
53095,656,238
53105,758,241
53115,758,259
53125,800,276
53135,887,289
53145,928,256
53155,897,243
53165,903,231
53175,943,238
53185,930,219
53195,944,214
53205,961,213
53215,916,215
53225,852,216
53235,825,207
53245,663,208
53255,805,206
53265,853,202
53275,839,201
53285,797,218
53295,767,209
53305,812,205
53315,871,201
53325,843,228
53335,743,238
53345,751,219
53355,773,232
53365,807,213
53375,794,224
53385,806,240
53395,790,213
53405,807,211
53415,677,218
53425,762,214
53435,784,176
53445,816,176
53455,878,191
53465,848,194
53475,695,215
53485,800,208
53495,880,208
53505,816,211
53515,908,239
53525,943,199
53535,805,221
53545,773,258
53555,688,259
53565,823,231
53575,749,244
53585,863,240
53595,785,240
53605,720,245
53615,674,237
53625,743,210
53635,718,211
53645,697,208
53655,654,211
53665,675,233
53675,679,230
53685,679,226
53695,662,220
53705,701,190
53715,794,189
53725,815,210
53735,838,208
53745,778,220
53755,806,191
53765,741,176
53775,752,192
53785,768,197
53795,765,215
53805,781,235
53815,799,272
53825,765,269
53835,745,294
53845,669,283
53855,555,302
53865,592,336
53875,650,332
53885,619,304
53895,848,294
53905,876,270
53915,911,228
53925,942,251
53935,863,244
53945,753,250
53955,752,253
53965,866,222
53975,931,191
53985,958,192
53995,1117,189
54005,1008,206
54015,945,228
54025,1085,228
54035,1074,208
54045,989,228
54055,940,230
54065,893,240
54075,850,224
54085,846,219
54095,878,223
54105,855,210
54115,843,214
54125,822,209
54135,798,213
54145,784,222
54155,779,232
54165,767,221
54175,777,222
54185,801,209
54195,752,208
54205,752,255
54215,715,208
54225,699,208
54235,693,205
54245,747,201
54255,695,208
54265,720,217
54275,723,208
54285,754,212
54295,734,215
54305,714,221
54315,720,220
54325,705,215
54335,706,217
54345,707,207
54355,707,213
54365,719,208
54375,734,211
54385,772,210
54395,759,221
54405,760,210
54415,740,101
57924,753,230
57934,720,211
57944,745,218
57954,731,217
57964,722,231
57974,701,212
57984,719,223
57994,705,219
58004,715,233
58014,715,216
58024,722,222
58034,698,221
58044,704,235
58054,694,204
58064,709,214
58074,699,213
58084,711,231
58094,689,218
58104,711,235
58114,705,210
58124,723,237
58134,711,226
58144,717,234
58154,701,233
58164,717,228
58174,697,215
58184,709,230
58194,703,227
58204,727,282
58214,706,131
58224,729,186
58234,715,215
58244,734,230
58254,704,215
58264,714,225
58274,695,278
58284,725,221
58294,723,278
58304,727,242
58314,709,217
58324,732,233
58334,716,220
58344,725,230
58354,704,221
58364,704,229
58374,671,218
58384,688,229
58394,695,219
58404,707,229
58414,679,185
58424,709,229
58434,691,274
58444,697,236
58454,691,229
58464,705,235
58474,688,225
58484,711,226
58494,704,218
58504,705,235
58514,686,227
58524,693,229
58534,701,219
58544,720,234
58554,698,222
58564,720,234
58574,725,223
58584,747,229
58594,720,220
58604,733,226
58614,720,221
58624,720,235
58634,696,225
58644,722,235
58654,719,228
58664,720,231
58674,695,225
58684,711,233
58694,694,214
58704,705,223
58714,693,225
58724,725,229
58734,725,218
58744,742,228
58754,720,229
58764,720,239
58774,706,226
58784,717,238
58794,685,227
58804,705,239
58814,687,226
58824,688,234
58834,698,227
58844,721,233
58854,720,229
58864,739,239
58874,718,237
58884,721,240
58894,700,231
58904,710,237
58914,720,229
58924,729,235
58934,707,229
58944,731,227
58954,725,221
58964,720,234
58974,682,227
58984,688,227
58994,677,224
59004,704,231
59014,708,219
59024,741,233
59034,738,225
59044,749,229
59054,726,219
59064,727,229
59074,713,225
59084,732,239
59094,709,229
59104,730,239
59114,708,228
59124,739,235
59134,731,227
59144,742,235
59154,730,223
59164,718,240
59174,699,236
59184,742,240
59194,750,222
59204,752,230
59214,735,213
59224,747,246
59234,767,245
59244,788,246
59254,746,228
59264,736,245
59274,746,249
59284,846,265
59294,822,257
59304,798,251
59314,761,216
59324,803,229
59334,818,223
59344,811,229
59354,802,211
59364,832,231
59374,1221,224
59384,1241,231
59394,1233,219
59404,1168,229
59414,1040,214
59424,1072,217
59434,994,210
59444,945,225
59454,897,208
59464,925,220
59474,935,213
59484,870,215
59494,791,208
59504,933,215
59514,976,218
59524,931,225
59534,851,211
59544,919,218
59554,922,229
59564,1023,233
59574,882,223
59584,909,229
59594,916,215
59604,1069,215
59614,1033,205
59624,922,227
59634,960,231
59644,991,229
59654,952,217
59664,941,223
59674,925,205
59684,910,213
59694,925,214
59704,910,222
59714,869,210
59724,844,220
59734,789,221
59744,768,218
59754,801,209
59764,818,219
59774,858,206
59784,858,214
59794,775,208
59804,749,222
59814,745,211
59824,745,214
59834,761,207
59844,841,214
59854,843,217
59864,1073,221
59874,1034,213
59884,1100,227
59894,1509,213
59904,1616,210
59914,1695,203
63423,759,241
63433,678,237
63443,786,243
63453,752,237
63463,751,241
63473,640,240
63483,756,247
63493,730,240
63503,784,245
63513,737,240
63523,784,246
63533,814,243
63543,759,251
63553,702,240
63563,769,245
63573,720,239
63583,762,242
63593,751,240
63603,781,240
63613,737,235
63623,773,235
63633,751,224
63643,778,226
63653,770,229
63663,742,240
63673,774,240
63683,798,241
63693,743,240
63703,752,251
63713,739,231
63723,769,233
63733,766,230
63743,790,248
63753,820,240
63763,837,243
63773,762,214
63783,769,227
63793,771,214
63803,798,239
63813,835,237
63823,848,239
63833,789,237
63843,896,245
63853,901,237
63863,885,241
63873,823,241
63883,862,245
63893,839,239
63903,886,244
63913,876,240
