timestamp_ms,wire1_pin34,wire2_pin32
18793,62,157
18803,53,167
18813,83,169
18823,47,165
18833,12,170
18843,51,160
18853,70,158
18863,83,157
18873,54,149
18883,57,160
18893,57,151
18903,61,159
18913,58,185
18923,53,180
18933,51,199
18943,54,205
18953,50,202
18963,77,211
18973,61,196
18983,48,190
18993,62,183
19003,64,183
19013,57,176
19023,55,181
19033,61,173
19043,59,177
19053,66,175
19063,63,182
19073,64,176
19083,64,174
19093,67,256
19103,65,258
19113,67,292
19123,68,390
19133,80,533
19143,74,678
19153,146,1008
19163,294,1123
19173,351,1671
19183,353,2224
19193,442,2709
19203,449,2401
19213,384,2696
19223,361,2835
19233,416,3061
19243,397,3127
19253,434,3143
19263,384,2765
19273,332,2381
19283,355,2657
19293,369,3023
19303,432,3054
19313,401,2975
19323,409,2758
19333,448,2581
19343,400,2366
19353,417,2089
19363,406,2314
19373,526,2725
19383,525,2682
19393,719,2832
19403,646,2630
19413,751,2768
19423,854,2615
19433,1008,2689
19443,1147,2682
19453,1360,3712
19463,1534,3626
19473,1634,3933
19483,1967,3920
19493,2147,3935
19503,2109,3939
19513,2103,3823
19523,1994,3939
19533,2005,3905
19543,1943,3954
19553,1884,4078
19563,1674,3933
19573,1569,3899
19583,1666,3302
19593,1369,2931
19603,1379,3933
19613,1779,3811
19623,1507,3113
19633,1526,2813
19643,1638,2870
19653,1616,2342
19663,1518,2159
19673,1569,2028
19683,1570,1906
19693,1357,1715
19703,1488,1482
19713,1279,1328
19723,1161,1163
19733,1129,1008
19743,1071,866
19753,899,816
19763,906,733
19773,779,659
19783,725,593
19793,637,546
19803,511,511
19813,490,479
19823,493,371
19833,425,421
19843,350,389
19853,377,367
19863,531,376
19873,649,331
19883,775,272
19893,755,359
19903,625,448
19913,554,403
19923,511,442
19933,407,423
19943,340,433
19953,299,407
19963,255,413
19973,223,411
19983,201,420
19993,227,419
20003,291,395
20013,356,402
20023,336,405
20033,336,446
20043,292,448
20053,393,448
20063,432,438
20073,423,445
20083,396,430
20093,374,447
20103,345,523
20113,351,511
20123,342,481
20133,306,469
20143,368,511
20153,332,511
20163,346,530
20173,304,506
20183,286,503
20193,243,479
20203,246,446
20213,236,494
20223,204,444
20233,220,432
20243,209,447
20253,191,464
20263,158,505
20273,144,510
20283,119,523
20293,128,493
20303,139,509
20313,135,566
20323,124,627
20333,113,673
20343,99,625
20353,98,755
20363,117,720
20373,110,708
20383,100,656
20393,98,645
20403,97,682
20413,107,661
20423,101,652
20433,95,656
20443,96,638
20453,86,738
20463,80,688
20473,80,685
20483,85,779
20493,75,811
20503,93,816
20513,87,752
20523,91,703
20533,85,794
20543,86,831
20553,94,822
20563,95,843
20573,99,829
20583,112,815
20593,99,789
20603,105,784
20613,105,869
20623,111,891
20633,113,965
20643,112,938
20653,96,929
20663,82,848
20673,80,832
20683,71,784
20693,78,752
20703,74,787
20713,77,744
20723,71,758
20733,67,786
20743,71,805
20753,63,763
20763,65,746
20773,73,863
20783,76,858
25292,48,156
25302,58,154
25312,59,158
25322,54,154
25332,50,144
25342,57,152
25352,53,149
25362,54,150
25372,51,155
25382,57,150
25392,55,155
25402,49,158
25412,51,151
25422,55,150
25432,53,149
25442,59,157
25452,62,151
25462,57,154
25472,76,151
25482,59,157
25492,66,148
25502,69,150
25512,51,153
25522,64,149
25532,65,148
25542,68,158
25552,64,151
25562,59,198
25572,67,276
25582,60,427
25592,62,610
25602,58,894
25612,52,1377
25622,64,1738
25632,65,1750
25642,77,1930
25652,80,2447
25662,90,2546
25672,109,3201
25682,159,3472
25692,171,3518
25702,144,3363
25712,177,3214
25722,157,3519
25732,176,3849
25742,154,3937
25752,161,3933
25762,172,3940
25772,187,3935
25782,403,3907
25792,342,3930
25802,368,3815
25812,365,3617
25822,395,3172
25832,373,3607
25842,371,3425
25852,351,3937
25862,352,3709
25872,302,3699
25882,285,3392
25892,318,3225
25902,320,3344
25912,389,3332
25922,402,3296
25932,464,3383
25942,551,3745
25952,553,3932
25962,462,3933
25972,434,3937
25982,394,3934
25992,294,3946
26002,357,3933
26012,333,3936
26022,338,3932
26032,328,3925
26042,338,3502
26052,334,2926
26062,299,2669
26072,274,2403
26082,377,2326
26092,366,2145
26102,342,2018
26112,334,1933
26122,300,1602
26132,322,1326
26142,277,1102
26152,293,1006
26162,323,1120
26172,335,1221
26182,185,1489
26192,319,1263
26202,208,1104
26212,431,922
26222,351,855
26232,304,741
26242,270,745
26252,243,656
26262,272,575
26272,226,511
26282,235,478
26292,218,451
26302,194,427
26312,197,414
26322,186,400
26332,155,377
26342,62,389
26352,128,350
26362,126,360
26372,130,368
26382,138,386
26392,151,392
26402,160,393
26412,189,384
26422,195,386
26432,173,389
26442,149,378
26452,132,368
26462,125,360
26472,109,349
26482,118,339
26492,158,359
26502,140,330
26512,170,385
26522,157,363
26532,148,336
26542,140,335
26552,144,343
26562,119,343
26572,129,338
26582,138,327
26592,144,364
26602,140,368
26612,176,414
26622,158,442
26632,144,429
26642,172,454
26652,241,464
26662,343,443
26672,316,490
26682,270,462
26692,226,437
26702,219,424
26712,194,421
26722,172,383
26732,145,367
26742,128,357
26752,121,322
26762,113,310
26772,100,295
26782,100,272
26792,90,303
26802,82,240
26812,76,195
26822,77,240
26832,74,224
26842,66,226
26852,67,241
26862,64,240
26872,62,163
26882,64,238
26892,64,227
26902,64,134
26912,63,249
26922,59,224
26932,61,173
26942,66,222
26952,65,139
26962,81,214
26972,76,198
26982,80,207
26992,81,208
27002,80,226
27012,92,222
27022,84,219
27032,94,226
27042,95,219
27052,85,215
27062,82,213
27072,83,207
27082,82,240
27092,75,271
27102,70,207
27112,67,257
27122,65,219
27132,65,201
27142,62,210
27152,63,194
27162,58,208
27172,61,192
27182,61,188
27192,62,189
27202,64,190
27212,62,195
27222,74,193
27232,69,192
27242,71,191
27252,66,187
27262,84,215
27272,77,188
27282,71,183
31791,64,161
31801,52,161
31811,51,158
31821,53,158
31831,56,161
31841,48,161
31851,57,167
31861,54,164
31871,51,169
31881,53,171
31891,61,170
31901,52,172
31911,54,179
31921,51,175
31931,49,176
31941,49,175
31951,54,176
31961,53,173
31971,54,162
