timestamp_ms,wire1_pin34,wire2_pin32
15090,0,0
15100,0,0
15110,0,0
15120,0,0
15130,0,0
15140,0,0
15150,0,0
15160,0,0
15170,0,0
15180,0,0
15190,0,0
15200,0,0
15210,0,0
15220,0,0
15230,0,0
15240,0,0
15250,0,0
15260,0,0
15270,0,0
15280,0,0
15290,0,0
15300,0,0
15310,0,0
15320,0,0
15330,0,0
15340,0,0
15350,0,0
15360,0,0
15370,0,0
15380,0,0
15390,0,0
15400,0,0
15410,0,0
15420,0,0
15430,0,0
15440,0,0
15450,0,0
15460,0,0
15470,0,0
15480,0,0
15490,0,0
15500,0,0
15510,0,0
15520,0,0
15530,0,0
15540,0,0
15550,0,0
15560,0,0
15570,0,0
15580,0,0
15590,0,0
15600,21,0
15610,21,0
15620,98,0
15630,193,0
15640,190,0
15650,174,0
15660,150,0
15670,144,0
15680,119,0
15690,145,0
15700,153,187
15710,170,471
15720,193,701
15730,168,1183
15740,145,1499
15750,144,1440
15760,123,1282
15770,101,1326
15780,116,1391
15790,90,1218
15800,119,1243
15810,128,1088
15820,144,1063
15830,111,944
15840,112,895
15850,132,779
15860,127,721
15870,123,697
15880,105,619
15890,100,596
15900,110,511
15910,80,451
15920,60,415
15930,48,393
15940,56,343
15950,87,337
15960,90,322
15970,116,336
15980,70,326
15990,74,336
16000,78,332
16010,66,277
16020,42,240
16030,51,209
16040,34,265
16050,41,240
16060,27,257
16070,5,298
16080,3,213
16090,0,274
16100,0,230
16110,0,230
16120,0,192
16130,0,175
16140,0,145
16150,0,112
16160,0,133
16170,0,89
16180,0,114
16190,0,85
16200,0,105
16210,0,79
16220,0,79
16230,0,69
16240,0,94
16250,0,82
16260,0,89
16270,0,67
16280,0,64
16290,0,47
16300,0,50
16310,0,33
16320,0,39
16330,0,33
16340,0,16
16350,0,15
16360,0,15
16370,0,14
16380,0,16
16390,0,2
16400,0,0
16410,0,0
16420,0,0
16430,0,0
16440,0,0
16450,0,0
16460,0,0
16470,0,0
16480,0,0
16490,0,0
16500,0,0
16510,0,0
16520,0,0
16530,0,0
16540,0,0
16550,0,0
16560,0,0
16570,0,0
16580,0,1
16590,0,0
16600,0,0
16610,0,0
16620,16,0
16630,0,0
16640,0,0
16650,0,0
16660,0,0
16670,0,0
16680,0,0
16690,0,0
16700,0,0
16710,0,0
16720,0,0
16730,0,0
16740,0,0
16750,0,0
16760,0,0
16770,0,0
16780,0,0
16790,0,0
16800,0,0
16810,0,0
16820,0,0
16830,0,0
16840,0,0
16850,0,0
16860,0,0
16870,0,0
16880,0,0
16890,0,0
16900,0,0
16910,0,0
16920,0,0
16930,0,0
16940,0,0
16950,0,0
16960,0,0
16970,0,0
16980,0,0
16990,0,0
17000,0,0
17010,0,0
17020,0,0
17030,0,0
17040,0,0
17050,0,0
17060,0,0
17070,0,0
17080,0,0
21589,0,0
21599,0,0
21609,0,0
21619,0,0
21629,0,0
21639,0,0
21649,0,0
21659,0,0
21669,0,0
21679,0,0
21689,0,0
21699,0,0
21709,0,0
21719,0,0
21729,0,0
21739,0,0
21749,0,0
21759,0,0
21769,0,0
21779,0,0
