timestamp_ms,wire1_pin34,wire2_pin32
16992,112,0
17002,77,0
17012,115,0
17022,110,0
17032,105,0
17042,109,0
17052,110,0
17062,105,0
17072,94,0
17082,93,0
17092,103,0
17102,99,0
17112,109,0
17122,117,0
17132,113,0
17142,94,0
17152,109,0
17162,97,0
17172,106,0
17182,99,0
17192,94,0
17202,95,0
17212,95,0
17222,88,0
17232,82,0
17242,97,0
17252,162,0
17262,230,0
17272,178,0
17282,144,0
17292,112,18
17302,149,48
17312,181,48
17322,281,61
17332,326,67
17342,413,80
17352,404,82
17362,333,121
17372,283,124
17382,283,144
17392,346,125
17402,402,130
17412,413,87
17422,411,117
17432,351,109
17442,325,167
17452,274,194
17462,374,212
17472,470,205
17482,464,213
17492,570,221
17502,817,235
17512,959,299
17522,831,320
17532,696,335
17542,611,339
17552,509,365
17562,511,346
17572,538,319
17582,541,243
17592,494,283
17602,507,294
17612,590,307
17622,572,307
17632,524,320
17642,530,349
17652,560,320
17662,560,327
17672,720,293
17682,912,273
17692,938,335
17702,909,381
17712,818,346
17722,712,311
17732,685,315
17742,663,206
17752,624,272
17762,602,336
17772,548,305
17782,645,304
17792,709,363
17802,677,336
17812,617,316
17822,579,352
17832,566,422
17842,640,357
17852,614,310
17862,640,282
17872,666,351
17882,586,349
17892,483,323
17902,411,272
17912,352,314
17922,354,368
17932,421,399
17942,455,371
17952,400,445
17962,465,432
17972,415,403
17982,416,405
17992,528,387
18002,496,405
18012,457,432
18022,400,417
18032,432,359
18042,406,358
18052,479,374
18062,462,338
18072,387,341
18082,343,404
18092,295,367
18102,291,387
18112,343,390
18122,367,346
18132,338,309
18142,331,274
18152,271,243
18162,226,339
18172,235,264
18182,295,304
18192,275,320
18202,298,260
18212,305,229
18222,411,182
18232,426,170
18242,647,147
18252,689,121
18262,611,95
18272,805,128
18282,877,98
18292,778,80
18302,817,55
18312,880,37
18322,773,17
18332,735,16
18342,672,2
18352,756,0
18362,767,0
18372,993,17
18382,1043,37
18392,939,37
18402,1008,16
18412,1108,2
18422,1282,0
18432,1203,0
18442,1036,0
18452,1053,0
18462,1034,0
18472,1089,0
18482,1218,0
18492,1213,0
18502,1325,2
18512,1403,13
18522,1264,0
18532,1170,18
18542,1079,16
18552,1178,3
18562,1068,15
18572,1131,7
18582,1172,0
18592,1227,0
18602,1063,0
18612,867,0
18622,784,0
18632,738,0
18642,667,0
18652,592,0
18662,544,0
18672,555,0
18682,462,0
18692,432,0
18702,350,0
18712,343,0
18722,276,0
18732,293,0
18742,306,0
18752,347,0
18762,297,0
18772,300,0
18782,247,0
18792,272,0
18802,212,0
18812,247,0
18822,191,0
18832,225,0
18842,190,0
18852,226,0
18862,164,0
18872,188,0
18882,157,0
18892,176,0
18902,139,0
18912,170,0
18922,133,0
18932,157,0
18942,144,0
18952,128,0
18962,129,0
18972,157,0
18982,125,0
23491,79,0
23501,79,0
23511,83,0
23521,77,0
23531,91,0
23541,84,0
23551,95,0
23561,93,0
23571,91,0
23581,80,0
23591,79,0
23601,68,0
23611,80,0
23621,77,0
23631,84,0
23641,76,0
23651,91,0
23661,75,0
23671,74,0
23681,73,0
23691,77,0
23701,75,0
23711,70,0
23721,66,0
23731,67,0
23741,86,0
23751,112,0
23761,94,0
23771,80,0
23781,93,19
23791,87,72
23801,80,71
23811,67,47
23821,78,81
23831,127,115
23841,103,150
23851,153,144
23861,208,157
23871,182,141
23881,304,143
23891,499,144
23901,497,144
23911,455,259
23921,390,203
23931,323,218
23941,422,243
23951,511,211
23961,570,271
23971,636,279
23981,661,229
23991,754,256
24001,751,210
24011,624,330
24021,891,403
24031,820,430
24041,749,439
24051,880,443
24061,896,401
24071,759,351
24081,622,359
24091,621,333
24101,673,299
24111,751,298
24121,691,333
24131,689,381
24141,699,327
24151,689,315
24161,654,304
24171,619,331
24181,557,336
24191,557,334
24201,583,321
24211,711,292
24221,754,268
24231,735,274
24241,791,268
24251,683,252
24261,688,233
24271,819,188
24281,773,176
24291,652,222
24301,599,261
24311,599,266
24321,475,259
24331,403,249
24341,374,253
24351,365,219
24361,287,178
