timestamp_ms,wire1_pin34,wire2_pin32
75196,579,3931
75206,566,3661
75216,577,3374
75226,574,2979
75236,577,2602
75246,572,2170
75256,588,3934
75266,606,3922
75276,637,3931
75286,602,3647
75296,619,3343
75306,587,2943
75316,598,2578
75326,594,2155
75336,602,3930
75346,563,3931
75356,562,3925
75366,560,3653
75376,586,3350
75386,585,2950
75396,590,2589
75406,567,2166
75416,572,3933
75426,553,3932
75436,566,3929
75446,570,3673
75456,593,3362
75466,573,2960
75476,597,2603
75486,599,2177
75496,603,3938
75506,581,3939
75516,643,3932
75526,546,3675
75536,576,3365
75546,563,2973
75556,545,2610
75566,561,2195
75576,549,3942
75586,560,3934
75596,719,3920
75606,528,3673
75616,675,3350
75626,582,2953
75636,590,2587
75646,568,2186
75656,693,3937
75666,834,3940
75676,873,3927
75686,1353,3691
75696,1419,3375
75706,1302,3002
75716,1233,2640
75726,1381,2231
75736,2109,3947
75746,2512,3929
75756,2704,3924
75766,2435,3696
75776,3056,3393
75786,3775,3021
75796,3947,2661
75806,3952,2256
75816,3920,3930
75826,3478,3939
75836,3027,3932
75846,2657,3718
75856,2722,3309
75866,3002,2897
75876,2559,2414
75886,3053,3347
75896,3088,3939
75906,3396,3946
75916,3845,3190
75926,3937,2548
75936,3952,2080
75946,3949,1683
75956,3939,1328
75966,3728,1097
75976,2903,883
75986,2384,767
75996,2000,656
76006,1673,574
76016,1342,527
76026,1076,450
76036,868,397
76046,703,322
76056,576,255
76066,463,205
76076,379,180
76086,310,164
76096,261,146
76106,235,150
76116,195,135
76126,164,127
76136,144,129
76146,133,128
76156,115,111
76166,304,128
76176,656,103
76186,894,84
76196,927,82
76206,1056,58
76216,897,49
76226,889,51
76236,1023,75
76246,1023,83
76256,891,77
76266,965,66
76276,976,65
76286,1072,48
76296,912,65
76306,832,59
76316,754,49
76326,976,64
76336,853,51
76346,832,57
76356,839,47
76366,874,59
76376,833,59
76386,764,83
76396,753,70
76406,720,78
76416,642,57
76426,658,54
76436,638,49
76446,650,35
76456,580,27
76466,674,32
76476,615,16
76486,738,18
76496,679,9
76506,719,9
76516,663,1
76526,735,12
76536,735,0
76546,797,0
76556,731,0
76566,810,0
76576,717,0
76586,769,0
76596,679,0
76606,751,0
76616,654,0
76626,681,0
76636,630,0
76646,659,0
76656,592,0
76666,608,0
76676,585,0
76686,633,0
76696,615,0
76706,605,0
76716,553,0
76726,576,0
76736,550,0
76746,578,0
76756,562,0
76766,593,0
76776,581,0
76786,613,0
76796,574,0
76806,570,0
76816,535,0
76826,544,0
76836,511,0
76846,542,0
76856,528,0
76866,550,0
76876,527,0
76886,563,0
76896,540,0
76906,566,0
76916,551,0
76926,571,0
76936,540,0
76946,560,0
76956,511,0
76966,535,0
76976,529,0
76986,528,0
76996,498,0
77006,511,0
77016,529,0
77026,538,0
77036,534,0
77046,538,0
77056,506,0
77066,522,0
77076,487,0
77086,478,0
77096,464,0
77106,469,0
77116,443,0
77126,460,0
77136,446,0
77146,459,0
77156,465,0
77166,464,0
77176,465,0
77186,464,0
81695,451,0
81705,451,0
81715,445,0
81725,453,0
81735,431,0
81745,432,0
81755,414,0
81765,423,0
81775,416,0
81785,418,0
81795,402,0
81805,449,0
81815,423,0
81825,429,0
81835,432,0
81845,453,0
81855,427,0
81865,462,0
81875,438,0
81885,470,0
81895,430,0
81905,434,0
81915,442,0
81925,444,0
81935,451,0
81945,464,0
81955,451,0
81965,455,0
81975,451,0
81985,438,0
81995,656,0
82005,769,0
82015,1152,0
82025,2137,0
82035,2538,0
82045,3578,0
82055,3925,0
82065,3940,0
82075,3942,0
82085,3952,0
82095,3937,0
82105,3941,0
82115,3939,0
82125,3954,0
82135,3916,0
82145,3101,0
82155,2735,0
82165,2640,0
82175,2643,0
82185,2539,0
82195,2301,0
82205,2685,0
82215,2559,0
82225,2548,0
82235,2601,1
82245,2511,7
82255,2055,29
82265,1925,20
82275,1617,26
82285,1419,9
82295,1182,0
82305,1040,0
82315,972,0
82325,973,0
82335,899,0
82345,848,0
82355,816,0
82365,906,0
82375,944,0
82385,1280,0
82395,1223,0
82405,1390,0
82415,1402,16
82425,1393,31
82435,1707,32
82445,1805,31
82455,1771,34
82465,2113,45
82475,2287,65
82485,2256,67
82495,2258,66
82505,2336,53
82515,2661,37
82525,2501,55
82535,2235,67
82545,2174,86
82555,1909,76
82565,1825,80
82575,1487,95
82585,1466,84
82595,1345,61
82605,1617,47
82615,1616,26
82625,1445,20
82635,1395,23
82645,1157,23
82655,1023,29
82665,955,30
82675,867,1
82685,832,16
82695,799,27
82705,678,17
82715,717,7
82725,755,0
82735,720,0
82745,661,0
82755,699,0
82765,671,0
82775,630,0
82785,560,0
82795,560,0
82805,511,0
82815,530,0
82825,501,0
82835,530,0
82845,511,0
82855,486,0
82865,461,0
82875,423,0
82885,410,0
82895,432,0
82905,428,0
82915,432,0
82925,420,0
82935,445,0
82945,431,0
82955,415,0
82965,411,0
82975,429,0
82985,424,0
82995,415,0
83005,417,0
83015,442,0
83025,435,0
83035,437,0
83045,435,0
83055,438,0
83065,464,0
83075,452,0
83085,435,0
83095,423,0
83105,415,0
83115,381,0
83125,415,0
83135,388,0
83145,379,0
83155,369,0
83165,386,0
83175,400,0
83185,393,0
83195,403,0
83205,431,0
83215,398,0
83225,386,0
83235,373,0
83245,391,0
83255,391,0
83265,385,0
83275,384,0
83285,399,0
83295,401,0
83305,421,0
83315,400,0
83325,386,0
83335,368,0
83345,347,0
83355,368,0
83365,410,0
83375,425,0
83385,422,0
83395,395,0
83405,384,0
83415,380,0
83425,383,0
83435,382,0
83445,415,0
83455,409,0
83465,426,0
83475,417,0
83485,389,0
83495,369,0
83505,464,0
83515,528,0
83525,489,0
83535,435,0
83545,432,0
83555,402,0
83565,404,0
83575,404,0
83585,383,0
83595,368,0
83605,346,0
83615,350,0
83625,398,0
83635,407,0
83645,441,0
83655,426,0
83665,425,0
83675,426,0
83685,435,0
88194,443,0
88204,435,0
88214,432,0
88224,413,0
88234,435,0
88244,429,0
88254,429,0
88264,422,0
88274,420,0
88284,403,0
88294,421,0
88304,426,0
88314,431,0
88324,410,0
88334,426,0
88344,412,0
88354,425,0
88364,412,0
88374,429,0
88384,427,0
88394,459,0
88404,427,0
88414,419,0
88424,430,0
88434,432,0
88444,409,0
88454,419,0
88464,422,0
88474,432,0
88484,432,0
88494,400,0
88504,603,0
88514,702,0
88524,807,0
88534,1451,0
88544,2539,0
88554,3484,0
88564,3947,0
88574,3943,0
88584,3947,0
88594,3952,0
88604,3951,0
88614,3951,0
88624,3949,0
88634,3941,0
88644,3545,0
88654,3236,0
88664,3227,0
88674,2896,0
88684,3447,0
88694,3885,5
88704,3935,44
88714,3554,48
88724,3933,88
88734,3255,107
88744,2631,147
88754,2342,176
88764,2113,199
88774,1979,209
88784,1730,194
88794,1490,163
88804,1728,124
88814,1714,90
88824,1472,61
88834,1257,15
88844,1499,16
88854,1519,0
88864,1502,0
88874,1455,0
88884,1635,0
88894,1471,0
88904,1694,45
88914,1709,35
88924,1723,54
88934,2127,107
88944,2175,102
88954,2045,115
88964,2459,90
88974,2487,117
88984,2288,106
88994,2126,97
89004,2073,57
89014,1777,58
89024,1776,64
89034,1535,64
89044,1606,48
89054,1442,20
89064,1342,12
89074,1390,23
89084,1359,9
89094,1292,26
89104,1091,25
89114,1015,2
89124,914,0
89134,860,0
89144,779,0
89154,721,0
89164,759,0
89174,811,0
89184,856,0
89194,847,0
89204,755,0
89214,729,0
89224,653,0
89234,647,0
89244,589,0
89254,579,0
89264,579,0
89274,560,0
89284,506,0
89294,555,0
89304,508,0
89314,530,0
89324,507,0
89334,530,0
89344,501,0
89354,509,0
89364,490,0
89374,528,0
89384,496,0
89394,496,0
89404,448,0
89414,437,0
89424,448,0
89434,485,0
89444,448,0
89454,460,0
89464,413,0
89474,430,0
89484,418,0
89494,422,0
89504,403,0
89514,448,0
89524,423,0
89534,418,0
89544,403,0
89554,432,0
89564,425,0
89574,405,0
89584,423,0
89594,439,0
89604,415,0
89614,425,0
89624,399,0
89634,409,0
89644,400,0
89654,400,0
89664,410,0
89674,439,0
89684,415,0
89694,441,0
89704,439,0
89714,439,0
89724,384,0
89734,417,0
89744,432,0
89754,443,0
89764,431,0
89774,446,0
89784,413,0
89794,416,0
89804,421,0
89814,419,0
89824,400,0
89834,413,0
89844,387,0
89854,389,0
89864,375,0
89874,402,0
89884,397,0
89894,400,0
89904,395,0
89914,327,0
89924,383,0
89934,413,0
89944,388,0
89954,401,0
89964,400,0
89974,379,0
89984,389,0
89994,403,0
90004,379,0
90014,431,0
90024,374,0
90034,432,0
90044,399,0
90054,474,0
90064,352,0
90074,373,0
90084,397,0
90094,379,0
90104,402,0
90114,373,0
90124,350,0
90134,352,0
90144,305,0
90154,341,0
90164,343,0
90174,402,0
90184,417,0
94693,315,2559
94703,303,2221
94713,277,3941
94723,331,3941
94733,321,3921
94743,336,3713
94753,324,3344
94763,346,2998
94773,306,2599
94783,346,2227
94793,344,3939
94803,336,3941
94813,320,3920
94823,333,3718
94833,316,3347
94843,330,3022
94853,315,2605
94863,320,2230
94873,338,3933
94883,342,3938
94893,337,3911
94903,355,3714
94913,362,3333
94923,354,3007
94933,330,2559
94943,352,2222
94953,347,3936
94963,379,3943
94973,381,3927
94983,369,3739
94993,339,3349
95003,370,3022
95013,372,2598
95023,391,2223
95033,387,3933
95043,455,3929
95053,581,3899
95063,847,3714
95073,1290,3323
95083,1693,3007
95093,2358,2559
95103,2497,2218
95113,2477,3935
95123,2378,3926
95133,2631,3921
95143,2452,3759
95153,2739,3397
95163,3335,3071
95173,3346,2649
95183,3945,2224
95193,3933,3935
95203,3381,3930
95213,2937,3935
95223,2782,3924
95233,3702,3376
95243,3228,2797
95253,2905,2559
95263,3071,2345
95273,2704,2139
95283,2624,1930
95293,2559,1623
95303,2330,1269
95313,1929,1022
95323,1650,816
95333,1340,661
95343,1098,506
95353,898,406
95363,876,307
95373,856,240
95383,1039,204
95393,1236,170
95403,1761,177
95413,1991,158
95423,2399,158
95433,2416,139
95443,2480,145
95453,2235,116
95463,2229,110
95473,1859,71
95483,1698,62
95493,1643,30
95503,1476,25
95513,1237,11
95523,1201,6
95533,1132,0
95543,1033,7
95553,879,5
95563,851,30
95573,812,15
95583,816,16
95593,770,16
95603,747,2
95613,767,0
95623,694,6
95633,613,1
95643,575,15
95653,558,11
95663,579,0
95673,528,16
95683,592,12
95693,510,0
95703,494,3
95713,444,0
95723,400,0
95733,372,0
95743,368,0
95753,323,0
95763,383,0
95773,343,0
95783,419,0
95793,368,0
95803,397,0
95813,338,0
95823,411,0
95833,338,0
95843,357,0
95853,316,0
95863,368,0
95873,356,0
95883,379,0
95893,365,0
95903,386,0
95913,364,0
95923,386,0
95933,368,0
95943,391,0
95953,364,0
95963,386,0
95973,363,0
95983,403,0
95993,399,0
96003,407,0
96013,377,0
96023,369,0
96033,338,0
96043,410,0
96053,375,0
96063,405,0
96073,390,0
96083,391,0
96093,369,0
96103,383,0
96113,358,0
96123,379,0
96133,370,0
96143,402,0
96153,385,0
96163,416,0
96173,398,0
96183,409,0
96193,393,0
96203,416,0
96213,399,0
96223,400,0
96233,358,0
96243,394,0
96253,391,0
96263,428,0
96273,402,0
96283,415,0
96293,402,0
96303,418,0
96313,411,0
96323,395,0
96333,377,0
96343,357,0
96353,368,0
96363,386,0
96373,378,0
96383,353,0
96393,349,0
96403,379,0
96413,358,0
96423,383,0
96433,367,0
96443,346,0
96453,358,0
96463,373,0
96473,353,0
96483,370,0
96493,361,0
96503,397,0
96513,359,0
96523,388,0
96533,368,0
96543,368,0
96553,347,0
96563,367,0
96573,361,0
96583,400,0
96593,373,0
96603,404,0
96613,384,0
96623,396,0
96633,381,0
96643,394,0
96653,370,0
96663,387,0
96673,375,0
96683,365,0
101192,443,35
101202,420,53
101212,437,30
101222,421,31
101232,461,16
101242,438,16
101252,463,18
101262,443,11
101272,448,7
