timestamp_ms,wire1_pin34,wire2_pin32
346622,0,0
346632,0,0
346642,0,0
346652,0,0
346662,0,0
346672,0,0
346682,0,0
346692,0,0
346702,0,0
346712,0,0
346722,0,0
346732,0,0
346742,0,0
346752,0,0
346762,0,0
346772,0,0
346782,0,0
346792,0,0
346802,0,0
346812,0,0
346822,0,0
346832,0,0
346842,0,0
346852,0,0
346862,0,0
346872,0,0
346882,0,0
346892,0,0
346902,0,0
346912,0,0
346922,0,0
346932,0,0
346942,0,0
346952,0,0
346962,0,0
346972,0,0
346982,0,0
346992,0,0
347002,0,0
347012,0,0
347022,0,0
347032,0,0
347042,0,0
347052,0,0
347062,0,0
347072,0,0
347082,0,0
347092,0,0
347102,0,0
347112,0,0
347122,0,0
347132,0,0
347142,0,0
347152,0,0
347162,0,0
347172,0,0
347182,0,0
347192,0,0
347202,0,0
347212,0,0
347222,0,0
347232,0,0
347242,0,0
347252,0,0
347262,0,0
347272,0,0
347282,0,0
347292,0,0
347302,0,0
347312,0,0
347322,0,0
347332,0,0
347342,0,0
347352,0,0
347362,0,0
347372,0,0
347382,0,0
347392,0,0
347402,0,0
347412,0,0
347422,0,0
347432,0,0
347442,0,0
347452,0,0
347462,0,0
347472,0,0
347482,0,0
347492,0,0
347502,0,0
347512,0,0
347522,0,0
347532,0,0
347542,0,0
347552,0,0
347562,0,0
347572,0,0
347582,0,0
347592,0,0
347602,0,0
347612,0,0
347622,0,0
347632,0,0
347642,0,0
347652,0,0
347662,0,0
347672,0,0
347682,0,0
347692,0,0
347702,0,0
347712,0,0
347722,0,0
347732,0,0
347742,0,0
347752,0,0
347762,0,0
347772,0,0
347782,0,0
347792,0,0
347802,0,0
347812,0,0
347822,0,0
347832,0,0
347842,0,0
347852,0,0
347862,0,0
347872,0,0
347882,0,0
347892,0,0
347902,0,0
347912,0,0
347922,0,0
347932,0,0
347942,0,0
347952,0,0
347962,0,0
347972,0,0
347982,3,0
347992,7,0
348002,0,0
348012,0,0
348022,0,0
348032,0,0
348042,0,0
348052,0,0
348062,0,0
348072,0,0
348082,0,0
348092,0,0
348102,0,0
348112,0,0
348122,0,0
348132,0,0
348142,9,0
348152,7,0
348162,0,0
348172,0,0
348182,55,0
348192,0,0
348202,0,0
348212,0,0
348222,0,0
348232,0,0
348242,0,0
348252,0,0
348262,0,0
348272,0,0
348282,0,0
348292,0,0
348302,0,0
348312,0,0
348322,0,0
348332,0,0
348342,0,0
348352,0,0
348362,0,0
348372,0,0
348382,0,0
348392,0,0
348402,0,0
348412,0,0
348422,0,0
348432,0,0
348442,0,0
348452,0,0
348462,0,0
348472,0,0
348482,0,0
348492,0,0
348502,0,0
348512,0,0
348522,0,0
348532,0,0
348542,0,0
348552,0,0
348562,0,0
348572,0,0
348582,0,0
348592,0,0
348602,0,0
348612,0,0
353121,0,0
353131,0,0
353141,0,0
353151,0,0
353161,0,0
353171,0,0
353181,0,0
353191,0,0
353201,0,0
353211,0,0
353221,0,0
353231,0,0
353241,0,0
353251,0,0
353261,0,0
353271,0,0
353281,0,0
353291,0,0
353301,0,0
353311,0,0
353321,0,0
353331,0,0
353341,0,0
353351,0,0
353361,0,0
353371,0,0
353381,0,0
353391,0,0
353401,0,0
353411,0,0
353421,0,0
353431,0,0
353441,0,0
353451,0,0
353461,0,0
353471,0,0
353481,0,0
353491,0,0
353501,0,0
353511,0,0
353521,0,0
353531,1,0
353541,69,0
353551,174,0
353561,180,0
353571,161,0
353581,195,0
353591,268,0
353601,260,0
353611,287,0
353621,304,0
353631,418,0
353641,626,0
353651,811,0
353661,658,0
353671,628,0
353681,562,0
353691,511,0
353701,474,0
353711,541,0
353721,528,0
353731,544,0
353741,622,0
353751,723,0
353761,635,0
353771,614,0
353781,592,0
353791,667,0
353801,914,0
353811,859,0
353821,838,0
353831,765,0
353841,883,0
353851,986,0
353861,1006,0
353871,894,0
353881,879,0
353891,894,0
353901,864,0
353911,863,11
353921,739,0
353931,691,32
353941,741,27
353951,741,24
353961,625,33
353971,708,42
353981,729,62
353991,612,48
354001,503,55
354011,411,51
354021,341,50
354031,303,47
354041,251,48
354051,227,31
354061,201,38
354071,222,30
354081,207,25
354091,178,20
354101,165,16
354111,134,1
354121,214,13
354131,239,0
354141,242,0
354151,208,0
354161,167,0
354171,303,0
354181,304,0
354191,294,0
354201,250,0
354211,208,0
354221,197,0
354231,156,0
354241,113,0
354251,71,0
354261,48,0
354271,28,0
354281,27,0
354291,16,0
354301,5,0
354311,0,0
354321,0,0
354331,16,0
354341,16,0
354351,0,0
354361,0,0
354371,0,0
354381,0,0
354391,0,0
354401,0,0
354411,0,0
354421,0,0
354431,0,0
354441,0,0
354451,0,0
354461,0,0
354471,0,0
354481,0,0
354491,0,0
354501,0,0
354511,0,0
354521,0,0
354531,0,0
354541,0,0
354551,0,0
354561,0,0
354571,0,0
354581,0,0
354591,0,0
354601,0,0
354611,0,0
354621,0,0
354631,0,0
354641,0,0
354651,0,0
354661,0,0
354671,0,0
354681,0,0
354691,0,0
354701,0,0
354711,0,0
354721,0,0
354731,0,0
354741,0,0
354751,0,0
354761,0,0
354771,0,0
354781,0,0
354791,0,0
354801,0,0
354811,0,0
354821,0,0
354831,0,0
354841,0,0
354851,0,0
354861,0,0
354871,0,0
354881,0,0
354891,0,0
354901,0,0
354911,0,0
354921,0,0
354931,0,0
354941,0,0
354951,0,0
354961,0,0
354971,0,0
354981,0,0
354991,0,0
355001,0,0
355011,0,0
355021,0,0
355031,0,0
355041,26,0
355051,0,0
355061,0,0
355071,0,0
355081,0,0
355091,0,0
355101,0,0
355111,0,0
359620,0,0
359630,0,0
359640,0,0
359650,0,0
359660,0,0
359670,0,0
359680,0,0
359690,0,0
359700,0,0
359710,0,0
359720,0,0
359730,0,0
359740,0,0
359750,0,0
359760,0,0
359770,0,0
359780,0,0
359790,0,0
359800,0,0
359810,0,0
359820,0,0
359830,0,0
359840,0,0
359850,0,0
359860,0,0
359870,0,0
359880,0,0
359890,0,0
359900,0,0
359910,0,0
359920,44,0
359930,55,0
359940,107,0
359950,145,0
359960,247,0
359970,282,0
359980,342,0
359990,529,0
360000,497,0
360010,482,0
360020,603,0
360030,559,0
360040,525,0
360050,615,0
360060,609,0
360070,603,0
360080,704,0
360090,729,0
360100,796,0
360110,784,0
360120,644,0
360130,599,0
360140,527,0
360150,496,0
360160,393,0
360170,537,0
360180,490,0
360190,655,0
360200,766,0
360210,783,0
360220,700,0
360230,658,0
360240,571,0
360250,533,0
360260,478,0
360270,398,0
360280,387,0
360290,435,0
360300,454,0
360310,427,0
360320,454,0
360330,413,0
360340,435,0
360350,341,0
360360,318,0
360370,272,0
360380,237,0
360390,208,0
360400,208,0
360410,238,1
360420,250,0
360430,256,0
360440,257,0
360450,321,0
360460,354,0
360470,384,10
360480,463,16
360490,402,17
360500,692,5
360510,978,23
360520,1136,48
360530,1424,61
360540,1259,60
360550,1293,72
360560,1315,66
360570,1255,61
360580,1074,49
360590,1100,32
360600,1054,39
360610,885,41
360620,1008,22
360630,955,18
360640,1055,23
360650,883,68
360660,787,70
360670,686,65
360680,656,50
360690,611,38
360700,483,21
360710,377,2
360720,301,0
360730,244,0
360740,176,0
360750,141,0
360760,108,0
360770,71,0
360780,60,0
360790,48,0
360800,36,0
360810,18,0
360820,16,0
360830,9,0
360840,0,0
360850,0,0
360860,0,0
360870,0,0
360880,0,0
360890,0,0
360900,0,0
360910,0,0
360920,0,0
360930,0,0
360940,0,0
360950,0,0
360960,0,0
360970,0,0
360980,0,0
360990,0,0
361000,0,0
361010,0,0
361020,0,0
361030,0,0
361040,0,0
361050,0,0
361060,0,0
361070,0,0
361080,0,0
361090,0,0
361100,0,0
361110,0,0
361120,0,0
361130,0,0
361140,0,0
361150,0,0
361160,0,0
361170,0,0
361180,0,0
361190,0,0
361200,0,0
361210,0,0
361220,0,0
361230,0,0
361240,0,0
361250,0,0
361260,0,0
361270,0,0
361280,0,0
361290,0,0
361300,0,0
361310,0,0
361320,0,0
361330,0,0
361340,0,0
361350,0,0
361360,0,0
361370,0,0
361380,0,0
361390,0,0
361400,0,0
361410,0,0
361420,0,0
361430,0,0
361440,0,0
361450,0,0
361460,0,0
361470,0,0
361480,0,0
361490,0,0
361500,0,0
361510,0,0
361520,0,0
361530,0,0
361540,0,0
361550,0,0
361560,0,0
361570,0,0
361580,0,0
361590,0,0
361600,0,0
361610,0,0
366119,0,0
366129,0,0
366139,0,0
366149,0,0
366159,0,0
366169,0,0
366179,0,0
366189,0,0
366199,0,0
366209,0,0
366219,0,0
366229,0,0
366239,0,0
366249,0,0
366259,0,0
366269,0,0
366279,0,0
366289,0,0
366299,0,0
366309,0,0
366319,0,0
366329,0,0
366339,0,0
366349,0,0
366359,0,0
366369,0,0
366379,0,0
366389,0,0
366399,0,0
366409,0,0
366419,0,0
366429,0,0
366439,3,0
366449,16,0
366459,54,0
366469,195,0
366479,273,0
366489,368,0
366499,466,0
366509,466,0
366519,530,0
366529,511,0
366539,509,0
366549,562,0
366559,467,0
366569,445,0
366579,509,0
366589,492,0
366599,409,0
366609,380,0
366619,445,0
366629,546,0
366639,492,0
366649,511,0
366659,528,0
366669,506,0
366679,533,0
366689,638,0
366699,704,0
366709,773,0
366719,754,0
366729,751,0
366739,877,0
366749,771,0
366759,867,0
366769,930,0
366779,866,0
366789,835,0
366799,848,0
366809,858,0
366819,861,0
366829,761,0
366839,713,0
366849,763,0
366859,670,0
366869,620,0
366879,608,0
366889,541,0
366899,539,0
366909,544,0
366919,636,0
366929,636,0
366939,592,0
366949,480,5
366959,452,1
366969,400,0
366979,355,6
366989,305,8
366999,316,7
367009,362,0
367019,309,14
367029,238,18
367039,190,5
367049,306,10
367059,255,14
367069,256,11
367079,349,35
367089,583,29
367099,943,35
367109,1054,32
367119,960,28
367129,820,27
367139,832,27
367149,919,27
367159,753,21
367169,648,16
367179,686,1
367189,613,0
367199,521,0
367209,410,0
367219,347,0
367229,265,0
367239,208,0
367249,156,0
367259,113,0
367269,86,0
367279,60,0
367289,60,0
367299,48,0
367309,26,0
367319,19,0
367329,4,0
367339,0,0
367349,0,0
367359,0,0
367369,0,0
367379,0,0
367389,0,0
367399,0,0
367409,0,0
367419,0,0
367429,0,0
367439,0,0
367449,0,0
367459,0,0
367469,0,0
367479,0,0
367489,0,0
367499,0,0
367509,0,0
367519,0,0
367529,0,0
367539,0,0
367549,0,0
367559,0,0
367569,0,0
367579,0,0
367589,0,0
367599,0,0
367609,0,0
367619,0,0
367629,0,0
367639,0,0
367649,0,0
367659,0,0
367669,0,0
367679,0,0
367689,0,0
367699,0,0
367709,0,0
367719,0,0
367729,0,0
367739,0,0
367749,0,0
367759,0,0
367769,0,0
367779,0,0
367789,0,0
367799,0,0
367809,0,0
367819,0,0
367829,0,0
367839,0,0
367849,0,0
367859,0,0
367869,0,0
367879,0,0
367889,0,0
367899,0,0
367909,0,0
367919,0,0
367929,0,0
367939,0,0
367949,0,0
367959,0,0
367969,0,0
367979,0,0
367989,0,0
367999,0,0
368009,0,0
368019,0,0
368029,0,0
368039,0,0
368049,0,0
368059,0,0
368069,0,0
368079,0,0
368089,0,0
368099,0,0
368109,0,0
372618,0,0
372628,0,0
372638,0,0
372648,0,0
372658,0,0
372668,0,0
372678,0,0
372688,0,0
372698,0,0
372708,0,0
372718,0,0
372728,0,0
372738,0,0
372748,0,0
372758,0,0
372768,0,0
372778,0,0
372788,0,0
372798,0,0
372808,0,0
372818,0,0
372828,0,0
372838,0,0
372848,0,0
372858,0,0
372868,0,0
372878,0,0
372888,0,0
372898,0,0
372908,0,0
372918,0,0
372928,0,0
372938,0,0
372948,0,0
372958,41,0
372968,65,0
372978,195,0
372988,228,0
372998,256,0
373008,328,0
373018,378,0
373028,450,0
373038,461,0
373048,419,0
373058,447,0
373068,435,16
373078,454,0
373088,489,0
373098,497,0
373108,499,0
373118,503,0
373128,557,0
373138,538,0
373148,603,0
373158,615,0
373168,689,0
373178,1093,0
373188,1097,0
373198,1145,0
373208,1094,0
373218,1046,0
373228,966,0
373238,965,0
373248,868,0
373258,827,0
373268,879,0
373278,785,0
373288,804,0
373298,810,0
373308,726,0
373318,718,0
373328,727,0
373338,673,0
373348,615,0
373358,611,0
373368,549,0
373378,458,0
373388,432,0
373398,417,0
373408,406,20
373418,391,6
373428,343,0
373438,321,10
373448,286,2
373458,254,0
373468,213,0
373478,173,0
373488,174,0
373498,182,0
373508,195,0
373518,165,0
373528,154,0
373538,112,0
373548,91,13
373558,74,11
373568,112,48
373578,80,32
373588,66,23
373598,70,31
373608,79,62
373618,102,49
373628,100,46
373638,134,28
373648,151,25
373658,122,16
373668,114,1
373678,87,0
373688,55,0
373698,48,0
373708,42,0
373718,42,0
373728,15,0
373738,13,0
373748,0,0
373758,0,0
373768,0,0
373778,0,0
373788,0,0
373798,0,0
373808,0,0
373818,0,0
373828,0,0
373838,0,0
373848,0,0
373858,0,0
373868,0,0
373878,0,0
373888,0,0
373898,0,0
373908,0,0
373918,0,0
373928,0,0
373938,0,0
373948,0,0
373958,0,0
373968,0,0
373978,0,0
373988,0,0
373998,0,0
374008,0,0
374018,0,0
374028,0,0
374038,0,0
374048,0,0
374058,0,0
374068,0,0
374078,0,0
374088,0,0
374098,0,0
374108,0,0
374118,0,0
374128,0,0
374138,0,0
374148,0,0
374158,0,0
374168,0,0
374178,0,0
374188,0,0
374198,0,0
374208,0,0
374218,0,0
374228,0,0
374238,0,0
374248,0,0
374258,0,0
374268,0,0
374278,0,0
374288,0,0
374298,0,0
374308,0,0
374318,0,0
374328,0,0
374338,0,0
374348,0,0
374358,0,0
374368,0,0
374378,0,0
374388,0,0
374398,0,0
374408,0,0
374418,0,0
374428,0,0
374438,0,0
374448,0,0
374458,0,0
374468,0,0
374478,0,0
374488,0,0
374498,0,0
374508,0,0
374518,0,0
374528,0,0
374538,0,0
374548,0,0
374558,0,0
374568,0,0
374578,0,0
374588,0,0
374598,0,0
374608,0,0
379117,0,0
379127,0,0
379137,0,0
379147,0,0
379157,0,0
379167,0,0
379177,0,0
379187,0,0
379197,0,0
379207,0,0
379217,0,0
379227,0,0
379237,0,0
379247,0,0
379257,0,0
379267,0,0
379277,0,0
379287,0,0
379297,0,0
379307,0,0
379317,0,0
379327,0,0
379337,0,0
379347,0,0
379357,0,0
379367,0,0
379377,0,0
379387,0,0
379397,6,0
379407,38,0
379417,82,0
379427,95,0
379437,101,0
379447,141,0
379457,144,0
379467,162,0
379477,220,0
379487,284,0
379497,400,0
379507,382,0
379517,437,0
379527,478,0
379537,415,0
379547,382,0
379557,432,0
379567,489,0
379577,496,0
379587,423,0
379597,451,0
379607,418,0
379617,410,0
379627,535,0
379637,656,0
379647,695,0
379657,673,0
379667,688,0
379677,739,0
379687,687,0
379697,903,0
379707,963,0
379717,961,0
379727,1136,8
379737,1007,25
379747,934,1
379757,901,0
379767,763,0
379777,653,0
379787,642,0
379797,763,0
379807,688,0
379817,624,0
379827,542,0
379837,592,0
379847,561,0
379857,571,0
379867,494,0
379877,405,0
379887,322,0
379897,275,0
379907,257,0
379917,258,0
379927,205,0
379937,181,70
379947,160,0
379957,112,0
379967,80,0
379977,55,0
379987,39,0
379997,16,0
380007,4,0
380017,0,0
380027,0,0
380037,0,0
380047,0,0
380057,0,0
380067,0,6
380077,0,0
380087,0,0
380097,0,0
380107,0,0
380117,3,0
380127,3,0
380137,0,0
