timestamp_ms,wire1_pin34,wire2_pin32
16849,0,0
16859,0,0
16869,0,0
16879,0,0
16889,0,0
16899,0,0
16909,0,0
16919,0,0
16929,0,0
16939,0,0
16949,0,0
16959,0,0
16969,0,0
16979,0,0
16989,0,0
16999,0,0
17009,0,0
17019,0,0
17029,0,0
17039,0,0
17049,0,0
17059,0,0
17069,0,0
17079,0,0
17089,0,0
17099,0,0
17109,0,0
17119,0,0
17129,0,0
17139,0,0
17149,0,0
17159,0,0
17169,0,0
17179,0,0
17189,0,0
17199,0,0
17209,0,0
17219,0,0
17229,0,0
17239,0,0
17249,0,0
17259,0,0
17269,0,0
17279,0,0
17289,0,0
17299,0,0
17309,0,0
17319,0,0
17329,0,0
17339,0,0
17349,0,0
17359,0,0
17369,0,0
17379,0,0
17389,0,0
17399,0,0
17409,0,0
17419,0,0
17429,0,0
17439,0,0
17449,0,0
17459,0,0
17469,53,0
17479,0,26
17489,0,34
17499,0,281
17509,0,336
17519,0,754
17529,0,869
17539,0,784
17549,0,843
17559,0,809
17569,0,802
17579,0,841
17589,0,750
17599,0,656
17609,0,623
17619,13,555
17629,15,507
17639,71,480
17649,36,470
17659,19,490
17669,40,464
17679,19,455
17689,27,454
17699,0,453
17709,0,400
17719,16,405
17729,16,399
17739,14,389
17749,19,340
17759,16,314
17769,1,247
17779,0,192
17789,0,175
17799,0,144
17809,0,182
17819,0,96
17829,0,83
17839,0,62
17849,0,59
17859,0,68
17869,0,74
17879,0,139
17889,0,122
17899,0,77
17909,0,81
17919,0,51
17929,0,58
17939,0,25
17949,0,39
17959,0,16
17969,0,0
17979,0,0
17989,0,12
17999,0,0
18009,0,1
18019,0,0
18029,0,0
18039,0,0
18049,0,0
18059,0,0
18069,0,0
18079,0,0
18089,0,0
18099,0,0
18109,0,0
18119,0,0
18129,0,0
18139,0,0
18149,0,0
18159,0,0
18169,0,0
18179,0,0
18189,0,0
18199,0,0
18209,0,0
18219,0,0
18229,0,0
18239,0,0
18249,0,0
18259,0,0
18269,0,0
18279,0,0
18289,0,0
18299,0,0
18309,0,0
18319,0,0
18329,0,0
18339,0,0
18349,0,0
18359,0,0
18369,0,0
18379,0,0
18389,0,0
18399,0,0
18409,0,0
18419,0,0
18429,0,0
18439,0,6
18449,0,0
18459,0,0
18469,0,0
18479,0,0
18489,0,0
18499,0,16
18509,0,3
18519,0,11
18529,0,0
18539,0,0
18549,0,0
18559,0,11
18569,0,0
18579,0,0
18589,0,0
18599,0,0
18609,0,0
18619,0,0
18629,0,0
18639,0,0
18649,0,8
18659,0,0
18669,0,0
18679,0,33
18689,0,7
18699,0,42
18709,0,42
18719,0,38
18729,0,16
18739,0,19
18749,0,49
18759,0,29
18769,0,21
18779,0,15
18789,0,0
18799,0,0
18809,0,0
18819,0,4
18829,0,4
18839,0,0
23348,0,0
23358,0,0
23368,0,0
23378,0,0
23388,0,0
23398,0,0
23408,0,0
23418,0,0
23428,0,0
23438,0,0
23448,0,0
23458,0,0
23468,0,0
23478,0,0
23488,0,0
23498,0,0
23508,0,0
23518,0,0
23528,0,0
23538,0,0
23548,0,0
23558,0,0
23568,0,0
23578,0,0
23588,0,0
23598,0,0
23608,0,0
23618,0,0
23628,0,0
23638,0,0
23648,0,0
23658,0,0
23668,0,0
23678,0,0
23688,0,0
23698,0,0
23708,0,0
23718,0,0
23728,0,0
23738,0,16
23748,0,119
23758,0,272
23768,3,637
23778,16,1225
23788,16,1177
23798,55,1065
23808,30,923
23818,80,797
23828,18,831
23838,50,742
23848,15,674
23858,12,671
23868,46,656
23878,41,695
23888,14,654
23898,29,752
23908,0,695
23918,27,654
23928,22,639
23938,14,585
23948,45,528
23958,54,485
23968,80,560
23978,59,487
23988,67,435
23998,78,465
24008,79,403
24018,132,415
24028,181,411
24038,91,434
24048,70,464
24058,71,534
24068,63,487
24078,81,411
24088,66,451
24098,71,448
24108,77,461
24118,71,511
24128,84,503
24138,68,462
24148,69,459
24158,54,404
24168,23,366
24178,1,271
24188,17,223
24198,39,164
24208,20,175
24218,0,134
24228,0,128
24238,0,153
24248,0,146
24258,0,220
24268,0,183
24278,0,151
24288,0,144
24298,0,111
24308,0,93
24318,0,67
24328,0,31
24338,0,36
24348,0,50
24358,0,9
24368,0,17
24378,0,5
24388,0,1
24398,0,0
24408,0,0
24418,0,0
24428,0,0
24438,0,0
24448,0,0
24458,0,0
24468,0,0
24478,0,0
24488,0,0
24498,0,0
24508,0,0
24518,0,0
24528,0,0
24538,0,4
24548,0,47
24558,0,5
24568,0,0
24578,0,0
24588,0,0
24598,0,0
24608,0,0
24618,0,0
24628,0,0
24638,10,0
24648,0,0
24658,0,0
24668,0,0
24678,0,0
24688,0,0
24698,0,0
24708,0,0
24718,0,0
24728,0,0
24738,0,0
24748,21,0
24758,0,0
24768,0,21
24778,0,0
24788,0,0
24798,0,0
24808,0,0
24818,0,0
24828,0,0
24838,0,0
24848,0,0
24858,0,0
24868,0,0
24878,33,0
24888,0,0
24898,0,0
24908,0,0
24918,37,0
24928,0,0
24938,0,0
24948,0,0
24958,0,0
24968,0,0
24978,0,0
24988,0,0
24998,0,0
25008,0,0
25018,0,0
25028,0,0
25038,0,0
25048,0,0
25058,0,35
25068,0,46
25078,0,14
25088,0,22
25098,0,60
25108,0,59
25118,0,32
25128,0,128
25138,0,111
25148,0,122
25158,0,112
25168,0,111
25178,0,178
25188,0,187
25198,0,135
25208,0,77
25218,0,69
25228,0,48
25238,0,21
25248,0,34
25258,0,0
25268,0,39
25278,0,0
25288,0,3
25298,0,0
25308,25,0
25318,0,0
25328,0,4
25338,0,9
29847,0,0
29857,0,0
29867,0,0
29877,0,0
29887,0,0
29897,0,0
29907,0,0
29917,0,0
29927,0,0
29937,0,0
29947,0,0
29957,0,0
29967,0,0
29977,0,0
29987,0,0
29997,0,0
30007,0,0
30017,0,0
30027,0,0
30037,0,0
30047,0,0
30057,0,0
30067,0,0
30077,0,0
30087,0,0
30097,0,0
30107,0,0
30117,0,0
30127,0,0
30137,0,10
30147,0,144
30157,0,330
30167,0,368
30177,0,683
30187,0,912
30197,0,923
30207,4,842
30217,3,929
30227,0,974
30237,6,827
30247,62,874
30257,47,831
30267,58,695
30277,111,591
30287,89,511
30297,127,458
30307,146,511
30317,144,464
30327,139,557
30337,103,495
30347,117,560
30357,93,510
30367,63,496
30377,35,479
30387,30,543
30397,27,475
30407,64,465
30417,79,645
30427,89,560
30437,94,596
30447,118,612
30457,94,576
30467,96,528
30477,81,578
30487,151,566
30497,141,594
30507,115,592
30517,123,587
30527,89,528
30537,64,427
30547,64,349
30557,51,335
30567,24,224
30577,16,202
30587,0,198
30597,0,288
30607,0,379
30617,0,272
30627,0,366
30637,0,335
30647,0,265
30657,0,229
30667,0,167
30677,0,144
30687,0,96
30697,23,80
30707,0,80
30717,0,59
30727,0,41
30737,0,0
30747,0,16
30757,0,19
30767,0,0
30777,47,18
30787,0,33
30797,0,15
30807,0,38
30817,0,37
30827,0,15
30837,0,16
30847,0,36
30857,0,45
30867,0,55
30877,0,18
30887,0,6
30897,0,13
30907,0,3
30917,0,25
30927,0,22
30937,0,2
30947,0,13
30957,0,5
30967,0,0
30977,0,7
30987,0,0
30997,0,0
31007,0,0
31017,0,16
31027,0,16
31037,0,0
31047,0,7
31057,0,0
31067,0,0
31077,0,0
31087,0,0
31097,0,0
31107,0,0
31117,0,0
31127,0,0
31137,0,0
31147,0,0
31157,0,0
31167,0,1
31177,0,0
31187,0,0
31197,0,0
31207,0,0
31217,0,0
31227,0,0
31237,0,0
31247,0,0
31257,0,0
31267,0,0
31277,0,0
31287,0,0
31297,0,0
31307,0,30
31317,0,15
31327,0,6
31337,0,0
31347,0,14
31357,0,0
31367,0,0
31377,0,3
31387,0,6
31397,0,0
31407,0,0
31417,24,0
31427,0,0
31437,0,22
31447,0,11
31457,0,31
31467,0,45
31477,0,50
31487,0,39
31497,0,26
31507,0,23
31517,0,12
31527,0,23
31537,0,14
31547,0,7
31557,0,55
31567,0,0
31577,0,9
31587,0,16
31597,0,0
31607,0,16
31617,0,38
31627,0,9
31637,0,34
31647,0,0
31657,0,0
31667,0,0
31677,0,0
31687,0,0
31697,0,0
31707,0,0
31717,0,0
31727,0,0
31737,0,0
31747,0,0
31757,0,0
31767,0,0
31777,0,0
31787,0,0
31797,0,0
31807,0,0
31817,0,0
31827,0,0
31837,0,0
36346,0,0
36356,0,0
36366,0,0
36376,0,0
36386,0,0
36396,0,0
36406,0,0
36416,0,0
36426,0,0
36436,0,0
36446,0,0
36456,0,0
36466,0,0
36476,0,0
36486,0,0
36496,0,0
36506,0,0
36516,0,0
36526,0,0
36536,0,0
36546,0,0
36556,0,0
36566,0,0
36576,0,0
36586,0,0
36596,0,0
36606,0,0
36616,0,0
36626,0,0
36636,0,0
36646,0,0
36656,0,170
36666,0,355
36676,0,434
36686,0,814
36696,0,1101
36706,0,1232
36716,0,1070
36726,0,951
36736,33,954
36746,49,807
36756,82,754
36766,101,773
36776,107,752
36786,119,841
36796,112,797
36806,107,827
36816,100,972
36826,129,944
36836,115,1059
36846,93,918
36856,95,854
36866,112,707
36876,94,607
36886,103,578
36896,106,672
36906,84,597
36916,128,610
36926,149,605
36936,146,594
36946,124,576
36956,107,549
