timestamp_ms,wire1_pin34,wire2_pin32
347007,0,35
347017,151,39
347027,0,48
347037,159,48
347047,0,36
347057,151,43
347067,0,48
347077,162,36
347087,0,33
347097,161,37
347107,0,39
347117,163,44
347127,0,32
347137,155,30
347147,0,51
347157,159,0
347167,0,25
347177,154,34
347187,0,61
347197,157,36
347207,0,37
347217,157,64
347227,0,87
347237,159,35
347247,0,16
347257,160,0
347267,0,31
347277,147,43
347287,0,26
347297,149,18
347307,0,44
347317,155,43
347327,0,44
347337,159,43
347347,0,24
347357,156,36
347367,0,35
347377,161,23
347387,0,27
347397,161,34
347407,0,41
347417,158,43
347427,0,38
347437,160,32
347447,0,32
347457,160,25
347467,0,43
347477,153,41
347487,0,35
347497,161,36
347507,0,44
347517,155,48
347527,0,44
347537,156,38
347547,0,34
347557,163,28
347567,0,23
347577,157,16
347587,0,14
347597,153,17
347607,0,31
347617,154,30
347627,0,27
347637,159,43
347647,0,27
347657,158,17
347667,0,29
347677,162,18
347687,0,19
347697,155,14
347707,0,20
347717,158,30
347727,0,23
347737,148,21
347747,0,29
347757,158,29
347767,0,39
347777,162,31
347787,0,16
347797,160,16
347807,0,48
347817,161,64
347827,0,64
347837,159,80
347847,0,144
347857,167,112
347867,0,133
347877,166,90
347887,0,106
347897,167,81
347907,0,112
347917,169,112
347927,0,111
347937,165,107
347947,0,115
347957,171,105
347967,0,111
347977,167,113
347987,0,118
347997,161,95
348007,0,85
348017,165,91
348027,0,99
348037,157,101
348047,0,99
348057,155,96
348067,0,80
348077,153,62
348087,0,48
348097,148,67
348107,0,76
348117,159,92
348127,0,80
348137,159,90
348147,0,80
348157,158,89
348167,0,68
348177,150,83
348187,0,75
348197,169,85
348207,0,65
348217,161,83
348227,0,62
348237,147,80
348247,0,58
348257,147,58
348267,0,43
348277,151,65
348287,0,62
348297,144,75
348307,0,48
348317,155,62
348327,0,57
348337,147,63
348347,0,60
348357,146,62
348367,0,55
348377,154,49
348387,0,23
348397,151,34
348407,0,17
348417,144,30
348427,0,26
348437,144,16
348447,0,13
348457,146,22
348467,0,23
348477,147,25
348487,0,16
348497,147,20
348507,0,19
348517,144,35
348527,0,35
348537,149,37
348547,0,30
348557,151,41
348567,0,23
348577,148,32
348587,0,30
348597,149,34
348607,0,33
348617,148,28
348627,0,33
348637,154,45
348647,0,34
348657,146,33
348667,0,19
348677,149,23
348687,0,22
348697,144,32
348707,0,23
348717,154,32
348727,0,32
348737,155,28
348747,0,16
348757,154,37
348767,0,36
348777,147,39
348787,0,31
348797,146,23
348807,0,18
348817,151,26
348827,0,35
348837,146,36
348847,0,19
348857,157,37
348867,0,51
348877,156,47
348887,0,33
348897,153,45
348907,0,32
348917,147,33
348927,0,39
348937,155,38
348947,0,38
348957,157,35
348967,0,29
348977,144,43
348987,0,27
348997,153,36
353506,0,0
353516,170,3
353526,0,13
353536,175,0
353546,0,6
353556,169,0
353566,0,0
353576,164,0
353586,0,0
353596,162,0
353606,0,0
353616,159,0
353626,0,0
353636,153,0
353646,0,41
353656,162,0
353666,0,0
353676,157,0
353686,0,6
353696,159,0
353706,0,0
353716,162,0
353726,0,0
353736,163,0
353746,0,0
353756,161,0
353766,0,0
353776,163,0
353786,0,0
353796,162,0
353806,0,0
353816,164,0
353826,0,0
353836,163,9
353846,0,0
353856,163,14
353866,0,41
353876,161,12
353886,0,0
353896,162,0
353906,0,27
353916,167,50
353926,0,16
353936,169,7
353946,0,15
353956,159,1
353966,0,0
353976,155,0
353986,0,96
353996,171,92
354006,0,57
354016,169,64
354026,0,61
354036,167,50
354046,0,44
354056,159,45
354066,0,37
354076,159,46
354086,0,28
354096,155,16
354106,0,75
354116,167,69
354126,0,61
354136,165,60
354146,0,32
354156,162,25
354166,0,18
354176,163,16
354186,0,17
354196,159,17
354206,0,6
354216,163,15
354226,0,19
354236,159,26
354246,0,23
354256,157,17
354266,0,15
354276,163,15
354286,0,17
354296,163,23
354306,0,27
354316,158,34
354326,0,25
354336,161,34
354346,0,33
354356,155,16
354366,0,9
354376,158,28
354386,0,22
354396,162,24
354406,0,3
354416,159,16
354426,0,16
354436,166,27
354446,0,20
354456,162,17
354466,0,11
354476,162,10
354486,0,0
354496,159,0
354506,0,0
354516,159,0
354526,0,0
354536,158,1
354546,0,0
354556,157,0
354566,0,0
354576,155,0
354586,0,0
354596,159,0
354606,0,0
354616,157,0
354626,0,0
354636,157,0
354646,0,0
354656,149,0
354666,0,0
354676,155,0
354686,0,0
354696,146,0
354706,0,0
354716,148,0
354726,0,0
354736,152,0
354746,0,0
354756,145,2
354766,0,0
354776,144,7
354786,0,0
354796,151,1
354806,0,0
354816,154,0
354826,0,10
354836,156,0
354846,0,0
354856,149,0
354866,0,0
354876,144,0
354886,0,0
354896,151,0
354906,0,2
354916,155,13
354926,0,11
354936,147,13
354946,0,10
354956,149,16
354966,0,0
354976,151,17
354986,0,11
354996,155,18
355006,0,18
355016,147,16
355026,0,22
355036,157,27
355046,0,16
355056,146,4
355066,0,3
355076,151,11
355086,0,0
355096,155,1
355106,0,11
355116,151,11
355126,0,10
355136,149,15
355146,0,0
355156,149,0
355166,0,0
355176,151,0
355186,0,0
355196,145,0
355206,0,0
355216,154,0
355226,0,1
355236,156,7
355246,0,13
355256,145,10
355266,0,5
355276,155,3
355286,0,3
355296,158,2
355306,0,5
355316,151,3
355326,0,5
355336,153,0
355346,0,1
355356,152,4
355366,0,6
355376,147,0
355386,0,0
355396,153,0
355406,0,0
355416,153,0
355426,0,0
355436,151,0
355446,0,0
355456,145,2
355466,0,3
355476,153,3
355486,0,13
355496,155,4
360005,0,19
360015,158,16
360025,0,17
360035,157,21
360045,0,2
360055,152,15
360065,0,10
360075,157,4
360085,0,12
360095,148,7
360105,0,15
360115,146,0
360125,0,0
360135,151,33
360145,0,16
360155,153,19
360165,0,12
360175,161,13
360185,0,29
360195,144,27
360205,0,22
360215,162,17
360225,0,0
360235,169,7
360245,0,0
360255,165,19
360265,0,7
360275,172,16
360285,0,13
360295,145,21
360305,0,13
360315,144,17
360325,0,16
360335,150,25
360345,0,31
360355,144,47
360365,0,13
360375,156,51
360385,0,49
360395,160,39
360405,0,40
360415,155,47
360425,0,33
360435,158,66
360445,0,58
360455,156,81
360465,0,64
360475,149,51
360485,0,33
360495,145,18
360505,0,0
360515,146,34
360525,0,23
360535,149,48
360545,0,48
360555,153,49
360565,0,105
360575,159,122
360585,0,144
360595,163,140
360605,0,129
360615,152,143
360625,0,144
360635,155,171
360645,0,144
360655,154,128
360665,0,126
360675,158,103
360685,0,149
360695,147,71
360705,0,90
360715,150,110
360725,0,80
360735,153,90
360745,0,86
360755,156,133
360765,0,67
360775,146,65
360785,0,54
360795,153,0
360805,0,55
360815,147,102
360825,0,69
360835,144,77
360845,0,64
360855,149,69
360865,0,78
360875,146,74
360885,0,80
360895,148,71
360905,0,48
360915,144,55
360925,0,46
360935,149,48
360945,0,27
360955,144,17
360965,0,16
360975,144,18
360985,0,17
360995,140,16
361005,0,16
361015,144,16
361025,0,27
361035,147,31
361045,0,29
361055,149,36
361065,0,23
361075,147,22
361085,0,7
361095,146,16
361105,0,23
361115,145,26
361125,0,30
361135,141,37
361145,0,27
361155,150,18
361165,0,16
361175,149,28
361185,0,20
361195,150,15
361205,0,10
361215,146,10
361225,0,11
361235,149,16
361245,0,7
361255,146,15
361265,0,2
361275,145,11
361285,0,13
361295,142,13
361305,0,8
361315,150,11
361325,0,12
361335,145,18
361345,0,14
361355,140,11
361365,0,15
361375,145,14
361385,0,12
361395,144,16
361405,0,7
361415,141,0
361425,0,0
361435,150,0
361445,0,0
361455,147,16
361465,0,22
361475,151,21
361485,0,16
361495,147,16
361505,0,13
361515,147,4
361525,0,2
361535,140,10
361545,0,6
361555,144,13
361565,0,16
361575,145,19
361585,0,18
361595,144,19
361605,0,17
361615,142,13
361625,0,9
361635,144,16
361645,0,16
361655,143,9
361665,0,6
361675,144,10
361685,0,12
361695,144,6
361705,0,7
361715,139,10
361725,0,0
361735,142,0
361745,0,0
361755,144,0
361765,0,5
361775,143,8
361785,0,11
361795,144,9
361805,0,11
361815,144,14
361825,0,7
361835,143,14
361845,0,7
361855,139,15
361865,0,10
361875,145,16
361885,0,15
361895,145,20
361905,0,17
361915,145,17
361925,0,16
361935,144,16
361945,0,14
361955,145,14
361965,0,8
361975,134,13
361985,0,16
361995,144,16
366504,19,20
366514,119,25
366524,2,29
366534,126,33
366544,0,27
366554,124,19
366564,2,27
366574,128,28
366584,8,30
366594,123,18
366604,3,31
366614,124,34
366624,9,21
366634,128,18
366644,10,30
366654,125,34
366664,4,26
366674,125,30
366684,11,28
366694,122,17
366704,4,23
366714,123,23
366724,11,29
366734,127,21
366744,3,19
366754,122,22
366764,15,20
366774,121,19
366784,14,27
366794,127,26
366804,15,18
366814,119,18
366824,14,31
366834,123,32
366844,7,23
366854,121,21
366864,10,23
366874,122,21
366884,13,31
366894,112,19
366904,6,22
366914,115,17
366924,13,25
366934,126,23
366944,9,33
366954,128,26
366964,9,18
366974,121,21
366984,14,31
366994,115,32
367004,17,23
367014,118,18
367024,16,32
367034,112,37
367044,16,39
367054,126,49
367064,16,48
367074,114,41
367084,13,47
367094,120,54
367104,14,0
367114,113,16
367124,7,20
367134,116,23
367144,15,35
367154,113,22
367164,15,12
367174,117,48
367184,14,71
367194,113,63
367204,16,93
367214,117,67
367224,18,48
367234,112,32
367244,11,57
367254,117,0
367264,18,3
367274,121,55
367284,22,78
367294,117,113
367304,25,83
367314,119,95
367324,25,79
367334,113,62
367344,15,81
367354,116,63
367364,16,63
367374,112,98
367384,23,93
367394,118,64
367404,21,48
367414,117,48
367424,21,35
367434,114,38
367444,13,19
367454,105,16
367464,11,0
367474,106,22
367484,13,40
367494,108,45
367504,18,38
367514,112,48
367524,20,66
367534,113,61
367544,23,65
367554,115,56
367564,15,51
367574,101,49
367584,12,34
367594,109,16
367604,17,23
367614,111,23
367624,18,31
367634,105,35
367644,16,41
367654,104,47
367664,18,38
367674,112,32
367684,16,33
367694,105,37
367704,17,38
367714,101,36
367724,20,39
367734,112,31
367744,19,31
367754,109,25
367764,21,27
367774,112,31
367784,16,21
367794,111,3
367804,11,1
367814,99,0
367824,14,10
367834,106,15
367844,16,16
367854,103,12
367864,22,16
367874,111,15
367884,16,6
367894,112,13
367904,22,17
367914,111,16
367924,13,16
367934,105,21
367944,14,26
367954,108,16
367964,23,16
367974,111,11
367984,14,0
367994,110,14
368004,19,16
368014,110,10
368024,21,16
368034,101,17
368044,15,16
368054,100,6
368064,20,12
368074,99,16
368084,21,16
368094,99,17
368104,19,21
368114,100,23
368124,16,31
368134,109,18
368144,16,22
368154,109,18
368164,17,18
368174,107,25
368184,15,17
368194,109,15
368204,17,16
368214,112,0
368224,21,18
368234,113,17
368244,26,19
368254,107,14
368264,22,19
368274,101,18
368284,21,9
368294,102,9
368304,23,20
368314,112,16
368324,25,22
368334,112,23
368344,18,32
368354,103,30
368364,17,19
368374,110,16
368384,25,17
368394,111,16
368404,23,16
368414,107,12
368424,26,12
368434,112,15
368444,17,17
368454,111,14
368464,26,16
368474,111,11
368484,16,6
368494,109,17
373003,49,16
373013,80,16
373023,30,16
373033,81,5
373043,34,15
373053,91,16
373063,34,22
373073,85,17
373083,35,15
373093,93,10
373103,46,24
373113,94,10
373123,45,17
373133,85,14
373143,34,16
373153,89,16
373163,45,22
373173,108,16
373183,48,16
373193,93,16
373203,57,48
373213,110,43
373223,55,59
373233,109,35
373243,43,32
373253,91,14
373263,48,29
373273,89,19
373283,48,21
373293,90,14
373303,48,21
373313,93,16
373323,32,19
373333,85,16
373343,38,25
373353,88,31
373363,41,19
373373,87,13
373383,47,32
373393,91,16
373403,48,39
373413,112,48
373423,48,54
373433,100,54
373443,46,52
373453,93,58
373463,54,88
373473,94,71
373483,57,131
373493,101,133
373503,48,151
373513,92,111
373523,51,109
373533,96,102
373543,45,93
373553,86,73
373563,48,90
373573,95,93
373583,53,110
373593,95,90
373603,51,71
373613,96,115
373623,48,112
373633,82,81
373643,52,86
373653,95,65
373663,43,64
373673,91,49
373683,45,51
373693,81,43
373703,43,48
373713,84,68
373723,52,66
373733,91,93
373743,53,73
373753,94,71
373763,48,80
373773,86,85
373783,46,71
373793,84,80
373803,51,95
373813,96,93
373823,48,109
373833,84,80
373843,49,69
373853,94,74
373863,52,48
373873,92,45
373883,46,38
373893,86,35
373903,50,33
373913,89,30
373923,45,23
373933,85,14
373943,48,16
373953,80,23
373963,49,16
373973,81,19
373983,49,25
373993,83,11
374003,50,10
374013,90,4
374023,46,16
374033,85,3
374043,49,12
374053,87,29
374063,48,0
374073,93,11
374083,58,31
374093,94,3
374103,48,0
374113,91,19
374123,61,6
374133,99,17
374143,54,18
374153,83,0
374163,48,16
374173,86,2
374183,48,0
374193,83,4
374203,47,11
374213,82,18
374223,51,15
374233,85,0
374243,51,11
374253,85,13
374263,49,13
374273,80,0
374283,48,3
374293,80,0
374303,49,7
374313,75,0
374323,50,0
374333,80,45
374343,46,3
374353,82,1
374363,53,0
374373,78,0
374383,52,0
374393,80,0
374403,48,11
374413,73,0
374423,55,2
374433,78,0
374443,53,1
374453,80,3
374463,55,0
374473,80,3
374483,54,0
374493,81,16
374503,48,1
374513,79,0
374523,57,7
374533,77,11
374543,55,8
374553,80,9
374563,45,0
374573,66,0
374583,50,1
374593,77,2
374603,51,0
374613,71,0
374623,48,0
374633,70,2
374643,54,6
374653,78,0
374663,53,0
374673,76,0
374683,57,7
374693,71,7
374703,48,0
374713,74,2
374723,48,7
374733,75,0
374743,51,5
374753,65,2
374763,48,12
374773,77,1
374783,56,9
374793,67,0
374803,48,2
374813,65,0
374823,48,1
374833,68,4
374843,48,5
374853,63,3
374863,55,15
374873,75,14
374883,58,7
374893,70,8
374903,57,1
374913,74,0
374923,60,10
374933,67,0
374943,61,6
374953,69,0
374963,55,1
374973,64,0
374983,49,0
374993,71,10
379502,75,16
379512,65,14
379522,57,16
379532,64,6
379542,65,16
379552,70,3
379562,68,17
379572,64,10
379582,65,14
379592,73,6
379602,69,15
379612,70,2
379622,65,5
379632,66,3
379642,63,20
379652,62,13
379662,62,21
379672,68,13
379682,67,24
379692,64,22
379702,64,29
379712,73,34
379722,66,47
379732,64,29
379742,64,26
379752,73,32
379762,68,31
379772,68,25
