timestamp_ms,wire1_pin34,wire2_pin32
14251,0,0
14261,0,0
14271,0,0
14281,0,0
14291,0,0
14301,0,0
14311,0,0
14321,0,0
14331,0,0
14341,0,0
14351,0,0
14361,0,0
14371,0,0
14381,0,0
14391,0,0
14401,0,0
14411,0,0
14421,0,0
14431,0,0
14441,0,0
14451,0,0
14461,0,0
14471,0,0
14481,0,0
14491,0,0
14501,0,0
14511,0,0
14521,0,0
14531,0,0
14541,0,0
14551,0,0
14561,0,0
14571,0,0
14581,0,0
14591,0,0
14601,0,0
14611,0,0
14621,0,0
14631,0,0
14641,0,0
14651,0,0
14661,0,0
14671,0,0
14681,0,0
14691,0,0
14701,0,0
14711,27,0
14721,48,0
14731,90,0
14741,113,0
14751,214,0
14761,304,0
14771,275,0
14781,345,0
14791,488,0
14801,528,0
14811,535,0
14821,649,0
14831,598,0
14841,566,0
14851,533,0
14861,503,0
14871,597,0
14881,564,0
14891,624,0
14901,611,0
14911,624,0
14921,669,0
14931,557,0
14941,592,0
14951,605,0
14961,511,0
14971,474,0
14981,599,0
14991,543,0
15001,465,0
15011,496,0
15021,559,0
15031,549,0
15041,528,0
15051,448,0
15061,418,0
15071,399,0
15081,407,0
15091,346,0
15101,282,0
15111,225,0
15121,191,0
15131,173,0
15141,175,0
15151,214,0
15161,183,0
15171,161,6
15181,193,12
15191,292,14
15201,267,0
15211,320,0
15221,326,0
15231,302,0
15241,305,16
15251,305,6
15261,339,0
15271,331,0
15281,304,1
15291,388,11
15301,346,1
15311,311,0
15321,281,0
15331,297,0
15341,224,0
15351,240,0
15361,324,0
15371,298,0
15381,262,0
15391,202,0
15401,147,0
15411,110,0
15421,82,0
15431,58,0
15441,46,0
15451,30,0
15461,16,0
15471,3,0
15481,1,0
15491,1,0
15501,10,0
15511,5,0
15521,15,0
15531,14,0
15541,18,0
15551,14,0
15561,16,0
15571,6,0
15581,4,0
15591,0,0
15601,0,0
15611,0,0
15621,0,0
15631,0,0
15641,0,0
15651,0,0
15661,0,0
15671,0,0
15681,0,0
15691,0,0
15701,0,0
15711,0,0
15721,0,0
15731,0,0
15741,0,0
15751,0,0
15761,0,0
15771,0,0
15781,0,0
15791,0,0
15801,0,0
15811,0,0
15821,0,0
15831,0,0
15841,0,0
15851,0,0
15861,0,0
15871,0,0
15881,0,0
15891,0,0
15901,0,0
15911,0,0
15921,0,0
15931,0,0
15941,0,0
15951,0,0
15961,0,0
15971,0,0
15981,0,0
15991,0,0
16001,0,0
16011,0,0
16021,0,0
16031,0,0
16041,0,0
16051,0,0
16061,0,0
16071,0,0
16081,0,0
16091,0,0
16101,0,0
16111,0,0
16121,0,0
16131,0,0
16141,0,0
16151,0,0
16161,0,0
16171,0,0
16181,0,0
16191,0,0
16201,0,0
16211,0,0
16221,0,0
16231,0,0
16241,0,0
20750,0,0
20760,0,0
20770,0,0
20780,0,0
20790,0,0
20800,0,0
20810,0,0
20820,0,0
20830,0,0
20840,35,0
20850,0,0
20860,39,0
20870,0,0
20880,0,0
20890,0,0
20900,0,0
20910,0,0
20920,0,0
20930,0,0
20940,0,0
20950,0,0
20960,10,0
20970,0,0
20980,0,0
20990,0,0
21000,0,0
21010,0,0
21020,0,0
21030,0,0
21040,0,0
21050,0,0
21060,0,0
21070,0,0
21080,0,0
21090,0,0
21100,0,0
21110,0,0
21120,18,0
21130,16,0
21140,32,0
21150,35,0
21160,64,0
21170,194,0
21180,240,0
21190,293,0
21200,334,0
21210,323,0
21220,438,0
21230,444,0
21240,656,0
21250,656,0
21260,621,0
21270,670,0
21280,605,0
21290,528,0
21300,495,0
21310,479,0
21320,475,0
21330,422,0
21340,367,0
21350,409,0
21360,439,0
21370,432,0
21380,449,0
21390,427,0
21400,561,0
21410,539,0
21420,484,0
21430,481,0
21440,447,0
21450,377,0
21460,416,0
21470,419,0
21480,368,0
21490,313,0
21500,293,0
21510,245,0
21520,208,0
21530,208,0
21540,255,0
21550,209,0
21560,176,0
21570,134,0
21580,114,0
21590,106,0
21600,102,0
21610,78,0
21620,92,0
21630,64,0
21640,54,0
21650,64,0
21660,197,0
21670,231,0
21680,208,0
21690,226,0
21700,205,0
21710,320,0
21720,365,1
21730,464,15
21740,542,32
21750,497,27
21760,427,30
21770,382,21
21780,379,42
21790,378,64
21800,345,80
21810,351,64
21820,374,70
21830,339,66
21840,321,57
21850,313,35
21860,272,30
21870,223,13
21880,198,4
21890,181,0
21900,130,0
21910,118,0
21920,113,0
21930,86,0
21940,90,0
21950,83,0
