timestamp_ms,wire1_pin34,wire2_pin32
12049,0,0
12059,0,0
12069,0,0
12079,0,0
12089,0,0
12099,0,0
12109,0,0
12119,0,0
12129,0,0
12139,0,0
12149,0,0
12159,0,0
12169,0,0
12179,0,0
12189,0,0
12199,0,0
12209,0,0
12219,0,0
12229,0,0
12239,0,0
12249,0,0
12259,0,0
12269,0,0
12279,0,0
12289,0,0
12299,0,0
12309,0,0
12319,0,0
12329,0,0
12339,0,0
12349,0,0
12359,0,0
12369,0,0
12379,0,0
12389,0,0
12399,0,3
12409,0,11
12419,0,112
12429,0,1129
12439,0,1840
12449,0,2351
12459,0,3024
12469,466,3441
12479,727,4095
12489,631,3678
12499,585,3504
12509,454,3423
12519,342,3369
12529,256,3321
12539,189,3274
12549,125,3222
12559,82,3165
12569,48,3101
12579,18,3019
12589,0,3015
12599,0,3015
12609,0,3014
12619,0,3013
12629,0,3015
12639,0,3015
12649,0,3013
12659,0,3017
12669,0,3014
12679,0,3016
12689,0,3017
12699,0,3018
12709,0,3018
12719,0,3019
12729,0,3021
12739,0,3018
12749,0,3013
12759,0,3018
12769,0,3020
12779,0,3021
12789,0,3019
12799,0,3021
12809,0,3022
12819,0,3018
12829,0,3021
12839,0,3016
12849,0,3017
12859,0,3019
12869,0,3015
12879,0,3024
12889,0,3021
12899,0,3019
12909,0,3022
12919,0,3028
12929,0,3021
12939,0,3015
12949,0,3020
12959,0,3020
12969,0,3023
12979,0,3019
12989,0,3021
12999,0,3020
13009,0,3024
13019,1346,3024
13029,3931,3024
13039,3888,3019
13049,3942,3022
13059,3543,3015
13069,3935,3017
13079,3937,3013
13089,3927,3010
13099,3937,3033
13109,3926,3011
13119,3935,3011
13129,3942,3015
13139,3933,3018
13149,3942,3024
13159,3936,3008
13169,3941,3021
13179,3940,3017
13189,3124,2985
13199,2491,3019
13209,1986,3063
13219,1566,3014
13229,1226,3012
13239,943,3023
13249,735,3026
13259,560,3029
13269,429,2946
13279,330,3024
13289,238,3021
13299,174,2970
13309,125,3038
13319,71,3024
13329,37,3019
13339,11,3026
13349,0,3023
13359,0,3023
13369,0,3019
13379,0,3029
13389,0,3021
13399,0,3023
13409,0,3024
13419,0,3023
13429,0,3021
13439,0,3023
13449,0,3019
13459,0,3022
13469,0,3020
13479,0,3019
13489,0,3019
13499,0,3024
13509,0,3024
13519,0,3020
13529,0,3023
13539,0,3021
13549,0,3020
13559,0,3021
13569,0,3024
13579,0,3021
13589,0,3024
13599,0,3019
13609,0,3019
13619,0,3019
13629,0,3023
13639,0,3024
13649,0,3023
13659,0,3024
13669,0,3019
13679,0,3021
13689,0,3023
13699,0,3024
13709,0,3019
13719,0,3024
13729,0,3013
13739,0,3023
13749,0,3020
13759,0,3023
13769,0,3024
13779,0,3024
13789,0,3021
13799,0,3021
13809,0,3022
13819,0,3022
13829,0,3019
13839,0,3015
13849,0,3021
13859,0,3024
13869,0,3019
13879,0,3023
13889,0,3022
13899,0,3022
13909,0,3024
13919,0,3022
13929,0,3021
13939,0,3022
13949,0,3019
13959,0,3023
13969,0,3024
13979,0,3027
13989,0,3024
13999,0,3024
14009,0,3024
14019,0,3021
14029,0,3021
14039,0,3019
18548,0,3045
18558,0,3047
18568,0,3040
18578,0,3056
18588,0,3042
18598,0,3037
18608,0,3046
18618,0,3042
18628,0,3040
18638,0,3039
18648,0,3045
18658,0,3040
18668,0,3043
18678,0,3038
18688,0,3045
18698,0,3039
18708,0,3040
18718,0,3042
18728,0,3041
18738,0,3041
18748,0,3042
18758,0,3037
18768,0,3045
18778,0,3041
18788,0,3040
18798,0,3039
18808,0,3041
18818,0,3041
18828,0,3041
18838,0,3042
18848,0,3043
18858,0,3040
18868,0,3042
18878,0,3041
18888,0,3041
18898,0,3039
18908,0,3043
18918,0,3044
18928,0,3048
18938,0,3039
18948,0,3039
18958,0,3046
18968,0,3040
18978,0,3041
18988,0,3040
18998,0,3041
19008,0,3042
19018,0,3043
19028,0,3047
19038,0,3043
19048,0,3041
19058,0,3041
19068,0,3039
19078,0,3043
19088,0,3052
19098,0,3040
19108,0,3063
19118,0,3045
19128,0,3042
19138,0,3043
19148,0,3042
19158,0,3045
19168,0,3051
19178,0,3043
19188,0,3047
19198,0,3041
19208,0,3045
19218,0,3043
19228,0,3044
19238,0,3047
19248,0,3045
19258,0,3049
19268,0,3043
19278,0,3043
19288,0,3044
19298,0,3043
19308,0,3043
19318,0,3050
19328,0,3043
19338,0,3043
19348,0,3030
19358,0,3042
19368,0,3054
19378,0,3046
19388,0,3050
19398,0,3047
19408,0,3046
19418,0,3047
19428,0,3046
19438,0,3049
19448,0,3044
19458,0,3047
19468,0,3046
19478,0,3050
19488,0,3046
19498,0,3052
19508,0,3042
19518,0,3046
19528,0,3047
19538,0,3046
19548,0,3047
19558,0,3047
19568,0,3041
19578,0,3045
19588,0,3051
19598,0,3045
19608,0,3044
19618,0,3046
19628,0,3050
19638,0,3053
19648,0,3054
19658,0,3045
19668,0,3046
19678,0,3049
19688,22,2525
19698,16,3943
19708,1,3916
19718,0,3954
19728,2112,3938
19738,3042,3939
19748,2688,3893
19758,2203,3782
19768,1758,3231
19778,1383,2714
19788,1073,2288
19798,831,1937
19808,640,1617
19818,497,1370
19828,368,1232
19838,272,975
19848,202,869
19858,140,721
19868,90,636
19878,59,524
19888,26,428
19898,0,365
19908,0,310
19918,0,240
19928,0,209
19938,0,156
19948,0,128
19958,0,96
19968,0,70
19978,0,58
19988,967,44
19998,1081,29
20008,907,18
20018,714,3
20028,546,0
20038,413,0
20048,315,0
20058,226,0
20068,161,0
20078,113,0
20088,70,0
20098,43,0
20108,12,0
20118,0,0
20128,0,0
20138,0,0
20148,0,0
20158,0,0
20168,0,0
20178,0,0
20188,0,0
20198,0,0
20208,0,0
20218,0,0
20228,0,0
20238,0,0
20248,0,0
20258,0,0
20268,0,0
20278,0,0
20288,0,0
20298,0,0
20308,0,0
20318,0,0
20328,0,0
20338,0,0
20348,0,0
20358,0,0
20368,0,0
20378,0,0
20388,0,0
20398,0,0
20408,0,0
20418,0,0
20428,0,0
20438,0,0
20448,0,0
20458,0,0
20468,0,0
20478,0,0
20488,0,0
20498,0,0
20508,0,0
20518,0,0
20528,0,0
20538,0,0
25047,0,0
25057,0,0
25067,0,0
25077,0,0
25087,0,0
25097,0,0
25107,0,0
25117,0,0
25127,0,0
25137,0,0
25147,0,0
25157,0,0
25167,0,0
25177,0,0
25187,0,0
25197,0,0
25207,0,0
25217,0,0
25227,0,0
25237,0,0
25247,0,0
25257,0,0
25267,0,0
25277,0,0
25287,0,0
25297,0,0
25307,0,0
25317,0,0
25327,0,0
25337,0,0
25347,0,0
25357,0,0
25367,0,0
25377,0,0
25387,0,8
25397,0,16
25407,0,13
25417,0,13
25427,0,10
25437,0,3
25447,0,761
25457,0,1635
25467,0,2199
25477,0,2727
25487,0,3239
25497,0,4079
25507,0,3793
25517,0,3545
25527,0,3451
25537,0,3393
25547,0,3344
25557,0,3293
25567,0,3247
25577,0,3196
25587,0,3136
25597,0,3055
25607,0,3019
25617,0,3021
25627,0,3019
25637,0,3015
25647,0,3013
25657,0,3015
25667,0,3015
25677,0,3010
25687,0,3017
25697,0,3023
25707,0,3017
25717,0,3020
25727,0,3019
25737,0,3019
25747,0,3014
25757,0,3016
25767,0,3018
25777,0,3018
25787,0,3020
25797,0,3017
25807,0,3019
25817,0,3018
25827,0,3021
25837,0,3020
25847,0,3024
25857,0,3021
25867,0,3023
25877,0,3021
25887,0,3010
25897,0,3022
25907,0,3014
25917,0,3018
25927,0,3022
25937,0,3011
25947,0,3021
25957,0,3018
25967,0,3019
25977,0,3019
25987,0,3019
25997,0,3019
26007,0,3019
26017,0,3021
26027,0,3021
26037,0,3022
26047,0,3017
26057,0,3019
26067,1,2927
26077,0,3941
26087,0,3941
26097,2937,3949
26107,3703,3935
26117,3143,3392
26127,2546,3005
26137,2045,2559
26147,1621,2309
26157,1262,1893
26167,979,1706
26177,758,1393
26187,599,1184
26197,442,1012
26207,333,880
26217,244,773
26227,178,684
26237,122,624
26247,75,560
26257,42,464
26267,13,445
26277,0,317
26287,0,262
26297,0,223
26307,0,170
26317,0,135
26327,0,97
26337,0,38
26347,0,39
26357,0,30
26367,503,30
26377,2960,0
26387,3103,0
26397,2614,0
26407,2118,0
26417,1679,0
26427,1314,0
26437,1023,0
26447,791,0
26457,613,0
26467,465,0
26477,352,0
26487,262,0
26497,189,0
26507,129,0
26517,84,0
26527,50,0
26537,19,0
26547,0,0
26557,0,0
26567,0,0
26577,0,0
26587,0,0
26597,0,0
26607,0,0
26617,0,0
26627,0,0
26637,0,0
26647,0,0
26657,0,0
26667,0,0
26677,0,0
26687,0,0
26697,0,0
26707,0,0
26717,0,0
26727,0,0
26737,0,0
26747,0,0
26757,0,0
26767,0,0
26777,0,0
26787,0,0
26797,0,0
26807,0,0
26817,0,0
26827,0,0
26837,0,0
26847,0,0
26857,0,0
26867,0,0
26877,0,0
26887,0,0
26897,0,0
26907,0,0
26917,0,0
26927,0,0
26937,0,0
26947,0,0
26957,0,0
26967,0,0
26977,0,0
26987,0,0
26997,0,0
27007,0,0
27017,0,0
27027,0,0
27037,0,0
31546,0,3024
31556,0,3047
31566,0,3024
31576,0,3022
31586,0,3024
31596,0,3026
31606,0,3041
31616,0,3031
31626,0,3028
31636,0,3030
31646,0,3024
31656,0,3031
31666,0,3024
31676,0,3023
31686,0,3025
31696,0,3025
31706,0,3027
31716,0,3025
31726,0,3024
31736,0,3024
31746,0,3024
31756,0,3023
31766,0,3024
31776,0,3024
31786,0,3027
31796,0,3031
31806,0,3025
31816,0,3026
31826,0,3027
31836,0,3026
31846,0,3024
31856,0,3025
31866,0,3024
31876,0,3028
31886,0,3024
31896,0,3027
31906,0,3030
31916,0,3029
31926,0,3026
31936,0,3024
31946,0,0
31956,0,3941
31966,0,3943
31976,0,3949
31986,0,3938
31996,0,3943
32006,0,3936
32016,0,3863
32026,0,3215
32036,0,2710
32046,0,2341
32056,0,1985
32066,0,1646
32076,0,1377
32086,0,1149
32096,0,993
32106,0,816
32116,0,678
32126,0,574
32136,0,503
32146,0,426
32156,0,365
32166,0,304
32176,0,297
32186,0,305
32196,0,293
32206,0,245
32216,0,247
32226,0,264
32236,0,249
32246,0,205
32256,0,176
32266,0,185
32276,0,150
32286,0,168
32296,0,158
32306,0,146
32316,0,176
32326,0,195
32336,0,169
32346,0,173
32356,0,192
32366,0,146
32376,0,125
32386,0,147
32396,0,119
32406,0,101
32416,0,126
32426,0,137
32436,0,97
32446,0,112
32456,0,147
32466,0,125
32476,0,91
32486,0,80
32496,0,52
32506,0,47
32516,0,19
32526,0,19
32536,0,10
32546,0,1
32556,0,13
32566,0,42
32576,0,31
32586,0,24
32596,0,19
32606,0,12
32616,0,20
32626,0,55
32636,0,74
32646,0,71
32656,0,43
32666,0,47
32676,0,64
32686,0,1119
32696,0,1850
32706,0,2366
32716,0,413
32726,3907,379
32736,3937,320
32746,3948,287
32756,3934,246
32766,3088,240
32776,2455,212
32786,1961,179
32796,1535,144
32806,1202,190
32816,932,209
32826,720,246
32836,558,257
32846,422,270
32856,317,249
32866,231,299
32876,167,199
32886,113,183
32896,71,159
32906,40,119
32916,13,112
32926,0,98
32936,0,59
32946,0,64
32956,0,35
32966,0,18
32976,539,29
32986,561,0
32996,455,0
33006,347,0
33016,260,0
33026,190,0
33036,133,0
33046,83,0
33056,51,0
33066,18,0
33076,0,0
33086,0,0
33096,0,0
33106,0,0
33116,0,0
33126,0,0
33136,0,0
33146,0,0
33156,0,0
33166,0,0
33176,0,0
33186,0,0
33196,0,0
33206,0,0
33216,0,0
33226,0,0
33236,0,0
33246,0,0
33256,0,0
33266,0,0
33276,0,0
33286,0,0
33296,0,0
33306,0,0
