timestamp_ms,wire1_pin34,wire2_pin32
20139,0,0
20149,0,0
20159,0,0
20169,0,0
20179,0,0
20189,0,0
20199,0,0
20209,0,0
20219,0,0
20229,0,0
20239,0,0
20249,0,0
20259,0,0
20269,0,0
20279,0,0
20289,0,0
20299,0,0
20309,0,0
20319,0,0
20329,0,0
20339,0,0
20349,0,0
20359,0,0
20369,0,0
20379,0,0
20389,0,0
20399,0,0
20409,0,0
20419,0,0
20429,0,0
20439,0,0
20449,0,18
20459,0,9
20469,0,18
20479,0,36
20489,0,69
20499,0,50
20509,0,32
20519,0,16
20529,0,7
20539,0,6
20549,0,4
20559,0,0
20569,0,0
20579,0,0
20589,0,0
20599,0,0
20609,0,0
20619,0,0
20629,0,0
20639,0,0
20649,0,0
20659,0,1
20669,0,36
20679,0,69
20689,0,57
20699,0,64
20709,0,59
20719,0,166
20729,0,240
20739,0,246
20749,0,256
20759,0,304
20769,0,388
20779,0,562
20789,0,825
20799,0,751
20809,0,702
20819,0,776
20829,0,1007
20839,0,1106
20849,0,976
20859,0,907
20869,0,850
20879,0,1048
20889,0,1201
20899,0,1121
20909,0,1361
20919,0,1213
20929,0,850
20939,0,299
20949,2090,112
20959,3934,11
20969,3937,0
20979,3930,0
20989,3929,0
20999,3936,0
21009,3935,0
21019,3940,2733
21029,3936,3933
21039,3940,3921
21049,3931,3583
21059,3931,2881
21069,3934,2288
21079,3947,1809
21089,3921,1460
21099,3946,1194
21109,3938,1004
21119,3933,1342
21129,3936,1159
21139,3927,756
21149,3933,266
21159,3939,2235
21169,3937,3933
21179,3929,3863
21189,3933,3021
21199,3936,2401
21209,3936,1920
21219,3936,1522
21229,3935,1199
21239,3937,937
21249,3933,746
21259,3927,580
21269,3931,457
21279,3935,353
21289,3923,272
21299,3930,208
21309,3932,162
21319,3929,117
21329,3935,86
21339,3931,64
21349,3070,44
21359,2450,30
21369,1958,14
21379,1535,1
21389,1200,0
21399,935,0
21409,720,0
21419,560,0
21429,427,0
21439,318,0
21449,235,0
21459,169,0
21469,115,0
21479,79,0
21489,45,0
21499,11,0
21509,0,0
21519,0,0
21529,0,0
21539,0,0
21549,0,0
21559,0,0
21569,0,0
21579,0,0
21589,0,0
21599,0,0
21609,0,0
21619,0,0
21629,0,0
21639,0,0
21649,0,0
21659,0,0
21669,0,0
21679,0,0
21689,0,0
21699,0,0
21709,0,0
21719,0,0
21729,0,0
21739,0,0
21749,0,0
21759,0,0
21769,0,0
21779,0,0
21789,0,0
21799,0,0
21809,0,0
21819,0,0
21829,0,0
21839,0,0
21849,0,0
21859,0,0
21869,0,0
21879,0,0
21889,0,0
21899,0,0
21909,0,0
21919,0,0
21929,0,0
21939,0,0
21949,0,0
21959,0,0
21969,0,0
21979,0,0
21989,0,0
21999,0,0
22009,0,0
22019,0,0
22029,0,0
22039,0,0
22049,0,0
22059,0,0
22069,0,0
22079,0,0
22089,0,0
22099,0,0
22109,0,0
22119,0,0
22129,0,0
26638,0,0
26648,0,0
26658,0,0
26668,0,0
26678,0,0
26688,0,0
26698,0,0
26708,0,0
26718,0,0
26728,0,0
26738,0,0
26748,0,0
26758,0,0
26768,0,0
26778,0,0
26788,0,0
26798,0,0
26808,0,0
26818,0,0
26828,0,0
26838,0,0
26848,0,0
26858,0,0
26868,0,0
26878,0,0
26888,0,0
26898,0,0
26908,0,0
26918,0,0
26928,0,0
26938,0,0
26948,0,0
26958,0,0
26968,0,0
26978,0,0
26988,0,0
26998,0,0
27008,0,0
27018,0,0
27028,0,0
27038,0,0
27048,0,0
27058,0,0
27068,0,0
27078,0,44
27088,0,37
27098,0,68
27108,0,75
27118,0,74
27128,0,67
27138,0,79
27148,0,796
27158,0,1126
27168,0,563
27178,0,204
27188,0,64
27198,0,0
27208,0,0
27218,0,0
27228,0,0
27238,0,0
27248,0,0
27258,0,0
27268,0,0
27278,0,0
27288,0,0
27298,0,0
27308,0,2078
27318,0,3905
27328,3924,3938
27338,3926,3938
27348,3931,3937
27358,3923,3686
27368,3933,3051
27378,3925,2643
27388,3938,2237
27398,3923,2313
27408,3925,2096
27418,3933,1917
27428,3929,1885
27438,3943,1753
27448,3920,1584
27458,3935,1447
27468,3933,1308
27478,3938,1214
27488,3938,1276
27498,3940,1176
27508,3935,1107
27518,3938,1121
27528,3927,1117
27538,3280,1232
27548,2559,1359
27558,2047,1175
27568,1616,1104
27578,1270,981
27588,992,909
27598,766,754
27608,597,827
27618,3244,688
27628,3401,549
27638,2832,605
27648,2790,603
27658,3952,528
27668,3930,419
27678,3931,511
27688,3937,461
27698,3929,421
27708,3930,353
27718,3927,334
27728,3927,382
27738,3935,457
27748,3932,449
27758,3932,450
27768,3931,575
27778,3904,662
27788,3371,683
27798,2643,615
27808,2125,780
27818,1627,950
27828,1306,976
27838,1101,1213
27848,3854,1051
27858,3926,1053
27868,3897,1057
27878,3957,945
27888,3851,861
27898,3922,851
27908,3027,704
27918,2442,591
27928,1943,466
27938,1527,417
27948,1195,331
27958,925,245
27968,1011,191
27978,3929,146
27988,3936,112
27998,3937,85
28008,3922,69
28018,3936,39
28028,3929,46
28038,3934,27
28048,3937,20
28058,3865,7
28068,2943,0
28078,2338,1
28088,1853,0
28098,1459,0
28108,1142,0
28118,889,0
28128,683,0
28138,529,0
28148,398,0
28158,302,0
28168,211,0
28178,146,0
28188,110,0
28198,66,0
28208,33,0
28218,5,0
28228,0,0
28238,0,0
28248,3927,0
28258,3937,0
28268,3926,0
28278,3438,0
28288,2727,0
28298,2192,0
28308,1734,0
28318,1360,0
28328,1060,0
28338,823,0
28348,637,0
28358,479,0
28368,363,0
28378,270,0
28388,205,0
28398,143,0
28408,94,0
28418,55,0
28428,18,0
28438,10,0
