timestamp_ms,wire1_pin34,wire2_pin32
330109,0,0
330119,0,0
330129,0,0
330139,0,0
330149,0,0
330159,0,0
330169,0,0
330179,0,0
330189,0,0
330199,0,0
330209,0,0
330219,0,0
330229,0,0
330239,0,0
330249,0,0
330259,0,0
330269,0,0
330279,0,0
330289,0,0
330299,0,0
330309,0,0
330319,0,0
330329,0,0
330339,0,0
330349,0,0
330359,0,0
330369,0,0
330379,0,0
330389,0,0
330399,0,0
330409,0,0
330419,0,0
330429,0,0
330439,0,0
330449,25,0
330459,23,0
330469,48,0
330479,39,0
330489,31,0
330499,22,0
330509,43,0
330519,36,0
330529,26,0
330539,12,0
330549,16,0
330559,0,0
330569,0,0
330579,6,0
330589,4,0
330599,0,0
330609,0,0
330619,0,0
330629,0,0
330639,0,0
330649,0,0
330659,0,0
330669,0,0
330679,0,0
330689,0,0
330699,0,0
330709,0,0
330719,0,0
330729,0,0
330739,0,0
330749,0,0
330759,0,0
330769,0,0
330779,0,0
330789,13,0
330799,12,0
330809,23,0
330819,18,0
330829,16,0
330839,11,0
330849,0,0
330859,0,0
330869,0,0
330879,0,0
330889,0,0
330899,0,0
330909,0,0
330919,0,0
330929,0,0
330939,10,0
330949,11,0
330959,14,0
330969,3,0
330979,0,0
330989,0,0
330999,0,0
331009,0,0
331019,0,0
331029,2,0
331039,0,0
331049,0,0
331059,0,0
331069,0,0
331079,0,0
331089,0,0
331099,0,0
331109,0,0
331119,0,0
331129,0,0
331139,0,0
331149,0,0
331159,0,0
331169,16,0
331179,0,0
331189,0,0
331199,0,0
331209,0,0
331219,70,0
331229,9,0
331239,5,0
331249,0,0
331259,0,0
331269,0,0
331279,0,0
331289,0,0
331299,0,0
331309,0,0
331319,0,0
331329,0,0
331339,0,0
331349,0,0
331359,0,0
331369,0,0
331379,0,0
331389,0,0
331399,0,0
331409,0,0
331419,13,0
331429,14,0
331439,5,0
331449,0,0
331459,0,0
331469,0,0
331479,0,0
331489,0,0
331499,0,0
331509,0,0
331519,0,0
331529,0,0
331539,0,0
331549,19,0
331559,32,0
331569,15,0
331579,11,0
331589,0,0
331599,0,0
331609,0,0
331619,0,0
331629,0,0
331639,0,0
331649,0,0
331659,0,0
331669,0,0
331679,0,0
331689,0,0
331699,0,0
331709,0,0
331719,0,0
331729,0,0
331739,0,0
331749,0,0
331759,0,0
331769,0,0
331779,0,0
331789,0,0
331799,0,0
331809,0,0
331819,0,0
331829,0,0
331839,0,0
331849,0,0
331859,0,0
331869,0,0
331879,0,0
331889,0,0
331899,0,0
331909,0,0
331919,0,0
331929,0,0
331939,0,0
331949,0,0
331959,0,0
331969,0,0
331979,0,0
331989,0,0
331999,0,0
332009,0,0
332019,0,0
332029,0,0
332039,0,0
332049,0,0
332059,0,0
332069,0,0
332079,0,0
332089,0,0
332099,0,0
335608,0,0
335618,6,0
335628,11,0
335638,3,0
335648,16,0
335658,0,0
335668,0,0
335678,0,0
335688,0,0
335698,15,0
335708,32,0
335718,16,0
335728,3,0
335738,26,0
335748,45,0
335758,35,0
335768,20,0
335778,16,0
335788,17,0
335798,6,0
335808,0,0
335818,13,0
335828,0,0
335838,0,0
335848,0,0
335858,15,0
335868,4,0
335878,0,0
335888,0,0
335898,0,0
335908,0,0
335918,0,0
335928,43,0
335938,26,0
335948,17,0
335958,7,0
335968,5,0
335978,16,0
335988,0,0
335998,0,0
336008,22,0
336018,16,0
336028,42,0
336038,47,0
336048,34,0
336058,7,0
336068,16,0
336078,1,0
336088,16,0
336098,11,0
336108,1,0
336118,0,0
336128,0,0
336138,0,0
336148,0,0
336158,0,0
336168,0,0
336178,0,0
336188,0,0
336198,0,0
336208,0,0
336218,0,0
336228,0,0
336238,0,0
336248,0,0
336258,0,0
336268,0,0
336278,0,0
336288,0,0
336298,0,0
336308,0,0
336318,0,0
336328,0,0
336338,0,0
336348,0,0
336358,0,0
336368,0,0
336378,0,0
336388,0,0
336398,0,0
336408,0,0
336418,0,0
336428,0,0
336438,0,0
336448,0,0
336458,0,0
336468,0,0
336478,0,0
336488,0,0
336498,0,0
336508,0,0
336518,0,0
336528,0,0
336538,0,0
336548,0,0
336558,0,0
336568,0,0
336578,0,0
336588,0,0
336598,0,0
336608,0,0
336618,0,0
336628,0,0
336638,0,0
336648,0,0
336658,0,0
336668,0,0
336678,0,0
336688,0,0
336698,20,0
336708,16,0
336718,0,0
336728,0,0
336738,0,0
336748,0,0
336758,0,0
336768,0,0
336778,14,0
336788,0,0
336798,0,0
336808,0,0
336818,0,0
336828,0,0
336838,0,0
336848,31,0
336858,0,0
336868,0,0
336878,31,0
