timestamp_ms,wire1_pin34,wire2_pin32
21263,0,0
21273,0,0
21283,0,0
21293,0,0
21303,0,0
21313,0,0
21323,0,0
21333,0,0
21343,0,0
21353,0,0
21363,0,0
21373,0,0
21383,0,0
21393,0,0
21403,0,0
21413,0,0
21423,0,0
21433,0,0
21443,0,0
21453,0,0
21463,0,0
21473,0,0
21483,0,0
21493,0,0
21503,0,0
21513,0,0
21523,0,0
21533,0,0
21543,0,0
21553,0,0
21563,0,0
21573,0,0
21583,0,0
21593,0,0
21603,0,0
21613,0,0
21623,0,0
21633,0,0
21643,0,0
21653,0,0
21663,7,0
21673,43,0
21683,124,0
21693,148,0
21703,144,0
21713,176,0
21723,149,0
21733,158,0
21743,187,0
21753,176,0
21763,151,0
21773,182,0
21783,157,0
21793,144,0
21803,144,0
21813,147,0
21823,131,0
21833,148,0
21843,109,0
21853,102,0
21863,87,0
21873,129,0
21883,116,0
21893,123,0
21903,119,0
21913,172,0
21923,235,0
21933,221,0
21943,224,15
21953,175,15
21963,160,16
21973,203,17
21983,177,2
21993,187,7
22003,246,19
22013,280,33
22023,267,32
22033,269,26
22043,226,6
22053,208,0
22063,208,0
22073,237,0
22083,254,0
22093,262,26
22103,292,15
22113,320,32
22123,288,32
22133,311,16
22143,369,48
22153,353,81
22163,295,163
22173,333,234
22183,301,231
22193,258,286
22203,277,226
22213,266,220
22223,272,256
22233,234,267
22243,208,262
22253,176,257
22263,166,208
22273,252,177
22283,264,174
22293,261,174
22303,222,128
22313,194,91
22323,198,65
22333,169,63
22343,119,48
22353,81,34
22363,63,16
22373,52,0
22383,42,0
22393,22,0
22403,8,0
22413,0,0
22423,0,0
22433,0,0
22443,0,0
22453,0,0
22463,0,0
22473,0,0
22483,0,0
22493,0,0
22503,0,0
22513,0,0
22523,0,0
22533,0,0
22543,0,0
22553,0,0
22563,0,0
22573,0,0
22583,0,0
22593,0,0
22603,0,0
22613,0,0
22623,0,0
22633,0,0
22643,0,0
22653,0,0
22663,0,0
22673,0,0
22683,0,0
22693,0,0
22703,0,0
22713,0,0
22723,0,0
22733,0,0
22743,0,0
22753,0,0
22763,0,0
22773,0,0
22783,0,0
