timestamp_ms,wire1_pin34,wire2_pin32
14799,0,0
14809,0,0
14819,0,0
14829,0,0
14839,0,0
14849,0,0
14859,0,0
14869,0,0
14879,0,0
14889,0,0
14899,0,0
14909,0,0
14919,0,0
14929,0,0
14939,0,0
14949,0,0
14959,0,0
14969,0,0
14979,0,0
14989,0,0
14999,0,0
15009,0,0
15019,0,0
15029,0,0
15039,0,0
15049,0,0
15059,0,0
15069,0,0
15079,0,0
15089,0,0
15099,0,0
15109,0,0
15119,0,0
15129,0,0
15139,0,0
15149,0,0
15159,0,0
15169,0,0
15179,0,10
15189,0,0
15199,0,0
15209,0,0
15219,0,0
15229,0,0
15239,0,0
15249,0,0
15259,0,0
15269,0,0
15279,0,0
15289,0,0
15299,0,0
15309,0,0
15319,0,0
15329,0,0
15339,0,0
15349,0,0
15359,0,0
15369,0,0
15379,0,0
15389,0,0
15399,0,0
15409,0,0
15419,0,0
15429,0,0
15439,0,0
15449,0,0
15459,0,0
15469,0,0
15479,0,0
15489,0,0
15499,0,0
15509,0,0
15519,0,0
15529,0,0
15539,0,0
15549,0,0
15559,0,0
15569,0,0
15579,0,0
15589,0,0
15599,0,6
15609,0,21
15619,0,21
15629,0,11
15639,0,16
15649,0,1
15659,0,0
15669,0,0
15679,0,2
15689,0,28
15699,0,69
15709,0,54
15719,0,53
15729,0,78
15739,0,115
15749,11,111
15759,25,128
15769,16,117
15779,16,221
15789,106,192
15799,95,156
15809,155,157
15819,144,144
15829,135,117
15839,121,145
15849,129,112
15859,98,93
15869,64,78
15879,58,66
15889,38,101
15899,16,113
15909,5,142
15919,0,238
15929,0,229
15939,0,262
15949,0,229
15959,1,278
15969,21,302
15979,34,258
15989,48,247
15999,51,289
16009,29,281
16019,18,400
16029,16,439
16039,0,385
16049,0,398
16059,0,531
16069,0,681
16079,0,624
16089,0,620
16099,0,646
16109,0,623
16119,0,545
16129,0,483
16139,0,505
16149,0,467
16159,0,445
16169,0,433
16179,0,325
16189,0,244
16199,0,186
16209,0,144
16219,0,99
16229,0,65
16239,0,42
16249,0,27
16259,0,17
16269,0,9
16279,0,0
16289,0,0
16299,0,0
16309,0,0
16319,0,0
16329,0,0
16339,0,0
16349,0,0
16359,0,0
16369,0,0
16379,0,0
16389,0,0
16399,0,0
16409,0,0
16419,0,0
16429,0,0
16439,0,0
16449,0,0
16459,0,0
16469,0,0
16479,0,0
16489,0,0
16499,0,0
16509,0,0
16519,0,0
16529,0,0
16539,0,0
16549,0,0
16559,0,0
16569,0,0
16579,0,0
16589,0,0
16599,0,0
16609,0,0
16619,0,0
16629,0,0
16639,0,0
16649,0,0
16659,0,0
16669,0,0
16679,0,0
16689,0,0
16699,0,0
16709,0,0
16719,0,0
16729,0,0
16739,0,0
16749,0,0
16759,0,0
16769,0,0
16779,0,0
16789,0,0
21298,0,0
21308,0,0
21318,0,0
21328,0,0
21338,0,0
21348,0,0
21358,0,0
21368,0,0
21378,0,0
21388,0,0
21398,0,0
21408,0,0
21418,0,0
21428,0,0
21438,0,0
21448,0,0
21458,0,0
21468,0,0
21478,0,0
21488,0,0
21498,0,0
21508,0,0
21518,0,0
21528,0,0
21538,0,0
21548,0,0
21558,0,0
21568,0,0
21578,0,0
21588,0,0
21598,0,0
21608,0,0
21618,0,0
21628,0,0
21638,0,0
21648,0,0
21658,0,0
21668,0,0
21678,0,0
21688,0,0
21698,0,0
21708,0,0
21718,0,0
21728,0,0
21738,0,0
21748,0,0
21758,0,0
21768,0,0
21778,0,0
21788,0,0
21798,0,0
21808,0,0
21818,0,0
21828,0,0
21838,0,0
21848,0,0
21858,0,0
21868,0,0
21878,0,0
21888,0,0
21898,0,0
21908,0,0
21918,0,0
21928,0,0
21938,0,0
21948,0,0
21958,0,0
21968,0,0
21978,0,0
21988,0,0
21998,0,30
22008,0,86
22018,0,135
22028,0,189
22038,0,224
22048,0,304
22058,0,288
22068,0,293
22078,0,293
22088,0,400
22098,0,407
22108,24,396
22118,133,339
22128,118,423
22138,122,407
22148,119,399
22158,112,502
22168,132,598
22178,105,560
22188,83,540
22198,90,511
22208,67,576
22218,65,469
22228,53,396
22238,33,386
22248,29,366
22258,5,292
22268,0,238
22278,0,183
22288,0,144
22298,0,125
22308,0,103
22318,0,89
22328,0,106
22338,0,112
22348,44,179
22358,83,292
22368,112,344
22378,110,320
22388,118,301
22398,117,313
22408,81,368
22418,48,433
22428,7,405
22438,2,432
22448,0,368
22458,0,422
22468,0,379
22478,0,309
22488,0,335
22498,0,308
22508,0,268
22518,0,235
22528,0,214
22538,0,174
22548,0,146
22558,0,135
22568,0,133
22578,0,113
22588,0,89
22598,0,68
22608,0,52
22618,0,20
22628,0,0
22638,0,0
22648,0,0
22658,0,0
22668,0,0
22678,0,0
22688,0,0
22698,0,0
22708,0,0
22718,0,0
22728,0,0
22738,0,0
22748,0,0
22758,0,0
22768,0,0
22778,0,0
22788,0,0
22798,0,0
22808,0,0
22818,0,0
22828,0,0
22838,0,0
22848,0,0
22858,0,0
22868,0,0
22878,0,0
22888,0,0
22898,0,0
22908,0,0
22918,0,0
22928,0,0
22938,0,0
22948,0,0
22958,0,0
22968,0,0
22978,0,0
22988,0,0
22998,0,0
23008,0,0
23018,0,0
23028,0,0
23038,0,0
23048,0,0
23058,0,0
23068,0,0
23078,0,0
23088,0,0
23098,0,0
23108,0,0
23118,0,0
23128,0,0
23138,0,0
23148,0,0
23158,0,0
23168,0,0
23178,0,0
23188,0,0
23198,0,0
23208,0,0
23218,0,0
23228,0,0
23238,0,0
23248,0,0
23258,0,0
23268,0,0
23278,0,0
23288,0,0
27797,0,0
27807,0,0
27817,0,0
27827,0,0
27837,0,0
27847,0,0
27857,0,0
27867,0,0
27877,0,0
27887,0,0
27897,0,0
27907,0,0
27917,0,0
27927,0,0
27937,0,0
27947,0,0
27957,0,0
27967,0,0
27977,0,0
27987,0,0
27997,0,0
28007,0,0
28017,0,0
28027,0,0
28037,0,0
28047,0,0
28057,0,0
28067,0,0
28077,0,0
28087,0,0
28097,0,0
28107,0,0
28117,0,15
28127,0,39
28137,0,54
28147,0,81
28157,0,183
28167,0,353
28177,0,470
28187,0,506
28197,3,582
28207,5,538
28217,0,580
28227,0,556
28237,0,448
28247,62,410
28257,77,447
28267,134,481
28277,180,478
28287,171,432
28297,136,400
28307,134,341
28317,128,343
28327,101,420
28337,80,368
28347,58,333
28357,34,372
28367,16,299
28377,0,242
28387,0,205
28397,0,142
28407,0,138
28417,0,112
28427,0,118
28437,0,87
28447,0,126
28457,0,165
28467,0,173
28477,0,199
28487,38,193
28497,70,199
28507,100,259
28517,100,223
28527,74,255
28537,64,283
28547,49,328
28557,34,305
28567,35,423
28577,11,496
28587,0,423
28597,0,560
28607,0,495
28617,0,403
28627,0,363
28637,0,287
28647,0,251
28657,0,240
28667,0,177
28677,0,143
28687,0,111
28697,0,95
28707,0,66
28717,0,48
28727,0,34
28737,0,9
28747,0,0
28757,0,0
28767,0,0
28777,0,0
28787,0,0
28797,0,0
28807,0,0
28817,0,0
28827,0,0
28837,0,0
28847,0,0
28857,0,0
28867,0,0
28877,0,0
28887,0,0
28897,0,0
28907,0,0
28917,0,0
28927,0,0
28937,0,0
28947,0,0
28957,0,0
28967,0,0
28977,0,0
28987,0,0
28997,0,4
29007,0,6
29017,0,0
29027,0,0
29037,0,0
29047,0,0
29057,0,0
29067,0,0
29077,0,0
29087,0,0
29097,0,0
29107,0,0
29117,0,0
29127,0,0
29137,0,0
29147,0,0
29157,0,0
29167,0,0
29177,0,0
29187,0,0
29197,0,0
29207,0,0
29217,0,0
29227,0,0
29237,0,0
29247,0,0
29257,0,0
29267,0,0
29277,0,0
29287,0,0
29297,0,0
29307,0,0
29317,0,0
29327,0,0
29337,0,0
29347,0,0
29357,0,0
29367,0,0
29377,0,0
29387,0,0
29397,0,0
29407,0,0
29417,0,0
29427,0,0
29437,0,0
29447,0,0
29457,0,0
29467,0,0
29477,0,0
29487,0,0
29497,0,0
29507,0,0
29517,0,0
29527,0,0
29537,0,0
29547,0,0
29557,0,0
29567,0,0
29577,0,0
29587,0,0
29597,0,0
29607,0,0
29617,0,0
29627,0,0
29637,0,0
29647,0,0
29657,0,0
29667,0,0
29677,0,0
29687,0,0
29697,0,0
29707,0,0
29717,0,0
29727,0,0
29737,0,0
29747,0,0
29757,0,0
29767,0,0
29777,0,0
29787,0,0
34296,0,0
34306,0,0
34316,0,0
34326,0,0
34336,0,0
34346,0,0
34356,0,0
34366,0,0
34376,0,0
34386,0,0
34396,0,0
34406,0,0
34416,0,0
34426,0,0
34436,0,0
34446,0,0
34456,0,0
34466,0,0
34476,0,0
34486,0,0
34496,0,0
34506,0,0
34516,0,0
34526,0,0
34536,0,0
34546,0,0
34556,0,0
34566,0,0
34576,0,0
34586,0,0
34596,0,0
34606,0,0
34616,0,0
34626,0,0
34636,0,0
34646,0,0
34656,0,0
34666,0,0
34676,0,0
34686,0,0
34696,0,0
34706,0,0
34716,0,0
34726,0,0
34736,0,0
34746,0,0
34756,0,0
34766,0,0
34776,0,0
34786,0,0
34796,0,0
34806,0,1
34816,0,46
34826,0,123
34836,0,200
34846,0,304
34856,0,478
34866,0,496
34876,79,540
34886,182,552
34896,179,555
34906,265,487
34916,374,482
34926,304,436
34936,288,491
34946,321,464
34956,297,503
34966,307,439
34976,300,549
34986,305,479
34996,343,437
35006,337,483
35016,345,464
35026,387,385
35036,379,323
35046,319,242
35056,272,187
35066,197,132
35076,148,113
35086,106,91
35096,64,66
35106,32,37
35116,7,31
35126,5,10
35136,7,59
35146,12,144
35156,22,280
35166,47,319
35176,25,306
35186,67,317
35196,69,314
35206,48,256
35216,25,223
35226,12,175
35236,10,144
35246,18,157
35256,38,135
35266,16,215
35276,15,263
35286,0,229
35296,0,231
35306,0,237
35316,0,177
35326,0,144
35336,0,109
35346,0,69
35356,0,51
35366,0,52
35376,0,57
35386,0,51
35396,0,34
35406,0,19
35416,0,16
35426,0,17
35436,0,10
35446,0,0
35456,0,3
35466,0,15
35476,0,7
35486,0,0
35496,0,0
35506,0,0
35516,0,0
35526,0,0
35536,0,0
35546,0,0
35556,0,0
35566,0,0
35576,0,0
35586,0,0
35596,0,0
35606,0,0
35616,0,0
35626,0,32
35636,0,16
35646,0,12
35656,0,0
35666,0,0
35676,0,0
35686,0,0
35696,0,0
35706,0,0
35716,0,0
35726,0,0
35736,0,0
35746,0,0
35756,0,0
35766,0,0
