timestamp_ms,wire1_pin34,wire2_pin32
12165,0,0
12175,0,0
12185,0,0
12195,0,0
12205,0,0
12215,0,0
12225,0,0
12235,0,0
12245,0,0
12255,0,0
12265,0,0
12275,0,0
12285,0,0
12295,0,0
12305,0,0
12315,0,0
12325,0,0
12335,0,0
12345,0,0
12355,0,0
12365,0,0
12375,0,0
12385,0,0
12395,0,0
12405,0,0
12415,16,0
12425,38,0
12435,48,0
12445,96,14
12455,142,23
12465,208,59
12475,301,88
12485,369,106
12495,477,156
12505,492,214
12515,477,192
12525,458,226
12535,576,250
12545,752,272
12555,973,227
12565,953,237
12575,939,243
12585,947,272
12595,1068,262
12605,1073,266
12615,1073,256
12625,1275,221
12635,1362,208
12645,1230,203
12655,1088,246
12665,1048,261
12675,975,315
12685,1023,293
12695,1019,272
12705,963,304
12715,913,353
12725,810,351
12735,989,374
12745,921,355
12755,858,311
12765,885,398
12775,791,405
12785,701,387
12795,757,370
12805,1105,336
12815,1410,367
12825,1627,418
12835,1535,433
12845,1647,397
12855,1494,338
12865,1437,355
12875,1244,342
12885,1412,395
12895,1456,345
12905,1559,297
12915,1466,267
12925,1291,304
12935,1187,303
12945,1124,240
12955,1219,188
12965,1187,155
12975,1041,111
12985,877,86
12995,811,69
13005,661,50
13015,553,32
13025,427,29
13035,355,2
13045,293,0
13055,322,0
13065,298,0
13075,299,0
13085,331,0
13095,274,0
13105,271,0
13115,245,0
13125,213,0
13135,208,0
13145,231,0
13155,212,0
13165,201,0
13175,208,0
13185,202,0
13195,186,0
13205,160,0
13215,143,0
13225,126,0
13235,109,0
13245,85,0
13255,87,0
13265,73,0
13275,72,0
13285,61,0
13295,69,0
13305,51,0
13315,32,0
13325,22,0
13335,15,0
13345,4,0
13355,0,0
13365,0,0
13375,0,0
13385,0,0
13395,0,0
13405,0,0
13415,0,0
13425,0,0
13435,0,0
13445,0,0
13455,2,0
13465,18,0
13475,0,0
13485,0,0
13495,0,0
13505,0,0
13515,0,0
13525,0,0
13535,0,0
13545,0,0
13555,0,0
13565,0,0
13575,3,0
13585,0,0
13595,0,0
13605,0,0
13615,0,0
13625,0,0
13635,0,0
13645,0,0
13655,0,0
13665,0,0
13675,0,0
13685,0,0
13695,0,0
13705,0,0
13715,0,0
13725,0,0
13735,0,0
13745,0,0
13755,0,0
