timestamp_ms,wire1_pin34,wire2_pin32
12464,25,0
12474,20,0
12484,14,0
12494,15,0
12504,19,0
12514,16,0
12524,16,0
12534,7,0
12544,17,0
12554,22,0
12564,23,0
12574,28,0
12584,33,0
12594,18,0
12604,37,0
12614,43,0
12624,37,0
12634,35,0
12644,47,0
12654,32,0
12664,29,0
12674,38,0
12684,33,0
12694,32,0
12704,28,0
12714,24,0
12724,34,0
12734,47,0
12744,76,16
12754,125,23
12764,185,119
12774,255,144
12784,283,119
12794,327,172
12804,366,219
12814,355,213
12824,304,239
12834,448,221
12844,443,239
12854,720,296
12864,805,246
12874,871,230
12884,956,271
12894,954,290
12904,957,270
12914,1018,307
12924,1040,304
12934,1168,349
12944,1181,339
12954,1006,315
12964,1078,270
12974,1333,272
12984,1399,224
12994,1264,260
13004,1198,304
13014,1305,269
13024,1171,262
13034,1231,245
13044,1167,267
13054,1364,301
13064,1264,330
13074,1363,336
13084,1521,387
13094,1363,349
13104,1319,400
13114,1302,430
13124,1263,464
13134,1358,466
13144,1340,433
13154,1344,378
13164,1369,378
13174,1338,308
13184,1253,273
13194,1199,272
13204,1182,354
13214,1079,319
13224,963,267
13234,865,229
13244,843,227
13254,887,209
13264,816,168
13274,671,130
13284,645,106
13294,574,84
13304,485,62
13314,475,53
13324,614,23
13334,547,10
13344,480,0
13354,428,0
13364,397,0
13374,368,0
13384,426,0
13394,434,0
13404,422,0
13414,445,0
13424,400,0
13434,353,0
13444,341,0
13454,302,0
13464,672,6
13474,587,4
13484,569,28
13494,523,16
13504,509,0
13514,541,7
13524,657,18
13534,635,6
13544,609,0
13554,643,0
13564,592,32
13574,619,64
13584,959,99
13594,1285,79
13604,1084,65
13614,1073,65
13624,952,63
13634,1121,87
13644,944,91
13654,818,80
13664,879,103
13674,870,159
13684,911,153
13694,906,201
13704,853,201
13714,770,189
13724,716,166
13734,891,215
13744,855,214
13754,918,189
13764,983,199
13774,1377,306
13784,1314,297
13794,1235,295
13804,1133,311
13814,1080,289
13824,1210,298
13834,1038,287
13844,1018,256
13854,1068,256
13864,1098,252
13874,1184,236
13884,1140,219
13894,1134,219
13904,1089,190
13914,1032,187
13924,1104,190
13934,1191,189
13944,1219,195
13954,1221,223
13964,1136,227
13974,991,234
13984,898,227
13994,746,187
14004,610,179
14014,528,176
14024,421,141
14034,336,95
14044,352,59
14054,366,32
14064,344,15
14074,373,0
14084,266,0
14094,225,0
14104,221,0
14114,208,0
14124,173,0
14134,157,0
14144,126,0
14154,114,0
14164,109,0
14174,102,0
14184,99,0
14194,80,0
14204,64,0
14214,75,0
14224,67,0
14234,73,0
14244,48,0
14254,48,0
14264,67,0
14274,85,0
14284,60,0
14294,64,0
14304,73,0
14314,51,0
14324,50,0
14334,53,0
14344,41,0
14354,41,0
14364,53,0
14374,39,0
14384,34,0
14394,41,0
14404,33,0
14414,31,0
14424,18,0
14434,24,0
14444,28,0
14454,20,0
18963,68,0
18973,58,0
18983,69,0
18993,55,0
19003,55,0
19013,58,0
19023,51,0
19033,47,0
19043,62,0
19053,48,0
19063,53,0
19073,52,0
19083,69,0
19093,55,0
19103,64,0
19113,48,0
19123,58,0
19133,51,0
19143,64,0
19153,67,0
19163,67,0
19173,51,0
19183,67,0
19193,70,0
19203,66,0
19213,64,0
19223,67,0
19233,60,0
19243,113,0
19253,134,25
19263,137,59
19273,242,84
19283,388,112
19293,389,125
19303,336,145
19313,485,155
19323,604,213
19333,929,209
19343,1095,209
19353,979,240
19363,1094,225
19373,1091,237
19383,1139,272
19393,1078,254
19403,913,286
19413,993,311
19423,1050,342
19433,1142,322
19443,1281,356
19453,1201,318
19463,1090,368
19473,1067,313
19483,982,333
19493,1167,358
19503,1193,363
19513,1078,366
19523,1222,333
19533,1182,297
19543,1162,381
19553,1072,415
19563,1171,414
19573,1088,441
19583,939,391
19593,1071,395
19603,1162,397
19613,1158,453
19623,1057,496
19633,1136,423
19643,1392,375
19653,1344,318
19663,1263,324
19673,1177,380
19683,975,320
19693,945,315
19703,875,263
19713,779,221
19723,694,208
19733,619,240
19743,582,220
19753,490,187
19763,459,207
19773,415,212
19783,340,198
19793,303,190
19803,349,177
19813,511,144
19823,496,179
19833,450,175
19843,441,208
19853,382,242
19863,320,259
19873,323,232
19883,365,208
19893,422,228
19903,354,257
19913,349,240
19923,323,205
19933,294,209
19943,320,224
19953,367,215
19963,318,169
19973,272,127
19983,263,154
19993,319,189
20003,266,137
20013,262,129
20023,238,140
20033,300,141
20043,310,128
20053,352,91
20063,377,72
20073,384,80
20083,334,64
20093,286,123
20103,295,111
20113,351,96
20123,453,122
20133,575,149
20143,496,143
20153,574,151
20163,590,155
20173,734,223
20183,747,213
20193,752,203
20203,609,247
20213,674,223
20223,686,225
20233,757,253
20243,918,214
20253,889,240
20263,976,240
20273,1005,240
20283,930,245
20293,871,210
20303,912,262
20313,838,279
20323,1095,339
20333,1154,279
20343,1057,254
20353,938,256
20363,853,240
20373,802,259
20383,713,207
20393,639,180
20403,641,176
20413,598,147
20423,557,128
20433,571,123
20443,565,103
20453,526,78
20463,432,48
20473,405,51
20483,378,43
20493,368,21
20503,336,79
20513,328,53
20523,302,38
20533,321,26
20543,288,6
20553,279,0
20563,378,0
20573,350,0
20583,331,0
20593,363,0
20603,387,0
20613,317,0
20623,243,0
20633,210,0
20643,186,0
20653,181,0
20663,176,0
20673,125,0
20683,138,0
20693,106,0
20703,143,0
20713,115,0
20723,109,0
20733,98,0
20743,118,0
20753,103,0
20763,91,0
20773,77,0
20783,95,0
20793,86,0
20803,83,0
20813,102,0
20823,106,0
20833,89,0
20843,81,0
20853,71,0
20863,61,0
20873,55,0
20883,32,0
20893,34,0
20903,42,0
20913,25,0
20923,29,0
20933,41,0
20943,55,0
20953,41,0
25462,58,0
25472,51,0
25482,45,0
25492,47,0
25502,33,0
25512,48,0
25522,48,0
25532,39,0
25542,48,0
25552,50,0
25562,55,0
25572,59,0
25582,70,0
25592,48,0
25602,62,0
25612,62,0
25622,62,0
25632,58,0
25642,52,0
25652,50,0
25662,43,0
25672,55,0
25682,81,0
25692,95,0
25702,97,21
25712,83,34
25722,84,91
25732,80,107
25742,126,129
25752,194,176
25762,276,193
25772,299,215
25782,265,179
25792,370,143
25802,428,166
25812,551,227
25822,672,265
25832,650,306
25842,763,318
25852,775,288
25862,831,259
25872,813,285
25882,830,298
25892,787,298
25902,899,277
25912,1099,295
25922,1259,315
25932,1074,272
25942,1090,283
25952,1239,305
25962,1045,283
25972,1023,321
25982,1109,340
25992,1041,350
26002,1099,281
26012,1199,361
26022,1127,369
26032,1078,425
26042,1165,442
26052,1323,432
26062,1289,475
26072,1366,434
26082,1171,459
26092,1101,455
26102,1093,410
26112,1157,390
26122,1057,384
26132,1162,378
26142,1023,388
26152,986,338
26162,801,301
26172,710,277
26182,627,255
26192,720,300
26202,703,273
26212,713,259
26222,642,230
26232,578,304
26242,504,315
26252,495,279
26262,400,268
26272,349,295
26282,400,282
26292,449,283
26302,353,233
26312,302,199
26322,272,212
26332,240,179
26342,206,169
26352,205,144
26362,227,163
26372,225,223
26382,205,176
26392,220,157
26402,202,203
26412,175,246
26422,197,292
26432,238,315
26442,238,288
26452,259,298
26462,258,318
26472,210,321
26482,179,296
26492,252,320
26502,281,316
26512,296,304
26522,239,259
26532,272,219
26542,272,235
26552,221,269
26562,186,251
26572,208,300
26582,253,305
26592,272,298
26602,343,400
26612,432,367
26622,469,355
26632,464,347
26642,439,351
26652,418,397
26662,411,410
26672,425,373
26682,365,299
26692,448,310
26702,567,311
26712,609,370
26722,560,324
26732,526,320
26742,451,315
26752,480,279
26762,560,259
26772,549,231
26782,507,195
26792,534,203
26802,610,176
26812,507,187
26822,437,197
26832,464,217
26842,363,199
26852,291,207
26862,385,207
26872,428,183
26882,378,186
26892,361,151
26902,387,128
26912,385,93
26922,379,79
26932,432,48
26942,400,54
26952,362,32
26962,379,31
26972,355,25
26982,309,11
26992,243,14
27002,247,21
27012,235,28
27022,215,15
27032,183,12
27042,161,0
27052,131,0
27062,133,0
