timestamp_ms,wire1_pin34,wire2_pin32
9339,0,0
9349,0,0
9359,0,0
9369,0,0
9379,0,0
9389,0,0
9399,0,0
9409,0,0
9419,0,0
9429,0,0
9439,45,0
9449,60,0
9459,26,0
9469,64,0
9479,49,0
9489,35,0
9499,23,0
9509,27,0
9519,2,0
9529,33,0
9539,33,0
9549,55,0
9559,71,0
9569,64,0
9579,73,0
9589,70,0
9599,16,0
9609,86,0
9619,119,0
9629,100,0
9639,203,0
9649,277,0
9659,384,0
9669,499,0
9679,502,0
9689,618,0
9699,657,0
9709,1047,0
9719,1200,0
9729,1143,0
9739,1417,0
9749,1594,59
9759,1591,82
9769,1717,317
9779,1824,334
9789,1839,330
9799,1703,272
9809,1805,448
9819,1717,501
9829,1606,465
9839,1457,485
9849,1349,530
9859,1232,493
9869,1193,421
9879,1262,387
9889,1238,375
9899,1101,300
9909,1073,255
9919,1009,225
9929,873,217
9939,761,196
9949,772,209
9959,725,168
9969,619,119
9979,502,117
9989,507,83
9999,487,51
10009,489,65
10019,446,103
10029,366,48
10039,299,18
10049,280,16
10059,366,16
10069,292,7
10079,242,3
10089,203,0
10099,167,0
10109,128,17
10119,115,15
10129,113,13
10139,125,16
10149,112,0
10159,128,10
10169,90,0
10179,131,0
10189,122,0
10199,113,0
10209,126,0
10219,112,0
10229,112,0
10239,99,0
10249,74,0
10259,58,0
10269,47,0
10279,42,0
10289,48,0
10299,48,0
10309,33,0
10319,38,0
10329,41,0
10339,50,0
10349,48,0
10359,27,0
10369,16,0
10379,9,0
10389,2,0
10399,0,0
10409,0,0
10419,0,0
10429,8,0
10439,1,0
10449,2,0
10459,0,0
10469,0,0
10479,0,0
10489,0,0
10499,11,0
10509,15,0
10519,2,0
10529,0,0
10539,34,0
10549,46,0
10559,45,0
10569,79,0
10579,69,0
10589,91,0
10599,87,0
10609,87,0
10619,62,0
10629,77,0
10639,31,0
10649,34,0
10659,32,0
10669,33,0
10679,16,0
10689,5,0
10699,0,0
10709,0,0
10719,0,0
10729,0,0
10739,0,0
10749,0,0
10759,0,0
10769,0,0
10779,0,0
10789,0,0
10799,0,0
10809,0,0
10819,0,0
10829,0,0
10839,0,0
10849,0,0
10859,0,0
10869,0,0
10879,0,0
10889,0,0
10899,0,0
10909,0,0
10919,0,0
10929,0,0
10939,0,0
10949,0,0
10959,17,0
10969,39,0
10979,39,0
10989,65,0
10999,58,0
11009,54,0
11019,63,0
11029,73,0
11039,81,0
11049,101,0
11059,144,0
11069,109,0
11079,114,0
11089,112,0
11099,95,0
11109,79,0
11119,61,0
11129,58,0
11139,69,0
11149,91,0
11159,93,0
11169,96,0
11179,46,0
11189,70,0
11199,64,0
11209,64,0
11219,47,0
11229,71,0
11239,29,0
11249,27,0
11259,10,0
11269,0,0
11279,0,0
11289,40,0
11299,0,0
11309,0,0
11319,0,0
11329,0,0
14838,0,0
14848,0,0
14858,0,0
14868,0,0
14878,0,0
14888,0,0
14898,0,0
14908,0,0
14918,0,0
14928,0,0
14938,0,0
14948,0,0
14958,0,0
14968,0,0
14978,0,0
14988,0,0
14998,0,0
15008,0,0
15018,9,0
15028,0,0
15038,0,0
15048,0,0
15058,0,0
15068,0,0
15078,0,0
15088,21,0
15098,50,0
15108,101,0
15118,118,0
15128,175,0
15138,175,0
15148,215,0
15158,299,0
15168,511,0
15178,558,0
15188,590,0
15198,656,0
15208,621,0
15218,783,0
15228,816,0
15238,841,0
15248,1184,0
15258,1437,40
15268,1465,114
15278,1482,191
15288,1488,289
15298,1504,439
15308,1621,494
15318,1311,496
15328,1168,464
15338,1104,400
15348,1101,431
15358,970,417
15368,1123,377
15378,1118,384
15388,1055,392
15398,1114,352
15408,1112,283
15418,1093,208
15428,1129,149
15438,1055,99
15448,1067,62
15458,1106,30
15468,1046,3
15478,856,0
15488,750,0
15498,756,0
15508,790,0
15518,659,0
15528,552,0
15538,539,0
15548,500,0
15558,601,0
15568,525,0
15578,345,0
15588,420,0
15598,402,0
15608,394,0
15618,401,0
15628,299,0
15638,253,0
15648,275,0
15658,191,0
15668,144,0
15678,149,0
15688,89,0
15698,73,0
15708,112,0
15718,65,0
15728,64,0
15738,50,0
15748,0,0
15758,19,0
15768,32,0
15778,30,0
15788,25,0
15798,39,0
15808,35,0
15818,26,0
15828,11,0
15838,39,0
15848,63,0
15858,64,0
15868,53,0
15878,49,0
15888,48,0
15898,66,0
15908,96,0
15918,63,0
15928,84,0
15938,65,0
15948,59,0
15958,65,0
15968,51,0
15978,34,0
15988,22,0
15998,30,0
16008,69,0
16018,58,0
16028,55,0
16038,40,0
16048,16,0
16058,16,15
16068,1,0
16078,34,0
16088,43,0
16098,48,0
16108,79,0
16118,64,0
16128,65,128
16138,43,0
16148,26,0
16158,28,0
16168,17,0
16178,4,0
16188,0,0
16198,0,0
16208,0,0
16218,0,0
16228,0,0
16238,17,0
16248,30,0
16258,23,0
16268,22,0
16278,4,0
16288,0,0
16298,0,0
16308,0,0
16318,0,0
16328,0,0
16338,0,0
16348,0,0
16358,0,0
16368,0,0
16378,0,0
16388,0,0
16398,0,0
16408,0,0
16418,0,0
16428,0,0
16438,0,0
16448,0,0
16458,0,0
16468,0,0
16478,0,0
16488,0,0
16498,0,0
16508,0,0
16518,0,0
16528,16,0
16538,0,0
16548,0,0
16558,16,0
16568,16,0
16578,3,0
16588,0,0
16598,0,0
16608,0,0
16618,0,0
16628,0,0
16638,0,0
16648,0,0
16658,0,0
16668,0,0
16678,0,0
16688,0,0
16698,0,0
16708,0,0
16718,16,0
16728,3,0
16738,16,0
16748,30,0
16758,17,0
16768,15,0
16778,7,0
16788,0,0
16798,0,0
16808,0,0
16818,0,0
16828,0,0
20337,0,0
20347,0,0
20357,0,0
20367,0,0
20377,0,0
20387,0,0
20397,0,0
20407,0,0
20417,0,0
20427,0,0
20437,0,0
20447,0,0
20457,0,0
20467,0,0
20477,0,0
20487,0,0
20497,0,0
20507,0,0
20517,0,0
20527,0,0
20537,1,0
20547,26,0
20557,38,0
20567,19,0
20577,125,0
20587,175,0
20597,193,0
20607,234,0
20617,320,0
20627,355,0
20637,453,0
20647,524,0
20657,511,33
20667,799,58
20677,1004,116
20687,1366,187
20697,1381,336
20707,1494,371
20717,1424,433
20727,1456,473
20737,1341,487
20747,1450,493
20757,1810,441
20767,1719,346
20777,1470,259
20787,1269,187
20797,1263,130
20807,1404,85
20817,1369,54
20827,1346,26
20837,1280,2
20847,1095,0
20857,923,0
20867,847,0
20877,799,0
20887,743,0
20897,733,0
20907,589,0
20917,528,0
20927,448,0
20937,377,0
20947,322,0
20957,304,0
20967,270,0
20977,311,0
20987,282,0
20997,237,0
21007,201,0
21017,183,0
21027,151,0
21037,128,0
21047,114,0
21057,92,0
21067,109,0
21077,112,0
21087,95,0
21097,77,0
21107,87,0
21117,85,0
21127,81,0
21137,80,0
21147,55,0
21157,61,0
21167,91,0
21177,97,0
21187,83,0
21197,114,0
21207,107,0
21217,85,0
21227,109,0
21237,110,0
21247,107,0
21257,139,0
21267,208,0
21277,170,0
21287,156,0
21297,131,0
21307,142,0
21317,129,0
21327,112,0
21337,91,0
21347,143,0
21357,144,0
21367,133,0
21377,112,0
21387,111,0
21397,86,0
21407,95,0
21417,79,0
21427,57,0
21437,48,0
21447,25,0
21457,11,0
21467,33,0
21477,35,0
21487,16,0
21497,30,0
21507,29,0
21517,5,0
21527,9,0
21537,17,0
21547,21,0
21557,24,0
21567,18,0
21577,16,0
21587,12,0
21597,0,0
21607,0,0
21617,0,0
21627,0,0
21637,0,0
21647,31,0
21657,0,0
21667,0,0
21677,0,0
21687,0,0
21697,0,0
21707,0,0
21717,0,0
21727,0,0
21737,0,0
21747,0,0
21757,0,0
21767,0,0
21777,0,0
21787,0,0
21797,0,0
21807,0,0
21817,0,0
21827,0,0
21837,0,0
21847,0,0
21857,0,0
21867,0,0
21877,0,0
21887,0,0
21897,0,0
21907,0,0
21917,0,0
21927,0,0
21937,0,0
21947,9,0
21957,0,0
21967,0,0
21977,0,0
21987,0,0
21997,0,0
22007,18,0
22017,48,0
22027,38,0
22037,39,0
22047,46,0
22057,30,0
22067,35,0
22077,25,0
22087,29,0
22097,11,0
22107,8,0
22117,11,0
22127,37,0
22137,46,0
22147,41,0
22157,34,0
22167,25,0
22177,13,0
22187,0,0
22197,0,0
22207,0,0
22217,0,0
22227,5,0
22237,32,0
22247,26,0
22257,48,0
22267,34,0
22277,23,0
22287,11,0
22297,0,0
22307,0,0
22317,0,0
22327,0,0
25836,5,0
25846,0,0
25856,0,0
25866,0,0
25876,0,0
25886,0,0
25896,0,0
25906,0,0
25916,0,0
25926,0,0
25936,0,0
25946,0,0
25956,0,0
25966,0,0
25976,0,0
25986,0,0
25996,0,0
26006,0,0
26016,0,0
26026,0,0
26036,0,0
26046,0,0
26056,0,0
26066,28,0
26076,33,0
