timestamp_ms,wire1_pin34,wire2_pin32
9749,0,0
9759,0,0
9769,0,0
9779,0,0
9789,0,0
9799,0,0
9809,0,0
9819,0,0
9829,0,0
9839,0,0
9849,0,0
9859,0,0
9869,0,0
9879,0,0
9889,0,0
9899,0,0
9909,0,0
9919,0,0
9929,0,0
9939,0,0
9949,0,0
9959,0,0
9969,0,0
9979,0,0
9989,0,0
9999,0,0
10009,0,0
10019,0,0
10029,0,0
10039,16,0
10049,48,0
10059,64,0
10069,115,0
10079,142,0
10089,215,0
10099,222,0
10109,463,0
10119,479,0
10129,499,0
10139,665,0
10149,643,48
10159,666,225
10169,688,282
10179,654,348
10189,640,402
10199,762,432
10209,908,415
10219,994,446
10229,1013,480
10239,902,462
10249,1085,498
10259,1169,499
10269,1097,483
10279,1073,561
10289,1089,526
10299,1139,553
10309,966,529
10319,966,511
10329,796,474
10339,831,427
10349,845,428
10359,950,390
10369,1033,386
10379,1134,354
10389,1001,324
10399,889,277
10409,786,262
10419,688,199
10429,597,178
10439,470,154
10449,397,117
10459,350,119
10469,338,75
10479,278,47
10489,229,16
10499,176,0
10509,149,0
10519,127,0
10529,110,0
10539,76,0
10549,51,0
10559,24,18
10569,16,16
10579,13,64
10589,3,117
10599,2,85
10609,23,125
10619,20,144
10629,38,177
10639,37,208
10649,29,176
10659,51,153
10669,43,139
10679,80,129
10689,85,125
10699,64,113
10709,27,100
10719,21,91
10729,13,74
10739,77,57
10749,70,45
10759,43,34
10769,29,26
10779,16,16
10789,34,3
10799,16,0
10809,14,0
10819,10,0
10829,0,0
10839,0,0
10849,11,0
10859,46,0
10869,35,0
10879,48,0
10889,54,0
10899,65,0
10909,82,0
10919,71,0
10929,49,0
10939,31,0
10949,15,0
10959,3,0
10969,0,0
10979,0,0
10989,38,0
10999,51,0
11009,29,0
11019,42,0
11029,34,0
11039,34,0
11049,8,0
11059,16,0
11069,0,0
11079,0,0
11089,13,0
11099,11,0
11109,0,0
11119,0,0
11129,0,0
11139,3,0
11149,16,0
11159,26,0
11169,36,0
11179,27,0
11189,26,0
11199,49,0
11209,29,0
11219,16,0
11229,20,0
11239,41,0
11249,48,0
11259,23,0
11269,23,0
11279,1,0
11289,1,0
11299,0,0
11309,0,0
11319,17,0
11329,23,0
11339,9,0
11349,1,0
11359,0,0
11369,7,0
11379,0,0
11389,6,0
11399,9,0
11409,11,0
11419,2,0
11429,0,0
11439,0,0
11449,0,0
11459,0,0
11469,0,0
11479,0,0
11489,0,0
11499,0,0
11509,0,0
11519,0,0
11529,0,0
11539,0,0
11549,0,0
11559,0,0
11569,0,0
11579,0,0
11589,3,0
11599,30,0
11609,47,0
11619,26,0
11629,17,0
11639,3,0
11649,4,0
11659,2,0
11669,6,0
11679,0,0
11689,0,0
11699,4,0
11709,0,0
