timestamp_ms,wire1_pin34,wire2_pin32
10977,0,0
10987,0,0
10997,0,0
11007,0,0
11017,0,0
11027,0,0
11037,0,0
11047,0,0
11057,0,0
11067,0,0
11077,0,0
11087,0,0
11097,0,0
11107,0,0
11117,0,0
11127,0,0
11137,0,0
11147,0,0
11157,0,0
11167,0,0
11177,0,0
11187,0,0
11197,0,0
11207,0,0
11217,0,0
11227,0,0
11237,0,0
11247,0,0
11257,0,0
11267,0,0
11277,0,0
11287,0,0
11297,0,0
11307,0,16
11317,0,46
11327,0,81
11337,0,272
11347,0,293
11357,0,333
11367,0,336
11377,0,449
11387,0,662
11397,0,755
11407,0,819
11417,0,709
11427,0,777
11437,0,847
11447,0,806
11457,0,694
11467,0,677
11477,0,698
11487,0,985
11497,0,963
11507,0,881
11517,0,810
11527,0,701
11537,0,638
11547,0,823
11557,0,1038
11567,0,987
11577,0,905
11587,0,794
11597,0,913
11607,0,838
11617,0,1046
11627,0,945
11637,0,911
11647,0,806
11657,0,757
11667,0,769
11677,0,906
11687,0,989
11697,0,888
11707,0,801
11717,0,775
11727,0,813
11737,0,817
11747,0,658
11757,0,560
11767,0,613
11777,0,531
11787,0,478
11797,0,414
11807,0,330
11817,0,294
11827,0,230
11837,0,176
11847,0,153
11857,0,135
11867,0,139
11877,0,115
11887,0,122
11897,0,105
11907,0,93
11917,0,98
11927,0,77
11937,0,53
11947,0,56
11957,0,41
11967,0,26
11977,0,11
11987,0,0
11997,0,0
12007,0,0
12017,0,0
12027,0,0
12037,0,0
12047,0,0
12057,0,0
12067,0,0
12077,0,0
12087,0,0
12097,0,0
12107,0,0
12117,0,0
12127,0,0
12137,0,0
12147,0,0
12157,0,0
12167,0,0
12177,0,0
12187,0,0
12197,0,0
12207,0,0
12217,0,0
12227,0,0
12237,0,0
12247,0,0
12257,0,0
12267,0,0
12277,0,0
12287,0,0
12297,0,0
12307,0,0
12317,0,0
12327,0,0
12337,0,0
12347,0,0
12357,0,0
12367,0,0
12377,0,0
12387,0,0
12397,0,0
12407,0,0
12417,0,0
12427,0,0
12437,0,0
12447,0,0
12457,0,0
12467,0,0
12477,0,0
12487,0,0
12497,0,0
12507,0,0
12517,0,0
12527,0,0
12537,0,0
12547,0,0
12557,0,0
12567,0,0
12577,0,0
12587,0,0
12597,0,0
12607,0,0
12617,0,0
12627,0,0
12637,0,0
12647,0,0
12657,0,0
12667,0,0
12677,0,0
12687,0,0
12697,0,0
12707,0,0
12717,0,0
12727,0,0
12737,0,0
12747,0,0
12757,0,0
12767,0,0
12777,0,0
12787,0,0
12797,0,0
12807,0,0
12817,0,0
12827,0,0
12837,0,0
12847,0,0
12857,0,0
12867,0,0
12877,0,0
12887,0,0
12897,0,0
12907,0,0
12917,0,0
12927,0,0
12937,0,0
12947,0,0
12957,0,0
12967,0,0
17476,0,0
17486,0,0
17496,0,0
17506,0,0
17516,0,0
17526,0,0
17536,0,0
17546,0,0
17556,0,0
17566,0,0
17576,0,0
17586,0,0
17596,0,0
17606,0,0
17616,0,0
17626,0,0
17636,0,0
17646,0,0
17656,0,0
17666,0,0
17676,0,0
17686,0,0
17696,0,0
17706,0,0
17716,0,0
17726,0,0
17736,0,0
17746,0,0
17756,0,0
17766,0,0
17776,0,0
17786,0,0
17796,0,0
17806,0,0
17816,0,0
17826,0,1
17836,0,30
17846,0,36
17856,0,127
17866,99,204
17876,173,509
17886,173,567
17896,188,460
17906,241,497
17916,311,523
17926,327,479
17936,304,561
17946,287,558
17956,249,523
17966,199,642
17976,144,710
17986,102,864
17996,54,848
18006,32,924
18016,10,1174
18026,0,1167
18036,0,1151
18046,0,1171
18056,0,1278
18066,0,1060
18076,0,1200
18086,0,1200
18096,0,1199
18106,0,1103
18116,0,1128
18126,0,1310
18136,0,1191
18146,0,1332
18156,0,1422
18166,0,1293
18176,0,1287
18186,0,1275
18196,0,1280
18206,0,1135
18216,0,1102
18226,0,1071
18236,0,1072
18246,0,1127
18256,0,1008
18266,0,851
18276,0,743
18286,0,627
18296,0,539
18306,0,606
18316,0,503
18326,0,407
18336,0,325
18346,0,258
18356,0,192
18366,0,144
18376,0,100
18386,0,65
18396,0,48
18406,0,35
18416,0,22
18426,0,5
18436,0,0
18446,0,0
18456,0,0
18466,0,0
18476,0,0
18486,0,0
18496,0,0
18506,0,0
18516,0,0
18526,0,0
18536,0,0
18546,0,0
18556,0,0
18566,0,0
18576,0,0
18586,0,0
18596,0,0
18606,0,0
18616,0,0
18626,0,0
18636,0,0
18646,0,0
18656,0,0
18666,0,0
18676,0,0
18686,0,0
18696,0,0
18706,0,0
18716,0,0
18726,0,0
18736,0,0
18746,0,0
18756,0,0
18766,0,0
18776,0,0
18786,0,0
18796,0,0
18806,0,0
18816,0,0
18826,0,0
18836,0,0
18846,0,0
18856,0,0
18866,0,0
18876,0,0
18886,0,0
18896,0,0
18906,0,0
18916,0,0
18926,0,0
18936,0,0
18946,0,0
18956,0,0
18966,0,0
18976,0,0
18986,0,0
18996,0,0
