timestamp_ms,wire1_pin34,wire2_pin32
15337,369,880
15347,379,848
15357,374,905
15367,379,859
15377,378,912
15387,374,863
15397,374,907
15407,377,867
15417,375,912
15427,371,855
15437,373,911
15447,375,859
15457,374,911
15467,376,861
15477,375,905
15487,384,848
15497,377,910
15507,384,848
15517,378,901
15527,372,849
15537,372,909
15547,379,855
15557,377,906
15567,375,853
15577,379,905
15587,384,850
15597,375,880
15607,375,851
15617,371,899
15627,368,837
15637,370,892
15647,375,837
15657,363,911
15667,368,926
15677,370,1014
15687,377,1023
15697,373,1136
15707,385,1049
15717,382,1301
15727,381,1374
15737,374,2033
15747,375,2187
15757,375,2527
15767,383,2431
15777,368,2506
15787,373,2395
15797,364,2324
15807,384,2222
15817,375,2650
15827,415,2383
15837,423,2559
15847,446,2376
15857,431,2898
15867,477,2730
15877,433,2915
15887,429,2509
15897,402,2487
15907,385,2466
15917,364,2730
15927,353,2644
15937,340,2559
15947,371,2418
15957,349,2703
15967,343,2687
15977,346,2522
15987,448,2554
15997,534,2461
16007,528,2261
16017,511,2526
16027,459,2374
16037,387,2480
16047,337,2399
16057,368,2305
16067,402,2171
16077,433,2279
16087,539,2197
16097,511,2110
16107,469,2096
16117,439,1934
16127,475,1684
16137,467,1921
16147,532,1715
16157,533,2133
16167,592,2533
16177,599,3100
16187,589,2907
16197,565,2709
16207,540,2426
16217,526,3264
16227,547,2691
16237,506,2458
16247,487,2270
16257,478,2004
16267,467,1693
16277,458,1744
16287,441,1600
16297,436,1619
16307,430,1498
16317,411,1424
16327,398,1269
16337,396,1153
16347,390,1047
16357,397,1154
16367,386,1134
16377,400,1174
16387,385,1094
16397,387,1019
16407,385,897
16417,394,906
16427,387,861
16437,389,912
16447,384,900
16457,375,930
16467,375,917
16477,379,941
16487,368,865
16497,367,978
16507,367,886
16517,377,915
16527,368,868
16537,366,935
16547,372,910
16557,367,942
16567,363,921
16577,363,913
16587,397,913
16597,393,902
16607,369,880
16617,352,949
16627,411,893
16637,445,1069
16647,479,954
16657,511,845
16667,528,848
16677,511,931
16687,499,822
16697,511,752
16707,505,685
16717,445,612
16727,452,769
16737,438,823
16747,444,799
16757,464,927
16767,571,947
16777,623,1009
16787,598,977
16797,667,1147
16807,641,1099
16817,650,1147
16827,827,1072
16837,752,1072
16847,657,975
16857,569,1050
16867,640,1033
16877,688,1053
16887,668,999
16897,547,1056
16907,505,999
16917,409,1061
16927,420,1056
16937,432,1200
16947,422,1187
16957,416,1256
16967,437,1138
16977,495,1150
16987,498,1058
16997,438,1136
17007,482,1034
17017,530,1039
17027,528,929
17037,467,903
17047,523,814
17057,627,838
17067,618,779
17077,592,811
17087,553,814
17097,528,865
17107,496,823
17117,505,887
17127,483,802
17137,462,853
17147,423,801
17157,425,881
17167,432,804
17177,466,832
17187,442,789
17197,405,877
17207,417,816
17217,400,859
17227,403,798
17237,410,864
17247,434,790
17257,441,843
17267,417,773
17277,415,846
17287,411,783
17297,403,832
17307,398,785
17317,395,869
17327,392,805
21836,400,954
21846,368,909
21856,397,950
21866,363,877
21876,395,941
21886,368,875
21896,391,928
21906,363,839
21916,400,896
21926,362,841
21936,390,927
21946,365,857
21956,400,919
21966,363,832
21976,391,898
21986,366,819
21996,391,889
22006,359,822
22016,391,910
22026,356,837
22036,391,885
22046,366,822
22056,394,886
22066,366,750
22076,386,966
22086,343,1616
22096,353,1739
22106,341,1808
22116,355,1661
22126,334,1729
22136,351,2107
22146,290,1898
22156,339,1755
22166,336,1616
22176,378,2160
22186,402,2016
22196,448,2485
22206,502,2512
22216,494,3237
22226,474,3043
22236,556,3470
22246,528,3280
22256,609,3289
22266,589,3032
22276,508,3010
22286,491,3070
22296,554,3444
22306,510,2899
22316,454,2685
22326,470,2701
22336,508,2475
22346,478,2196
22356,539,2672
22366,530,2784
22376,541,2832
22386,511,3439
22396,525,3707
22406,510,3551
22416,574,3806
22426,610,3939
22436,559,3814
22446,511,3927
22456,497,3379
22466,437,3107
22476,430,2821
22486,407,2378
22496,538,2320
22506,455,2427
22516,464,2267
22526,384,1923
22536,370,1638
22546,337,1717
22556,410,1697
22566,400,1575
22576,379,1488
22586,344,1450
22596,381,1370
22606,343,1353
22616,371,1277
22626,341,1190
22636,378,1104
22646,336,1071
22656,373,1065
22666,346,1043
22676,369,1050
22686,337,1230
22696,375,1199
22706,343,1115
22716,382,1119
22726,350,1086
22736,387,1092
22746,342,1015
22756,374,1010
22766,336,931
22776,373,927
22786,336,859
22796,375,865
22806,332,812
22816,364,835
22826,322,799
22836,338,848
22846,295,789
22856,329,816
22866,309,752
22876,337,816
22886,349,775
22896,397,813
22906,401,727
22916,451,735
22926,402,695
22936,417,802
22946,425,817
22956,487,912
22966,432,960
22976,429,1081
22986,398,1023
22996,482,1065
23006,447,1059
23016,482,939
23026,431,915
23036,435,869
23046,483,763
23056,414,753
23066,438,704
23076,431,742
23086,432,779
23096,498,976
23106,537,871
23116,602,768
23126,599,733
23136,526,784
23146,592,727
23156,563,796
23166,570,725
23176,741,939
23186,758,959
23196,857,1066
23206,754,1069
23216,883,1113
23226,771,1119
23236,822,1150
23246,778,1011
23256,750,1036
23266,694,966
23276,601,1007
23286,504,1066
23296,551,933
23306,558,842
23316,562,880
23326,464,819
23336,384,781
23346,386,747
23356,461,813
23366,439,767
23376,556,893
23386,489,848
23396,493,898
23406,419,825
23416,400,903
23426,343,862
23436,327,914
23446,336,850
23456,405,893
23466,384,802
23476,416,849
23486,351,821
23496,377,896
23506,335,816
23516,371,872
23526,338,795
23536,371,845
23546,336,787
23556,387,847
23566,350,775
23576,371,862
23586,337,802
23596,369,854
23606,336,807
23616,371,874
23626,336,782
23636,372,857
23646,331,784
23656,371,874
23666,342,817
23676,371,880
23686,339,831
23696,382,902
23706,343,822
23716,379,894
23726,336,845
23736,373,898
23746,333,829
23756,375,896
23766,337,830
23776,369,915
23786,333,826
23796,368,890
23806,332,820
23816,378,885
23826,339,837
28335,447,1050
28345,399,921
28355,446,1042
28365,403,914
28375,451,1043
28385,414,930
28395,454,1055
28405,414,927
28415,464,1041
28425,427,941
28435,465,1088
28445,417,933
28455,467,1072
28465,422,993
28475,466,1199
28485,422,1138
28495,467,1296
28505,433,1169
28515,482,1334
28525,441,1190
28535,484,1209
28545,441,1050
28555,475,1168
28565,433,1046
28575,477,1209
28585,413,1042
28595,447,1226
28605,389,1424
28615,427,1285
28625,415,1339
28635,464,2001
28645,434,1798
28655,465,2057
28665,403,2212
28675,466,2559
28685,431,2798
28695,479,2782
28705,435,2405
28715,529,2642
28725,486,2516
28735,539,2629
28745,464,2752
28755,573,2754
28765,510,2559
28775,559,2638
28785,511,2432
28795,569,2928
28805,611,3011
28815,680,3231
28825,679,2833
28835,583,2747
28845,528,2691
28855,528,2449
28865,508,2355
28875,509,2373
28885,484,2586
28895,462,2672
28905,464,2497
28915,439,2581
28925,435,2759
28935,394,2972
28945,349,2921
28955,362,2659
28965,326,2534
28975,336,2550
28985,300,2306
28995,279,2047
29005,261,2101
29015,292,2096
29025,320,1774
29035,362,1625
29045,368,1670
29055,366,1611
29065,375,1468
29075,361,1458
29085,368,1313
29095,387,1255
29105,345,1061
29115,379,1040
29125,361,881
29135,375,913
29145,335,799
29155,369,832
29165,352,778
29175,384,859
29185,342,810
29195,341,848
29205,321,820
29215,323,831
29225,308,871
29235,342,993
29245,313,910
29255,373,995
29265,353,914
29275,391,1001
29285,373,918
29295,383,983
29305,349,919
29315,322,1034
29325,394,1034
29335,449,1202
29345,384,1104
29355,464,1273
29365,467,1234
29375,544,1355
29385,599,1245
29395,671,1207
29405,636,1189
29415,603,1227
29425,528,1157
29435,582,1342
29445,525,1267
29455,622,1339
29465,643,1350
29475,606,1315
29485,549,1423
29495,470,1344
29505,464,1331
29515,413,1382
29525,416,1221
29535,368,1227
29545,354,1104
29555,530,1215
29565,477,1013
29575,641,1063
29585,587,944
29595,626,1123
29605,741,1122
29615,743,1307
29625,683,1106
29635,603,1126
29645,544,958
29655,624,1111
29665,539,1009
29675,511,1114
29685,474,987
29695,503,964
29705,511,806
29715,619,974
29725,602,853
29735,487,917
29745,427,802
29755,574,932
29765,589,863
29775,579,937
29785,500,863
29795,483,941
29805,413,845
29815,423,939
29825,423,807
29835,416,861
29845,368,782
29855,371,869
29865,343,763
29875,339,839
29885,313,747
29895,366,865
29905,317,759
29915,390,867
29925,402,765
29935,430,875
29945,393,783
29955,420,891
29965,406,788
29975,449,933
29985,431,836
29995,496,944
30005,464,827
30015,496,938
30025,471,834
30035,461,961
30045,415,865
30055,454,1001
30065,427,877
30075,435,943
30085,415,846
30095,426,944
30105,400,831
30115,448,939
30125,411,863
30135,439,949
30145,400,851
30155,439,943
30165,403,850
30175,450,979
30185,447,877
30195,454,945
30205,423,866
30215,480,973
30225,467,863
30235,507,949
30245,458,839
30255,465,961
30265,423,847
30275,467,934
30285,438,826
30295,451,941
30305,437,851
30315,465,965
30325,435,857
34834,450,1101
34844,438,1014
34854,455,1081
34864,443,957
34874,455,994
34884,444,929
34894,448,960
34904,435,944
34914,450,1070
34924,446,1008
34934,451,1040
34944,439,1010
34954,447,1008
34964,438,960
34974,446,1023
34984,416,973
34994,432,1011
35004,414,944
35014,410,947
35024,398,880
35034,402,906
35044,394,863
35054,400,899
35064,387,848
35074,400,879
