timestamp_ms,wire1_pin34,wire2_pin32
685832,144,63
685842,0,64
685852,149,67
685862,0,65
685872,148,62
685882,0,59
685892,141,74
685902,0,54
685912,147,64
685922,0,64
685932,147,74
685942,0,58
685952,143,67
685962,0,72
685972,139,62
685982,0,66
685992,145,66
686002,0,64
686012,149,60
686022,0,58
686032,145,66
686042,0,61
686052,140,67
686062,0,66
686072,139,85
686082,0,67
686092,143,59
686102,0,66
686112,144,70
686122,0,75
686132,145,65
686142,0,61
686152,147,71
686162,0,67
686172,147,87
686182,0,61
686192,147,54
686202,0,61
686212,136,69
686222,0,65
686232,144,64
686242,0,62
686252,144,64
686262,0,63
686272,144,61
686282,0,48
686292,144,55
686302,0,34
686312,137,45
686322,0,47
686332,137,58
686342,0,78
686352,141,57
686362,0,48
686372,134,64
686382,0,75
686392,137,73
686402,0,64
686412,144,68
686422,0,63
686432,143,3
686442,0,71
686452,132,65
686462,0,87
686472,145,107
686482,0,73
686492,144,91
686502,0,115
686512,144,112
686522,0,85
686532,146,27
686542,0,65
686552,134,51
686562,0,67
686572,134,78
686582,0,65
686592,133,70
686602,0,81
686612,145,62
686622,0,90
686632,141,78
686642,0,54
686652,138,49
686662,0,53
686672,144,58
686682,0,72
686692,142,72
686702,0,79
686712,135,96
686722,0,97
686732,141,91
686742,0,89
686752,137,114
686762,0,115
686772,144,98
686782,0,81
686792,129,77
686802,0,79
686812,134,78
686822,0,73
686832,128,82
686842,0,64
686852,128,80
686862,0,92
686872,130,80
686882,0,84
686892,138,87
686902,0,105
686912,134,110
686922,0,86
686932,141,80
686942,0,49
686952,127,64
686962,0,74
686972,134,80
686982,0,83
686992,141,89
687002,0,71
687012,138,71
687022,0,79
687032,126,95
687042,0,99
687052,134,105
687062,0,110
687072,129,116
687082,0,101
687092,130,108
687102,0,112
687112,137,111
687122,0,93
687132,130,98
687142,0,89
687152,126,95
687162,0,98
687172,135,112
687182,0,98
687192,138,98
687202,0,101
687212,128,110
687222,0,103
687232,125,112
687242,0,112
687252,123,103
687262,0,87
687272,134,93
687282,0,90
687292,133,105
687302,0,82
687312,135,87
687322,0,80
687332,137,83
687342,0,76
687352,137,98
687362,0,102
687372,126,97
687382,0,99
687392,135,105
687402,0,87
687412,125,98
687422,0,82
687432,124,98
687442,0,86
687452,128,93
687462,0,93
687472,134,80
687482,0,83
687492,133,86
687502,0,87
687512,128,81
687522,0,73
687532,122,61
687542,0,64
687552,128,80
687562,0,69
687572,128,77
687582,0,61
687592,128,81
687602,0,71
687612,132,83
687622,0,90
687632,130,89
687642,0,95
687652,128,98
687662,0,82
687672,118,85
687682,0,79
687692,130,85
687702,0,89
687712,117,91
687722,0,97
687732,128,87
687742,0,73
687752,126,79
687762,0,75
687772,116,64
687782,0,80
687792,117,85
687802,0,90
687812,119,91
687822,0,53
692331,50,95
692341,81,81
692351,30,83
692361,86,84
692371,41,93
692381,95,88
692391,35,98
692401,89,87
692411,31,93
692421,90,82
692431,32,87
692441,99,80
692451,30,82
692461,97,86
692471,37,91
692481,101,81
692491,43,95
692501,99,90
692511,42,93
692521,106,87
692531,40,96
692541,103,93
692551,39,94
692561,109,87
692571,39,89
692581,102,87
692591,37,90
692601,99,87
692611,37,95
692621,106,85
692631,37,92
692641,104,90
692651,29,89
692661,99,85
692671,33,85
692681,106,83
692691,29,97
692701,95,99
692711,32,113
692721,97,102
692731,38,99
692741,98,111
692751,32,114
692761,106,112
692771,35,95
692781,107,128
692791,43,128
692801,111,120
692811,39,138
692821,112,115
692831,37,101
692841,108,107
692851,32,112
692861,101,98
692871,27,115
692881,106,103
692891,29,125
692901,97,112
692911,35,124
692921,107,128
692931,35,101
692941,103,78
692951,26,103
692961,111,143
692971,37,133
692981,114,137
692991,38,176
693001,113,175
693011,30,170
693021,103,146
693031,34,161
693041,112,150
693051,28,137
693061,114,150
693071,30,114
693081,111,112
693091,22,112
693101,113,130
693111,31,128
693121,109,127
693131,26,145
693141,111,133
693151,29,179
693161,112,139
693171,34,139
693181,112,135
693191,31,166
693201,112,189
693211,31,199
693221,112,191
693231,41,257
693241,116,198
693251,28,207
693261,125,195
693271,23,150
693281,112,181
693291,21,169
693301,119,192
693311,21,178
693321,117,139
693331,17,133
693341,112,112
693351,28,131
693361,115,148
693371,26,157
693381,115,177
693391,29,163
693401,114,192
693411,17,182
693421,122,189
693431,27,163
693441,112,129
693451,17,121
693461,119,151
693471,18,158
693481,119,146
693491,29,154
693501,126,131
693511,23,137
693521,126,153
693531,21,196
693541,126,203
693551,30,189
693561,128,222
693571,31,213
693581,127,212
693591,29,178
693601,125,150
693611,23,123
693621,121,107
693631,16,96
693641,118,135
693651,21,171
693661,119,199
693671,27,172
693681,116,175
693691,28,190
693701,126,163
693711,23,139
693721,121,151
693731,29,175
693741,119,197
693751,26,191
693761,129,189
693771,23,215
693781,123,231
693791,22,222
693801,131,223
693811,23,209
693821,132,208
693831,22,197
693841,130,182
693851,29,169
693861,124,193
693871,23,185
693881,126,166
693891,16,166
693901,121,165
693911,19,150
693921,128,160
693931,19,133
693941,123,92
693951,16,139
693961,127,144
693971,17,150
693981,119,137
693991,16,123
694001,118,127
694011,16,115
694021,125,109
694031,11,128
694041,123,122
694051,16,124
694061,119,123
694071,16,123
694081,115,112
694091,10,114
694101,122,113
694111,16,112
694121,128,110
694131,14,112
694141,122,112
694151,15,112
694161,127,113
694171,4,110
694181,128,113
694191,12,108
694201,129,109
694211,14,99
694221,122,105
694231,13,113
694241,128,112
694251,11,122
694261,122,117
694271,13,121
694281,130,129
694291,2,128
694301,125,130
694311,3,115
694321,126,117
698830,0,125
698840,149,117
698850,0,121
698860,142,125
698870,0,115
698880,143,125
698890,0,123
698900,146,129
698910,0,125
698920,148,138
698930,0,128
698940,145,128
698950,0,128
698960,148,130
698970,0,128
698980,139,139
698990,0,132
699000,144,144
699010,0,131
699020,150,133
699030,0,129
699040,149,139
699050,0,124
699060,147,128
699070,0,97
699080,146,124
699090,0,117
699100,144,130
699110,0,122
699120,148,134
699130,0,131
699140,151,142
699150,0,130
699160,140,144
699170,0,138
699180,137,159
699190,0,139
699200,141,154
699210,0,144
699220,139,163
699230,0,149
699240,144,155
699250,0,174
699260,147,189
699270,0,195
699280,150,187
699290,0,176
699300,157,214
699310,0,240
699320,147,233
699330,0,235
699340,144,213
699350,0,213
699360,148,189
699370,0,176
699380,146,172
699390,0,176
699400,138,177
699410,0,162
699420,153,176
699430,0,208
699440,148,134
699450,0,178
699460,140,160
699470,0,162
699480,144,214
699490,0,208
699500,139,223
699510,4,223
699520,139,194
699530,0,198
699540,135,191
699550,0,162
699560,138,144
699570,0,151
699580,129,153
699590,0,185
699600,127,195
699610,0,194
699620,139,208
699630,0,225
699640,143,240
699650,5,262
699660,137,266
699670,6,255
699680,135,192
699690,0,180
699700,132,174
699710,0,176
699720,124,186
699730,0,198
699740,134,208
699750,0,212
699760,130,206
699770,2,176
699780,135,208
699790,0,227
699800,131,223
699810,0,237
699820,140,240
699830,6,247
699840,141,250
