timestamp_ms,wire1_pin34,wire2_pin32
359657,0,0
359667,0,0
359677,0,0
359687,0,0
359697,0,0
359707,0,0
359717,0,0
359727,0,0
359737,0,0
359747,0,0
359757,0,0
359767,0,0
359777,0,0
359787,0,0
359797,0,0
359807,0,0
359817,0,0
359827,0,0
359837,0,0
359847,0,0
359857,0,0
359867,0,0
359877,0,0
359887,0,0
359897,0,0
359907,0,0
359917,0,0
359927,0,0
359937,0,0
359947,0,0
359957,0,55
359967,0,215
359977,0,384
359987,0,495
359997,0,599
360007,0,662
360017,0,817
360027,0,880
360037,0,932
360047,0,1101
360057,0,1084
360067,0,991
360077,0,844
360087,3927,1008
360097,3930,1194
360107,3937,1236
360117,3940,1247
360127,3931,1154
360137,3929,1089
360147,3722,1280
360157,3070,1264
360167,3927,1166
360177,3925,1201
360187,3935,1147
360197,3926,991
360207,3925,951
360217,3945,818
360227,3931,742
360237,3943,642
360247,3934,626
360257,3943,599
360267,3927,511
360277,3936,475
360287,3933,478
360297,3927,450
360307,3932,430
360317,3939,374
360327,3926,313
360337,3934,283
360347,3315,223
360357,2603,219
360367,2064,256
360377,1635,183
360387,1279,144
360397,1570,186
360407,3925,186
360417,3937,174
360427,3940,158
360437,3926,129
360447,3935,112
360457,3920,124
360467,3925,114
360477,3613,106
360487,2835,98
360497,2270,71
360507,1806,100
360517,1413,97
360527,1102,102
360537,1414,67
360547,1227,72
360557,976,48
360567,765,39
360577,587,17
360587,449,34
360597,338,21
360607,254,4
360617,177,0
360627,128,3
360637,80,11
360647,47,5
360657,16,2
360667,0,1
360677,0,0
360687,0,0
360697,0,0
360707,2926,0
360717,3938,0
360727,3933,0
360737,3931,0
360747,3935,0
360757,3935,0
360767,3937,0
360777,3934,0
360787,3930,0
360797,3285,0
360807,2607,0
360817,2087,0
360827,1647,0
360837,1280,0
360847,995,0
360857,778,0
360867,597,0
360877,451,0
360887,336,0
360897,251,0
360907,186,0
360917,127,0
360927,81,0
360937,48,0
360947,18,0
360957,0,0
360967,0,0
360977,0,0
360987,0,0
360997,0,0
361007,0,0
361017,0,0
361027,0,0
361037,0,0
361047,0,0
361057,0,0
361067,0,0
361077,0,0
361087,0,0
361097,0,0
361107,0,0
361117,0,0
361127,0,0
361137,0,0
361147,0,0
361157,0,0
361167,0,0
361177,0,0
361187,0,0
361197,0,0
361207,0,0
361217,0,0
