timestamp_ms,wire1_pin34,wire2_pin32
11637,0,0
11647,0,0
11657,0,0
11667,0,0
11677,0,0
11687,0,0
11697,0,0
11707,0,0
11717,0,0
11727,0,0
11737,0,0
11747,0,0
11757,0,0
11767,0,0
11777,0,0
11787,0,0
11797,0,0
11807,0,0
11817,0,0
11827,0,0
11837,0,0
11847,0,0
11857,0,0
11867,0,0
11877,0,0
11887,0,0
11897,0,0
11907,0,0
11917,0,0
11927,0,0
11937,0,0
11947,0,0
11957,0,0
11967,23,0
11977,64,0
11987,108,0
11997,140,0
12007,189,0
12017,245,0
12027,257,17
12037,260,109
12047,317,119
12057,391,150
12067,498,143
12077,507,118
12087,491,179
12097,640,195
12107,575,204
12117,802,171
12127,942,157
12137,1063,134
12147,982,165
12157,887,168
12167,880,176
12177,837,182
12187,835,191
12197,859,253
12207,959,226
12217,883,238
12227,978,224
12237,995,229
12247,1101,266
12257,1154,294
12267,1222,251
12277,1169,258
12287,1286,294
12297,1235,304
12307,1466,313
12317,1441,312
12327,1275,288
12337,1296,321
12347,1535,343
12357,1648,368
12367,1738,368
12377,1658,318
12387,1477,370
12397,1467,351
12407,1395,379
12417,1200,338
12427,1106,278
12437,1110,301
12447,976,226
12457,1020,271
12467,1063,261
12477,1093,225
12487,1089,214
12497,1159,223
12507,1115,198
12517,1186,260
12527,1136,282
12537,1117,215
12547,1152,191
12557,953,179
12567,816,173
12577,767,144
12587,719,123
12597,610,81
12607,537,48
12617,441,25
12627,362,1
12637,325,0
12647,277,0
12657,275,0
12667,209,0
12677,222,0
12687,189,0
12697,172,0
12707,166,0
12717,180,0
12727,180,0
12737,187,0
12747,178,0
12757,178,0
12767,175,0
12777,178,0
12787,144,0
12797,135,0
12807,118,0
12817,97,0
12827,70,0
12837,50,0
12847,35,0
12857,23,0
12867,16,0
12877,13,0
12887,5,0
12897,11,0
12907,7,0
12917,3,0
12927,0,0
12937,0,0
12947,0,0
12957,0,0
12967,0,0
12977,0,0
12987,0,0
12997,0,0
13007,0,0
13017,0,0
13027,0,0
13037,0,0
13047,0,0
13057,0,0
13067,0,0
13077,0,0
13087,0,0
13097,0,0
13107,0,0
13117,0,0
13127,0,0
13137,0,0
13147,0,0
13157,0,0
13167,0,0
13177,0,0
13187,0,0
13197,0,0
13207,0,0
13217,0,0
13227,0,0
13237,0,0
13247,0,0
13257,0,0
13267,0,0
13277,0,0
13287,0,0
13297,0,0
13307,0,0
13317,0,0
13327,0,0
13337,0,0
13347,0,0
13357,0,0
13367,0,0
13377,0,0
13387,0,0
13397,0,0
13407,0,0
13417,0,0
13427,0,0
13437,0,0
13447,0,0
13457,0,0
13467,0,0
13477,0,0
13487,0,0
13497,0,0
13507,0,0
13517,0,0
13527,0,0
13537,0,0
13547,0,0
13557,0,0
13567,0,0
13577,0,0
13587,0,0
13597,0,0
13607,0,0
13617,0,0
13627,0,0
18136,0,0
18146,0,0
18156,0,0
18166,0,0
18176,0,0
18186,0,0
18196,0,0
18206,0,0
18216,0,0
18226,0,0
18236,0,0
18246,0,0
18256,0,0
