timestamp_ms,wire1_pin34,wire2_pin32
16701,0,0
16711,0,0
16721,0,0
16731,0,0
16741,0,0
16751,0,0
16761,0,0
16771,0,0
16781,0,0
16791,0,0
16801,0,0
16811,0,0
16821,0,0
16831,0,0
16841,0,0
16851,0,0
16861,0,0
16871,0,0
16881,0,0
16891,0,0
16901,0,0
16911,0,0
16921,0,0
16931,0,0
16941,0,0
16951,0,0
16961,0,0
16971,0,0
16981,0,0
16991,0,0
17001,0,0
17011,0,0
17021,0,0
17031,0,0
17041,0,0
17051,0,0
17061,0,0
17071,0,0
17081,0,0
17091,0,0
17101,0,0
17111,0,0
17121,0,0
17131,0,0
17141,0,0
17151,0,0
17161,0,0
17171,0,0
17181,0,0
17191,0,0
17201,0,0
17211,0,0
17221,0,0
17231,0,0
17241,0,0
17251,0,0
17261,0,0
17271,0,0
17281,0,0
17291,0,0
17301,0,0
17311,0,0
17321,0,0
17331,0,0
17341,0,0
17351,0,0
17361,0,0
17371,0,0
17381,0,0
17391,0,0
17401,0,0
17411,0,0
17421,0,0
17431,0,0
17441,0,0
17451,0,0
17461,0,0
17471,0,0
17481,0,0
17491,0,0
17501,0,0
17511,0,0
17521,0,0
17531,0,0
17541,0,0
17551,0,0
17561,0,0
17571,0,0
17581,31,0
17591,26,0
17601,16,0
17611,11,7
17621,6,32
17631,15,10
17641,21,16
17651,10,2
17661,44,0
17671,63,0
17681,50,0
17691,73,0
17701,70,0
17711,90,0
17721,99,0
17731,101,0
17741,112,0
17751,123,0
17761,95,0
17771,240,0
17781,309,0
17791,314,1
17801,322,0
17811,257,0
17821,277,2
17831,260,14
17841,269,19
17851,251,62
17861,250,121
17871,218,169
17881,198,190
17891,165,243
17901,150,284
17911,107,309
17921,81,295
17931,58,228
17941,48,234
17951,60,190
17961,48,165
17971,25,110
17981,1,128
17991,6,101
18001,0,138
18011,0,158
18021,0,135
18031,0,113
18041,0,190
18051,0,181
18061,0,222
18071,0,253
18081,0,253
18091,0,272
18101,0,225
18111,0,175
18121,0,231
18131,0,193
18141,0,215
18151,0,187
18161,0,133
18171,0,172
18181,0,168
18191,0,160
18201,0,157
18211,0,144
18221,0,117
18231,0,103
18241,0,78
18251,0,97
18261,0,104
18271,0,116
18281,0,80
18291,0,64
18301,0,73
18311,0,79
18321,0,66
18331,0,49
18341,0,46
18351,0,37
18361,0,33
18371,0,22
18381,0,14
18391,0,4
18401,0,38
18411,0,46
18421,0,23
18431,0,5
18441,0,15
18451,0,5
18461,0,3
18471,0,5
18481,0,0
18491,0,0
18501,0,0
18511,0,19
18521,0,52
18531,0,49
18541,0,31
18551,0,48
18561,0,39
18571,0,41
18581,0,54
18591,0,118
18601,0,92
18611,0,118
18621,0,87
18631,0,70
18641,0,49
18651,0,36
18661,0,18
18671,0,11
18681,0,23
18691,0,16
23200,0,0
23210,0,0
23220,0,0
23230,0,0
23240,0,0
23250,0,0
23260,0,0
23270,0,0
23280,0,0
23290,0,0
23300,0,0
23310,0,0
23320,0,0
23330,0,0
23340,0,0
23350,0,0
23360,0,0
23370,0,0
23380,0,0
23390,0,0
23400,0,0
23410,0,0
23420,0,0
23430,0,0
23440,0,0
23450,0,0
23460,0,0
23470,0,0
23480,0,0
23490,0,0
23500,0,0
23510,0,0
23520,0,0
23530,0,0
23540,0,0
23550,0,0
23560,0,0
23570,0,0
23580,0,0
23590,0,0
23600,0,0
23610,0,0
23620,0,0
23630,0,0
23640,0,0
23650,0,0
23660,0,0
23670,0,0
23680,0,0
23690,0,0
23700,16,0
23710,13,0
23720,25,0
23730,5,0
23740,16,0
23750,15,0
23760,9,0
23770,12,0
23780,14,0
23790,38,0
23800,22,0
23810,21,0
23820,51,0
23830,25,0
23840,48,0
23850,38,0
23860,46,0
23870,37,0
23880,45,0
23890,53,0
23900,48,0
23910,77,0
23920,72,0
23930,48,0
23940,20,0
23950,4,0
23960,36,0
23970,16,0
23980,3,0
23990,0,0
24000,10,0
24010,0,0
24020,0,0
24030,0,0
24040,0,0
24050,0,0
24060,0,0
24070,0,0
24080,0,0
24090,0,0
24100,0,0
24110,0,0
24120,0,0
24130,0,0
24140,0,0
24150,0,0
24160,0,0
24170,0,0
24180,0,0
24190,0,0
24200,0,0
24210,0,0
24220,0,0
24230,0,0
24240,0,0
24250,0,0
24260,0,0
24270,0,0
24280,0,48
24290,0,14
24300,0,41
24310,0,31
24320,0,17
24330,0,0
24340,0,16
24350,0,2
24360,0,23
24370,0,0
24380,0,19
24390,0,0
24400,0,0
24410,0,0
24420,0,0
24430,0,0
24440,0,0
24450,0,0
24460,0,0
24470,0,14
24480,0,1
24490,0,0
24500,0,0
24510,0,0
24520,0,0
24530,0,0
24540,0,0
24550,0,0
24560,0,0
24570,0,0
24580,0,0
24590,0,0
24600,0,2
24610,0,18
24620,0,16
24630,0,29
24640,0,26
24650,0,21
24660,0,44
24670,0,62
24680,0,51
24690,0,43
24700,0,16
24710,0,22
24720,0,18
24730,0,13
24740,0,13
24750,0,0
24760,0,0
24770,0,0
24780,0,0
24790,0,0
24800,0,0
24810,0,0
24820,0,0
24830,0,1
24840,0,3
24850,0,0
24860,0,0
24870,0,30
24880,0,16
24890,0,57
24900,0,57
24910,0,33
24920,0,21
24930,0,4
24940,0,0
24950,0,0
24960,0,0
24970,0,0
24980,0,0
24990,0,3
25000,0,0
25010,0,0
25020,0,0
25030,0,0
25040,0,4
25050,0,0
25060,0,0
25070,0,0
25080,0,0
25090,0,0
25100,0,0
25110,0,0
25120,0,0
25130,0,0
25140,0,0
25150,0,0
25160,0,0
25170,0,0
25180,0,0
25190,0,0
29699,0,0
29709,0,0
29719,0,0
29729,0,0
29739,0,0
29749,0,0
29759,0,0
29769,0,0
29779,0,0
29789,0,0
29799,0,0
29809,0,0
29819,0,0
29829,0,0
29839,0,0
29849,0,0
29859,0,0
29869,0,0
29879,0,0
29889,0,0
29899,0,0
29909,0,0
29919,0,0
29929,0,0
29939,0,0
29949,0,0
29959,0,0
29969,0,0
29979,0,0
29989,0,0
29999,0,0
30009,0,0
30019,0,0
30029,0,0
30039,2,0
30049,0,0
30059,1,0
30069,18,0
30079,15,0
30089,0,0
30099,0,0
30109,17,0
30119,24,0
30129,14,0
30139,13,0
30149,45,0
30159,16,0
30169,20,0
30179,6,0
30189,4,0
30199,17,0
30209,16,0
30219,14,0
30229,16,0
30239,0,0
30249,14,0
30259,23,0
30269,34,0
30279,22,0
30289,14,0
30299,19,0
30309,13,24
30319,16,9
30329,7,33
30339,38,83
30349,80,117
30359,137,97
30369,183,85
30379,190,80
30389,163,53
30399,142,32
30409,116,43
30419,103,21
30429,99,44
30439,82,21
30449,69,45
30459,106,48
30469,94,39
30479,102,32
30489,93,16
30499,80,12
30509,71,0
30519,59,0
30529,29,0
30539,21,0
30549,20,0
30559,16,0
30569,0,0
30579,0,0
30589,0,0
30599,0,0
30609,0,0
30619,0,0
30629,0,0
30639,0,0
30649,0,0
30659,0,0
30669,0,0
30679,0,0
30689,0,0
30699,0,0
30709,0,0
30719,0,0
30729,0,115
30739,0,11
30749,0,7
30759,0,49
30769,0,54
30779,0,62
30789,0,45
30799,0,37
30809,0,51
30819,0,25
30829,0,21
30839,0,29
30849,0,32
30859,0,16
30869,0,35
30879,0,29
30889,0,19
30899,0,30
30909,0,23
30919,0,44
30929,0,53
30939,0,36
30949,0,36
30959,0,32
30969,0,52
30979,0,48
30989,0,23
30999,0,17
31009,0,7
31019,0,13
31029,0,3
31039,0,2
31049,0,12
31059,0,1
31069,0,37
31079,0,80
31089,0,64
31099,0,77
31109,0,49
31119,0,43
31129,0,64
31139,0,71
31149,0,79
31159,0,123
31169,0,100
31179,0,126
31189,0,128
31199,0,131
31209,0,102
31219,0,94
31229,0,110
31239,0,98
31249,0,78
31259,0,69
31269,0,48
31279,0,54
31289,0,75
31299,0,69
31309,0,50
31319,0,45
31329,0,64
31339,0,80
31349,0,67
31359,0,64
31369,0,86
31379,0,61
31389,0,46
31399,0,48
31409,0,37
31419,0,48
31429,0,37
31439,0,44
31449,0,43
31459,0,29
31469,0,55
31479,0,29
31489,0,28
31499,0,34
31509,0,54
31519,0,48
31529,0,50
31539,0,61
31549,0,45
31559,0,53
31569,0,93
31579,0,94
31589,0,61
31599,0,44
31609,0,42
31619,0,19
31629,0,33
31639,0,54
31649,0,38
31659,0,48
31669,0,79
31679,0,64
31689,0,96
36198,0,0
36208,0,0
36218,0,0
36228,0,0
36238,0,0
36248,0,0
36258,0,0
36268,0,0
36278,0,0
36288,0,0
36298,0,0
36308,0,0
36318,0,0
36328,0,0
36338,0,0
36348,0,0
36358,0,0
36368,0,0
36378,0,0
36388,0,0
36398,0,0
36408,0,0
36418,0,0
36428,0,0
36438,0,0
36448,0,0
36458,0,0
36468,0,0
36478,0,0
36488,0,0
36498,0,0
36508,0,0
36518,0,0
36528,0,0
36538,0,0
36548,0,0
36558,0,0
36568,0,0
36578,0,0
36588,0,0
36598,0,0
36608,0,0
36618,0,0
36628,0,0
36638,0,0
36648,0,0
36658,0,0
36668,0,0
36678,0,0
36688,0,0
36698,0,0
36708,0,0
36718,0,0
36728,0,0
36738,0,0
36748,0,0
36758,0,0
36768,0,0
36778,0,8
36788,0,124
36798,0,129
36808,0,48
36818,0,94
36828,0,69
36838,0,39
36848,0,0
36858,0,44
36868,0,14
36878,16,22
36888,10,16
36898,16,20
36908,0,14
36918,0,0
36928,23,16
36938,71,16
36948,64,69
36958,71,79
36968,106,53
36978,79,49
36988,62,30
36998,76,35
37008,73,50
37018,75,47
37028,70,43
37038,58,30
37048,63,49
37058,51,45
37068,32,30
37078,22,42
37088,32,45
37098,79,47
37108,77,29
37118,50,47
37128,39,40
37138,18,48
37148,16,28
37158,13,27
37168,0,28
37178,0,10
37188,0,9
37198,0,0
37208,3,0
37218,0,0
37228,0,0
37238,0,0
37248,0,0
37258,0,0
37268,0,0
37278,0,0
37288,0,31
37298,0,80
37308,0,107
37318,0,112
37328,0,116
37338,0,85
37348,0,108
37358,0,83
37368,0,96
37378,0,75
37388,0,61
37398,0,46
37408,0,20
37418,0,42
37428,0,23
37438,0,9
37448,0,10
37458,0,1
37468,0,0
37478,0,7
37488,0,0
37498,0,0
37508,0,0
37518,0,0
37528,0,0
37538,0,0
37548,0,0
37558,0,0
37568,0,0
37578,0,0
37588,0,0
37598,0,0
37608,0,0
37618,0,0
37628,0,16
37638,0,0
37648,0,0
37658,0,0
37668,0,0
37678,0,0
37688,0,0
37698,0,0
37708,0,0
37718,0,0
37728,0,0
37738,0,0
37748,0,0
37758,0,0
37768,0,4
37778,0,0
37788,0,5
37798,0,22
37808,0,63
37818,0,53
37828,0,59
37838,0,39
37848,0,43
37858,0,32
37868,0,16
37878,0,2
37888,0,0
37898,0,0
37908,0,0
37918,0,0
37928,0,0
37938,0,0
37948,0,0
37958,0,0
37968,0,0
37978,0,0
37988,0,0
37998,0,0
38008,0,0
38018,0,0
38028,0,0
38038,0,0
38048,0,0
38058,0,0
38068,0,0
38078,0,0
38088,0,0
38098,0,0
38108,0,0
38118,0,0
38128,0,0
38138,0,0
38148,0,0
38158,0,0
38168,0,0
38178,0,0
38188,0,0
42697,0,0
42707,0,0
42717,0,0
42727,0,0
42737,0,0
42747,0,0
42757,0,0
42767,0,0
42777,0,0
42787,0,0
42797,0,0
42807,0,0
42817,0,0
42827,0,0
42837,0,0
42847,0,0
42857,0,0
42867,0,0
42877,0,0
42887,0,0
42897,0,0
42907,0,0
42917,0,0
42927,0,0
42937,0,0
42947,0,0
42957,0,0
42967,0,0
42977,0,0
42987,0,0
42997,0,0
43007,0,0
43017,0,0
43027,0,0
43037,0,0
43047,0,0
43057,0,0
43067,0,0
43077,0,0
43087,0,0
43097,0,0
43107,0,8
43117,0,0
43127,0,0
43137,0,0
43147,0,0
43157,0,0
43167,0,0
43177,0,0
43187,0,0
43197,0,0
43207,0,0
43217,0,0
43227,0,0
43237,0,0
43247,0,0
43257,0,0
43267,0,0
43277,0,12
43287,0,94
43297,0,74
43307,0,68
43317,0,64
43327,0,78
43337,13,70
43347,45,51
43357,16,63
43367,18,123
43377,26,97
43387,34,89
43397,10,79
43407,0,74
43417,0,202
43427,2,172
43437,1,146
43447,23,112
43457,11,80
43467,11,50
43477,24,51
43487,27,29
43497,11,17
43507,3,2
43517,0,0
43527,0,0
43537,0,0
43547,0,0
43557,22,0
43567,13,0
43577,0,0
43587,13,0
43597,13,0
43607,11,0
43617,0,0
43627,0,0
43637,0,0
43647,0,0
43657,0,0
43667,1,0
43677,0,0
43687,0,0
43697,0,0
43707,0,0
43717,0,0
43727,0,0
43737,0,0
43747,0,0
43757,0,0
43767,0,0
43777,0,0
43787,0,42
43797,0,38
43807,0,50
43817,0,48
43827,0,82
43837,0,66
43847,0,43
43857,0,64
43867,0,48
43877,0,49
43887,0,28
43897,0,27
43907,0,16
43917,0,2
43927,0,0
43937,0,6
43947,0,0
43957,0,0
43967,0,0
43977,0,16
43987,0,16
43997,0,19
44007,0,6
44017,0,18
44027,0,5
44037,0,0
44047,0,0
44057,0,22
44067,0,23
44077,0,14
44087,0,6
44097,0,0
44107,0,14
44117,0,39
44127,0,58
44137,0,37
44147,0,35
44157,0,26
44167,0,21
44177,0,6
44187,0,33
44197,0,15
44207,0,0
44217,0,0
44227,0,0
44237,0,0
44247,0,0
44257,0,0
44267,0,43
44277,0,59
44287,0,45
44297,0,29
44307,0,13
44317,0,11
44327,0,28
44337,0,58
44347,0,62
44357,0,79
44367,0,144
44377,0,128
44387,0,144
44397,0,128
44407,0,112
44417,0,111
44427,0,114
44437,0,128
44447,0,140
44457,0,128
44467,0,103
44477,0,102
44487,0,91
44497,0,82
44507,0,69
44517,0,42
44527,0,50
44537,0,75
44547,0,58
44557,0,39
44567,0,18
44577,0,6
44587,0,0
44597,0,0
44607,0,5
44617,0,6
44627,0,2
44637,0,3
44647,0,0
44657,0,0
44667,0,0
44677,0,0
44687,0,0
49196,0,0
49206,0,0
49216,0,0
49226,0,0
49236,0,0
49246,0,0
49256,0,0
49266,0,0
49276,0,0
49286,0,0
49296,0,0
49306,0,0
49316,0,0
49326,0,0
49336,0,0
49346,0,0
49356,0,0
49366,0,0
49376,0,0
49386,0,0
49396,0,0
49406,0,0
49416,0,0
49426,0,0
49436,0,0
49446,0,0
49456,0,0
49466,0,0
49476,0,0
49486,0,0
49496,0,0
49506,0,0
49516,0,0
49526,0,0
49536,0,0
49546,0,0
49556,0,0
49566,0,0
49576,0,0
49586,0,0
49596,0,0
49606,0,0
49616,0,0
49626,13,0
49636,15,0
49646,18,0
49656,30,0
49666,75,0
49676,65,0
49686,104,0
49696,69,0
49706,80,0
49716,80,0
49726,80,0
49736,89,0
49746,80,0
49756,69,0
49766,96,0
49776,116,0
49786,108,0
49796,103,0
49806,97,6
49816,160,45
49826,189,48
49836,158,64
49846,133,64
49856,164,70
49866,141,58
49876,157,80
49886,123,64
49896,129,80
49906,146,53
49916,225,54
49926,217,51
49936,186,54
49946,166,48
49956,155,46
49966,128,34
