timestamp_ms,wire1_pin34,wire2_pin32
13548,0,0
13558,0,0
13568,0,0
13578,0,0
13588,0,0
13598,0,0
13608,0,0
13618,0,0
13628,0,0
13638,0,0
13648,0,0
13658,0,0
13668,0,0
13678,0,0
13688,0,0
13698,0,0
13708,0,0
13718,0,0
13728,0,0
13738,0,0
13748,0,0
13758,0,0
13768,0,0
13778,0,0
13788,0,0
13798,0,0
13808,0,0
13818,0,0
13828,0,0
13838,0,0
13848,0,0
13858,0,0
13868,0,0
13878,0,0
13888,0,0
13898,0,0
13908,0,0
13918,0,0
13928,0,0
13938,0,0
13948,0,0
13958,0,0
13968,0,0
13978,0,0
13988,0,0
13998,0,0
14008,0,0
14018,0,0
14028,0,0
14038,0,0
14048,0,0
14058,0,0
14068,0,0
14078,0,0
14088,0,0
14098,0,0
14108,0,0
14118,0,0
14128,0,0
14138,0,0
14148,0,0
14158,0,0
14168,0,0
14178,0,0
14188,0,0
14198,0,0
14208,0,0
14218,0,0
14228,0,0
14238,0,0
14248,0,0
14258,0,0
14268,0,0
14278,0,0
14288,0,0
14298,0,0
14308,0,0
14318,0,0
14328,0,0
14338,0,4
14348,0,0
14358,0,0
14368,0,0
14378,0,0
14388,0,0
14398,0,1
14408,0,1
14418,0,0
14428,0,0
14438,0,3
14448,0,0
14458,0,0
14468,0,17
14478,0,13
14488,0,22
14498,0,21
14508,0,28
14518,0,15
14528,0,18
14538,0,33
14548,0,29
14558,0,18
14568,0,11
14578,0,23
14588,0,21
14598,0,21
14608,0,25
14618,0,22
14628,0,24
14638,0,25
14648,0,15
14658,0,14
14668,0,10
14678,0,0
14688,0,0
14698,0,0
14708,0,0
14718,0,0
14728,0,0
14738,0,0
14748,0,0
14758,0,0
14768,0,0
14778,0,0
14788,0,0
14798,0,0
14808,0,0
14818,0,0
14828,0,0
14838,0,15
14848,0,18
14858,0,9
14868,0,14
14878,0,16
14888,0,0
14898,0,6
14908,0,3
14918,0,0
14928,0,1
14938,0,0
14948,0,3
14958,0,6
14968,0,23
14978,0,34
14988,0,46
14998,0,26
15008,0,10
15018,0,16
15028,0,22
15038,0,41
15048,0,36
15058,0,42
15068,0,19
15078,0,14
15088,0,9
15098,0,1
15108,0,0
15118,0,0
15128,0,0
15138,0,0
15148,0,0
15158,0,0
15168,0,0
15178,0,0
15188,0,0
15198,0,0
15208,0,0
15218,0,0
15228,0,0
15238,0,0
15248,0,0
15258,0,0
15268,0,0
15278,0,0
15288,0,0
15298,0,0
15308,0,0
15318,0,0
15328,0,0
15338,0,0
15348,0,0
15358,0,0
15368,0,0
15378,0,0
15388,0,0
15398,0,0
15408,0,0
15418,0,0
15428,0,0
15438,0,0
15448,0,0
15458,0,0
15468,0,0
15478,0,0
15488,0,0
15498,0,0
15508,0,0
15518,0,0
15528,0,0
15538,0,0
20047,16,0
20057,1,0
20067,0,0
20077,0,0
20087,0,0
20097,0,0
20107,0,0
20117,0,0
20127,0,0
20137,0,0
20147,0,0
20157,0,0
20167,0,0
20177,0,0
20187,0,0
20197,0,0
20207,0,0
20217,0,0
20227,0,0
20237,0,0
20247,0,0
20257,0,0
20267,0,0
20277,0,0
20287,0,0
20297,0,0
20307,0,0
20317,0,0
20327,0,0
20337,0,0
20347,0,0
20357,0,0
20367,0,0
20377,0,0
20387,0,0
20397,0,0
20407,0,0
20417,0,0
20427,0,0
20437,0,0
20447,0,0
20457,0,0
20467,0,0
20477,0,0
20487,0,0
20497,0,0
20507,0,0
20517,0,0
20527,0,0
20537,0,0
20547,0,0
20557,0,0
20567,0,0
20577,0,0
20587,0,0
20597,0,0
20607,0,0
20617,0,0
20627,0,0
20637,0,0
20647,0,0
