timestamp_ms,wire1_pin34,wire2_pin32
352099,35,80
352109,62,69
352119,19,80
352129,65,75
352139,20,82
352149,72,80
352159,27,91
352169,70,87
352179,27,80
352189,80,67
352199,19,77
352209,78,80
352219,19,85
352229,71,86
352239,27,80
352249,73,78
352259,18,82
352269,80,78
352279,18,80
352289,75,77
352299,27,80
352309,80,77
352319,21,74
352329,81,61
352339,19,65
352349,71,70
352359,25,78
352369,84,67
352379,27,66
352389,79,64
352399,16,71
352409,78,71
352419,23,64
352429,80,73
352439,25,75
352449,77,80
352459,27,93
352469,80,90
352479,26,83
352489,79,91
352499,26,91
352509,85,93
352519,16,91
352529,79,96
352539,22,85
352549,86,87
352559,22,92
352569,81,83
352579,23,93
352589,90,90
352599,16,90
352609,83,73
352619,17,87
352629,87,81
352639,23,80
352649,92,91
352659,16,86
352669,80,89
352679,22,91
352689,83,89
352699,18,80
352709,80,80
352719,11,80
352729,89,80
352739,16,80
352749,92,80
352759,14,79
352769,86,73
352779,7,70
352789,78,75
352799,6,80
352809,85,72
352819,13,66
352829,81,74
352839,16,76
352849,94,80
352859,16,79
352869,93,94
352879,7,98
352889,90,81
352899,13,90
352909,84,87
352919,14,79
352929,83,82
352939,11,76
352949,83,84
352959,14,79
352969,93,94
352979,15,82
352989,87,93
352999,5,90
353009,95,95
353019,3,83
353029,84,81
353039,1,80
353049,81,76
353059,6,79
353069,87,80
353079,1,81
353089,93,76
353099,6,80
353109,83,71
353119,9,83
353129,97,76
353139,12,71
353149,99,82
353159,3,86
353169,96,98
353179,0,80
353189,89,80
353199,10,77
353209,95,71
353219,5,70
353229,87,71
353239,0,78
353249,98,79
353259,1,85
353269,102,81
353279,6,78
353289,101,80
353299,6,75
353309,97,78
353319,0,73
353329,103,78
353339,2,82
353349,95,75
353359,0,69
353369,99,80
353379,0,64
353389,96,65
353399,0,62
353409,98,67
353419,0,64
353429,89,65
353439,0,76
353449,97,75
353459,0,65
353469,91,54
353479,0,66
353489,94,64
353499,0,62
353509,91,56
353519,0,74
353529,101,67
353539,0,68
353549,93,64
353559,0,73
353569,96,76
353579,0,65
353589,103,65
353599,0,59
353609,107,64
353619,0,75
353629,96,75
353639,0,78
353649,105,70
353659,0,73
353669,106,74
353679,0,67
353689,107,93
353699,0,79
353709,111,78
353719,0,80
353729,107,78
353739,0,74
353749,110,81
353759,0,81
353769,110,75
353779,0,79
353789,109,71
353799,0,71
353809,109,64
353819,0,70
353829,97,64
353839,0,65
353849,107,63
353859,0,59
353869,112,61
353879,0,65
353889,103,49
353899,0,55
353909,112,52
353919,0,57
353929,106,49
353939,0,52
353949,112,49
353959,0,55
353969,112,64
353979,0,57
353989,112,48
353999,0,48
354009,104,58
354019,0,66
354029,109,66
354039,0,64
354049,105,0
354059,0,53
354069,102,58
354079,0,49
354089,102,49
358598,10,19
358608,63,33
358618,24,26
358628,62,29
358638,25,16
358648,59,16
358658,29,21
358668,70,30
358678,32,16
358688,69,2
358698,43,9
358708,69,18
358718,36,15
358728,67,21
358738,43,27
358748,59,19
358758,43,39
358768,61,31
358778,46,38
358788,66,34
358798,43,17
358808,67,38
358818,47,48
358828,59,55
358838,36,46
358848,54,35
358858,35,33
358868,64,44
358878,48,31
358888,65,47
358898,48,35
358908,56,32
358918,48,23
358928,64,19
358938,48,21
358948,63,17
358958,47,6
358968,61,17
358978,37,10
358988,51,21
358998,44,16
359008,49,15
359018,45,16
359028,51,22
359038,37,16
359048,62,20
359058,48,10
359068,61,25
359078,35,42
359088,59,26
359098,48,29
359108,60,26
359118,39,22
359128,48,19
359138,45,13
359148,58,8
359158,35,21
359168,55,22
359178,42,18
359188,57,17
359198,38,18
359208,55,16
359218,48,21
359228,58,18
359238,42,30
359248,48,35
359258,45,32
359268,49,35
359278,49,16
359288,55,16
359298,43,7
359308,55,17
359318,48,12
359328,45,18
359338,42,3
359348,46,16
359358,50,10
359368,48,15
359378,45,11
359388,48,9
359398,42,15
359408,54,10
359418,46,7
359428,46,13
359438,45,2
359448,48,13
359458,48,17
359468,45,6
359478,50,15
359488,51,12
359498,49,7
359508,47,15
359518,48,0
359528,45,10
359538,48,16
359548,48,9
359558,48,14
359568,47,0
359578,51,4
359588,47,16
359598,48,11
359608,48,12
359618,55,2
359628,39,0
359638,53,0
359648,35,1
359658,48,1
359668,37,13
359678,49,3
359688,46,14
359698,58,11
359708,35,6
359718,59,1
359728,46,4
359738,57,14
359748,47,1
359758,62,0
359768,45,0
359778,60,0
359788,46,0
359798,58,2
359808,35,18
359818,52,11
359828,46,5
359838,59,16
359848,42,13
359858,63,14
359868,39,16
359878,61,20
359888,30,17
359898,59,12
359908,38,16
359918,61,14
359928,38,7
359938,58,7
359948,39,7
359958,53,7
359968,27,16
359978,61,9
359988,36,7
359998,54,1
360008,35,5
360018,51,1
360028,34,0
360038,60,0
360048,26,0
360058,54,5
360068,23,1
360078,64,2
360088,33,0
360098,65,1
360108,33,5
360118,67,0
360128,23,0
360138,68,0
360148,22,6
360158,64,0
360168,31,1
360178,69,12
360188,32,0
360198,67,0
360208,31,8
360218,70,10
360228,22,11
360238,61,0
360248,30,4
360258,73,0
360268,20,1
360278,67,0
360288,27,1
360298,60,8
360308,22,16
360318,74,16
360328,31,12
360338,75,16
360348,22,11
360358,74,3
360368,29,9
360378,76,1
360388,29,6
360398,65,7
360408,26,8
360418,75,5
360428,16,0
360438,71,0
360448,27,0
360458,79,0
360468,17,12
360478,67,0
360488,24,22
360498,70,0
360508,17,0
360518,77,3
360528,16,0
360538,80,5
360548,16,5
360558,74,2
360568,22,0
360578,79,16
360588,27,5
365097,95,40
365107,0,30
365117,80,26
365127,1,34
365137,91,37
365147,0,27
365157,87,23
365167,6,16
365177,80,39
365187,0,29
365197,93,27
365207,14,31
365217,95,39
365227,15,21
365237,93,24
365247,2,32
365257,82,21
365267,11,23
365277,81,31
365287,14,16
365297,84,26
365307,15,22
365317,87,21
365327,16,16
365337,93,21
365347,16,14
365357,81,34
365367,15,29
365377,83,34
365387,16,21
365397,81,37
365407,16,39
365417,87,31
365427,11,21
365437,85,29
365447,18,36
365457,81,21
365467,16,21
365477,83,22
365487,21,23
365497,82,31
365507,16,21
365517,85,28
365527,16,21
365537,93,35
365547,26,17
365557,93,27
365567,17,31
365577,80,26
365587,19,22
365597,94,41
365607,23,48
365617,80,54
365627,33,44
365637,91,59
365647,22,52
365657,89,35
365667,29,42
365677,86,35
365687,23,37
365697,84,29
365707,24,31
365717,83,41
365727,25,32
365737,75,46
365747,16,34
365757,81,35
365767,25,30
365777,83,57
365787,27,43
365797,80,54
365807,17,52
365817,81,48
365827,16,35
365837,80,39
365847,23,25
365857,80,19
365867,16,27
365877,70,32
365887,15,21
365897,71,34
365907,17,27
365917,68,41
365927,16,38
365937,69,36
365947,15,31
365957,65,29
365967,16,27
365977,67,24
365987,16,23
365997,81,35
366007,24,27
366017,73,27
366027,18,49
366037,75,25
366047,26,26
366057,75,34
366067,28,38
366077,77,34
366087,30,27
366097,64,48
366107,21,45
366117,64,45
366127,18,29
366137,74,37
366147,19,32
366157,75,49
366167,33,49
366177,71,47
366187,32,33
366197,63,38
366207,23,34
366217,64,43
366227,32,31
366237,67,34
366247,27,26
366257,71,43
366267,37,28
366277,74,27
366287,34,17
366297,62,24
366307,36,16
366317,64,16
366327,34,18
366337,61,22
366347,34,16
366357,70,28
366367,33,19
366377,67,27
366387,44,15
366397,64,15
366407,31,15
366417,66,16
366427,44,23
366437,62,22
366447,42,26
366457,54,23
366467,39,32
366477,67,18
366487,44,34
366497,66,33
366507,46,20
366517,66,22
366527,48,32
366537,65,27
366547,41,16
366557,64,18
366567,41,26
366577,50,33
366587,48,38
366597,49,22
366607,44,45
366617,61,34
366627,43,29
366637,61,45
366647,50,36
366657,50,38
366667,48,32
366677,50,47
366687,48,41
366697,60,38
366707,48,31
366717,55,43
366727,48,32
366737,55,34
366747,48,32
366757,48,33
366767,48,20
366777,49,28
366787,48,31
366797,48,28
366807,42,22
366817,52,29
366827,48,35
366837,52,61
366847,43,25
366857,58,28
366867,50,20
366877,55,26
366887,38,18
366897,55,25
366907,44,27
366917,49,29
366927,48,23
366937,45,46
366947,44,33
366957,51,19
366967,53,25
366977,53,25
366987,53,27
366997,49,35
367007,48,31
367017,53,32
367027,48,32
367037,51,46
367047,53,17
367057,46,24
367067,57,16
367077,48,25
367087,50,19
371596,0,0
371606,114,0
371616,0,0
371626,117,5
371636,0,2
371646,117,14
371656,0,3
371666,115,1
371676,0,2
371686,112,0
371696,0,0
371706,111,0
371716,0,0
371726,105,0
371736,0,0
371746,111,10
371756,0,0
371766,113,0
371776,0,0
371786,113,0
371796,0,0
371806,102,0
371816,0,0
371826,103,0
371836,0,0
371846,109,0
371856,0,0
371866,109,0
371876,0,0
371886,94,0
371896,0,0
371906,106,0
371916,0,0
371926,100,5
371936,0,0
371946,101,0
371956,0,0
371966,106,0
371976,0,0
371986,96,0
371996,0,0
372006,99,0
372016,0,0
372026,99,0
372036,2,0
372046,103,0
372056,0,0
372066,103,13
372076,6,16
372086,104,13
372096,8,19
372106,99,21
372116,0,10
372126,101,21
372136,0,18
372146,95,31
372156,5,30
372166,95,21
372176,0,9
372186,98,1
372196,13,0
372206,99,0
372216,6,0
372226,89,2
372236,16,0
372246,98,0
372256,21,0
372266,104,0
372276,19,0
372286,89,0
372296,13,0
372306,85,0
372316,16,0
372326,93,0
372336,16,0
372346,80,0
372356,15,0
372366,89,0
372376,8,0
372386,85,0
372396,16,0
372406,80,0
372416,14,0
372426,86,0
372436,10,0
372446,87,0
372456,6,0
372466,80,0
372476,5,0
372486,83,0
372496,15,0
372506,84,0
372516,10,0
372526,75,0
372536,5,5
372546,80,15
372556,12,14
372566,80,32
372576,12,34
372586,80,16
372596,9,5
372606,76,7
372616,16,0
372626,78,11
372636,16,14
372646,82,11
372656,11,6
372666,80,16
372676,16,3
372686,80,15
372696,16,7
372706,80,16
372716,16,1
372726,70,0
372736,6,0
372746,80,0
372756,16,0
372766,81,0
372776,14,0
372786,67,0
372796,6,0
372806,69,1
372816,10,0
372826,66,0
372836,10,0
372846,77,0
372856,19,0
372866,71,0
372876,19,0
372886,78,5
372896,16,10
372906,73,0
372916,21,0
372926,78,0
372936,22,0
372946,67,0
372956,16,0
372966,65,0
372976,16,0
372986,77,0
372996,22,0
373006,65,10
373016,16,0
373026,67,0
373036,16,0
373046,65,0
373056,18,0
373066,67,0
373076,28,1
373086,73,4
373096,17,0
373106,74,1
373116,22,0
373126,71,0
373136,18,0
373146,72,0
373156,32,0
373166,74,0
373176,23,0
373186,64,3
373196,18,0
373206,71,0
373216,20,0
373226,71,0
373236,19,0
373246,65,0
373256,28,0
373266,65,0
373276,25,0
373286,57,1
373296,21,0
373306,62,0
373316,30,0
373326,67,1
373336,27,0
373346,65,0
373356,35,0
373366,64,0
373376,30,0
373386,53,0
373396,31,0
373406,67,0
373416,32,0
373426,56,0
373436,33,0
373446,64,0
373456,34,0
373466,53,0
373476,37,0
373486,57,0
373496,39,0
373506,51,0
373516,43,0
373526,51,1
373536,44,0
373546,62,4
373556,48,0
373566,49,1
373576,32,0
373586,59,0
378095,117,15
378105,0,4
378115,107,7
378125,0,13
378135,112,16
378145,0,11
378155,108,15
378165,0,13
378175,107,13
378185,0,6
378195,110,10
378205,0,7
378215,113,21
378225,0,4
378235,113,12
378245,0,9
378255,118,3
378265,0,0
378275,109,13
378285,0,0
378295,111,12
378305,0,5
378315,118,16
378325,0,0
378335,119,15
378345,0,0
378355,110,12
378365,0,0
378375,110,12
378385,0,16
378395,109,13
378405,0,11
378415,118,15
378425,0,0
378435,112,0
378445,0,10
378455,117,6
378465,0,13
378475,123,16
378485,0,13
378495,125,6
378505,0,0
378515,115,5
378525,0,0
378535,126,0
378545,0,0
378555,124,2
378565,0,0
378575,119,0
378585,0,0
378595,112,0
378605,0,0
378615,115,0
378625,0,0
378635,108,0
378645,0,0
378655,115,0
378665,0,0
378675,110,0
378685,0,0
378695,114,0
378705,0,0
378715,113,0
378725,0,0
378735,113,0
378745,0,0
378755,103,0
378765,0,0
378775,110,0
378785,0,0
378795,106,1
378805,0,4
378815,109,0
378825,0,0
378835,102,0
378845,0,0
378855,112,1
378865,0,0
378875,110,0
378885,0,0
378895,97,0
378905,0,0
378915,101,3
378925,0,9
378935,111,2
378945,0,0
378955,111,0
378965,0,0
378975,97,0
378985,0,0
378995,107,0
379005,0,0
379015,105,5
379025,0,6
379035,108,5
379045,0,0
379055,108,0
379065,0,0
379075,107,0
379085,0,3
379095,103,2
379105,0,0
379115,86,14
379125,0,7
379135,101,16
379145,0,0
379155,90,0
379165,0,0
379175,90,5
379185,0,0
379195,101,7
379205,0,0
379215,91,3
379225,0,4
379235,96,6
379245,0,0
379255,99,3
379265,0,8
379275,101,0
379285,0,0
379295,89,3
379305,0,0
379315,89,7
379325,0,11
379335,89,0
379345,0,0
379355,96,5
379365,0,0
379375,95,3
379385,1,6
379395,87,0
379405,0,2
379415,97,3
379425,0,0
379435,95,10
379445,8,0
379455,91,0
379465,1,0
379475,84,0
379485,6,0
379495,86,0
379505,0,5
379515,90,1
379525,9,0
379535,84,0
379545,12,0
379555,92,0
379565,0,1
379575,81,0
379585,7,0
379595,80,3
379605,10,1
379615,87,4
379625,4,0
379635,91,0
379645,3,2
379655,90,16
379665,4,10
379675,89,12
379685,4,1
379695,80,8
379705,11,0
379715,80,0
379725,7,1
379735,80,2
379745,11,0
379755,80,0
379765,16,0
379775,90,2
379785,3,0
379795,83,0
379805,6,0
379815,81,0
379825,14,0
379835,87,0
379845,21,0
379855,80,0
379865,16,3
379875,83,7
379885,17,13
379895,75,9
379905,9,15
379915,81,9
379925,4,1
379935,82,5
379945,13,0
379955,79,0
379965,16,0
379975,80,2
379985,3,0
379995,78,0
380005,16,0
380015,76,0
380025,16,0
380035,73,0
380045,14,2
380055,71,0
380065,16,0
380075,80,0
380085,13,6
384594,0,0
384604,118,13
384614,0,0
384624,128,16
384634,0,32
384644,128,0
384654,0,23
384664,125,0
384674,0,9
384684,128,7
384694,0,9
384704,128,26
384714,0,16
384724,133,16
384734,0,8
384744,133,6
