timestamp_ms,wire1_pin34,wire2_pin32
473191,641,790
473201,693,775
473211,646,688
473221,688,855
473231,651,826
473241,690,857
473251,649,732
473261,688,816
473271,641,763
473281,689,903
473291,649,846
473301,692,917
473311,651,831
473321,690,877
473331,647,767
473341,693,801
473351,647,726
473361,688,729
473371,650,660
473381,693,763
473391,649,686
473401,695,851
473411,651,819
473421,693,848
473431,656,769
473441,692,717
473451,645,643
473461,688,771
473471,651,735
473481,695,817
473491,661,752
473501,691,788
473511,646,730
473521,693,841
473531,656,753
473541,693,935
473551,653,831
473561,690,912
473571,658,816
473581,700,895
473591,656,939
473601,691,1396
473611,639,1640
473621,707,1953
473631,658,1872
473641,689,1667
473651,650,1510
473661,688,1526
473671,663,1553
473681,682,1855
473691,686,1761
473701,751,1958
473711,705,1813
473721,755,1700
473731,725,1663
473741,896,1708
473751,838,1783
473761,710,2022
473771,707,2394
473781,767,2261
473791,765,2129
473801,842,2311
473811,818,2005
473821,841,1868
473831,798,1664
473841,745,1629
473851,639,1399
473861,527,1442
473871,499,1360
473881,438,1375
473891,421,1174
473901,350,1225
473911,328,1135
473921,249,1237
473931,177,1342
473941,119,1425
473951,69,1431
473961,38,1499
473971,62,1509
473981,30,1375
473991,125,1295
474001,123,1472
474011,177,1499
474021,195,1594
474031,215,1424
474041,205,1648
474051,253,1568
474061,272,1535
474071,256,1579
474081,265,1527
474091,403,1448
474101,386,1491
474111,438,1429
474121,433,1406
474131,496,1522
474141,525,1639
474151,503,1415
474161,534,1392
474171,554,1367
474181,597,1471
474191,653,1361
474201,670,1263
474211,715,1251
474221,719,1098
474231,688,1022
474241,726,1088
474251,765,1057
474261,745,1247
474271,703,1115
474281,765,1057
474291,785,951
474301,784,997
474311,720,932
474321,719,1080
474331,690,1039
474341,743,1045
474351,698,979
474361,715,1072
474371,657,953
474381,688,947
474391,653,906
474401,685,967
474411,638,851
474421,684,891
474431,631,784
474441,683,896
474451,636,842
474461,670,928
474471,626,830
474481,674,900
474491,624,826
474501,670,851
474511,624,751
474521,672,825
474531,624,778
474541,688,861
474551,623,765
474561,671,849
474571,624,783
474581,673,805
474591,626,771
474601,674,927
474611,625,907
474621,671,902
474631,625,791
474641,670,825
474651,623,745
474661,670,816
474671,623,826
474681,667,853
474691,625,753
474701,670,848
474711,629,810
474721,675,887
474731,624,801
474741,671,909
474751,621,791
474761,673,871
474771,629,775
474781,678,874
474791,634,790
474801,673,879
474811,632,773
474821,674,880
474831,631,804
474841,676,880
474851,628,783
474861,669,862
474871,633,773
474881,674,876
474891,627,784
474901,675,863
474911,626,784
474921,676,879
474931,624,803
