timestamp_ms,wire1_pin34,wire2_pin32
16643,0,0
16653,0,0
16663,0,0
16673,0,0
16683,0,0
16693,0,0
16703,0,0
16713,0,0
16723,0,0
16733,0,0
16743,0,0
16753,0,0
16763,0,0
16773,0,0
16783,0,0
16793,0,0
16803,0,0
16813,0,0
16823,0,0
16833,0,0
16843,0,0
16853,0,0
16863,0,0
16873,0,0
16883,0,0
16893,0,0
16903,0,0
16913,0,0
16923,0,0
16933,0,0
16943,0,0
16953,0,0
16963,0,0
16973,0,0
16983,0,0
16993,0,0
17003,0,0
17013,0,0
17023,0,0
17033,0,0
17043,0,0
17053,0,0
17063,0,0
17073,0,0
17083,0,0
17093,0,0
17103,0,0
17113,0,0
17123,0,0
17133,0,0
17143,0,0
17153,0,0
17163,0,0
17173,0,0
17183,0,0
17193,0,0
17203,0,0
17213,0,20
17223,0,46
17233,7,35
17243,36,16
17253,26,0
17263,14,0
17273,4,0
17283,0,0
17293,0,0
17303,1,0
17313,15,0
17323,54,0
17333,73,0
17343,91,3
17353,108,12
17363,163,45
17373,278,53
17383,297,60
17393,316,93
17403,415,123
17413,550,128
17423,459,178
17433,364,166
17443,482,155
17453,484,129
17463,509,112
17473,447,125
17483,442,94
17493,362,70
17503,349,107
17513,290,111
17523,262,89
17533,267,132
17543,320,117
17553,295,104
17563,309,81
17573,291,79
17583,317,75
17593,397,83
17603,386,77
17613,359,74
17623,390,49
17633,445,71
17643,447,109
17653,422,77
17663,363,95
17673,438,129
17683,363,131
17693,369,125
17703,330,84
17713,346,60
17723,373,43
17733,361,48
17743,324,43
17753,314,22
17763,269,38
17773,273,24
17783,210,13
17793,214,0
17803,193,1
17813,158,0
17823,116,0
17833,98,0
17843,103,0
17853,74,0
17863,48,0
17873,33,0
17883,27,0
17893,16,0
17903,9,0
17913,7,0
17923,18,0
17933,23,0
17943,15,0
17953,0,0
17963,0,0
17973,0,0
17983,0,0
17993,0,0
18003,0,0
18013,0,0
18023,0,0
18033,0,0
18043,0,0
18053,0,0
18063,0,0
18073,0,0
18083,0,0
18093,0,0
18103,0,0
18113,0,0
18123,0,0
18133,0,0
18143,0,0
18153,0,0
18163,0,0
18173,0,0
18183,0,0
18193,0,0
18203,0,0
18213,0,0
18223,0,0
18233,0,0
18243,0,0
18253,0,0
18263,0,0
18273,0,0
18283,0,0
18293,0,0
18303,0,0
18313,0,0
18323,0,0
18333,0,0
18343,0,0
18353,0,0
18363,0,0
18373,0,0
18383,0,0
18393,0,0
18403,0,0
18413,0,0
18423,0,0
18433,0,0
18443,0,0
18453,0,0
18463,0,0
18473,0,0
18483,0,0
18493,0,0
18503,0,0
18513,0,0
18523,0,0
18533,0,0
18543,0,0
18553,0,0
18563,0,0
18573,0,0
18583,0,0
18593,0,0
18603,0,0
18613,0,0
18623,0,0
18633,0,0
