timestamp_ms,wire1_pin34,wire2_pin32
1044860,76,138
1044870,62,126
1044880,67,134
1044890,61,154
1044900,65,138
1044910,62,134
1044920,64,139
1044930,64,133
1044940,76,134
1044950,61,162
1044960,64,134
1044970,66,153
1044980,74,144
1044990,65,129
1045000,67,194
1045010,65,158
1045020,70,138
1045030,64,189
1045040,72,152
1045050,69,139
1045060,64,148
1045070,70,144
1045080,64,146
1045090,70,152
1045100,68,146
1045110,71,144
1045120,64,139
1045130,63,141
1045140,70,144
1045150,70,192
1045160,63,151
1045170,63,142
1045180,69,145
1045190,67,144
1045200,66,143
1045210,67,142
1045220,65,144
1045230,63,139
1045240,65,147
1045250,70,141
1045260,64,141
1045270,73,142
1045280,64,139
1045290,67,125
1045300,64,135
1045310,69,116
1045320,48,116
1045330,66,116
1045340,53,137
1045350,73,122
1045360,58,140
1045370,79,142
1045380,58,131
1045390,72,130
1045400,49,133
1045410,68,133
1045420,61,128
1045430,79,133
1045440,59,131
1045450,75,129
1045460,53,138
1045470,80,133
1045480,51,149
1045490,77,133
1045500,55,144
1045510,74,142
1045520,48,143
1045530,74,132
1045540,48,140
1045550,80,135
1045560,50,144
1045570,80,138
1045580,50,141
1045590,82,139
1045600,54,144
1045610,80,133
1045620,49,144
1045630,80,128
1045640,48,139
1045650,80,126
1045660,43,129
1045670,80,128
1045680,48,130
1045690,83,126
1045700,48,129
1045710,82,118
1045720,39,127
1045730,82,122
1045740,46,128
1045750,85,121
1045760,48,127
1045770,89,115
1045780,43,117
1045790,80,113
1045800,43,122
1045810,83,121
1045820,45,119
1045830,89,112
1045840,43,121
1045850,86,112
1045860,44,119
1045870,80,115
1045880,42,111
1045890,88,111
1045900,33,110
1045910,81,115
1045920,37,100
1045930,86,98
1045940,37,109
1045950,86,112
1045960,35,114
1045970,89,105
1045980,39,110
1045990,91,102
1046000,36,115
1046010,92,114
1046020,31,109
1046030,83,96
1046040,25,107
1046050,87,90
1046060,27,134
1046070,95,121
1046080,26,144
1046090,90,164
1046100,36,154
1046110,92,161
1046120,35,159
1046130,98,161
1046140,33,146
1046150,89,157
1046160,31,145
1046170,98,141
1046180,29,128
1046190,95,130
1046200,27,131
1046210,94,139
1046220,18,123
1046230,95,115
1046240,23,113
1046250,91,113
1046260,16,112
1046270,85,116
1046280,23,128
1046290,98,122
1046300,20,121
1046310,95,126
1046320,16,118
1046330,100,114
1046340,23,115
1046350,100,107
1046360,23,111
1046370,102,112
1046380,22,115
1046390,102,109
1046400,16,112
1046410,99,112
1046420,23,122
1046430,102,118
1046440,18,115
1046450,106,118
1046460,13,117
1046470,103,130
1046480,17,119
1046490,105,119
1046500,16,112
1046510,110,113
1046520,16,109
1046530,109,118
1046540,16,117
1046550,112,107
1046560,10,116
1046570,109,112
1046580,15,119
1046590,112,112
1046600,12,122
1046610,101,121
1046620,14,125
1046630,104,126
1046640,10,119
1046650,110,117
1046660,7,113
1046670,105,108
1046680,6,119
1046690,109,119
1046700,15,126
1046710,109,121
1046720,13,122
1046730,110,130
1046740,11,115
1046750,112,97
1046760,9,102
1046770,112,114
1046780,4,112
1046790,113,105
1046800,1,107
1046810,112,91
1046820,4,98
1046830,115,99
1046840,5,112
1046850,117,106
1051359,115,174
1051369,6,127
1051379,127,175
1051389,11,176
1051399,118,207
1051409,9,170
1051419,130,163
1051429,4,174
1051439,128,175
1051449,10,169
1051459,123,169
1051469,3,163
1051479,125,168
1051489,3,155
1051499,129,164
1051509,0,165
1051519,119,170
1051529,10,190
1051539,118,163
1051549,3,161
1051559,128,167
1051569,1,171
1051579,128,171
1051589,12,167
1051599,117,176
1051609,7,171
1051619,116,176
1051629,0,170
1051639,114,180
1051649,2,169
1051659,128,166
1051669,6,169
1051679,131,165
1051689,14,172
1051699,128,176
1051709,13,164
1051719,118,178
1051729,2,169
1051739,120,176
1051749,15,176
1051759,128,172
1051769,7,177
1051779,125,176
1051789,16,175
1051799,115,165
1051809,16,157
1051819,115,174
1051829,16,162
1051839,119,173
1051849,16,155
1051859,114,156
1051869,7,161
1051879,112,158
1051889,13,149
1051899,114,160
1051909,11,157
1051919,115,159
1051929,15,158
1051939,119,158
1051949,18,149
1051959,118,157
1051969,18,155
1051979,119,147
1051989,14,146
1051999,110,160
1052009,16,144
1052019,114,145
1052029,22,145
1052039,112,157
1052049,19,150
1052059,113,148
1052069,18,144
1052079,115,151
1052089,16,143
1052099,115,149
1052109,19,144
1052119,107,143
1052129,13,144
1052139,114,142
1052149,16,146
1052159,112,158
1052169,18,144
1052179,117,141
1052189,27,147
1052199,115,154
1052209,29,143
1052219,112,155
1052229,29,153
1052239,109,150
1052249,28,144
1052259,112,144
1052269,31,143
1052279,112,151
1052289,32,127
1052299,113,149
1052309,31,146
1052319,112,145
1052329,21,139
1052339,112,139
1052349,32,114
1052359,111,137
1052369,29,124
1052379,104,148
1052389,30,141
1052399,103,140
1052409,25,144
1052419,105,144
1052429,35,148
1052439,96,144
1052449,32,133
1052459,106,154
1052469,32,133
1052479,105,149
1052489,28,145
1052499,93,151
1052509,29,149
1052519,103,162
1052529,32,147
1052539,103,158
1052549,32,148
1052559,102,150
1052569,38,144
1052579,96,154
1052589,35,144
1052599,102,162
1052609,45,144
1052619,93,163
1052629,41,129
1052639,99,158
1052649,47,145
1052659,92,158
1052669,48,152
1052679,100,165
1052689,35,157
1052699,87,175
1052709,37,144
1052719,99,161
1052729,48,148
1052739,92,154
1052749,42,144
1052759,89,161
1052769,38,147
1052779,96,155
1052789,48,150
1052799,96,156
1052809,48,145
1052819,97,154
1052829,44,149
1052839,96,165
1052849,41,147
1052859,95,159
1052869,42,144
1052879,93,159
1052889,46,144
1052899,94,148
1052909,52,144
1052919,94,150
1052929,51,151
1052939,95,154
1052949,57,151
1052959,87,162
1052969,49,148
1052979,82,159
1052989,50,149
1052999,84,156
1053009,50,155
1053019,92,171
1053029,54,151
1053039,91,173
1053049,49,151
1053059,78,161
1053069,48,161
1053079,83,167
1053089,48,149
1053099,80,161
1053109,48,151
1053119,85,166
1053129,53,161
1053139,78,162
1053149,48,153
1053159,87,159
1053169,50,157
1053179,86,154
1053189,59,144
1053199,80,155
1053209,59,148
1053219,80,160
1053229,58,144
1053239,79,159
1053249,57,160
1053259,86,162
1053269,54,150
1053279,76,157
1053289,59,150
1053299,80,171
1053309,61,153
1053319,71,176
1053329,49,162
1053339,70,167
1053349,50,161
1057858,64,226
1057868,51,233
1057878,83,214
1057888,59,208
1057898,90,210
1057908,55,223
1057918,91,210
1057928,55,217
1057938,94,217
1057948,64,233
1057958,97,215
1057968,64,218
1057978,96,216
1057988,63,226
1057998,92,218
1058008,64,220
1058018,91,223
1058028,50,233
1058038,90,218
1058048,51,230
1058058,97,217
1058068,58,229
1058078,99,218
1058088,53,224
1058098,95,215
1058108,57,239
1058118,102,219
1058128,55,227
1058138,103,225
1058148,53,224
1058158,98,225
1058168,57,224
1058178,106,221
1058188,48,228
1058198,97,217
1058208,50,223
1058218,97,213
1058228,53,213
1058238,105,221
1058248,48,228
1058258,101,220
1058268,48,229
1058278,103,215
1058288,48,221
1058298,106,213
1058308,49,217
1058318,98,214
1058328,48,219
1058338,103,198
1058348,48,210
1058358,109,202
1058368,47,209
1058378,112,207
1058388,41,208
1058398,111,193
1058408,46,201
1058418,110,206
1058428,34,208
1058438,105,191
1058448,35,199
1058458,109,203
1058468,35,192
1058478,98,191
1058488,44,194
1058498,111,195
1058508,30,197
1058518,103,189
1058528,37,187
1058538,112,189
1058548,41,196
1058558,111,182
1058568,30,185
1058578,102,176
1058588,26,184
1058598,102,176
1058608,34,183
1058618,102,178
1058628,33,186
1058638,107,201
1058648,31,182
1058658,112,165
1058668,25,192
1058678,111,179
1058688,29,187
1058698,112,189
1058708,19,192
1058718,112,187
1058728,17,179
1058738,109,174
1058748,25,177
1058758,112,176
1058768,23,176
1058778,112,177
1058788,17,175
1058798,110,176
1058808,17,175
1058818,113,178
1058828,29,183
1058838,114,193
1058848,16,191
1058858,115,195
1058868,16,192
1058878,113,192
1058888,16,192
1058898,115,181
1058908,16,208
1058918,118,191
1058928,22,188
1058938,119,183
1058948,15,189
1058958,116,194
1058968,16,187
1058978,119,192
1058988,16,192
1058998,122,181
1059008,14,185
1059018,122,177
1059028,17,185
1059038,123,186
1059048,13,177
1059058,119,182
1059068,13,197
1059078,115,200
1059088,16,192
1059098,123,197
1059108,9,195
1059118,121,195
1059128,10,187
1059138,123,202
1059148,6,192
1059158,121,199
1059168,16,182
1059178,118,189
1059188,7,194
1059198,117,196
1059208,12,191
1059218,124,202
1059228,13,185
1059238,118,185
1059248,6,176
1059258,121,181
1059268,4,177
1059278,119,187
1059288,14,183
1059298,127,189
1059308,11,178
1059318,128,187
1059328,2,187
1059338,130,183
1059348,7,177
1059358,128,178
1059368,11,179
1059378,124,182
1059388,0,181
1059398,125,193
1059408,1,183
1059418,130,187
1059428,5,161
1059438,128,186
1059448,0,187
1059458,128,186
1059468,7,192
1059478,131,192
1059488,6,186
1059498,133,192
1059508,2,188
1059518,133,190
1059528,0,189
1059538,129,199
1059548,11,195
1059558,131,192
1059568,6,183
1059578,132,193
1059588,9,187
1059598,128,197
1059608,9,181
1059618,127,189
1059628,0,188
1059638,131,196
1059648,6,192
1059658,132,197
1059668,8,196
1059678,133,186
1059688,0,187
1059698,128,198
1059708,5,207
1059718,121,189
1059728,6,191
1059738,131,181
1059748,6,193
1059758,124,202
1059768,0,192
1059778,129,192
1059788,3,186
1059798,131,194
1059808,10,199
1059818,130,202
1059828,0,205
1059838,133,198
1059848,0,191
1064357,0,198
1064367,128,218
1064377,5,209
1064387,129,199
1064397,15,201
1064407,133,202
1064417,15,200
1064427,122,205
1064437,14,197
1064447,133,209
1064457,6,204
1064467,130,205
1064477,15,208
1064487,130,208
1064497,16,212
1064507,128,207
1064517,13,204
1064527,117,215
1064537,16,208
1064547,128,203
1064557,9,201
1064567,129,205
1064577,14,208
1064587,118,208
1064597,16,208
1064607,128,210
1064617,19,210
1064627,128,209
1064637,11,215
1064647,127,221
1064657,11,199
1064667,113,203
1064677,17,204
1064687,125,206
1064697,15,206
1064707,122,208
1064717,14,199
1064727,114,199
1064737,11,198
1064747,121,205
1064757,18,197
1064767,117,201
1064777,17,198
1064787,115,205
1064797,22,195
1064807,112,208
1064817,16,196
1064827,118,205
1064837,16,197
1064847,112,204
1064857,21,192
1064867,109,192
1064877,16,189
1064887,112,190
1064897,26,195
1064907,118,192
1064917,16,191
1064927,117,198
1064937,17,192
1064947,115,193
1064957,27,198
1064967,109,198
1064977,26,195
1064987,118,196
1064997,25,188
1065007,112,185
1065017,29,201
1065027,105,194
1065037,29,187
1065047,113,193
1065057,30,183
1065067,103,199
1065077,32,190
1065087,106,198
1065097,32,198
1065107,112,207
1065117,36,206
1065127,113,208
1065137,38,199
1065147,112,202
1065157,30,186
1065167,112,207
1065177,41,193
1065187,112,202
1065197,43,196
1065207,110,207
1065217,35,196
1065227,113,199
1065237,48,182
1065247,112,194
1065257,39,190
1065267,111,197
1065277,34,186
1065287,105,205
1065297,33,205
1065307,109,199
1065317,49,185
1065327,111,198
1065337,42,197
1065347,99,198
1065357,48,194
1065367,107,196
1065377,39,186
1065387,95,195
1065397,38,189
1065407,109,199
1065417,48,176
1065427,102,197
1065437,50,183
1065447,107,202
1065457,49,195
1065467,103,192
1065477,48,192
1065487,106,213
1065497,52,198
1065507,105,211
1065517,52,198
1065527,103,199
1065537,54,207
1065547,106,211
1065557,55,203
1065567,97,208
1065577,48,193
1065587,98,207
1065597,53,202
1065607,99,208
1065617,57,192
1065627,90,205
1065637,54,198
1065647,83,204
1065657,47,193
1065667,95,197
1065677,49,202
1065687,98,202
1065697,55,203
1065707,96,195
1065717,58,183
1065727,96,196
1065737,51,190
1065747,92,191
1065757,50,190
1065767,93,197
1065777,55,194
1065787,95,209
1065797,63,194
1065807,98,210
1065817,61,199
1065827,96,214
1065837,63,197
1065847,95,203
1065857,63,190
1065867,92,203
1065877,64,201
1065887,92,199
1065897,64,197
1065907,93,198
1065917,62,195
1065927,93,205
1065937,64,205
1065947,85,208
1065957,64,196
1065967,87,202
1065977,57,207
1065987,90,205
1065997,58,203
1066007,80,202
1066017,62,202
1066027,82,205
1066037,57,206
1066047,90,214
1066057,66,201
1066067,80,208
1066077,59,197
1066087,84,208
1066097,65,195
1066107,84,208
1066117,65,205
1066127,83,208
1066137,62,203
1066147,82,211
1066157,69,198
1066167,78,203
1066177,64,197
1066187,81,203
1066197,62,195
1066207,82,208
1066217,63,203
1066227,80,211
1066237,71,208
1066247,80,211
1066257,64,204
1066267,82,217
1066277,74,201
1066287,80,208
1066297,73,204
1066307,73,214
1066317,74,208
1066327,80,213
1066337,70,195
1066347,80,211
1070856,249,234
1070866,275,217
1070876,126,219
1070886,215,216
1070896,109,215
1070906,191,215
1070916,106,227
1070926,181,227
1070936,91,230
1070946,177,214
1070956,97,229
1070966,176,219
1070976,96,230
1070986,176,212
1070996,91,216
1071006,163,212
1071016,87,213
1071026,159,208
1071036,80,213
1071046,155,208
1071056,81,211
1071066,160,209
1071076,80,217
1071086,167,207
1071096,75,209
1071106,163,197
1071116,80,203
1071126,172,198
1071136,67,211
1071146,168,208
1071156,69,208
1071166,169,206
1071176,74,203
1071186,170,194
1071196,73,208
1071206,170,197
1071216,64,211
1071226,165,203
1071236,65,202
1071246,166,195
1071256,67,201
1071266,172,190
1071276,64,195
1071286,169,188
1071296,63,198
1071306,174,188
1071316,52,203
1071326,170,193
1071336,52,195
1071346,173,185
1071356,61,199
1071366,178,197
1071376,59,204
1071386,179,192
1071396,58,197
1071406,176,189
1071416,50,206
1071426,176,197
1071436,48,202
1071446,179,192
1071456,42,198
1071466,177,196
1071476,48,197
1071486,182,197
1071496,48,203
1071506,178,192
1071516,41,195
1071526,179,186
1071536,47,195
1071546,181,190
1071556,43,202
1071566,183,192
1071576,44,187
1071586,179,190
1071596,45,190
1071606,180,191
1071616,39,195
1071626,184,193
1071636,32,192
1071646,186,186
1071656,31,199
1071666,190,194
1071676,28,187
1071686,191,194
1071696,26,193
1071706,192,183
1071716,32,193
1071726,186,187
1071736,21,191
1071746,197,191
1071756,20,189
1071766,199,191
1071776,21,206
1071786,197,197
1071796,29,200
1071806,199,194
1071816,18,197
1071826,205,182
1071836,17,186
1071846,208,176
1071856,20,186
1071866,214,181
1071876,16,187
1071886,221,185
1071896,15,203
1071906,225,199
1071916,17,203
1071926,234,194
1071936,16,199
1071946,229,197
1071956,8,201
1071966,235,193
1071976,15,195
1071986,233,192
1071996,4,204
1072006,230,202
1072016,5,208
1072026,231,205
1072036,5,194
1072046,230,193
1072056,3,186
1072066,231,185
1072076,0,187
1072086,234,197
1072096,0,190
1072106,237,194
1072116,1,194
1072126,234,178
1072136,0,186
1072146,240,192
1072156,0,177
1072166,238,186
1072176,0,187
1072186,238,186
