timestamp_ms,wire1_pin34,wire2_pin32
13010,0,0
13020,97,0
13030,11,0
13040,103,0
13050,25,0
13060,112,0
13070,21,0
13080,110,0
13090,19,0
13100,108,0
13110,21,0
13120,101,0
13130,16,0
13140,109,0
13150,18,0
13160,107,0
13170,29,0
13180,108,0
13190,25,0
13200,106,0
13210,17,0
13220,97,0
13230,19,0
13240,107,0
13250,29,0
13260,97,0
13270,30,0
13280,107,0
13290,27,0
13300,106,0
13310,23,0
13320,94,0
13330,19,0
13340,94,0
13350,30,0
13360,102,0
13370,21,0
13380,99,0
13390,27,0
13400,101,0
13410,27,0
13420,96,0
13430,29,0
13440,103,0
13450,33,0
13460,102,0
13470,31,0
13480,101,0
13490,31,0
13500,102,0
13510,22,0
13520,96,0
13530,22,0
13540,96,0
13550,26,0
13560,93,0
13570,27,0
13580,97,0
13590,27,0
13600,91,0
13610,25,0
13620,101,0
13630,32,0
13640,101,0
13650,30,0
13660,91,0
13670,32,0
13680,87,0
13690,22,0
13700,97,0
13710,37,0
13720,100,0
13730,34,0
13740,99,0
13750,35,0
13760,90,0
13770,27,0
13780,87,0
13790,31,0
13800,96,0
13810,35,0
13820,93,0
13830,31,0
13840,96,0
13850,35,0
13860,96,0
13870,34,0
13880,97,0
13890,32,0
13900,90,0
13910,34,0
13920,82,0
13930,28,0
13940,92,0
13950,37,0
13960,90,0
13970,35,0
13980,81,0
13990,36,0
14000,94,0
14010,36,0
14020,82,0
14030,33,0
14040,81,0
14050,23,0
14060,95,0
14070,39,0
14080,86,0
14090,38,0
14100,94,0
14110,39,0
14120,83,0
14130,39,0
14140,81,0
14150,32,0
14160,91,0
14170,30,0
14180,82,0
14190,38,0
14200,80,0
14210,35,0
14220,80,0
14230,34,0
14240,90,0
14250,42,0
14260,87,0
14270,43,0
14280,80,0
14290,43,0
14300,89,0
14310,44,0
14320,80,0
14330,41,0
14340,80,0
14350,33,0
14360,85,0
14370,43,0
14380,79,0
14390,42,0
