timestamp_ms,wire1_pin34,wire2_pin32
695206,64,0
695216,16,6
695226,91,1
695236,14,7
695246,96,16
695256,18,3
695266,102,10
695276,23,2
695286,98,6
695296,22,12
695306,98,10
695316,10,8
695326,91,0
695336,9,5
695346,90,11
695356,16,0
695366,95,3
695376,16,3
695386,105,12
695396,6,0
695406,102,3
695416,16,5
695426,96,1
695436,15,6
695446,109,8
695456,15,0
695466,102,0
695476,11,2
695486,102,0
695496,10,0
695506,96,0
695516,4,3
695526,99,0
695536,6,9
695546,105,6
695556,0,0
695566,103,2
695576,3,0
695586,105,9
695596,0,5
695606,99,0
695616,5,4
695626,97,0
695636,5,7
695646,96,3
695656,4,7
695666,107,3
695676,6,10
695686,108,16
695696,3,10
695706,111,9
695716,6,0
695726,110,16
695736,0,5
695746,110,10
695756,0,0
695766,108,6
695776,0,9
695786,111,12
695796,2,5
695806,112,11
695816,0,11
695826,112,3
695836,0,14
695846,106,3
695856,0,11
695866,109,4
695876,0,7
695886,107,0
695896,0,7
695906,106,5
695916,0,12
695926,112,16
695936,0,14
695946,117,12
695956,0,6
695966,120,6
695976,0,16
695986,112,6
695996,0,13
696006,111,16
696016,0,18
696026,119,4
696036,0,5
696046,121,13
696056,0,0
696066,118,16
696076,0,0
696086,119,0
696096,0,0
696106,119,0
696116,0,0
696126,123,0
696136,0,0
696146,114,0
696156,0,0
696166,123,14
696176,0,11
696186,114,9
696196,0,16
696206,128,16
696216,0,21
696226,118,48
696236,0,41
696246,129,37
696256,0,29
696266,121,36
696276,0,26
696286,121,9
696296,0,14
696306,126,16
696316,0,27
696326,128,24
696336,0,29
696346,128,17
696356,0,17
696366,118,19
696376,0,12
696386,119,17
696396,0,13
696406,130,0
696416,0,9
696426,132,10
696436,0,30
696446,131,21
696456,0,16
696466,132,16
696476,0,9
696486,130,0
696496,0,0
696506,128,14
696516,0,7
696526,124,7
696536,0,11
696546,128,0
696556,0,0
696566,135,11
696576,0,5
696586,128,3
696596,0,11
696606,128,16
696616,0,9
696626,135,6
696636,0,9
696646,125,0
696656,0,0
696666,130,3
696676,0,10
696686,128,0
696696,0,9
696706,137,2
696716,0,19
696726,128,5
696736,0,0
696746,129,0
696756,0,0
696766,126,0
696776,0,0
696786,137,2
696796,0,0
696806,137,0
696816,0,32
696826,137,0
696836,0,0
696846,135,5
696856,0,0
696866,131,0
696876,0,0
696886,135,0
696896,0,0
696906,128,0
696916,0,0
696926,128,0
696936,0,0
696946,137,0
696956,0,4
696966,142,11
696976,0,46
696986,133,44
696996,0,62
697006,139,54
697016,0,69
697026,139,64
697036,0,67
697046,135,93
697056,0,109
697066,143,96
697076,0,96
697086,141,105
697096,0,114
697106,140,102
697116,0,107
697126,137,89
697136,0,81
697146,143,80
697156,0,66
697166,138,38
697176,0,38
697186,135,28
697196,0,32
701705,3,21
701715,112,20
701725,0,30
701735,117,17
701745,0,21
701755,112,24
701765,0,19
701775,116,16
701785,0,16
701795,119,26
701805,0,30
701815,112,46
701825,0,55
701835,119,64
701845,0,55
701855,123,53
701865,0,64
701875,118,42
701885,0,53
701895,113,35
701905,0,31
701915,122,35
701925,0,16
701935,125,27
701945,0,48
701955,129,32
701965,0,35
701975,121,34
701985,0,32
701995,123,28
702005,0,34
702015,117,15
702025,0,13
702035,126,17
702045,0,19
702055,115,9
702065,0,10
702075,128,16
702085,0,19
702095,126,16
702105,0,16
702115,128,15
702125,0,3
702135,127,10
702145,0,16
702155,132,21
702165,0,19
702175,129,1
702185,0,0
702195,128,2
702205,0,0
702215,130,3
702225,0,12
702235,118,6
702245,0,0
702255,125,4
702265,0,0
702275,131,10
702285,0,16
702295,133,16
702305,0,21
702315,131,15
702325,0,13
702335,128,20
702345,0,5
702355,122,14
702365,0,13
702375,128,13
702385,0,9
702395,128,6
702405,0,10
702415,132,15
702425,0,13
702435,129,13
702445,0,11
702455,123,19
702465,0,31
702475,130,19
702485,0,21
702495,131,27
702505,0,48
702515,131,44
702525,0,115
702535,126,43
702545,0,52
702555,131,36
702565,0,50
702575,132,50
702585,0,46
702595,130,31
702605,0,17
702615,131,20
702625,0,25
702635,125,22
702645,0,19
702655,130,30
702665,0,33
702675,135,44
702685,0,23
702695,126,14
702705,0,26
702715,135,46
702725,0,0
702735,136,37
702745,0,21
702755,138,25
702765,0,22
702775,135,33
702785,0,50
702795,126,18
702805,0,16
702815,128,23
702825,0,19
702835,130,22
702845,0,23
702855,138,30
702865,0,43
702875,137,11
702885,0,16
702895,128,18
702905,0,15
702915,134,32
702925,0,11
702935,134,18
702945,0,11
702955,128,12
702965,0,10
702975,137,19
702985,0,19
702995,133,11
703005,0,0
703015,135,0
703025,0,31
703035,126,0
703045,0,0
703055,135,0
703065,0,17
703075,128,31
703085,0,23
703095,137,18
703105,0,21
703115,134,33
703125,0,7
703135,138,28
703145,0,10
703155,128,33
703165,0,0
703175,125,12
703185,0,23
703195,128,25
703205,0,26
703215,125,32
703225,0,31
703235,128,21
703245,0,15
703255,135,16
703265,0,17
703275,137,35
703285,0,37
703295,135,22
703305,0,27
703315,134,38
703325,0,34
703335,134,32
703345,0,16
703355,124,28
703365,0,22
703375,133,21
703385,0,19
703395,135,26
703405,0,16
703415,133,21
703425,0,16
703435,125,18
703445,0,18
703455,135,26
703465,0,16
703475,134,18
703485,0,15
703495,129,17
703505,0,16
703515,134,17
703525,0,21
703535,128,16
703545,0,14
703555,128,19
703565,0,19
703575,134,27
703585,0,13
703595,128,32
703605,0,11
703615,130,13
703625,0,16
703635,128,17
703645,0,20
703655,133,17
703665,0,16
703675,129,30
703685,0,17
703695,123,9
708204,102,16
708214,0,14
708224,124,19
708234,0,25
708244,131,22
708254,0,17
708264,134,19
708274,0,17
708284,139,16
708294,0,24
708304,137,16
708314,0,22
708324,130,22
708334,0,22
708344,130,21
708354,0,19
708364,131,23
708374,0,17
708384,130,26
708394,0,25
708404,141,18
708414,0,17
708424,143,27
708434,0,22
708444,138,30
708454,0,22
708464,142,21
708474,0,29
708484,128,16
708494,0,16
708504,138,16
708514,0,11
708524,131,0
708534,0,18
708544,138,13
708554,0,16
708564,140,16
708574,0,16
708584,141,23
708594,0,16
708604,144,21
708614,0,17
708624,144,9
708634,0,14
708644,144,13
708654,0,16
708664,144,13
708674,0,13
708684,143,16
708694,0,16
708704,139,14
708714,0,15
708724,145,13
708734,0,9
708744,140,15
708754,0,13
708764,145,25
708774,0,11
708784,144,15
708794,0,5
708804,145,19
708814,0,9
708824,144,7
708834,0,18
708844,142,21
708854,0,35
708864,145,42
708874,0,16
708884,144,16
708894,0,28
708904,146,16
708914,0,14
708924,147,23
708934,0,16
708944,145,21
708954,0,21
708964,142,26
708974,0,15
708984,144,7
708994,0,13
709004,142,50
709014,0,29
709024,139,30
709034,0,32
709044,135,109
709054,0,36
709064,145,4
709074,0,23
709084,144,11
709094,0,32
709104,140,28
709114,0,16
709124,144,15
709134,0,16
709144,142,35
709154,0,27
709164,144,30
709174,0,22
709184,144,18
709194,0,16
709204,141,21
709214,0,26
709224,137,25
709234,0,22
709244,146,55
709254,0,0
709264,142,25
709274,0,18
709284,138,22
709294,0,22
709304,145,22
709314,0,10
709324,144,16
709334,0,16
709344,147,15
709354,0,0
709364,143,31
709374,0,17
709384,139,24
709394,0,51
709404,145,28
709414,0,16
709424,145,21
709434,0,28
709444,147,20
709454,0,16
709464,144,23
709474,0,0
709484,144,21
709494,0,5
709504,141,22
709514,0,21
709524,141,18
709534,0,77
709544,146,20
709554,0,14
709564,141,21
709574,0,23
709584,146,23
709594,0,16
709604,144,18
709614,0,13
709624,144,21
709634,0,16
709644,144,23
709654,0,17
709664,135,26
709674,0,22
709684,142,22
709694,0,20
709704,138,23
709714,0,19
709724,144,16
709734,0,18
709744,144,18
709754,0,18
709764,144,20
709774,0,18
709784,144,16
709794,0,27
709804,139,20
709814,0,33
709824,144,17
709834,0,21
709844,144,16
709854,0,17
709864,142,16
709874,0,28
709884,145,23
709894,0,16
709904,139,23
709914,0,16
709924,133,19
709934,0,20
709944,142,34
709954,0,21
709964,141,19
709974,0,30
709984,143,15
709994,0,16
710004,132,23
710014,0,19
710024,144,28
710034,0,17
710044,143,16
710054,0,17
710064,140,26
710074,0,16
710084,141,20
710094,0,16
710104,143,18
710114,0,18
710124,142,22
710134,0,34
710144,134,23
710154,0,29
710164,139,19
710174,0,21
710184,141,20
710194,0,21
714703,0,16
714713,137,16
714723,0,20
714733,139,24
714743,0,24
714753,143,29
714763,0,29
714773,144,16
714783,0,16
714793,144,29
714803,0,17
714813,144,16
714823,0,17
714833,144,28
714843,0,23
714853,145,19
714863,0,16
714873,144,22
714883,0,20
714893,147,29
714903,0,24
714913,139,27
714923,0,22
714933,141,26
714943,0,29
714953,139,26
714963,0,16
714973,140,23
714983,0,22
714993,144,11
715003,0,16
715013,129,21
715023,0,21
715033,142,17
715043,0,16
715053,144,16
715063,0,16
715073,131,23
715083,0,23
715093,142,15
715103,0,16
715113,144,28
715123,0,16
715133,144,23
715143,0,23
715153,139,20
715163,0,33
715173,144,33
715183,0,31
715193,142,35
715203,0,31
715213,135,39
715223,0,18
715233,144,33
715243,0,29
715253,144,40
715263,0,21
715273,144,20
715283,0,16
715293,142,23
715303,0,17
715313,138,26
715323,0,17
715333,131,10
715343,0,16
715353,141,16
715363,0,12
715373,140,30
715383,0,16
715393,139,16
715403,0,18
715413,141,26
715423,0,18
715433,137,109
715443,0,16
715453,142,23
715463,0,16
715473,135,9
715483,0,19
715493,130,22
715503,0,30
715513,133,20
715523,0,15
715533,133,16
715543,0,42
715553,139,17
715563,0,16
715573,139,23
715583,0,16
715593,137,18
715603,0,16
715613,142,17
715623,0,16
715633,133,18
715643,0,0
715653,131,17
715663,0,17
715673,144,20
715683,0,16
715693,135,16
715703,0,16
715713,139,21
715723,0,16
715733,130,35
715743,0,15
715753,131,48
715763,0,16
715773,135,26
715783,0,19
715793,126,31
715803,0,47
715813,138,21
715823,0,17
715833,139,20
715843,0,27
715853,137,37
715863,0,18
715873,128,21
715883,0,19
715893,131,30
715903,0,21
715913,134,27
715923,0,25
715933,134,25
715943,0,25
715953,138,21
715963,0,21
715973,133,27
715983,0,16
715993,131,29
716003,0,28
716013,128,37
716023,0,18
716033,134,23
716043,0,18
716053,131,21
716063,0,32
716073,125,37
716083,0,23
716093,125,35
716103,0,19
716113,128,34
716123,0,12
716133,131,36
716143,0,16
716153,123,26
716163,0,28
716173,126,38
716183,0,31
716193,113,17
716203,0,0
716213,112,27
716223,0,19
716233,119,31
716243,0,27
716253,124,13
716263,0,30
716273,125,32
716283,0,17
716293,115,16
716303,0,26
716313,126,33
716323,0,25
716333,118,30
716343,0,17
716353,123,19
716363,0,16
716373,128,32
716383,0,31
716393,123,25
716403,0,17
716413,125,21
716423,0,16
716433,119,22
716443,0,17
716453,122,30
716463,0,20
716473,119,13
716483,0,35
716493,116,19
716503,0,23
716513,112,31
716523,0,18
716533,117,17
716543,0,16
716553,122,35
716563,0,27
716573,120,0
716583,0,26
716593,115,30
716603,0,23
716613,117,22
716623,0,23
716633,116,22
716643,0,33
716653,107,29
716663,0,17
716673,107,17
716683,0,22
716693,116,29
721202,128,47
721212,0,50
721222,131,48
721232,0,45
721242,131,30
721252,0,37
721262,131,30
721272,0,34
721282,130,38
721292,0,23
721302,128,22
721312,0,20
721322,120,35
721332,0,47
721342,128,51
721352,0,51
721362,130,46
721372,0,51
721382,125,59
721392,0,48
721402,121,42
721412,0,34
721422,121,33
721432,0,36
721442,123,35
721452,0,47
721462,123,45
721472,0,48
721482,123,49
721492,0,48
721502,128,65
721512,0,59
721522,115,51
721532,0,47
721542,121,60
721552,0,58
721562,123,55
721572,0,42
721582,118,52
721592,0,35
721602,123,50
721612,0,50
721622,115,53
721632,0,46
721642,117,64
721652,0,65
721662,118,80
721672,0,50
721682,115,53
721692,0,55
721702,122,62
721712,0,50
721722,121,48
721732,0,34
721742,121,48
721752,0,48
721762,117,38
721772,0,33
721782,122,67
721792,0,60
721802,126,57
721812,0,53
721822,124,38
721832,0,48
721842,112,43
721852,0,40
721862,118,41
721872,0,42
721882,114,46
721892,0,38
721902,112,43
721912,0,48
721922,119,46
721932,0,41
721942,114,31
721952,0,30
721962,111,39
721972,0,32
721982,112,43
721992,0,29
722002,108,50
722012,0,45
722022,112,55
722032,0,47
722042,112,51
722052,4,49
722062,103,39
722072,2,35
722082,112,42
722092,3,47
722102,112,48
722112,11,45
722122,109,48
722132,0,92
722142,98,55
722152,7,48
722162,112,46
722172,8,31
722182,99,54
722192,9,54
722202,97,43
722212,1,47
722222,107,57
722232,14,47
722242,105,42
722252,2,45
722262,97,43
722272,12,39
722282,98,42
722292,16,93
722302,101,43
722312,9,48
722322,94,49
722332,14,41
722342,107,49
722352,16,48
722362,92,55
722372,16,43
722382,99,55
722392,19,42
722402,100,48
722412,13,45
722422,100,48
722432,19,52
722442,98,47
722452,16,46
722462,89,62
722472,18,45
722482,98,45
722492,16,46
722502,85,49
722512,19,35
722522,100,42
722532,18,30
722542,98,48
722552,28,41
722562,94,35
722572,16,38
722582,93,37
722592,23,39
722602,91,34
722612,22,37
722622,80,46
722632,22,42
722642,83,48
722652,16,34
722662,79,48
722672,23,36
722682,78,35
722692,16,31
722702,79,42
722712,18,48
722722,80,48
722732,21,45
722742,81,53
722752,32,44
722762,86,41
722772,30,24
722782,86,40
722792,19,28
722802,86,35
722812,29,27
722822,83,30
722832,31,27
722842,80,27
722852,24,32
722862,77,37
722872,20,38
722882,84,48
722892,35,44
722902,85,44
722912,29,25
722922,84,31
722932,34,38
722942,76,48
722952,34,39
722962,73,40
722972,32,34
722982,80,39
722992,26,31
723002,80,42
723012,34,47
723022,80,40
723032,37,27
723042,73,35
723052,28,41
723062,80,27
723072,36,35
723082,79,48
723092,37,35
723102,80,45
723112,42,49
723122,70,44
723132,41,44
723142,79,39
723152,43,48
723162,79,50
723172,34,36
723182,80,41
723192,43,47
727701,0,75
727711,106,77
727721,25,80
727731,103,87
727741,27,89
727751,98,98
727761,27,94
727771,103,97
727781,30,83
727791,95,87
727801,17,97
727811,93,107
727821,16,94
727831,104,110
727841,26,85
727851,105,86
727861,31,76
727871,106,80
727881,21,76
727891,101,82
727901,33,80
727911,97,80
727921,23,75
727931,91,82
727941,25,82
727951,97,94
727961,30,83
727971,86,109
727981,29,80
727991,95,83
728001,27,86
728011,102,89
728021,41,67
728031,105,94
728041,42,75
728051,85,80
728061,29,82
728071,91,81
728081,18,76
728091,89,90
728101,31,82
728111,96,91
728121,37,80
728131,91,142
728141,34,81
728151,91,87
728161,30,79
728171,87,86
728181,27,80
728191,80,90
728201,36,80
728211,80,95
728221,29,83
728231,79,102
728241,34,80
728251,79,87
728261,38,85
728271,87,94
728281,44,84
728291,84,92
728301,43,76
728311,85,80
728321,41,81
728331,85,85
728341,33,74
728351,83,80
728361,34,83
728371,83,80
728381,46,69
728391,74,87
728401,43,39
728411,74,64
728421,41,64
728431,74,79
728441,38,75
728451,72,86
728461,41,77
728471,73,80
728481,45,77
728491,80,78
728501,50,65
728511,69,94
728521,43,71
728531,73,80
728541,48,71
728551,74,87
728561,44,71
728571,64,69
728581,48,74
728591,63,75
728601,48,61
728611,73,64
728621,48,69
728631,71,16
728641,53,55
728651,60,60
728661,48,55
728671,193,77
728681,214,99
728691,144,74
728701,143,75
728711,90,71
728721,101,65
728731,95,71
728741,85,65
728751,64,61
728761,51,54
728771,52,55
728781,48,58
728791,79,73
728801,84,68
728811,67,68
728821,73,65
728831,63,59
728841,69,63
728851,67,74
728861,71,68
728871,65,64
728881,61,57
728891,64,71
728901,65,48
728911,61,66
728921,62,54
728931,64,64
728941,55,50
728951,62,62
728961,66,64
728971,61,49
728981,66,49
728991,59,59
729001,68,53
729011,50,55
729021,61,51
729031,56,59
729041,66,62
729051,48,64
729061,64,51
729071,48,48
729081,69,63
729091,53,62
729101,65,51
729111,49,57
729121,70,63
729131,49,62
729141,73,59
729151,46,63
729161,77,61
729171,42,64
729181,66,56
729191,49,61
729201,78,58
729211,45,59
729221,75,64
729231,41,66
729241,67,61
729251,47,54
729261,78,60
729271,39,58
729281,76,67
729291,48,69
729301,81,65
729311,48,73
729321,73,64
729331,37,69
729341,78,67
729351,48,68
729361,80,61
729371,34,64
729381,79,64
729391,38,61
729401,80,74
729411,37,70
729421,85,63
729431,44,67
729441,82,64
729451,42,69
729461,82,69
729471,41,64
729481,81,54
729491,32,65
729501,85,64
729511,31,67
729521,78,64
729531,39,64
729541,89,55
729551,38,74
729561,83,63
729571,28,67
729581,92,54
729591,37,65
729601,92,61
729611,28,62
729621,92,60
729631,34,61
729641,91,57
729651,24,65
729661,89,75
729671,32,63
729681,92,61
729691,32,54
734200,73,53
734210,58,48
734220,54,49
734230,64,55
734240,55,6
734250,65,47
734260,66,57
734270,67,43
734280,67,62
734290,60,39
734300,53,41
734310,64,39
734320,54,38
734330,57,38
734340,58,50
734350,55,49
734360,53,39
734370,63,48
734380,62,48
734390,60,69
734400,50,46
734410,63,33
734420,62,42
734430,62,42
734440,62,43
734450,64,42
734460,49,49
734470,64,30
734480,49,48
734490,64,47
734500,58,62
734510,66,43
734520,48,39
734530,58,43
734540,47,37
734550,57,43
734560,47,47
734570,65,45
734580,47,43
734590,69,37
734600,51,0
734610,73,34
734620,52,54
734630,75,29
734640,52,48
734650,69,42
734660,51,46
734670,75,45
734680,48,41
734690,76,37
734700,49,34
734710,69,41
734720,38,38
734730,67,59
734740,42,38
734750,69,34
734760,48,45
734770,81,39
734780,41,32
734790,76,43
734800,48,48
734810,80,37
734820,43,39
734830,80,40
734840,47,0
734850,82,39
734860,36,39
734870,76,34
734880,43,43
734890,82,40
734900,43,35
734910,78,50
734920,32,39
734930,81,38
734940,42,43
734950,85,27
734960,42,43
734970,80,35
734980,32,46
734990,76,35
735000,38,42
735010,83,33
735020,37,58
735030,86,32
735040,30,36
735050,86,31
735060,35,42
735070,81,34
735080,34,41
735090,87,33
735100,27,46
735110,90,37
735120,26,47
735130,87,43
735140,34,42
735150,90,33
735160,32,42
735170,84,36
735180,33,38
735190,94,48
735200,33,40
735210,93,34
735220,25,35
735230,89,35
735240,25,43
735250,93,39
735260,32,43
735270,85,35
735280,20,46
735290,96,47
735300,29,37
735310,86,43
735320,19,41
735330,95,33
735340,27,29
735350,97,42
735360,16,35
