timestamp_ms,wire1_pin34,wire2_pin32
21051,369,0
21061,372,0
21071,365,0
21081,368,0
21091,369,0
21101,386,0
21111,371,0
21121,407,0
21131,381,0
21141,432,0
21151,395,0
21161,409,0
21171,399,0
21181,416,0
21191,400,0
21201,414,0
21211,398,0
21221,407,0
21231,393,0
21241,405,0
21251,383,0
21261,414,0
21271,405,0
21281,413,0
21291,384,0
21301,411,0
21311,411,0
21321,410,0
21331,416,0
21341,356,0
21351,329,0
21361,347,0
21371,441,0
21381,653,0
21391,784,0
21401,1278,0
21411,1381,0
21421,1394,0
21431,1941,0
21441,1914,0
21451,1828,0
21461,1552,0
21471,1535,21
21481,1520,4
21491,1679,31
21501,1796,5
21511,1857,0
21521,1883,0
21531,2075,0
21541,2317,0
21551,3794,1
21561,3948,0
21571,3936,0
21581,3931,10
21591,3421,16
21601,2717,5
21611,2235,24
21621,1877,18
21631,1535,4
21641,1239,13
21651,993,0
21661,799,0
21671,654,0
21681,528,0
21691,433,0
21701,368,0
21711,297,0
21721,242,0
21731,217,0
21741,183,0
21751,151,0
21761,134,0
21771,135,9
21781,112,33
21791,91,32
21801,91,81
21811,92,70
21821,86,75
21831,80,154
21841,74,141
21851,77,155
21861,69,167
21871,79,141
21881,70,109
21891,69,87
21901,66,94
21911,64,84
21921,67,76
21931,64,50
21941,70,48
21951,62,27
21961,66,21
21971,67,1
21981,65,0
21991,66,0
22001,64,0
22011,60,0
22021,67,0
22031,71,0
22041,65,0
22051,69,0
22061,58,0
22071,61,0
22081,61,0
22091,60,0
22101,64,0
22111,59,0
22121,59,0
22131,64,0
22141,66,0
22151,65,0
22161,64,0
22171,65,0
22181,65,0
22191,61,0
22201,55,0
22211,62,0
22221,71,0
22231,67,0
22241,67,0
22251,62,0
22261,64,0
22271,64,0
22281,64,0
22291,68,0
22301,73,0
22311,66,0
22321,62,0
22331,61,0
22341,59,0
22351,64,0
22361,63,0
22371,73,0
22381,67,0
22391,65,0
22401,67,0
22411,66,0
22421,67,0
22431,63,0
22441,63,0
22451,69,0
22461,68,0
22471,61,0
22481,71,0
22491,67,0
22501,64,0
22511,79,0
22521,67,0
22531,64,0
22541,64,0
22551,71,0
22561,69,0
