timestamp_ms,wire1_pin34,wire2_pin32
10685,3025,0
10695,3024,0
10705,3025,0
10715,3021,0
10725,3012,0
10735,3024,0
10745,3019,0
10755,3025,0
10765,3022,0
10775,3024,0
10785,3024,0
10795,3035,0
10805,3023,0
10815,3025,0
10825,3023,0
10835,3039,0
10845,3027,0
10855,3024,0
10865,3021,0
10875,3029,0
10885,3022,0
10895,3027,0
10905,3027,0
10915,3017,0
10925,3019,0
10935,3027,0
10945,3029,0
10955,3025,0
10965,3023,0
10975,3024,0
10985,3026,0
10995,3033,0
11005,3024,0
11015,3024,0
11025,3025,0
11035,3024,0
11045,3024,0
11055,3010,0
11065,3023,0
11075,3024,0
11085,3023,0
11095,3024,0
11105,3024,0
11115,3031,0
11125,3024,0
11135,3024,0
11145,3024,0
11155,3024,0
11165,3025,0
11175,3026,0
11185,3024,0
11195,3025,0
11205,3022,0
11215,3024,0
11225,3024,0
11235,3024,0
11245,3037,0
11255,3025,0
11265,3024,0
11275,3024,0
11285,3025,0
11295,3027,0
11305,3024,0
11315,3022,0
11325,3024,0
11335,3027,0
11345,3024,0
11355,3025,0
11365,3017,0
11375,3030,0
11385,3021,0
11395,3024,0
11405,3020,0
11415,3027,0
11425,3035,0
11435,3021,0
11445,3035,0
11455,3027,0
11465,3030,0
11475,1136,0
11485,1860,0
11495,1645,0
11505,1467,0
11515,1232,0
11525,983,0
11535,774,0
11545,595,0
11555,459,0
11565,345,0
11575,254,0
11585,188,0
11595,128,0
11605,126,0
11615,1454,0
11625,3182,0
11635,4095,0
11645,4095,0
11655,3475,0
11665,3263,0
11675,3205,0
11685,3173,0
11695,2045,0
11705,3504,0
11715,2880,0
11725,2391,0
11735,1951,0
11745,1572,0
11755,1230,0
11765,960,0
11775,741,0
11785,576,0
11795,436,0
11805,327,0
11815,244,0
11825,175,0
11835,125,0
11845,79,0
11855,48,0
11865,20,0
11875,0,0
11885,0,0
11895,0,0
11905,0,0
11915,0,0
11925,0,0
11935,0,0
11945,0,0
11955,0,0
11965,0,0
11975,0,0
11985,0,0
11995,0,0
12005,0,0
12015,0,0
12025,0,0
12035,0,0
12045,0,0
12055,0,0
12065,0,0
12075,0,0
12085,0,0
12095,0,0
12105,0,0
12115,0,0
12125,0,0
12135,0,0
12145,0,0
12155,0,0
12165,0,0
12175,0,0
12185,0,0
12195,0,0
12205,0,0
12215,0,0
12225,0,0
12235,0,0
12245,0,0
12255,0,0
12265,0,0
12275,0,0
12285,0,0
12295,0,0
12305,0,0
12315,0,0
12325,0,0
12335,0,0
12345,0,0
12355,0,0
12365,0,0
12375,0,0
12385,0,0
12395,0,0
12405,0,0
12415,0,0
12425,0,0
12435,0,0
12445,0,0
12455,0,0
12465,0,0
12475,0,0
12485,0,0
12495,0,0
12505,0,0
12515,0,0
12525,0,0
12535,0,0
12545,0,0
12555,0,0
12565,0,0
12575,16,0
12585,707,0
12595,697,0
12605,720,0
12615,1509,0
12625,3405,0
12635,4095,0
12645,4095,0
12655,3568,0
12665,3275,0
12675,2236,0
17184,0,0
17194,0,0
17204,0,0
17214,0,0
17224,0,0
17234,0,0
17244,0,0
17254,0,0
17264,0,0
17274,0,0
17284,0,0
17294,0,0
17304,0,0
17314,0,0
17324,0,0
17334,0,0
17344,0,0
17354,0,0
17364,0,0
17374,0,0
17384,0,0
17394,0,0
17404,0,0
17414,0,0
17424,0,0
17434,0,0
17444,0,0
17454,0,0
17464,0,0
17474,0,0
17484,0,0
17494,0,0
17504,0,0
17514,0,0
17524,0,0
17534,0,0
17544,0,0
17554,0,0
17564,0,0
17574,0,0
17584,0,0
17594,0,0
17604,0,0
17614,0,0
17624,0,0
17634,0,0
17644,0,0
17654,0,0
17664,0,0
17674,0,0
17684,0,0
17694,0,0
17704,0,0
17714,0,0
17724,0,0
17734,0,0
17744,0,0
17754,0,0
17764,0,0
17774,0,0
17784,0,0
17794,0,0
17804,0,0
17814,0,0
17824,0,0
17834,0,0
17844,0,0
17854,0,0
17864,110,0
17874,960,0
17884,1561,0
17894,1411,0
17904,1053,0
17914,303,0
17924,1523,0
17934,1757,0
17944,0,0
17954,0,0
17964,0,0
17974,0,0
17984,0,0
17994,1710,0
18004,1741,0
18014,1788,0
18024,1773,0
18034,1804,0
18044,1786,0
18054,0,0
18064,0,0
18074,0,0
18084,0,0
18094,0,0
18104,0,0
18114,0,0
18124,3533,0
18134,3935,0
18144,3931,0
18154,3366,0
18164,2746,0
18174,2800,0
18184,2958,0
18194,2954,0
18204,2832,0
18214,2682,0
18224,2496,0
18234,2285,0
18244,2083,0
18254,1886,0
18264,1702,0
18274,1528,0
18284,1371,0
18294,1221,0
18304,1110,0
18314,973,0
18324,875,0
18334,783,0
18344,707,0
18354,637,0
18364,566,0
18374,522,0
18384,464,0
18394,420,0
18404,368,0
18414,342,0
18424,307,0
18434,268,0
18444,248,0
18454,225,0
18464,197,0
18474,183,0
18484,159,0
18494,144,0
18504,135,0
18514,119,0
18524,101,0
18534,95,0
18544,80,0
18554,75,0
18564,64,0
18574,54,0
18584,50,0
18594,38,0
18604,37,0
18614,23,0
18624,26,0
18634,2,0
18644,14,0
18654,1,0
18664,0,0
18674,0,0
18684,0,0
18694,0,0
18704,0,0
18714,0,0
18724,0,0
18734,0,0
18744,0,0
18754,0,0
18764,0,0
18774,0,0
18784,0,0
18794,0,0
18804,0,0
18814,0,0
18824,0,0
18834,0,0
18844,0,0
18854,0,0
18864,0,0
18874,0,0
18884,0,0
18894,0,0
18904,0,0
18914,0,0
18924,0,0
18934,0,0
18944,0,0
18954,0,0
18964,0,0
18974,0,0
18984,0,0
18994,0,0
19004,0,0
19014,0,0
19024,0,0
19034,0,0
19044,0,0
19054,0,0
19064,0,0
19074,0,0
19084,0,0
19094,0,0
19104,0,0
19114,0,0
19124,0,0
19134,0,0
19144,0,0
19154,0,0
19164,0,0
19174,0,0
23683,0,0
23693,0,0
23703,0,0
23713,0,0
23723,0,0
23733,0,0
23743,0,0
23753,0,0
23763,0,0
23773,0,0
23783,0,0
23793,0,0
23803,0,0
23813,0,0
23823,0,0
23833,0,0
23843,0,0
23853,0,0
23863,0,0
23873,0,0
23883,0,0
23893,0,0
23903,0,0
23913,0,0
23923,0,0
23933,0,0
23943,0,0
23953,0,0
23963,0,0
23973,0,0
23983,0,0
23993,0,0
24003,0,0
24013,0,0
24023,0,0
24033,0,0
24043,0,0
24053,0,0
24063,0,0
24073,0,0
24083,0,0
24093,0,0
24103,0,0
24113,0,0
24123,0,0
24133,0,0
24143,0,0
24153,0,0
24163,0,0
24173,0,0
24183,0,0
24193,0,0
24203,2,0
24213,0,0
24223,7,0
24233,16,0
24243,17,0
24253,23,0
24263,15,0
24273,0,0
24283,12,0
24293,6,0
24303,16,0
24313,13,0
24323,7,0
24333,11,0
24343,16,0
24353,0,0
24363,0,0
24373,0,0
24383,0,0
24393,16,0
24403,0,0
24413,10,0
24423,0,0
24433,0,0
24443,0,0
24453,0,0
24463,0,0
24473,0,0
24483,0,0
24493,0,0
24503,0,0
24513,0,0
24523,0,0
24533,0,0
24543,0,0
24553,0,0
24563,0,0
24573,0,0
24583,0,0
24593,0,0
24603,0,0
24613,0,0
24623,0,0
24633,0,0
24643,0,0
24653,0,0
24663,0,0
24673,0,0
24683,0,0
24693,0,0
24703,0,0
24713,0,0
