timestamp_ms,wire1_pin34,wire2_pin32
11785,0,0
11795,0,0
11805,0,0
11815,0,0
11825,0,0
11835,0,0
11845,0,0
11855,0,0
11865,0,0
11875,0,0
11885,0,0
11895,0,0
11905,0,0
11915,0,0
11925,0,0
11935,0,0
11945,0,0
11955,0,0
11965,0,0
11975,0,0
11985,0,0
11995,0,0
12005,0,0
12015,3,0
12025,0,0
12035,0,0
12045,0,0
12055,0,0
12065,0,0
12075,0,0
12085,0,0
12095,0,0
12105,7,0
12115,0,0
12125,0,0
12135,0,0
12145,0,0
12155,29,0
12165,0,0
12175,0,0
12185,0,0
12195,0,0
12205,0,0
12215,0,0
12225,0,0
12235,7,0
12245,24,0
12255,42,0
12265,81,0
12275,107,0
12285,128,0
12295,123,0
12305,231,0
12315,437,0
12325,359,0
12335,339,0
12345,269,0
12355,240,0
12365,240,0
12375,244,0
12385,199,0
12395,179,0
12405,197,0
12415,279,4
12425,336,0
12435,297,0
12445,318,16
12455,288,0
12465,459,0
12475,496,0
12485,511,21
12495,567,27
12505,573,0
12515,535,0
12525,602,0
12535,755,0
12545,879,25
12555,870,69
12565,816,90
12575,849,87
12585,858,62
12595,1021,38
12605,880,38
12615,806,16
12625,738,0
12635,880,11
12645,1015,29
12655,912,16
12665,787,38
12675,874,158
12685,899,235
12695,1497,229
12705,2162,181
12715,2474,176
12725,2549,204
12735,2690,205
12745,2535,182
12755,2260,150
12765,1933,111
12775,1643,87
12785,1328,62
12795,1101,27
12805,869,25
12815,719,3
12825,601,9
12835,467,0
12845,370,0
12855,294,0
12865,226,0
12875,176,5
12885,154,2
12895,172,13
12905,154,4
12915,128,2
12925,96,1
12935,144,7
12945,227,15
12955,215,16
12965,313,28
12975,304,48
12985,382,30
12995,387,14
13005,322,13
13015,261,13
13025,219,16
13035,176,0
13045,181,0
13055,192,0
13065,154,0
13075,139,0
13085,94,0
13095,57,0
13105,53,0
13115,32,0
13125,41,0
13135,32,0
13145,43,0
13155,29,0
13165,30,0
13175,30,0
13185,23,0
13195,21,0
13205,5,0
13215,9,0
13225,0,0
13235,0,0
13245,16,0
13255,9,0
13265,13,0
13275,14,0
13285,42,0
13295,43,0
13305,33,0
13315,16,0
13325,0,1
13335,7,6
13345,6,0
13355,0,0
13365,0,0
13375,0,0
13385,0,0
13395,0,0
13405,0,0
13415,0,0
13425,0,0
13435,0,0
13445,0,0
13455,0,0
13465,0,0
13475,0,0
13485,0,0
13495,0,0
13505,0,0
13515,0,0
13525,0,0
13535,0,0
13545,0,0
13555,0,0
13565,0,0
13575,0,0
13585,0,0
13595,0,0
13605,0,0
13615,0,0
13625,0,0
13635,0,0
13645,1584,0
13655,1279,0
13665,1087,0
13675,700,0
13685,253,0
13695,103,0
13705,16,0
13715,0,0
13725,0,0
13735,0,0
13745,3567,0
13755,3952,0
13765,3951,0
13775,3943,0
17284,0,0
17294,0,0
17304,0,0
17314,0,0
17324,0,0
17334,0,0
17344,0,0
17354,0,0
17364,0,0
17374,0,0
17384,0,0
17394,0,0
17404,0,0
17414,0,0
17424,0,0
17434,0,0
17444,0,0
17454,0,0
17464,0,0
17474,0,0
17484,0,0
17494,0,0
17504,0,0
17514,0,0
17524,0,0
17534,0,0
17544,0,0
17554,0,0
17564,0,0
17574,0,0
17584,0,0
17594,0,0
17604,0,0
17614,0,0
17624,0,0
17634,0,0
17644,0,0
17654,0,0
17664,48,0
17674,69,0
17684,27,0
17694,18,0
17704,54,0
17714,96,0
17724,86,0
17734,128,0
17744,126,0
17754,97,0
17764,90,0
17774,82,0
17784,89,0
17794,161,0
17804,176,0
17814,137,0
17824,143,0
17834,102,0
17844,97,0
17854,134,0
17864,143,0
17874,240,0
17884,277,0
17894,277,0
17904,288,0
17914,496,0
17924,464,0
17934,478,0
17944,432,0
17954,485,0
17964,594,0
17974,565,0
17984,591,0
17994,556,0
18004,595,0
18014,788,0
18024,927,0
18034,873,0
18044,762,0
18054,737,0
18064,945,0
18074,848,45
18084,892,121
18094,1207,176
18104,1008,203
18114,923,349
18124,837,466
18134,809,466
18144,753,464
18154,786,482
18164,841,398
18174,877,443
18184,758,355
18194,738,283
18204,685,217
18214,550,230
18224,437,215
18234,472,169
18244,401,117
18254,337,86
18264,277,49
18274,388,48
18284,548,39
18294,480,21
18304,383,7
18314,336,7
18324,291,0
18334,221,0
18344,170,4
18354,135,0
18364,131,0
18374,122,10
18384,114,0
