timestamp_ms,wire1_pin34,wire2_pin32
10522,0,0
10532,15,0
10542,0,0
10552,42,0
10562,0,0
10572,0,0
10582,0,0
10592,0,0
10602,0,0
10612,0,0
10622,0,0
10632,0,0
10642,0,0
10652,0,0
10662,0,0
10672,0,0
10682,0,0
10692,0,0
10702,0,0
10712,0,0
10722,0,0
10732,22,0
10742,32,0
10752,48,0
10762,75,0
10772,154,0
10782,123,0
10792,91,0
10802,86,0
10812,95,0
10822,141,0
10832,136,0
10842,144,0
10852,223,0
10862,272,0
10872,293,0
10882,464,0
10892,738,0
10902,690,0
10912,631,21
10922,743,0
10932,1005,0
10942,1949,0
10952,1921,128
10962,2030,144
10972,1969,119
10982,2027,151
10992,2091,159
11002,1931,287
11012,2683,432
11022,2950,398
11032,2559,337
11042,2283,304
11052,2064,294
11062,2078,309
11072,2235,279
11082,2462,231
11092,2356,318
11102,2059,268
11112,1909,230
11122,1649,181
11132,1535,154
11142,1381,144
11152,1227,107
11162,976,139
11172,814,95
11182,742,69
11192,719,48
11202,622,31
11212,535,17
11222,461,1
11232,475,0
11242,430,0
11252,336,0
11262,271,0
11272,231,0
11282,188,0
11292,176,0
11302,156,0
11312,117,0
11322,112,0
11332,97,0
11342,103,0
11352,84,0
11362,82,0
11372,64,0
11382,57,0
11392,32,0
11402,36,0
11412,24,0
11422,26,0
11432,18,0
11442,29,0
11452,23,0
11462,38,15
11472,16,5
11482,11,0
11492,10,0
11502,16,0
11512,18,0
11522,15,0
11532,79,0
11542,50,0
11552,65,0
11562,64,0
11572,48,0
11582,34,9
11592,20,11
11602,1,0
11612,1,0
11622,0,0
11632,7,5
11642,14,1
11652,0,0
11662,0,0
11672,0,0
11682,0,0
11692,0,0
11702,0,0
11712,9,0
11722,6,0
11732,22,0
11742,33,0
11752,64,0
11762,48,0
11772,53,0
11782,18,0
11792,52,0
11802,23,0
11812,43,0
11822,19,0
11832,0,0
11842,0,0
11852,0,0
11862,0,0
11872,0,0
11882,0,0
11892,0,0
11902,0,0
11912,0,0
11922,0,0
11932,0,0
11942,0,0
11952,0,0
11962,0,0
11972,0,0
11982,0,0
11992,0,0
12002,0,0
12012,48,0
12022,0,0
12032,0,0
12042,0,0
12052,0,0
12062,0,0
12072,0,0
12082,0,0
12092,0,0
12102,0,0
12112,0,0
12122,5,0
12132,10,0
12142,26,0
12152,15,0
12162,3,0
12172,13,0
12182,7,0
12192,0,0
12202,0,0
12212,0,0
12222,0,0
12232,0,0
12242,0,0
12252,0,0
12262,0,0
12272,0,0
12282,0,0
12292,0,0
12302,0,0
12312,0,0
12322,0,0
12332,0,0
12342,0,19
12352,0,0
12362,0,0
12372,0,0
12382,0,63
12392,0,16
12402,0,0
12412,0,0
12422,0,0
12432,0,0
12442,0,0
12452,0,0
12462,0,0
12472,0,0
12482,0,0
12492,0,0
12502,0,0
12512,0,0
16021,0,0
16031,0,0
16041,0,0
16051,0,0
16061,0,0
16071,0,0
16081,0,0
16091,0,0
16101,0,0
16111,0,0
16121,0,0
16131,10,0
16141,0,0
16151,0,0
16161,0,0
16171,0,0
16181,0,0
16191,0,0
16201,0,0
16211,0,0
16221,0,0
16231,0,0
16241,0,0
16251,5,0
16261,65,0
16271,46,0
16281,73,0
16291,112,0
16301,101,0
16311,123,0
16321,186,0
16331,163,0
16341,137,0
16351,240,0
16361,226,0
16371,212,0
16381,177,0
16391,144,0
16401,254,0
16411,274,0
16421,336,0
16431,436,0
16441,480,2
16451,593,0
16461,841,0
16471,935,0
16481,954,0
16491,2010,0
16501,2675,0
16511,2821,0
16521,2650,0
16531,2633,4
16541,2270,95
16551,2000,191
16561,2003,219
16571,2074,321
16581,1870,285
16591,1723,274
16601,1518,299
16611,1451,319
16621,1350,291
16631,1329,253
16641,1190,205
16651,1331,177
16661,1307,155
16671,1377,183
16681,1730,166
16691,1667,175
16701,1471,157
16711,1235,128
16721,1033,113
16731,898,97
16741,811,71
16751,708,34
16761,638,15
16771,505,0
16781,399,0
16791,351,0
16801,336,0
16811,272,0
16821,245,34
16831,207,0
16841,159,0
16851,118,0
16861,98,0
16871,79,0
16881,59,16
16891,50,22
16901,64,16
16911,69,16
16921,62,16
16931,50,0
16941,48,0
16951,33,81
16961,33,21
16971,42,48
16981,48,34
16991,34,27
17001,27,32
17011,31,70
17021,20,6
17031,11,0
17041,31,0
17051,21,12
17061,3,7
17071,5,7
17081,14,1
17091,6,5
17101,7,1
