timestamp_ms,wire1_pin34,wire2_pin32
365727,0,0
365737,0,0
365747,0,0
365757,0,0
365767,0,0
365777,0,0
365787,0,0
365797,0,0
365807,0,0
365817,0,0
365827,0,0
365837,0,0
365847,0,0
365857,0,0
365867,0,0
365877,0,0
365887,0,0
365897,0,0
365907,0,0
365917,0,0
365927,0,0
365937,0,0
365947,0,0
365957,0,0
365967,0,0
365977,0,0
365987,0,0
365997,0,0
366007,0,0
366017,0,0
366027,0,0
366037,0,0
366047,0,0
366057,0,0
366067,0,0
366077,0,0
366087,0,0
366097,0,0
366107,0,0
366117,0,0
366127,0,0
366137,0,0
366147,0,0
366157,0,0
366167,0,0
366177,0,0
366187,0,0
366197,0,0
366207,0,0
366217,0,0
366227,0,0
366237,0,0
366247,0,0
366257,0,0
366267,0,0
366277,0,0
366287,0,0
366297,0,0
366307,0,0
366317,0,0
366327,0,0
366337,0,0
366347,0,0
366357,0,0
366367,0,0
366377,0,0
366387,0,0
366397,0,0
366407,0,0
366417,0,0
366427,0,0
366437,0,0
366447,0,0
366457,0,0
366467,0,0
366477,0,0
366487,0,0
366497,0,0
366507,0,0
366517,0,0
366527,0,0
366537,0,0
366547,0,0
366557,0,0
366567,0,0
366577,0,0
366587,0,0
366597,0,0
366607,0,0
366617,0,0
366627,0,0
366637,0,0
366647,0,0
366657,0,0
366667,0,0
366677,0,0
366687,0,0
366697,0,0
366707,0,0
366717,0,0
366727,0,0
366737,0,0
366747,0,0
366757,0,0
366767,0,0
366777,0,0
366787,0,0
366797,0,0
366807,0,0
366817,0,0
366827,0,0
366837,0,0
366847,0,0
366857,0,0
366867,0,0
366877,0,0
366887,0,0
366897,0,0
366907,0,0
366917,0,0
366927,0,0
366937,0,0
366947,0,0
366957,0,0
366967,0,0
366977,0,0
366987,0,0
366997,0,0
367007,0,0
367017,0,0
367027,0,0
367037,0,0
367047,0,0
367057,0,0
367067,0,0
367077,0,0
367087,0,0
367097,0,0
367107,0,0
367117,0,0
367127,0,0
367137,0,0
367147,0,0
367157,0,0
367167,0,0
367177,0,0
367187,0,0
367197,0,0
367207,0,0
367217,0,0
367227,0,0
367237,0,0
367247,0,0
367257,0,0
367267,0,0
367277,0,0
367287,0,0
367297,0,0
367307,0,0
367317,0,0
367327,0,0
367337,0,0
367347,0,0
367357,0,0
367367,0,0
367377,0,0
367387,0,0
367397,0,0
367407,0,0
367417,0,0
367427,0,0
367437,0,0
367447,0,0
367457,0,0
367467,0,0
367477,0,0
367487,0,0
367497,0,0
367507,0,0
367517,0,0
367527,0,0
367537,0,0
367547,0,0
367557,0,0
367567,0,0
367577,0,0
367587,0,0
367597,0,0
367607,0,0
367617,0,0
367627,0,0
367637,0,0
367647,0,0
367657,0,0
367667,0,0
367677,0,0
367687,0,0
367697,0,0
367707,0,0
367717,0,0
372226,0,0
372236,0,0
372246,0,0
372256,0,0
372266,0,0
372276,0,0
372286,0,0
372296,0,0
372306,0,0
372316,0,0
372326,0,0
372336,0,0
372346,0,0
372356,0,0
372366,0,0
372376,0,0
372386,0,0
372396,0,0
372406,0,0
372416,0,0
372426,0,0
372436,0,0
372446,0,0
372456,0,0
372466,0,0
372476,4,0
372486,4,0
372496,1,0
372506,9,0
372516,31,1
372526,32,15
372536,42,58
372546,48,83
372556,62,101
372566,116,155
372576,170,149
372586,177,166
372596,169,141
372606,219,135
372616,269,176
372626,315,207
372636,311,240
372646,307,244
372656,299,226
372666,301,239
372676,289,225
372686,265,224
372696,470,231
372706,565,192
372716,577,210
372726,449,209
372736,389,230
372746,408,192
372756,430,177
372766,403,210
372776,461,265
372786,573,247
372796,709,245
372806,783,245
372816,851,238
372826,794,220
372836,816,245
372846,682,227
372856,736,188
372866,610,239
372876,624,208
372886,714,196
372896,736,213
372906,702,215
372916,834,218
372926,993,186
372936,958,171
