timestamp_ms,wire1_pin34,wire2_pin32
1022974,112,102
1022984,0,104
1022994,141,90
1023004,0,82
1023014,127,86
1023024,0,80
1023034,126,87
1023044,0,85
1023054,132,76
1023064,0,77
1023074,133,80
1023084,0,82
1023094,135,79
1023104,0,80
1023114,130,79
1023124,0,80
1023134,127,76
1023144,0,69
1023154,132,69
1023164,0,66
1023174,131,68
1023184,0,67
1023194,132,77
1023204,0,80
1023214,133,62
1023224,0,64
1023234,130,64
1023244,0,68
1023254,133,73
1023264,0,73
1023274,133,67
1023284,0,67
1023294,130,54
1023304,0,64
1023314,141,66
1023324,0,57
1023334,138,66
1023344,0,55
1023354,137,62
1023364,0,63
1023374,127,64
1023384,0,63
1023394,134,45
1023404,0,71
1023414,134,59
1023424,0,67
1023434,134,78
1023444,0,62
1023454,129,55
1023464,0,11
1023474,138,63
1023484,0,70
1023494,135,64
1023504,0,52
1023514,133,67
1023524,0,64
1023534,135,52
1023544,0,64
1023554,134,64
1023564,0,68
1023574,130,80
1023584,0,25
1023594,138,69
1023604,0,55
1023614,135,52
1023624,0,51
1023634,128,67
1023644,0,43
1023654,129,34
1023664,0,34
1023674,126,32
1023684,0,26
1023694,138,42
1023704,0,48
1023714,139,56
1023724,0,80
1023734,132,42
1023744,0,53
1023754,128,71
1023764,0,52
1023774,138,16
1023784,0,74
1023794,142,86
1023804,0,75
1023814,139,68
1023824,0,80
1023834,139,119
1023844,0,80
1023854,143,67
1023864,0,66
1023874,142,77
1023884,0,79
1023894,135,90
1023904,0,79
1023914,143,78
1023924,0,16
1023934,128,67
1023944,0,59
1023954,138,47
1023964,0,50
1023974,144,80
1023984,0,99
1023994,144,95
1024004,0,83
1024014,144,104
1024024,0,99
1024034,142,85
1024044,0,69
1024054,137,65
1024064,0,72
1024074,138,67
1024084,0,53
1024094,149,107
1024104,0,111
1024114,146,112
1024124,0,79
1024134,147,117
1024144,0,103
1024154,144,108
1024164,0,91
1024174,153,105
1024184,0,94
1024194,154,91
1024204,0,84
1024214,145,79
1024224,0,103
1024234,151,98
1024244,0,103
1024254,158,107
1024264,0,132
1024274,153,133
1024284,0,133
1024294,157,126
1024304,0,112
1024314,145,111
1024324,0,128
1024334,158,130
1024344,0,112
1024354,144,111
1024364,0,108
1024374,154,132
1024384,0,127
1024394,150,144
1024404,0,158
1024414,153,169
1024424,0,169
1024434,151,154
1024444,0,170
1024454,156,169
1024464,0,187
1024474,159,181
1024484,0,208
1024494,154,187
1024504,0,150
1024514,144,144
1024524,0,125
1024534,155,133
1024544,0,147
1024554,158,138
1024564,0,134
1024574,155,139
1024584,0,131
1024594,153,130
1024604,0,123
1024614,145,114
1024624,0,92
1024634,151,80
1024644,0,81
1024654,154,77
1024664,0,51
1024674,145,53
1024684,0,52
1024694,152,26
1024704,0,16
1024714,154,48
1024724,0,43
1024734,144,39
1024744,0,36
1024754,147,51
1024764,0,42
1024774,144,41
1024784,0,39
1024794,154,54
1024804,0,46
1024814,149,42
1024824,0,37
1024834,149,35
1024844,0,41
1024854,158,49
1024864,0,48
1024874,153,65
1024884,0,47
1024894,154,52
1024904,0,32
1024914,157,66
1024924,0,84
1024934,161,94
1024944,0,68
1024954,161,63
1024964,0,57
1029473,114,41
1029483,6,34
1029493,107,50
1029503,2,58
1029513,111,42
1029523,1,38
1029533,114,48
1029543,15,54
1029553,118,51
1029563,7,66
1029573,115,65
1029583,3,61
1029593,118,74
1029603,16,73
1029613,114,97
1029623,18,96
1029633,117,86
1029643,16,79
1029653,114,76
1029663,16,81
1029673,116,84
1029683,14,116
1029693,118,113
1029703,16,106
1029713,113,94
1029723,11,95
1029733,105,86
1029743,16,80
1029753,109,75
1029763,9,68
1029773,113,77
1029783,16,48
1029793,102,54
1029803,12,49
1029813,102,48
1029823,0,48
1029833,102,45
1029843,12,48
1029853,107,51
1029863,13,38
1029873,111,48
1029883,5,59
1029893,105,61
1029903,16,67
1029913,112,70
1029923,19,67
1029933,109,55
1029943,16,61
1029953,112,64
1029963,10,50
1029973,111,58
1029983,16,51
1029993,112,80
1030003,17,61
1030013,103,61
1030023,6,61
1030033,98,69
1030043,16,64
1030053,112,73
1030063,16,75
1030073,110,80
1030083,17,73
1030093,102,80
1030103,12,71
1030113,112,80
1030123,18,81
1030133,100,90
1030143,16,80
1030153,97,80
1030163,16,68
1030173,112,77
1030183,7,79
1030193,96,98
1030203,7,74
1030213,106,80
1030223,16,78
1030233,99,91
1030243,16,78
1030253,97,80
1030263,16,71
1030273,112,77
1030283,20,71
1030293,110,79
1030303,14,80
1030313,110,80
1030323,18,64
1030333,109,60
1030343,14,65
1030353,106,79
1030363,17,65
1030373,99,69
1030383,16,75
1030393,110,81
1030403,21,71
1030413,108,69
1030423,17,69
1030433,100,80
1030443,13,62
1030453,110,73
1030463,24,57
1030473,107,64
1030483,11,64
1030493,109,75
1030503,22,61
1030513,109,60
1030523,13,48
1030533,94,60
1030543,17,67
1030553,110,65
1030563,14,70
1030573,105,76
1030583,15,64
1030593,102,73
1030603,20,61
1030613,94,64
1030623,15,51
1030633,100,58
1030643,11,53
1030653,100,54
1030663,18,55
1030673,100,53
1030683,15,51
1030693,101,53
1030703,18,47
1030713,103,61
1030723,13,63
1030733,89,66
1030743,19,55
1030753,94,60
1030763,14,60
1030773,103,69
1030783,23,67
1030793,93,75
1030803,19,64
1030813,94,73
1030823,16,61
1030833,99,64
1030843,27,60
1030853,101,65
1030863,16,68
1030873,99,65
1030883,16,64
1030893,103,84
1030903,26,68
1030913,92,64
1030923,26,79
1030933,100,75
1030943,25,80
1030953,103,69
1030963,31,50
1030973,94,62
1030983,21,51
1030993,101,62
1031003,17,71
1031013,99,80
1031023,29,11
1031033,97,70
1031043,19,77
1031053,86,66
1031063,25,64
1031073,99,58
1031083,18,48
1031093,93,48
1031103,22,47
1031113,83,59
1031123,23,48
1031133,93,61
1031143,17,62
1031153,81,58
1031163,22,63
1031173,85,59
1031183,25,61
1031193,96,56
1031203,20,52
1031213,97,59
1031223,27,61
1031233,83,58
1031243,26,63
1031253,84,64
1031263,24,60
1031273,94,64
1031283,30,63
1031293,96,66
1031303,30,55
1031313,94,64
1031323,28,53
1031333,82,62
1031343,21,62
1031353,95,73
1031363,20,62
1031373,94,64
1031383,21,58
1031393,96,69
1031403,32,57
1031413,91,64
1031423,31,55
1031433,80,71
1031443,25,50
1031453,94,65
1031463,33,55
1035972,28,80
1035982,107,77
1035992,16,73
1036002,97,64
1036012,17,76
1036022,97,70
1036032,22,77
1036042,111,66
1036052,25,78
1036062,106,66
1036072,16,64
1036082,97,60
1036092,13,67
1036102,106,59
1036112,22,77
1036122,105,70
1036132,21,74
1036142,112,66
1036152,16,75
1036162,108,63
1036172,16,75
1036182,98,78
1036192,20,80
1036202,106,58
1036212,17,59
1036222,111,57
1036232,17,75
1036242,112,74
1036252,16,68
1036262,110,74
1036272,10,64
1036282,111,63
1036292,13,70
1036302,111,73
1036312,9,75
1036322,111,66
1036332,15,68
1036342,107,66
1036352,10,63
1036362,103,62
1036372,16,76
1036382,101,80
1036392,16,70
1036402,112,64
1036412,16,69
1036422,109,66
1036432,12,61
1036442,106,71
1036452,16,73
1036462,113,75
1036472,15,73
1036482,112,64
1036492,16,64
1036502,111,64
1036512,14,70
1036522,112,64
1036532,7,70
1036542,112,64
1036552,15,79
1036562,107,66
1036572,6,64
1036582,109,59
1036592,14,69
1036602,112,50
1036612,12,65
1036622,112,65
1036632,13,67
1036642,115,66
1036652,16,67
1036662,117,61
1036672,5,64
1036682,113,65
1036692,12,52
1036702,112,51
1036712,10,48
1036722,113,42
1036732,3,50
1036742,115,61
1036752,12,64
1036762,106,69
1036772,1,58
1036782,120,70
1036792,3,82
1036802,117,87
1036812,9,79
1036822,115,64
1036832,9,65
1036842,113,64
1036852,10,71
1036862,115,62
1036872,7,75
1036882,118,58
1036892,11,80
1036902,112,84
1036912,11,94
1036922,113,67
1036932,11,68
1036942,116,63
1036952,7,61
1036962,117,76
1036972,6,85
1036982,121,80
1036992,12,79
1037002,114,80
1037012,0,80
1037022,117,90
1037032,0,89
1037042,112,89
1037052,12,103
1037062,121,85
1037072,0,85
1037082,121,83
1037092,0,66
1037102,119,70
1037112,6,76
1037122,117,74
1037132,0,65
1037142,120,55
1037152,6,61
1037162,116,58
1037172,3,69
1037182,118,66
1037192,0,73
1037202,112,70
1037212,0,73
1037222,122,73
1037232,0,80
1037242,124,109
1037252,0,65
1037262,122,91
1037272,3,102
1037282,114,95
1037292,0,82
1037302,126,80
1037312,5,96
1037322,128,82
1037332,1,80
1037342,125,67
1037352,1,75
1037362,124,72
1037372,0,74
1037382,123,64
1037392,0,62
1037402,112,48
1037412,0,56
1037422,124,63
1037432,0,66
1037442,117,78
1037452,0,83
1037462,125,80
1037472,1,77
1037482,128,94
1037492,0,93
1037502,119,83
1037512,0,80
1037522,126,78
1037532,0,71
1037542,127,67
1037552,0,69
1037562,125,63
1037572,0,64
1037582,126,80
1037592,0,64
1037602,123,54
1037612,0,67
1037622,127,64
1037632,0,67
1037642,125,67
1037652,0,76
1037662,121,83
1037672,0,76
1037682,123,70
1037692,0,62
1037702,128,47
1037712,0,22
1037722,118,64
1037732,0,25
1037742,128,80
1037752,0,81
1037762,124,82
1037772,0,78
1037782,120,78
1037792,0,78
1037802,128,78
1037812,0,67
1037822,129,94
1037832,0,64
1037842,128,75
1037852,0,80
1037862,128,80
1037872,0,80
1037882,129,95
1037892,0,68
1037902,127,80
1037912,0,74
1037922,131,74
1037932,0,64
1037942,119,66
1037952,0,73
1037962,122,7
1042471,0,81
1042481,87,102
1042491,16,85
1042501,86,87
1042511,16,79
1042521,88,80
1042531,16,80
1042541,89,85
1042551,16,90
1042561,90,93
1042571,25,83
1042581,91,83
1042591,22,80
1042601,100,77
1042611,25,81
1042621,87,87
1042631,30,90
1042641,87,93
1042651,29,91
1042661,91,92
1042671,32,86
1042681,100,82
1042691,27,85
1042701,93,102
1042711,36,94
1042721,90,97
1042731,35,99
1042741,99,90
1042751,33,84
1042761,86,94
1042771,21,86
1042781,96,89
1042791,23,80
1042801,82,87
1042811,31,89
1042821,82,96
1042831,22,98
1042841,82,98
1042851,31,89
1042861,96,96
1042871,34,89
1042881,81,83
1042891,19,79
1042901,81,80
1042911,33,97
1042921,94,93
1042931,36,87
1042941,95,93
1042951,26,75
1042961,89,71
1042971,28,77
1042981,82,86
1042991,32,83
1043001,80,103
1043011,36,80
1043021,91,85
1043031,38,75
1043041,91,84
1043051,30,97
1043061,91,112
1043071,29,93
1043081,83,109
1043091,43,123
1043101,95,126
1043111,43,112
1043121,80,101
1043131,30,98
1043141,90,74
1043151,38,75
1043161,87,80
1043171,31,66
1043181,80,80
1043191,38,69
1043201,86,80
1043211,43,103
1043221,80,115
1043231,38,98
1043241,87,111
1043251,47,111
1043261,95,134
1043271,38,123
1043281,82,141
1043291,38,131
1043301,86,106
1043311,36,89
1043321,78,100
1043331,38,86
1043341,87,80
1043351,42,98
1043361,87,87
1043371,48,83
1043381,88,85
1043391,37,70
1043401,87,90
1043411,48,79
1043421,78,79
1043431,36,65
1043441,80,71
1043451,46,61
1043461,83,74
1043471,37,70
1043481,83,89
1043491,47,80
1043501,82,89
1043511,34,81
1043521,82,97
1043531,48,90
1043541,80,90
1043551,37,83
1043561,85,90
1043571,48,95
1043581,75,110
1043591,38,93
1043601,85,107
1043611,48,99
1043621,82,112
1043631,48,95
1043641,81,112
1043651,48,93
1043661,80,110
1043671,54,100
1043681,75,93
1043691,49,81
1043701,77,95
1043711,48,111
1043721,71,99
1043731,47,87
1043741,80,110
1043751,41,101
1043761,74,103
1043771,48,112
1043781,80,112
1043791,54,112
1043801,75,107
1043811,48,109
1043821,70,107
1043831,48,105
1043841,82,89
1043851,55,80
1043861,80,92
1043871,50,71
1043881,69,94
1043891,48,91
1043901,80,117
1043911,57,107
1043921,80,108
1043931,54,117
1043941,77,125
1043951,54,121
1043961,81,118
1043971,58,112
1043981,72,117
1043991,54,111
1044001,79,117
1044011,53,107
1044021,76,112
1044031,57,98
1044041,77,105
1044051,64,127
1044061,66,114
1044071,64,109
1044081,78,117
1044091,59,113
1044101,78,114
1044111,60,112
1044121,76,111
1044131,59,99
1044141,76,93
1044151,57,96
1044161,74,137
1044171,59,102
1044181,64,112
1044191,64,105
1044201,71,102
1044211,62,110
1044221,73,129
1044231,67,99
1044241,73,113
1044251,64,109
1044261,74,102
1044271,74,111
1044281,74,125
1044291,78,122
1044301,75,144
1044311,74,122
1044321,70,123
1044331,71,121
1044341,66,127
1044351,64,112
1044361,67,105
1044371,75,96
1044381,66,112
1044391,77,105
1044401,62,112
1044411,69,83
1044421,69,109
1044431,70,103
1044441,66,111
1044451,59,112
1044461,59,84
1048970,111,65
1048980,0,64
1048990,117,67
1049000,0,64
1049010,112,48
1049020,0,58
1049030,123,69
1049040,0,70
1049050,121,66
1049060,0,67
1049070,116,79
1049080,0,76
1049090,119,79
1049100,0,59
1049110,119,84
1049120,0,66
1049130,119,74
1049140,0,68
1049150,117,78
1049160,0,65
1049170,122,73
1049180,0,64
1049190,112,77
1049200,0,75
1049210,117,74
1049220,0,64
1049230,109,62
1049240,0,64
1049250,115,66
1049260,0,66
1049270,107,73
1049280,0,63
1049290,110,60
1049300,0,65
1049310,108,75
1049320,0,74
1049330,104,80
1049340,0,58
1049350,100,61
1049360,0,43
1049370,112,48
1049380,0,55
1049390,107,69
1049400,0,64
1049410,109,78
1049420,0,74
1049430,107,80
1049440,0,51
1049450,113,80
1049460,1,80
1049470,113,81
1049480,2,94
1049490,105,80
1049500,0,80
1049510,107,81
1049520,0,80
1049530,100,72
1049540,0,69
1049550,112,76
1049560,4,78
1049570,113,83
1049580,3,90
1049590,113,87
1049600,0,99
1049610,113,92
1049620,2,82
1049630,112,85
1049640,5,84
1049650,101,82
1049660,0,57
1049670,111,66
1049680,0,52
1049690,112,81
1049700,0,59
1049710,112,63
1049720,0,55
1049730,99,64
1049740,0,64
1049750,102,77
1049760,4,98
1049770,112,103
1049780,5,93
1049790,101,82
1049800,0,64
1049810,101,64
1049820,1,73
1049830,106,93
1049840,4,95
1049850,106,94
1049860,0,75
1049870,101,74
1049880,0,66
1049890,93,71
1049900,1,74
1049910,109,80
1049920,7,64
1049930,107,63
1049940,5,61
1049950,112,60
1049960,0,59
1049970,108,54
1049980,0,59
1049990,98,51
1050000,0,49
1050010,103,59
1050020,0,57
1050030,102,53
1050040,7,57
1050050,102,77
1050060,9,70
1050070,102,78
1050080,1,64
1050090,102,66
1050100,0,55
1050110,99,66
1050120,7,26
1050130,91,51
1050140,7,48
1050150,102,49
1050160,0,49
1050170,90,55
1050180,11,48
1050190,102,61
1050200,12,65
1050210,95,66
1050220,11,65
1050230,92,78
1050240,11,74
1050250,99,55
1050260,3,57
1050270,89,58
1050280,15,53
1050290,90,59
1050300,3,64
1050310,99,63
1050320,6,55
1050330,89,64
1050340,3,51
1050350,87,67
