timestamp_ms,wire1_pin34,wire2_pin32
13968,0,0
13978,115,0
13988,0,0
13998,111,0
14008,0,0
14018,118,0
14028,0,0
14038,117,0
14048,0,0
14058,114,0
14068,0,0
14078,112,0
14088,0,0
14098,112,0
14108,0,0
14118,103,0
14128,0,0
14138,109,0
14148,0,0
14158,113,0
14168,0,0
14178,110,0
14188,0,0
14198,112,0
14208,0,0
14218,103,0
14228,0,0
14238,112,0
14248,0,0
14258,103,0
14268,0,0
14278,97,0
14288,0,0
14298,110,0
14308,0,0
14318,101,0
14328,0,0
14338,107,0
14348,0,0
14358,109,0
14368,0,0
14378,93,0
14388,0,0
14398,97,0
14408,0,0
14418,103,0
14428,0,0
14438,109,0
14448,0,0
14458,106,0
14468,0,0
14478,91,0
14488,0,0
14498,107,0
14508,2,0
14518,103,9
14528,3,0
14538,104,0
14548,2,0
14558,102,0
14568,0,0
14578,103,0
14588,3,0
14598,101,0
14608,0,0
14618,96,0
14628,1,0
14638,87,0
14648,2,0
14658,101,0
14668,6,0
14678,85,0
14688,0,0
14698,89,0
14708,6,7
14718,87,7
14728,0,0
14738,80,0
14748,7,4
14758,86,5
14768,13,0
14778,99,0
14788,5,0
14798,81,0
14808,9,0
14818,94,0
14828,3,0
14838,89,0
14848,7,0
14858,81,0
14868,2,0
14878,80,4
14888,11,2
14898,89,0
14908,2,4
14918,79,0
14928,2,0
14938,80,0
14948,0,0
14958,84,0
14968,5,0
14978,75,0
14988,14,0
14998,75,0
15008,15,0
15018,75,0
15028,16,16
15038,86,34
15048,14,29
15058,80,34
15068,19,48
15078,90,48
15088,25,61
15098,85,55
15108,23,52
15118,85,48
15128,17,40
15138,83,37
15148,23,13
15158,71,22
15168,19,26
15178,79,35
15188,26,71
15198,79,49
15208,16,29
15218,80,25
15228,22,62
15238,78,75
15248,19,75
15258,80,80
15268,29,63
15278,80,90
15288,26,80
15298,70,80
15308,31,82
15318,73,112
15328,30,82
15338,80,64
15348,31,47
15358,78,32
15368,21,38
15378,67,33
15388,29,35
15398,79,48
15408,22,51
15418,80,70
15428,35,73
15438,80,83
15448,34,64
15458,75,78
15468,35,80
15478,69,49
15488,32,35
15498,79,62
15508,32,44
15518,67,53
15528,38,36
15538,78,41
15548,41,48
15558,79,46
15568,37,25
15578,74,37
15588,30,33
15598,64,26
15608,38,31
15618,64,26
15628,39,38
15638,64,46
15648,37,37
15658,62,34
15668,31,21
15678,61,37
15688,35,34
15698,69,27
15708,34,19
15718,70,12
15728,36,27
15738,69,1
15748,35,16
15758,61,19
15768,32,45
15778,67,45
15788,34,26
15798,62,32
15808,45,32
15818,64,33
15828,42,18
15838,54,16
15848,44,15
15858,64,2
15868,46,5
15878,62,0
15888,46,0
15898,64,0
15908,46,0
15918,61,0
15928,44,0
15938,55,0
15948,48,0
15958,61,3
20467,71,3
20477,16,0
20487,70,0
20497,29,0
20507,74,0
20517,30,5
20527,70,11
20537,31,0
20547,71,10
20557,31,0
20567,64,6
20577,30,0
20587,59,7
20597,19,6
20607,60,3
20617,32,5
20627,65,5
20637,32,0
20647,66,2
20657,39,0
20667,65,0
20677,34,0
20687,59,1
20697,36,0
20707,57,0
20717,29,0
20727,65,0
20737,37,0
20747,65,0
20757,28,0
20767,64,0
20777,38,0
20787,53,11
20797,32,0
20807,51,14
20817,42,44
20827,66,46
20837,38,64
20847,64,77
20857,38,82
20867,66,106
20877,46,46
20887,53,48
20897,29,11
20907,64,12
20917,46,12
20927,61,27
20937,42,6
20947,62,20
20957,47,0
20967,61,1
20977,46,0
20987,64,0
20997,48,38
21007,51,45
21017,49,71
21027,61,61
21037,55,88
21047,54,85
21057,52,107
21067,51,49
21077,54,55
21087,59,48
21097,49,42
21107,57,48
21117,51,48
21127,48,46
21137,48,115
21147,48,128
21157,56,107
21167,58,85
21177,60,83
21187,48,61
21197,57,80
21207,54,87
21217,55,79
21227,51,77
21237,52,91
21247,59,106
21257,54,105
21267,50,112
21277,64,127
21287,55,145
21297,62,119
21307,62,154
21317,66,155
21327,50,145
21337,65,149
21347,61,136
21357,64,95
21367,53,66
21377,59,64
21387,42,58
21397,49,61
21407,51,61
21417,59,63
21427,54,89
