timestamp_ms,wire1_pin34,wire2_pin32
12833,0,0
12843,0,0
12853,0,0
12863,0,0
12873,0,0
12883,0,0
12893,0,0
12903,0,0
12913,0,0
12923,0,0
12933,0,0
12943,0,0
12953,0,0
12963,0,0
12973,0,0
12983,0,0
12993,0,0
13003,0,0
13013,0,0
13023,0,0
13033,0,0
13043,0,0
13053,0,0
13063,0,0
13073,0,0
13083,0,0
13093,0,0
13103,0,0
13113,0,0
13123,0,0
13133,0,0
13143,0,0
13153,0,0
13163,0,0
13173,0,0
13183,0,0
13193,0,15
13203,0,46
13213,0,164
13223,0,330
13233,0,322
13243,0,434
13253,0,608
13263,0,475
13273,0,578
13283,0,689
13293,0,646
13303,0,567
13313,0,623
13323,0,702
13333,0,587
13343,0,631
13353,0,624
13363,0,576
13373,0,611
13383,0,623
13393,0,592
13403,82,610
13413,2039,693
13423,2555,685
13433,2831,643
13443,2704,741
13453,3937,816
13463,3936,943
13473,3936,818
13483,3926,1134
13493,3647,979
13503,3097,1069
13513,3937,1041
13523,3930,902
13533,3938,944
13543,3926,831
13553,3571,765
13563,2803,735
13573,2247,705
13583,1779,877
13593,1392,807
13603,1088,789
13613,834,819
13623,654,829
13633,495,790
13643,373,730
13653,286,698
13663,205,688
13673,139,733
13683,93,738
13693,57,621
13703,25,599
13713,3,543
13723,1220,442
13733,1357,352
13743,1139,278
13753,895,219
13763,697,176
13773,544,146
13783,1151,113
13793,1403,82
13803,2656,70
13813,2158,73
13823,1524,64
13833,1155,51
13843,3914,65
13853,3934,48
13863,3439,52
13873,2797,41
13883,2245,36
13893,1777,21
13903,1397,16
13913,1091,3
13923,848,0
13933,655,0
13943,496,0
13953,382,0
13963,278,0
13973,206,0
13983,145,0
13993,95,0
14003,56,0
14013,27,0
14023,1,0
14033,0,0
14043,0,0
14053,0,0
14063,0,0
14073,0,0
14083,0,0
14093,0,0
14103,0,0
14113,0,0
14123,0,0
14133,0,0
14143,0,0
14153,0,0
14163,0,0
14173,0,0
14183,0,0
14193,0,0
14203,0,0
14213,0,0
14223,0,0
14233,0,0
14243,0,0
14253,0,0
14263,0,0
14273,0,0
14283,0,0
14293,0,0
14303,0,0
14313,0,0
14323,0,0
14333,0,0
14343,0,0
14353,0,0
14363,0,0
14373,0,0
14383,0,0
14393,0,0
14403,0,0
14413,0,0
14423,0,0
14433,0,0
14443,0,0
14453,0,0
14463,0,0
14473,0,0
14483,0,0
14493,0,0
14503,0,0
14513,0,0
14523,0,0
14533,0,0
14543,0,0
14553,0,0
14563,0,0
14573,0,0
14583,0,0
14593,0,0
14603,0,0
14613,0,0
14623,0,0
14633,0,0
14643,0,0
14653,0,0
14663,0,0
14673,0,0
14683,0,0
14693,0,0
14703,0,0
14713,0,0
14723,0,0
14733,0,0
14743,0,0
14753,0,0
14763,0,0
14773,0,0
14783,0,0
14793,0,0
14803,0,0
14813,0,0
14823,0,0
19332,0,0
19342,0,0
19352,0,0
19362,0,0
19372,0,0
19382,0,22
19392,0,0
19402,0,0
19412,0,0
19422,0,0
19432,0,0
19442,0,0
19452,0,0
19462,0,0
19472,0,0
19482,0,0
19492,0,0
19502,0,0
19512,0,0
19522,0,0
19532,0,0
19542,0,0
19552,0,0
19562,0,0
19572,0,0
19582,0,0
19592,0,0
19602,0,0
19612,0,0
19622,0,0
19632,0,0
19642,0,0
19652,0,0
19662,0,0
19672,0,19
19682,0,45
19692,0,217
19702,0,363
19712,0,403
19722,0,384
19732,0,563
19742,0,660
19752,0,709
19762,0,681
19772,0,677
19782,666,749
19792,3471,789
19802,3947,656
19812,3943,719
19822,3937,687
19832,3937,679
19842,3940,698
19852,3934,691
19862,3937,793
19872,3946,833
19882,3942,874
19892,3936,914
19902,3935,1109
19912,3938,1133
19922,3937,1091
19932,3932,1039
19942,3791,1125
19952,3927,1119
19962,3722,1058
19972,3715,951
19982,3936,802
19992,3939,847
20002,3942,744
20012,3936,647
20022,3455,560
20032,2727,479
20042,2176,384
20052,1717,323
20062,1421,257
20072,3947,209
20082,3934,190
20092,3920,177
20102,2128,189
20112,1497,150
20122,1134,137
20132,344,106
20142,59,78
20152,0,75
20162,0,67
20172,0,64
20182,0,49
20192,0,41
20202,1484,47
20212,2736,57
20222,2316,66
20232,2019,54
20242,1697,50
20252,1379,41
20262,1089,37
20272,848,17
20282,645,16
20292,496,13
20302,373,0
20312,283,0
20322,208,0
20332,150,0
20342,99,0
20352,56,0
20362,33,0
20372,1,0
20382,0,0
20392,0,0
20402,0,0
20412,0,0
20422,0,0
20432,0,0
20442,0,0
20452,0,0
20462,0,0
20472,0,0
20482,0,0
20492,0,0
20502,0,0
20512,0,0
20522,0,0
20532,0,0
20542,0,0
20552,0,0
20562,0,0
20572,0,0
20582,0,0
20592,0,0
20602,0,0
20612,0,0
20622,0,0
20632,0,0
20642,0,0
20652,0,0
20662,0,0
20672,0,0
20682,0,0
20692,0,0
20702,0,0
20712,0,0
20722,0,0
20732,0,0
20742,0,0
20752,0,0
20762,0,0
20772,0,0
20782,0,0
20792,0,0
20802,0,0
20812,0,0
20822,0,0
20832,0,0
20842,0,0
20852,0,0
20862,0,0
20872,0,0
20882,0,30
20892,0,0
20902,0,0
20912,0,0
20922,0,0
20932,0,0
20942,0,0
20952,0,0
20962,0,0
20972,0,0
20982,0,0
20992,0,0
21002,0,0
21012,0,0
21022,0,0
21032,0,0
21042,0,0
21052,0,0
21062,0,0
21072,0,0
21082,0,0
21092,0,0
21102,0,0
21112,0,0
21122,0,0
21132,0,0
21142,0,0
21152,0,0
21162,0,0
21172,0,0
21182,0,0
21192,0,0
21202,0,0
21212,0,0
21222,0,0
21232,0,0
21242,0,0
21252,0,0
21262,0,0
21272,0,0
21282,0,0
21292,0,0
21302,0,0
21312,0,0
21322,0,0
25831,0,0
25841,0,0
25851,0,0
25861,0,0
25871,0,0
25881,0,0
25891,0,0
25901,0,0
25911,0,0
25921,0,0
25931,0,0
25941,0,0
25951,0,0
25961,0,0
25971,0,0
25981,0,0
25991,0,0
26001,0,0
26011,0,0
26021,0,0
26031,0,0
26041,0,0
26051,0,0
26061,0,0
26071,0,0
26081,0,0
26091,0,0
26101,0,0
26111,0,0
26121,0,0
26131,0,0
26141,0,0
26151,0,0
26161,0,0
26171,0,14
26181,0,70
26191,0,110
26201,0,151
26211,0,174
26221,0,347
26231,0,403
26241,0,461
26251,0,475
26261,771,523
26271,1455,496
26281,3942,563
26291,3925,497
26301,3933,447
26311,3714,450
26321,3930,464
26331,3876,399
26341,3093,505
26351,2457,449
26361,1968,464
26371,1575,466
26381,1230,400
26391,959,377
26401,3807,452
26411,3947,539
26421,3927,471
26431,3937,522
26441,3325,577
26451,2674,614
26461,2639,646
26471,2318,622
26481,1893,574
26491,1485,511
26501,1186,452
26511,902,455
26521,688,382
26531,538,313
26541,407,259
26551,302,227
26561,231,230
26571,161,160
26581,112,123
26591,68,85
26601,37,70
26611,16,48
26621,663,41
26631,1462,47
26641,1573,35
26651,1180,26
26661,431,9
26671,77,1
26681,0,5
26691,0,0
26701,0,0
26711,2315,0
26721,2277,16
26731,1983,23
26741,1705,12
26751,1396,3
26761,1115,0
26771,863,0
26781,670,0
26791,522,0
26801,390,0
26811,294,0
26821,212,0
26831,146,0
26841,98,0
26851,61,0
26861,32,0
26871,5,0
26881,0,0
26891,0,0
26901,0,0
26911,0,0
26921,0,0
26931,0,0
26941,0,0
26951,0,0
26961,0,0
26971,0,0
26981,0,0
26991,0,0
27001,0,0
27011,0,0
27021,0,0
27031,0,0
27041,0,0
27051,0,0
27061,0,0
27071,0,0
27081,0,0
27091,0,0
27101,0,0
27111,0,0
27121,0,0
27131,0,0
27141,0,0
27151,0,0
27161,0,0
27171,0,0
27181,0,0
27191,0,0
27201,0,0
27211,0,0
27221,0,0
27231,0,0
27241,0,0
27251,0,0
27261,0,0
27271,0,0
27281,0,0
27291,0,0
27301,0,0
27311,0,0
27321,0,0
27331,0,0
27341,0,0
27351,0,0
27361,0,0
27371,0,0
27381,0,0
27391,0,0
27401,0,0
27411,0,0
27421,0,0
27431,0,0
27441,0,0
27451,0,0
27461,0,0
27471,0,0
27481,0,0
27491,0,0
27501,0,0
27511,0,0
27521,0,0
27531,0,0
27541,0,0
27551,0,0
27561,0,0
27571,0,0
27581,0,0
27591,0,0
27601,0,0
27611,0,0
27621,0,0
27631,0,0
27641,0,0
27651,0,0
27661,0,0
27671,0,0
27681,0,0
27691,0,0
27701,0,0
27711,0,0
27721,0,0
27731,0,0
27741,0,0
27751,0,0
27761,0,0
27771,0,0
27781,0,0
27791,0,0
27801,0,0
27811,0,0
27821,0,0
32330,0,0
32340,0,0
32350,0,0
32360,0,0
32370,0,0
32380,0,0
32390,0,0
32400,0,0
32410,0,0
32420,0,0
32430,0,0
32440,0,0
32450,0,0
32460,0,0
32470,0,0
32480,0,0
32490,0,0
32500,0,0
32510,0,0
32520,0,0
32530,0,0
32540,0,0
32550,0,0
32560,0,0
32570,0,0
32580,0,0
32590,0,13
32600,0,0
32610,0,0
32620,0,0
32630,0,0
32640,0,0
32650,0,0
32660,0,0
32670,0,0
32680,0,0
32690,0,0
32700,0,0
32710,0,0
32720,0,0
32730,0,0
32740,0,0
32750,0,0
32760,0,0
32770,0,0
32780,0,0
32790,0,0
32800,0,0
32810,0,0
32820,0,0
32830,0,0
32840,0,0
32850,0,0
32860,0,0
32870,0,25
32880,0,25
32890,0,43
32900,0,55
32910,0,50
32920,0,48
32930,0,50
32940,0,42
32950,0,39
32960,0,30
32970,0,23
32980,0,21
32990,0,16
33000,0,16
33010,0,1
33020,0,0
33030,0,2
33040,0,2
33050,0,16
33060,0,17
33070,0,4
33080,0,3
33090,159,6
33100,1117,2
33110,1633,3
33120,1319,0
33130,832,0
33140,178,0
33150,16,0
33160,0,0
33170,0,0
33180,0,0
33190,0,10
33200,0,0
33210,0,0
33220,0,0
33230,0,0
33240,0,0
33250,0,0
33260,0,0
33270,0,0
33280,0,0
33290,0,0
33300,0,0
33310,0,0
33320,0,0
33330,0,0
33340,0,0
33350,0,0
33360,0,0
33370,0,0
33380,0,0
33390,0,0
33400,0,0
33410,0,0
33420,0,0
33430,0,0
33440,0,0
33450,0,0
33460,0,0
33470,0,0
33480,0,0
33490,0,0
33500,0,0
33510,0,0
33520,0,0
33530,0,0
33540,0,0
33550,0,0
33560,0,0
33570,0,0
33580,0,0
33590,0,0
33600,0,0
33610,0,0
33620,0,0
33630,0,0
33640,0,0
33650,0,0
33660,0,0
33670,0,0
33680,0,0
33690,0,0
33700,0,0
33710,0,0
33720,0,0
33730,0,0
33740,0,0
33750,0,0
33760,0,0
33770,0,0
33780,0,0
33790,0,0
33800,0,0
33810,0,0
33820,0,0
33830,0,0
33840,0,0
33850,0,0
33860,0,0
33870,0,0
33880,0,0
33890,0,0
33900,0,0
33910,0,0
33920,0,0
33930,0,0
33940,0,0
33950,0,0
33960,0,0
33970,0,0
33980,0,0
33990,0,0
34000,0,0
34010,0,0
34020,0,0
34030,0,0
34040,0,0
34050,0,0
34060,0,0
34070,0,0
34080,0,0
34090,0,0
34100,0,0
34110,0,0
34120,0,0
34130,0,0
34140,0,0
34150,0,0
34160,0,0
34170,0,0
34180,0,0
34190,0,0
34200,0,0
34210,0,0
34220,0,0
34230,0,0
34240,0,0
34250,0,0
34260,0,0
34270,0,0
34280,0,0
34290,0,0
34300,0,0
34310,0,0
34320,0,0
38829,0,0
38839,0,0
38849,0,0
38859,0,0
38869,0,0
38879,0,0
38889,0,0
38899,0,0
38909,0,0
38919,0,0
38929,0,0
38939,0,0
38949,0,0
38959,0,0
38969,0,0
38979,0,0
38989,0,0
38999,0,0
39009,0,0
39019,0,0
39029,0,0
39039,0,0
39049,0,0
39059,0,0
39069,0,0
39079,0,0
39089,0,0
39099,0,0
39109,0,0
39119,0,0
39129,0,0
39139,0,0
39149,0,0
39159,0,0
39169,0,0
39179,0,0
39189,0,0
39199,0,0
39209,0,57
39219,0,113
39229,0,115
39239,0,169
39249,0,257
39259,0,288
39269,0,315
39279,0,422
39289,0,529
39299,0,655
39309,1664,656
39319,3938,982
39329,3946,1023
39339,3937,903
39349,3934,1056
39359,3941,939
39369,3946,816
39379,3925,793
39389,3942,706
39399,3938,695
39409,3937,871
39419,3939,1023
39429,3938,1104
39439,3937,935
39449,3943,873
39459,3932,778
39469,3407,867
39479,2672,931
39489,2123,871
39499,1680,799
39509,1328,717
39519,1022,687
39529,788,659
39539,617,589
39549,471,527
39559,349,433
39569,261,339
39579,199,334
39589,135,284
39599,81,225
39609,2906,192
39619,3945,147
39629,3856,107
39639,3913,81
39649,3862,59
39659,3904,39
39669,3919,35
39679,3933,30
39689,3632,45
39699,3779,31
39709,3936,44
39719,4095,29
39729,3934,29
39739,3861,16
39749,3930,17
39759,3084,4
39769,2463,0
39779,1974,0
39789,1535,0
39799,1201,0
39809,937,0
39819,725,0
39829,559,0
39839,426,0
39849,317,0
39859,222,0
39869,171,0
39879,112,0
39889,75,0
39899,44,0
39909,17,0
39919,0,0
39929,0,0
39939,0,0
39949,0,0
39959,0,0
39969,0,0
39979,0,0
39989,0,0
39999,0,0
40009,0,0
40019,0,0
40029,0,0
40039,0,0
40049,0,0
40059,0,3
40069,0,0
40079,0,0
40089,0,0
40099,0,0
40109,0,0
40119,0,0
40129,0,0
40139,0,0
40149,0,0
40159,0,0
40169,0,0
40179,0,0
40189,0,0
40199,0,0
40209,0,0
40219,0,0
40229,0,0
40239,0,0
40249,0,0
40259,0,0
40269,0,0
40279,0,0
40289,0,0
40299,0,0
40309,0,0
40319,0,0
40329,0,0
40339,0,0
40349,0,0
40359,0,0
40369,0,0
40379,0,0
40389,0,0
40399,0,0
40409,0,0
40419,0,0
40429,0,0
40439,0,0
40449,0,0
40459,0,0
40469,0,0
40479,0,0
40489,0,0
40499,0,0
40509,0,0
40519,0,0
40529,0,0
40539,0,0
40549,0,0
40559,0,0
40569,0,0
40579,0,0
40589,0,0
40599,0,0
40609,0,0
40619,0,0
40629,0,0
40639,0,0
40649,0,0
40659,0,0
40669,0,0
40679,0,0
40689,0,0
40699,0,0
40709,0,0
40719,0,0
40729,0,0
40739,0,0
40749,0,0
40759,0,0
40769,0,0
40779,0,0
40789,0,0
40799,0,0
40809,0,0
40819,0,0
45328,0,0
45338,0,0
45348,0,0
45358,0,0
45368,0,0
45378,0,0
45388,0,0
45398,0,0
45408,0,0
45418,0,0
45428,0,0
45438,0,0
45448,0,0
45458,0,0
45468,0,0
45478,0,0
45488,0,0
45498,0,0
45508,0,0
45518,0,0
45528,0,0
45538,0,0
45548,0,0
45558,0,0
45568,0,0
45578,0,0
45588,0,0
45598,0,0
45608,0,0
45618,0,0
45628,0,0
45638,0,0
45648,0,0
45658,0,0
45668,0,0
45678,0,0
45688,0,0
45698,0,0
45708,0,0
45718,0,19
45728,0,108
45738,0,209
45748,0,252
45758,0,322
45768,0,501
45778,0,630
45788,0,663
45798,0,829
45808,385,862
45818,441,866
45828,2750,1042
