timestamp_ms,wire1_pin34,wire2_pin32
16433,0,0
16443,0,0
16453,0,0
16463,0,0
16473,0,0
16483,0,0
16493,0,0
16503,0,0
16513,0,0
16523,0,0
16533,0,0
16543,0,0
16553,0,0
16563,0,0
16573,0,0
16583,0,0
16593,0,0
16603,0,0
16613,0,0
16623,0,0
16633,0,0
16643,0,0
16653,0,0
16663,0,0
16673,0,0
16683,0,0
16693,0,0
16703,0,0
16713,31,0
16723,32,0
16733,34,0
16743,48,0
16753,38,0
16763,19,0
16773,21,69
16783,10,143
16793,21,227
16803,23,480
16813,77,567
16823,95,645
16833,129,654
16843,135,687
16853,162,748
16863,211,718
16873,229,782
16883,265,673
16893,287,699
16903,223,751
16913,229,731
16923,223,659
16933,217,568
16943,209,538
16953,204,505
16963,188,457
16973,197,377
16983,361,337
16993,336,361
17003,339,194
17013,310,227
17023,292,197
17033,277,193
17043,251,144
17053,356,191
17063,607,238
17073,1535,194
17083,1794,219
17093,1578,199
17103,1276,204
17113,1010,238
17123,831,208
17133,674,162
17143,557,135
17153,458,95
17163,352,65
17173,355,48
17183,273,82
17193,206,66
17203,176,39
17213,141,45
17223,123,22
17233,186,25
17243,161,9
17253,185,1
17263,144,0
17273,141,0
17283,112,0
17293,131,0
17303,150,0
17313,115,0
17323,144,0
17333,101,0
17343,74,0
17353,119,0
17363,129,0
17373,91,0
17383,70,0
17393,68,0
17403,74,0
17413,75,0
17423,59,0
17433,79,0
17443,64,0
17453,39,0
17463,27,0
17473,49,0
17483,37,0
17493,16,0
17503,21,0
17513,17,0
17523,6,0
17533,3,0
17543,23,0
17553,16,0
17563,9,0
17573,19,0
17583,41,0
17593,27,0
17603,28,0
17613,16,0
17623,5,0
17633,0,0
17643,0,0
17653,0,0
17663,0,0
17673,0,0
17683,0,0
17693,0,0
17703,0,0
17713,0,0
17723,0,0
17733,0,0
17743,0,0
17753,0,0
17763,0,0
17773,0,0
17783,0,0
17793,5,0
17803,9,0
17813,0,0
17823,2,0
17833,0,0
17843,0,0
17853,0,0
17863,0,0
17873,26,0
17883,43,0
17893,26,0
17903,93,0
17913,74,0
17923,113,0
17933,111,0
17943,112,0
17953,144,0
17963,101,0
17973,114,0
17983,112,0
17993,128,0
18003,100,0
18013,98,0
18023,80,0
18033,43,0
18043,44,0
18053,0,0
18063,48,0
18073,49,0
18083,7,0
18093,40,0
18103,45,0
18113,16,0
18123,0,0
18133,18,0
18143,13,0
18153,11,0
18163,0,0
18173,2,0
18183,46,0
18193,21,0
18203,31,0
18213,24,0
18223,31,0
18233,18,0
18243,7,0
18253,0,0
18263,0,0
18273,0,0
18283,0,0
18293,0,0
18303,0,0
18313,0,0
18323,0,0
18333,0,0
18343,0,0
18353,0,0
18363,0,0
18373,0,0
18383,0,0
18393,0,0
18403,0,0
18413,0,0
18423,0,0
21932,0,0
21942,0,0
21952,0,0
21962,0,0
21972,0,0
21982,0,0
21992,0,0
22002,0,0
22012,0,0
22022,0,0
22032,0,0
22042,0,0
22052,0,0
22062,0,0
22072,0,0
22082,0,0
22092,0,0
22102,0,0
22112,0,0
22122,0,0
22132,0,0
22142,0,0
22152,0,0
22162,0,0
22172,0,0
22182,0,0
22192,5,0
22202,1,0
22212,23,0
22222,0,0
22232,0,0
22242,0,0
22252,0,0
22262,0,0
22272,0,0
22282,14,0
22292,25,0
22302,49,0
22312,48,0
22322,115,0
22332,91,0
22342,60,0
22352,62,0
22362,59,64
22372,49,164
22382,55,240
22392,86,240
22402,178,510
22412,144,551
22422,155,550
22432,112,670
22442,90,723
22452,53,689
22462,58,596
22472,141,568
22482,49,511
22492,82,423
22502,62,457
22512,47,583
22522,86,571
22532,71,511
22542,74,560
22552,57,621
22562,48,617
22572,64,671
22582,43,720
22592,116,631
22602,113,538
22612,112,469
22622,94,378
22632,77,306
22642,77,215
22652,64,155
22662,63,105
22672,48,62
22682,48,27
22692,45,3
22702,43,0
22712,44,0
22722,51,0
22732,35,0
22742,35,0
22752,4,0
22762,16,0
22772,3,0
22782,5,32
22792,0,0
22802,0,0
22812,0,0
22822,0,0
22832,5,0
22842,0,0
22852,3,0
22862,0,0
22872,6,0
22882,12,0
22892,16,0
22902,9,0
22912,16,0
22922,0,0
22932,1,0
22942,0,0
22952,0,0
22962,2,0
22972,0,0
22982,0,0
22992,0,0
23002,0,0
23012,0,0
23022,0,0
23032,0,0
23042,1,0
23052,31,0
23062,71,0
23072,51,0
23082,47,0
23092,29,0
23102,61,0
23112,49,0
23122,49,0
23132,51,0
23142,80,0
23152,62,0
23162,67,0
23172,38,0
23182,31,0
23192,17,0
23202,9,0
23212,0,0
23222,0,0
23232,0,0
23242,0,0
23252,0,0
23262,1,0
23272,0,0
