timestamp_ms,wire1_pin34,wire2_pin32
681351,0,0
681361,69,0
681371,0,0
681381,64,0
681391,2,0
681401,77,0
681411,4,0
681421,78,0
681431,1,0
681441,76,0
681451,0,0
681461,75,0
681471,0,0
681481,70,0
681491,0,0
681501,80,0
681511,2,0
681521,75,0
681531,0,0
681541,68,0
681551,0,0
681561,78,0
681571,2,0
681581,77,0
681591,1,0
681601,76,0
681611,0,0
681621,75,0
681631,0,0
681641,74,0
681651,0,0
681661,63,0
681671,0,0
681681,71,0
681691,0,0
681701,71,0
681711,0,0
681721,64,0
681731,0,0
681741,75,0
681751,0,0
681761,75,0
681771,1,0
681781,66,0
681791,2,0
681801,66,0
681811,0,0
681821,76,0
681831,0,0
681841,78,0
681851,0,0
681861,80,0
681871,0,0
681881,61,0
681891,0,0
681901,75,0
681911,0,0
681921,75,0
681931,0,0
681941,74,0
681951,0,0
681961,73,0
681971,0,0
681981,75,0
681991,0,0
682001,75,0
682011,0,0
682021,75,0
682031,0,0
682041,80,0
682051,3,0
682061,80,0
682071,5,0
682081,80,0
682091,0,0
682101,80,0
682111,0,0
682121,79,0
682131,0,0
682141,65,0
682151,0,0
682161,70,0
682171,0,0
682181,70,0
682191,0,0
682201,75,0
682211,0,0
682221,64,0
682231,0,0
682241,67,0
682251,0,0
682261,71,0
682271,0,0
682281,70,0
682291,0,0
682301,72,0
682311,0,0
682321,67,0
682331,0,0
682341,78,0
682351,0,0
682361,80,0
682371,0,0
682381,70,0
682391,0,0
682401,77,0
682411,0,0
682421,77,0
682431,0,0
682441,70,0
682451,0,0
682461,80,0
682471,0,0
682481,76,0
682491,0,0
682501,77,0
682511,0,0
682521,79,0
682531,0,0
682541,78,0
682551,0,0
682561,75,0
682571,0,0
682581,76,0
682591,0,0
682601,79,0
682611,0,0
682621,70,0
682631,0,0
682641,79,0
682651,0,0
682661,73,0
682671,0,0
682681,64,0
682691,0,0
682701,70,0
682711,0,0
682721,67,0
682731,0,0
682741,78,0
682751,0,0
682761,80,0
682771,0,0
682781,67,0
682791,0,0
682801,69,0
682811,0,0
682821,64,0
682831,0,0
682841,78,0
682851,0,0
682861,64,0
682871,0,0
682881,66,0
682891,0,0
682901,64,0
682911,0,0
682921,67,0
682931,0,0
682941,64,0
682951,0,0
682961,69,0
682971,0,0
682981,64,0
682991,0,0
683001,74,0
683011,0,0
683021,77,0
683031,0,0
683041,68,0
683051,0,0
683061,77,0
683071,0,0
683081,77,0
683091,0,0
683101,69,0
683111,0,0
683121,75,0
683131,0,0
683141,67,0
683151,0,0
683161,78,0
683171,0,0
683181,79,0
683191,0,0
683201,74,0
683211,0,0
683221,66,0
683231,0,0
683241,74,0
683251,0,0
683261,75,0
683271,0,0
683281,77,0
683291,0,0
683301,77,0
683311,0,0
683321,80,0
683331,0,0
683341,79,0
687850,0,0
687860,52,0
687870,0,0
687880,59,0
687890,3,0
687900,61,0
687910,7,0
687920,61,0
687930,15,0
687940,66,0
687950,14,0
687960,69,0
687970,5,0
687980,64,0
687990,16,0
688000,65,0
688010,16,0
688020,67,0
688030,14,0
688040,66,0
688050,13,0
688060,67,0
688070,9,0
688080,64,0
688090,15,0
688100,65,0
688110,10,0
688120,64,0
688130,6,0
688140,64,0
688150,14,0
688160,67,0
688170,16,0
688180,64,0
688190,5,0
688200,66,0
688210,11,0
688220,65,0
688230,16,0
688240,65,0
688250,15,0
688260,62,0
688270,3,0
688280,67,0
688290,6,0
688300,65,0
688310,14,0
688320,65,0
688330,7,0
688340,64,0
688350,3,0
688360,55,0
688370,16,0
688380,58,0
688390,3,0
688400,64,0
688410,16,0
688420,67,0
688430,16,0
688440,64,0
688450,9,0
688460,64,0
688470,16,0
688480,67,0
688490,12,0
688500,61,0
688510,14,0
688520,54,0
688530,14,0
688540,64,0
688550,13,0
688560,67,0
688570,5,0
688580,50,0
688590,16,0
688600,55,0
688610,16,0
688620,65,0
688630,13,0
688640,58,0
688650,18,0
688660,65,0
688670,10,0
688680,59,0
688690,7,0
688700,64,0
688710,3,0
688720,63,0
688730,16,0
688740,53,0
688750,13,0
688760,59,0
688770,17,0
688780,67,0
688790,16,0
688800,66,0
688810,16,0
688820,53,0
688830,14,0
688840,60,0
