timestamp_ms,wire1_pin34,wire2_pin32
409090,0,0
409100,0,0
409110,0,0
409120,0,0
409130,0,0
409140,0,0
409150,0,0
409160,0,0
409170,0,0
409180,0,0
409190,0,0
409200,0,0
409210,0,0
409220,0,0
409230,0,0
409240,0,0
409250,0,0
409260,0,0
409270,0,0
409280,0,0
409290,0,0
409300,0,0
409310,0,0
409320,0,0
409330,0,0
409340,0,0
409350,0,0
409360,0,0
409370,0,0
409380,0,0
409390,0,0
409400,0,0
409410,0,0
409420,0,0
409430,0,0
409440,0,0
409450,0,0
409460,0,0
409470,0,0
409480,0,0
409490,0,0
409500,0,0
409510,0,0
409520,0,0
409530,0,0
409540,0,0
409550,0,0
409560,0,0
409570,0,0
409580,0,0
409590,0,0
409600,0,0
409610,0,0
409620,0,0
409630,0,0
409640,0,0
409650,0,0
409660,0,0
409670,0,0
409680,0,0
409690,0,0
409700,0,0
409710,0,0
409720,0,0
409730,0,0
409740,16,0
409750,0,0
409760,0,0
409770,0,0
409780,0,0
409790,0,0
409800,0,0
409810,0,0
409820,0,0
409830,0,0
409840,0,0
409850,0,0
409860,0,0
409870,0,0
409880,0,0
409890,0,0
409900,0,0
409910,0,0
409920,0,0
409930,0,0
409940,0,0
409950,0,0
409960,0,0
409970,0,0
409980,0,0
409990,0,0
410000,0,0
410010,0,0
410020,0,0
410030,0,0
410040,0,0
410050,0,0
410060,0,0
410070,0,0
410080,0,0
410090,0,0
410100,0,0
410110,0,0
410120,0,0
410130,0,0
410140,0,0
410150,0,0
410160,0,0
410170,0,0
410180,0,0
410190,0,0
410200,0,0
410210,0,0
410220,0,0
410230,0,0
410240,0,0
410250,0,0
410260,0,0
410270,0,0
410280,0,0
410290,0,0
410300,0,0
410310,0,0
410320,0,0
410330,0,0
410340,0,0
410350,0,0
410360,0,0
410370,0,0
410380,0,0
410390,0,0
410400,0,0
410410,0,0
410420,0,0
410430,0,0
410440,0,0
410450,0,0
410460,0,0
410470,0,0
410480,0,0
410490,0,0
410500,0,0
410510,0,0
410520,0,0
410530,0,0
410540,0,0
410550,0,0
410560,0,0
410570,0,0
410580,6,0
410590,6,0
410600,0,0
410610,0,0
410620,0,0
410630,0,0
410640,0,0
410650,0,0
410660,0,0
410670,0,0
410680,0,0
410690,0,0
410700,0,0
410710,0,0
410720,0,0
410730,0,0
410740,0,0
410750,0,0
410760,0,0
410770,0,0
410780,0,0
410790,0,0
410800,0,0
410810,0,0
410820,0,0
410830,0,0
410840,0,0
410850,0,0
410860,0,0
410870,0,0
410880,0,0
410890,0,0
410900,0,0
410910,0,0
410920,0,0
410930,0,0
410940,0,0
410950,0,0
410960,0,0
410970,0,0
410980,0,0
410990,0,0
411000,0,0
411010,0,0
411020,0,0
411030,0,0
411040,0,0
411050,0,0
411060,0,0
411070,0,0
411080,0,0
414589,0,0
414599,0,0
414609,0,0
414619,0,0
414629,0,0
414639,0,0
414649,0,0
414659,0,0
414669,0,0
414679,0,0
414689,0,0
414699,0,0
414709,0,0
414719,0,0
414729,0,0
414739,0,0
414749,0,0
414759,0,0
414769,23,0
414779,15,0
414789,7,0
414799,0,0
414809,0,0
414819,0,0
414829,0,0
414839,0,0
414849,0,0
414859,0,0
414869,0,0
414879,0,0
414889,0,0
414899,0,0
414909,0,0
414919,0,0
414929,0,0
414939,0,0
414949,0,0
414959,0,0
414969,0,0
414979,0,0
414989,0,0
414999,0,0
415009,0,0
415019,0,0
415029,0,0
415039,0,0
415049,0,0
415059,0,0
415069,0,0
415079,0,0
415089,0,0
415099,0,0
415109,0,0
415119,0,0
415129,0,0
415139,0,0
415149,0,0
415159,0,0
415169,0,0
415179,0,0
415189,0,0
415199,0,0
415209,0,0
415219,0,0
415229,0,0
415239,0,0
415249,0,0
415259,0,0
415269,0,0
415279,0,0
415289,0,0
415299,0,0
415309,0,0
415319,0,0
415329,0,0
415339,0,0
415349,0,0
415359,0,0
415369,0,0
415379,0,0
415389,0,0
415399,0,0
415409,0,0
415419,0,0
415429,0,0
415439,0,0
415449,0,0
415459,0,0
415469,0,0
415479,0,0
415489,0,0
415499,0,0
415509,0,0
415519,0,0
415529,0,0
415539,0,0
415549,0,0
415559,0,0
415569,0,0
415579,0,0
415589,18,0
415599,9,0
415609,0,0
415619,0,0
415629,0,0
415639,0,0
415649,0,0
415659,0,0
415669,0,0
415679,80,0
415689,0,0
415699,29,0
415709,6,0
415719,0,0
415729,0,0
415739,0,0
415749,0,0
415759,0,0
415769,0,0
415779,0,0
415789,0,0
415799,0,0
415809,0,0
415819,0,0
415829,5,0
415839,0,0
415849,0,0
415859,0,0
415869,0,0
415879,0,0
415889,0,0
415899,0,0
415909,0,0
415919,0,0
415929,0,0
415939,0,0
415949,0,0
415959,0,0
415969,9,0
415979,20,0
415989,7,0
415999,14,0
416009,62,0
416019,97,0
416029,158,0
416039,324,0
416049,368,0
416059,496,0
416069,975,0
416079,1147,487
416089,1344,2403
416099,1419,3760
416109,1567,3981
416119,1635,3926
416129,1438,3583
416139,1535,2805
416149,1441,2229
416159,1266,1778
416169,1218,1397
416179,1429,1091
416189,1339,848
416199,1282,656
416209,1302,497
416219,1200,381
416229,987,278
416239,794,201
416249,702,138
416259,697,101
416269,567,48
416279,478,23
416289,378,2
416299,295,0
416309,203,0
416319,174,0
416329,159,0
416339,110,0
416349,80,3052
416359,74,3941
416369,85,3925
416379,97,3923
416389,80,3114
416399,50,2481
416409,39,1986
416419,38,1564
416429,19,1219
416439,15,947
416449,0,737
416459,0,569
416469,0,432
416479,0,322
416489,0,239
416499,0,173
416509,0,121
416519,14,76
416529,41,39
416539,34,11
416549,137,0
416559,144,0
416569,148,0
416579,141,0
420088,0,0
420098,0,0
420108,0,0
420118,0,0
420128,0,0
420138,0,0
420148,0,0
420158,0,0
420168,0,0
420178,0,0
420188,0,0
420198,0,0
420208,0,0
420218,0,0
420228,0,0
420238,0,0
420248,0,0
420258,1,0
420268,0,0
420278,0,0
420288,0,0
420298,0,0
420308,0,0
420318,0,0
420328,0,0
420338,0,0
420348,0,0
420358,0,0
420368,0,0
420378,0,0
420388,0,0
420398,0,0
420408,0,0
420418,112,0
420428,96,0
420438,165,0
420448,195,0
420458,217,0
420468,336,0
420478,719,0
420488,867,0
420498,1051,0
420508,1167,773
420518,1335,1632
420528,1428,3392
420538,1349,3931
420548,1237,3923
420558,1360,3930
420568,1408,3205
420578,1377,2548
420588,1343,2031
420598,1503,1643
420608,1465,1268
420618,1346,982
420628,1436,763
420638,1470,592
420648,1328,447
420658,1259,336
420668,1182,243
420678,1399,1267
420688,1145,3733
420698,977,3925
420708,844,3945
420718,869,3923
420728,720,3283
420738,594,2606
420748,492,2090
420758,440,1651
420768,357,1414
420778,285,1259
420788,229,1010
420798,192,790
420808,163,616
420818,122,465
420828,102,355
420838,90,260
420848,80,187
420858,98,138
420868,80,84
420878,76,49
420888,51,22
420898,44,2
420908,27,0
420918,16,0
420928,17,0
420938,0,0
420948,0,0
420958,0,0
420968,0,0
420978,0,0
420988,0,0
420998,0,0
421008,0,0
421018,0,0
421028,0,0
421038,0,0
421048,0,0
421058,0,0
421068,0,0
421078,0,0
421088,0,0
421098,0,0
421108,5,0
421118,55,0
421128,103,0
421138,151,0
421148,135,0
421158,111,0
421168,106,0
421178,131,0
421188,166,0
421198,154,0
421208,142,163
421218,203,825
421228,188,2192
421238,246,2727
421248,292,3490
421258,362,3621
421268,416,3813
421278,368,3930
421288,336,3926
421298,294,3439
421308,311,2720
421318,690,2165
421328,802,1725
421338,724,1356
421348,906,1060
421358,864,822
421368,1351,630
421378,1273,482
421388,1264,365
421398,1303,270
421408,1232,197
421418,1097,139
421428,916,85
421438,843,53
421448,816,23
421458,690,0
421468,635,0
421478,594,0
421488,470,0
421498,407,0
421508,338,0
421518,265,0
421528,197,0
421538,241,0
421548,176,0
421558,152,0
421568,112,0
421578,87,0
421588,80,2055
421598,79,3937
421608,60,3890
421618,67,3930
421628,58,3318
421638,43,2676
421648,35,2143
421658,53,1691
421668,31,1328
421678,19,1115
421688,6,790
421698,39,615
421708,48,469
421718,39,347
421728,56,268
421738,75,190
421748,64,137
421758,68,115
421768,43,54
421778,67,19
421788,78,2
421798,78,0
421808,82,0
421818,73,0
421828,48,0
421838,77,0
421848,66,0
421858,47,0
421868,38,0
421878,37,0
421888,46,0
421898,49,0
421908,29,0
421918,30,0
421928,11,0
421938,7,0
421948,0,0
421958,0,0
421968,0,0
421978,0,0
421988,0,0
421998,0,0
422008,0,0
422018,0,0
422028,0,0
422038,0,0
422048,0,0
422058,0,0
422068,0,0
422078,0,0
425587,0,0
425597,0,0
425607,0,0
425617,0,0
425627,0,0
425637,0,0
425647,0,0
425657,0,0
425667,0,0
425677,0,0
425687,0,0
425697,0,0
425707,0,0
425717,0,0
425727,0,0
425737,0,0
425747,0,0
425757,0,0
425767,0,0
425777,0,0
425787,0,0
425797,0,0
425807,0,0
425817,0,0
425827,0,0
425837,0,0
425847,0,0
425857,0,0
425867,0,0
425877,18,0
425887,71,0
425897,165,0
425907,208,0
425917,254,0
425927,263,0
425937,306,0
425947,375,0
425957,663,0
425967,1050,447
425977,1296,2597
425987,1107,3935
425997,963,3932
426007,966,3922
426017,1087,3536
426027,1072,2768
426037,903,2207
426047,829,1753
426057,879,1378
426067,806,1083
426077,847,835
426087,1049,642
426097,1103,496
426107,1067,368
426117,1043,285
426127,976,202
426137,883,140
426147,850,95
426157,730,59
426167,595,22
426177,506,0
426187,437,0
426197,400,0
426207,333,0
426217,278,0
426227,231,0
426237,224,0
426247,166,0
426257,191,0
426267,167,0
426277,117,0
426287,89,3922
426297,64,3930
426307,38,3934
426317,26,3761
426327,29,2928
426337,0,2349
426347,3,1874
426357,0,1467
426367,0,1146
426377,0,884
426387,0,689
426397,0,530
426407,0,401
426417,0,301
426427,0,215
426437,0,152
426447,0,106
426457,0,65
426467,0,27
426477,0,7
426487,0,0
426497,0,0
426507,0,0
426517,0,0
426527,0,0
426537,0,0
426547,0,0
426557,0,0
426567,36,0
426577,90,0
426587,66,0
426597,64,0
426607,70,0
426617,246,0
426627,224,0
426637,166,0
426647,187,0
426657,205,0
426667,155,1077
426677,167,1755
426687,133,2704
426697,133,3931
426707,178,3927
426717,144,3921
426727,143,3310
426737,145,2647
426747,134,2189
426757,141,1810
426767,102,3184
426777,111,3931
426787,112,3937
426797,181,3939
426807,303,3925
426817,292,3406
426827,228,2695
426837,225,2151
426847,285,1702
426857,265,1334
426867,274,1040
426877,272,1197
426887,413,1132
426897,377,912
426907,309,715
426917,305,550
426927,255,417
426937,226,313
426947,161,234
426957,223,582
426967,225,651
426977,198,535
426987,148,510
426997,76,751
427007,139,771
427017,22,633
427027,135,493
427037,110,372
427047,101,278
427057,109,218
427067,73,157
427077,64,119
427087,43,65
427097,16,45
427107,6,17
427117,0,0
427127,0,0
427137,0,0
427147,2,0
427157,5,0
427167,25,0
427177,28,0
427187,20,0
427197,17,0
427207,16,0
427217,8,0
427227,0,0
427237,0,0
427247,0,0
427257,0,0
427267,0,0
427277,0,0
427287,0,0
427297,33,0
427307,59,0
427317,48,0
427327,35,0
427337,58,0
427347,74,0
427357,67,0
427367,65,0
427377,95,0
427387,128,0
427397,159,0
427407,159,0
427417,176,0
427427,176,0
427437,150,0
427447,145,0
427457,118,0
427467,86,0
427477,90,0
427487,115,0
427497,103,0
427507,94,0
427517,73,0
427527,60,0
427537,57,0
427547,54,0
427557,75,0
427567,93,0
427577,86,0
431086,0,0
431096,0,0
431106,0,0
431116,0,0
431126,0,0
431136,0,0
431146,0,0
431156,0,0
431166,0,0
431176,7,0
431186,0,0
431196,0,0
431206,0,0
431216,0,0
431226,0,0
431236,0,0
431246,0,0
431256,0,0
431266,0,0
431276,0,0
431286,0,0
431296,0,0
431306,0,0
431316,0,0
431326,0,0
431336,0,0
431346,41,0
431356,45,0
431366,108,0
431376,151,0
431386,169,0
431396,211,0
431406,365,0
431416,412,0
431426,464,0
431436,467,0
431446,638,0
431456,688,1522
431466,706,3664
431476,707,3931
431486,767,3938
431496,816,3873
431506,846,3069
431516,972,2479
431526,938,1935
431536,878,1518
431546,877,1203
431556,883,898
431566,851,724
431576,895,558
431586,807,425
431596,725,317
431606,687,230
431616,647,164
431626,525,112
431636,455,70
431646,400,42
431656,421,9
431666,355,0
431676,287,0
431686,234,0
431696,203,0
