timestamp_ms,wire1_pin34,wire2_pin32
15378,0,0
15388,0,0
15398,0,0
15408,0,0
15418,0,0
15428,0,0
15438,0,0
15448,0,0
15458,0,0
15468,0,0
15478,0,0
15488,0,0
15498,0,0
15508,0,0
15518,0,0
15528,0,0
15538,0,0
15548,0,0
15558,0,0
15568,0,0
15578,0,0
15588,0,0
15598,0,0
15608,0,0
15618,0,0
15628,0,0
15638,0,0
15648,0,0
15658,0,0
15668,0,0
15678,0,0
15688,0,0
15698,0,0
15708,0,0
15718,0,0
15728,0,0
15738,23,0
15748,279,0
15758,246,0
15768,282,0
15778,375,0
15788,431,879
15798,858,1283
15808,780,2957
15818,953,3941
15828,927,3932
15838,999,3920
15848,1048,3146
15858,1139,2486
15868,1090,1984
15878,1284,1589
15888,1153,1233
15898,1216,961
15908,1297,739
15918,1226,572
15928,1103,432
15938,1142,329
15948,1085,240
15958,1101,169
15968,1053,144
15978,1015,2193
15988,1017,3920
15998,1040,3935
16008,1040,3923
16018,1129,3921
16028,985,3069
16038,813,2453
16048,695,1963
16058,599,1535
16068,511,1203
16078,448,938
16088,421,721
16098,355,562
16108,304,427
16118,231,313
16128,202,230
16138,126,165
16148,109,113
16158,106,71
16168,89,42
16178,65,14
16188,0,0
16198,37,0
16208,24,0
16218,7,0
16228,0,0
16238,0,0
16248,0,0
16258,0,0
16268,0,0
16278,0,0
16288,0,0
16298,0,0
16308,2,0
16318,17,0
16328,17,0
16338,75,0
16348,106,0
16358,81,0
16368,146,0
16378,162,0
16388,133,0
16398,128,383
16408,116,1328
16418,110,2849
16428,160,3938
16438,167,4083
16448,143,3708
16458,135,3484
16468,248,3779
16478,277,3921
16488,401,3903
16498,417,4042
16508,629,3888
16518,640,3933
16528,560,3934
16538,483,3927
16548,418,3930
16558,385,3927
16568,463,3927
16578,499,3948
16588,655,3493
16598,643,2907
16608,565,2353
16618,490,1879
16628,431,1535
16638,393,1218
16648,338,965
16658,358,750
16668,368,583
16678,307,443
16688,273,335
16698,222,243
16708,176,176
16718,144,118
16728,112,74
16738,91,46
16748,65,15
16758,44,0
16768,55,0
16778,45,0
16788,25,0
16798,16,0
16808,0,0
16818,2,0
16828,0,0
16838,0,0
16848,6,0
16858,16,0
16868,34,0
16878,53,0
16888,51,0
16898,75,0
16908,79,0
16918,52,0
16928,29,0
16938,14,0
16948,10,0
16958,3,0
16968,0,0
16978,0,0
16988,0,0
16998,57,0
17008,45,0
17018,48,0
17028,36,0
17038,21,0
17048,25,0
17058,13,0
17068,19,0
17078,78,0
17088,64,0
17098,67,0
17108,46,0
17118,48,0
17128,37,0
17138,19,0
17148,23,0
17158,27,0
17168,11,0
17178,4,0
17188,4,0
17198,3,0
17208,0,0
17218,5,0
17228,18,0
17238,23,0
17248,17,0
17258,8,0
17268,32,0
17278,33,0
17288,24,0
17298,18,0
17308,15,0
17318,3,0
17328,5,0
17338,1,0
17348,0,0
17358,0,0
17368,0,0
20877,0,0
20887,0,0
20897,0,0
20907,0,0
20917,0,0
20927,0,0
20937,0,0
20947,0,0
20957,0,0
20967,0,0
20977,0,0
20987,0,0
20997,0,0
21007,0,0
21017,0,0
21027,0,0
21037,21,0
21047,10,0
21057,0,0
21067,0,0
21077,0,0
21087,0,0
21097,0,0
21107,0,0
21117,0,0
21127,0,0
21137,0,0
21147,0,0
21157,0,0
21167,0,0
21177,0,0
21187,107,0
21197,199,0
21207,333,0
21217,483,0
21227,562,0
21237,592,1018
21247,751,3920
21257,816,3931
21267,992,3933
21277,971,3925
21287,1215,3061
21297,1488,2429
21307,1507,1933
21317,1477,1531
21327,1821,1202
21337,1727,934
21347,1669,723
21357,1626,557
21367,1417,422
21377,1372,315
21387,1239,240
21397,1299,197
21407,1168,3410
21417,1119,3931
21427,1097,3930
21437,960,3927
21447,993,3439
21457,886,2715
21467,757,2177
21477,639,1721
21487,501,1349
21497,432,1050
21507,346,816
21517,268,627
21527,213,479
21537,161,368
21547,121,272
21557,102,193
21567,66,135
21577,44,91
21587,26,58
21597,14,21
21607,0,2
21617,0,0
21627,5,0
21637,0,0
21647,0,0
21657,0,0
21667,0,0
21677,0,0
21687,0,0
21697,0,0
21707,0,0
21717,0,0
21727,14,0
21737,30,0
21747,26,0
21757,11,0
21767,0,0
21777,18,0
21787,16,0
21797,30,0
21807,16,0
21817,22,0
21827,67,0
21837,91,0
21847,82,0
21857,89,511
21867,112,1795
21877,160,3114
21887,182,3920
21897,240,3938
21907,263,3846
21917,180,3121
21927,208,2480
21937,206,1969
21947,322,1563
21957,350,1232
21967,322,953
21977,289,738
21987,339,570
21997,409,427
22007,361,2550
22017,399,3930
22027,369,3935
22037,307,3933
22047,274,3769
22057,363,2922
22067,338,2335
22077,308,1858
22087,253,1462
22097,208,1134
22107,194,877
22117,177,729
22127,135,561
22137,131,423
22147,137,320
22157,162,233
22167,143,172
22177,141,80
22187,148,69
22197,128,22
22207,90,16
22217,80,0
22227,80,0
22237,73,0
22247,67,0
22257,48,0
22267,28,0
22277,16,0
22287,10,0
22297,0,0
22307,0,0
22317,0,0
22327,0,0
22337,0,0
22347,0,0
22357,0,0
22367,0,0
22377,0,0
22387,0,0
22397,0,0
22407,0,0
22417,0,0
22427,0,0
22437,0,0
22447,63,0
22457,98,0
22467,70,0
22477,101,0
22487,112,0
22497,79,0
22507,80,0
22517,64,0
22527,69,0
22537,39,0
22547,33,0
22557,38,0
22567,70,0
22577,42,0
22587,30,0
22597,26,0
22607,18,0
22617,5,0
22627,11,0
22637,35,0
22647,32,0
22657,21,0
22667,20,0
22677,3,0
22687,23,0
22697,46,0
22707,50,0
22717,45,0
22727,22,0
22737,26,0
22747,6,0
22757,5,0
22767,15,0
22777,7,0
22787,0,0
22797,57,0
22807,83,0
22817,64,0
22827,47,0
22837,54,0
22847,47,0
22857,17,0
22867,45,0
26376,0,0
26386,0,0
26396,0,0
26406,0,0
26416,0,0
26426,0,0
26436,0,0
26446,0,0
26456,0,0
26466,0,0
26476,0,0
26486,0,0
26496,0,0
26506,0,0
26516,0,0
26526,0,0
26536,0,0
26546,5,0
26556,0,0
26566,0,0
26576,27,0
26586,5,0
26596,0,0
26606,32,0
26616,118,0
26626,207,0
26636,161,0
26646,258,0
26656,337,0
26666,560,0
26676,783,818
26686,907,2925
26696,1087,3932
26706,1088,3935
26716,1301,3927
26726,1297,3453
26736,1269,2717
26746,1189,2173
26756,1169,1726
26766,1562,1356
26776,1388,1060
26786,1273,817
26796,1222,632
26806,1168,481
26816,1283,365
26826,1360,272
26836,1245,198
26846,1424,905
26856,1312,3931
26866,1278,3935
26876,1308,3935
26886,1275,3675
26896,1106,2882
26906,934,2301
26916,962,1831
26926,784,1438
26936,615,1121
26946,490,871
26956,374,679
26966,294,511
26976,239,385
26986,239,294
26996,175,211
27006,141,150
27016,106,106
27026,96,64
27036,64,33
27046,30,9
27056,35,0
27066,16,0
27076,0,0
27086,0,0
27096,0,0
27106,0,0
27116,0,0
27126,0,0
27136,0,0
27146,0,0
27156,0,0
27166,0,0
27176,0,0
27186,0,0
27196,0,0
27206,0,0
27216,7,0
27226,13,0
27236,0,0
27246,0,0
27256,10,0
27266,69,0
27276,55,0
27286,49,0
27296,74,0
27306,82,304
27316,82,805
27326,90,1622
27336,92,3663
27346,125,3933
27356,112,3923
27366,114,3921
27376,115,3120
27386,119,2469
27396,112,1963
27406,112,1563
27416,95,1223
27426,183,947
27436,220,736
27446,192,565
27456,199,427
27466,218,326
27476,192,336
27486,193,1040
27496,204,3923
27506,217,3929
27516,162,3930
27526,182,3786
27536,197,2931
27546,176,2349
27556,166,1872
27566,200,1467
27576,171,1147
27586,149,886
27596,129,686
27606,128,529
27616,112,400
27626,112,301
27636,91,220
27646,81,151
27656,48,110
27666,35,68
27676,16,40
27686,19,11
27696,5,0
27706,0,0
27716,0,0
27726,0,0
27736,0,0
27746,0,0
27756,0,0
27766,0,0
27776,0,0
27786,0,0
27796,11,0
27806,7,0
27816,18,0
27826,59,0
27836,55,0
27846,92,0
27856,78,0
27866,77,0
27876,87,0
27886,74,0
27896,47,0
27906,53,0
27916,77,0
27926,88,0
27936,67,0
27946,56,0
27956,33,0
27966,16,0
27976,15,0
27986,10,0
27996,0,0
28006,0,0
28016,0,0
28026,0,0
28036,0,0
28046,0,0
28056,0,0
28066,0,0
28076,5,0
28086,4,0
28096,0,0
28106,0,0
28116,0,0
28126,0,0
28136,0,0
28146,0,0
28156,0,0
28166,0,0
28176,0,0
28186,0,0
28196,0,0
28206,0,0
28216,0,0
28226,0,0
28236,0,0
28246,0,0
28256,0,0
28266,0,0
28276,0,0
28286,0,0
28296,0,0
28306,0,0
28316,0,0
28326,0,0
28336,0,0
28346,0,0
28356,0,0
28366,0,0
31875,0,0
31885,0,0
31895,0,0
31905,0,0
31915,0,0
31925,0,0
31935,0,0
31945,0,0
31955,0,0
31965,0,0
31975,0,0
31985,0,0
31995,0,0
32005,0,0
32015,0,0
32025,0,0
32035,0,0
32045,0,0
32055,0,0
32065,0,0
32075,0,0
32085,0,0
32095,0,0
32105,0,0
32115,0,0
32125,0,0
32135,0,0
32145,0,0
32155,0,0
32165,7,0
32175,159,0
32185,149,0
32195,350,0
32205,416,0
32215,615,0
32225,741,625
32235,854,3931
32245,991,3885
32255,1620,3920
32265,1808,3881
32275,1817,2960
32285,1937,2357
32295,2039,1876
32305,1927,1485
32315,1761,1165
32325,1655,901
32335,1439,691
32345,1570,538
32355,1499,400
32365,1602,304
32375,1488,221
32385,1424,151
32395,1520,111
32405,1398,3246
32415,1282,3928
32425,1341,3921
32435,1123,3927
32445,956,3461
32455,843,2738
32465,793,2192
32475,720,1739
32485,624,1360
32495,535,1273
32505,442,1079
32515,361,849
32525,283,668
32535,233,503
32545,176,387
32555,138,285
32565,99,206
32575,64,149
32585,44,95
32595,27,63
32605,16,32
32615,7,3
32625,0,0
32635,0,0
32645,0,0
32655,0,0
32665,0,0
32675,0,0
32685,0,0
32695,0,0
32705,0,0
32715,0,0
32725,0,0
32735,0,0
32745,0,0
32755,0,0
32765,0,0
32775,0,0
32785,0,0
32795,0,0
32805,0,0
32815,0,0
32825,0,0
32835,0,0
32845,27,0
32855,16,0
32865,13,0
32875,5,0
32885,0,0
32895,0,0
32905,0,11
32915,26,2097
32925,41,3933
32935,33,3925
32945,38,3940
32955,55,3664
32965,95,2849
32975,114,2269
32985,169,1801
32995,167,1421
33005,163,1111
33015,182,863
33025,174,663
33035,166,511
33045,169,379
33055,144,286
33065,130,209
33075,167,145
33085,131,97
33095,106,556
33105,130,3938
33115,161,3932
33125,143,3922
33135,131,3829
33145,177,2962
33155,176,2369
33165,187,1890
33175,164,1475
33185,129,1155
33195,128,899
33205,90,698
33215,71,541
33225,64,400
33235,47,304
33245,43,224
33255,37,154
33265,30,112
33275,16,68
33285,5,35
33295,0,10
33305,0,0
33315,0,0
33325,0,0
33335,0,0
33345,0,0
33355,16,0
33365,13,0
33375,10,0
33385,16,0
33395,23,0
33405,7,0
33415,42,0
33425,36,0
33435,39,0
33445,41,0
33455,36,0
33465,62,0
33475,61,0
33485,64,0
33495,56,0
33505,35,0
33515,17,0
33525,3,0
33535,2,0
33545,2,0
33555,0,0
33565,0,0
33575,1,0
33585,5,0
33595,0,0
33605,0,0
33615,0,0
33625,0,0
33635,0,0
33645,1,0
33655,22,0
33665,32,0
33675,33,0
33685,10,0
33695,13,0
33705,11,0
33715,0,0
33725,0,0
33735,0,0
33745,0,0
33755,5,0
33765,2,0
33775,11,0
33785,0,0
33795,0,0
33805,7,0
33815,10,0
33825,0,0
33835,33,0
33845,59,0
33855,54,0
33865,82,0
37374,0,0
37384,0,0
37394,0,0
37404,0,0
37414,0,0
37424,0,0
37434,0,0
37444,0,0
37454,0,0
37464,0,0
37474,0,0
37484,0,0
37494,0,0
37504,0,0
37514,0,0
37524,0,0
37534,0,0
37544,0,0
37554,0,0
37564,0,0
37574,0,0
37584,0,0
37594,0,0
37604,0,0
37614,0,0
37624,0,0
37634,0,0
37644,0,0
37654,106,0
37664,144,0
37674,137,0
37684,144,0
37694,303,0
37704,465,655
37714,430,2082
37724,607,3693
37734,699,3917
37744,731,3919
37754,870,3909
37764,1070,3117
37774,1069,2499
37784,961,1969
37794,1023,1584
37804,987,1239
37814,1113,906
37824,1101,739
37834,1209,576
37844,1357,449
37854,1194,325
37864,1154,235
37874,1123,175
37884,1131,119
37894,1324,79
37904,1199,129
37914,1068,496
37924,947,771
37934,803,3920
37944,752,3947
37954,695,3931
37964,667,3925
37974,571,3323
37984,463,2640
37994,371,2119
38004,327,1673
38014,259,1305
38024,181,1009
38034,151,784
38044,126,611
38054,94,461
38064,91,349
38074,59,260
38084,48,185
38094,22,133
38104,28,87
38114,4,49
38124,1,23
38134,0,2
38144,0,0
38154,0,0
38164,0,0
38174,0,0
38184,0,0
38194,0,0
38204,0,0
38214,0,0
38224,0,0
38234,0,0
38244,0,0
38254,0,0
38264,0,0
38274,0,0
38284,0,0
38294,0,0
38304,9,0
38314,25,0
38324,37,0
38334,23,0
38344,38,459
38354,55,576
38364,48,1040
38374,48,2154
38384,66,3567
38394,79,3748
38404,93,3931
38414,119,3935
38424,125,3922
38434,112,3728
