timestamp_ms,wire1_pin34,wire2_pin32
120758,0,0
120768,0,0
120778,0,0
120788,0,0
120798,0,0
120808,0,0
120818,0,0
120828,0,0
120838,0,0
120848,0,0
120858,0,0
120868,0,0
120878,0,0
120888,0,0
120898,0,0
120908,0,0
120918,0,0
120928,0,0
120938,0,0
120948,0,0
120958,0,0
120968,0,0
120978,0,0
120988,0,0
120998,0,0
121008,0,0
121018,0,0
121028,0,0
121038,0,0
121048,0,0
121058,0,0
121068,0,0
121078,0,0
121088,0,0
121098,0,0
121108,0,0
121118,0,0
121128,0,0
121138,0,0
121148,0,0
121158,0,0
121168,0,0
121178,6,0
121188,0,0
121198,0,0
121208,0,0
121218,0,0
121228,0,0
121238,19,0
121248,39,0
121258,41,0
121268,68,0
121278,173,0
121288,221,0
121298,389,0
121308,466,0
121318,707,0
121328,747,0
121338,1007,0
121348,1410,0
121358,1318,0
121368,1431,0
121378,1650,0
121388,1712,0
121398,1716,0
121408,1663,0
121418,1472,0
121428,1872,0
121438,1646,0
121448,1457,1019
121458,1504,1785
121468,1468,2506
121478,1535,2807
121488,1603,2926
121498,1415,3094
121508,1259,3329
121518,1159,3200
121528,939,2650
121538,805,2130
121548,814,1706
121558,841,1335
121568,854,1045
121578,717,813
121588,585,625
121598,465,471
121608,430,359
121618,350,271
121628,322,197
121638,241,336
121648,222,2007
121658,228,3921
121668,176,3938
121678,131,3933
121688,146,3918
121698,121,2997
121708,90,2405
121718,74,1918
121728,86,1507
121738,163,1181
121748,66,909
121758,125,703
121768,133,540
121778,161,409
121788,133,306
121798,163,229
121808,133,165
121818,231,112
121828,211,65
121838,413,34
121848,483,13
121858,362,0
121868,342,0
121878,281,0
121888,297,0
121898,406,0
121908,350,0
121918,340,0
121928,438,0
121938,378,0
121948,382,0
121958,347,0
121968,281,0
121978,226,0
121988,180,0
121998,158,0
122008,126,0
122018,107,0
122028,70,0
122038,48,0
122048,25,0
122058,33,0
122068,48,0
122078,35,0
122088,36,0
122098,23,0
122108,22,0
122118,28,0
122128,16,0
122138,11,0
122148,0,0
122158,0,0
122168,0,0
122178,10,0
122188,0,0
122198,0,0
122208,0,0
122218,0,0
122228,0,0
122238,0,0
122248,0,0
122258,0,0
122268,0,0
122278,0,0
122288,0,0
122298,0,0
122308,0,0
122318,0,0
122328,0,0
122338,0,0
122348,0,0
122358,0,0
122368,0,0
122378,0,0
122388,0,0
122398,0,0
122408,0,0
122418,0,0
122428,38,0
122438,48,0
122448,48,0
122458,28,0
122468,21,0
122478,64,0
122488,107,0
122498,138,0
122508,131,0
122518,160,0
122528,164,0
122538,153,0
122548,112,0
122558,103,0
122568,142,0
122578,127,0
122588,115,0
122598,84,0
122608,73,0
122618,78,0
122628,80,0
122638,68,0
122648,53,0
122658,37,0
122668,23,0
122678,16,0
122688,16,0
122698,18,0
122708,3,0
122718,21,0
122728,26,0
122738,32,0
122748,55,0
126257,0,0
126267,0,0
126277,0,0
126287,0,0
126297,0,0
126307,0,0
126317,0,0
126327,0,0
126337,0,0
126347,0,0
126357,0,0
126367,0,0
126377,0,0
