timestamp_ms,wire1_pin34,wire2_pin32
356401,26,48
356411,34,47
356421,17,45
356431,48,48
356441,19,45
356451,51,48
356461,33,44
356471,43,48
356481,22,37
356491,37,32
356501,29,38
356511,39,42
356521,33,55
356531,48,47
356541,34,50
356551,50,48
356561,21,51
356571,35,47
356581,30,48
356591,48,44
356601,23,38
356611,48,35
356621,32,47
356631,48,61
356641,34,58
356651,41,54
356661,33,64
356671,48,61
356681,22,63
356691,42,53
356701,33,57
356711,39,49
356721,22,47
356731,48,48
356741,21,47
356751,35,46
356761,27,47
356771,39,50
356781,31,52
356791,39,75
356801,32,48
356811,48,48
356821,30,37
356831,47,48
356841,32,44
356851,46,23
356861,29,30
356871,45,27
356881,28,37
356891,37,47
356901,20,48
356911,37,45
356921,33,54
356931,35,50
356941,21,45
356951,37,50
356961,21,51
356971,34,49
356981,22,59
356991,47,49
357001,32,53
357011,34,48
357021,20,52
357031,47,48
357041,20,53
357051,32,57
357061,26,58
357071,48,49
357081,33,61
357091,42,48
357101,33,48
357111,48,43
357121,23,49
357131,44,49
357141,23,52
357151,43,50
357161,27,49
357171,48,37
357181,20,36
357191,45,46
357201,27,48
357211,38,49
357221,31,50
357231,47,39
357241,23,48
357251,48,48
357261,21,37
357271,36,34
357281,29,40
357291,38,35
357301,26,41
357311,36,40
357321,34,39
357331,39,40
357341,31,31
357351,43,30
357361,26,42
357371,37,48
357381,23,50
357391,46,38
357401,20,28
357411,47,26
357421,23,39
357431,45,53
357441,23,53
357451,42,55
357461,25,48
357471,39,54
357481,22,48
357491,39,48
357501,33,52
357511,48,50
357521,27,60
357531,47,54
357541,23,64
357551,47,54
357561,33,53
357571,42,37
357581,19,46
357591,42,37
357601,17,31
357611,44,30
357621,29,36
357631,44,39
357641,23,36
357651,42,36
357661,21,43
357671,30,38
357681,32,37
357691,35,36
357701,32,46
357711,42,37
357721,32,46
357731,40,35
357741,33,30
357751,45,33
357761,24,39
357771,44,53
357781,34,51
357791,45,45
357801,34,44
357811,46,43
357821,27,49
357831,48,45
357841,34,30
357851,37,21
357861,32,26
357871,47,14
357881,25,29
357891,45,45
357901,32,45
357911,37,33
357921,32,42
357931,43,48
357941,32,32
357951,32,31
357961,31,37
357971,46,36
357981,33,50
357991,46,37
358001,29,34
358011,41,25
358021,30,28
358031,43,26
358041,30,26
358051,43,19
358061,32,43
358071,48,41
358081,22,44
358091,46,37
358101,25,18
358111,45,48
358121,28,48
358131,46,44
358141,23,48
358151,36,47
358161,33,33
358171,33,43
358181,22,49
358191,46,39
358201,29,43
358211,34,27
358221,32,3
358231,43,42
358241,30,34
358251,32,1
358261,23,32
358271,42,15
358281,24,32
358291,38,25
358301,29,34
358311,36,41
358321,31,39
358331,35,34
358341,21,30
358351,35,0
358361,33,44
358371,43,36
358381,25,45
358391,39,31
362900,21,48
362910,47,48
362920,17,58
362930,50,48
362940,28,46
362950,49,41
362960,27,44
362970,53,47
362980,25,48
362990,52,48
363000,31,51
363010,51,59
363020,30,64
363030,48,57
363040,18,50
363050,50,46
363060,30,48
363070,49,48
363080,19,46
363090,43,37
363100,31,43
363110,46,48
363120,27,53
363130,48,53
363140,26,53
363150,47,65
363160,17,62
363170,48,61
363180,26,63
363190,48,48
363200,28,48
363210,44,45
363220,27,48
363230,50,53
363240,28,50
363250,38,55
363260,26,44
363270,44,45
363280,16,43
363290,47,46
363300,16,45
363310,38,50
363320,16,58
363330,38,59
363340,26,51
363350,45,53
363360,21,51
363370,49,47
363380,31,49
363390,48,45
363400,26,45
363410,45,46
363420,26,37
363430,42,46
363440,29,48
363450,48,39
363460,27,48
363470,49,50
363480,25,55
363490,48,61
363500,19,64
363510,49,63
363520,19,61
363530,49,68
363540,30,66
363550,48,63
363560,30,66
363570,51,57
363580,34,64
363590,55,48
363600,34,48
363610,47,58
363620,29,61
363630,45,48
363640,26,54
363650,48,48
363660,19,52
363670,39,52
363680,17,50
363690,39,54
363700,17,61
363710,37,49
363720,27,50
363730,39,58
363740,29,63
363750,48,62
363760,29,53
363770,48,51
363780,24,51
363790,48,59
363800,18,48
363810,39,49
363820,27,55
363830,50,51
363840,18,54
363850,45,50
363860,30,48
363870,48,49
363880,17,53
363890,48,48
363900,20,50
363910,48,60
363920,27,59
363930,42,59
363940,26,60
363950,48,64
363960,26,55
363970,38,49
363980,22,50
363990,41,37
364000,26,47
364010,42,36
364020,17,47
364030,34,48
364040,19,53
364050,48,38
364060,16,51
364070,48,38
364080,31,48
364090,39,48
364100,29,48
364110,49,53
364120,22,47
364130,46,50
364140,18,48
364150,48,41
364160,27,31
364170,48,34
364180,27,34
364190,48,76
364200,31,69
364210,48,71
364220,33,92
364230,54,80
364240,17,74
364250,112,878
364260,126,1348
364270,170,1564
364280,146,1643
364290,192,1872
364300,161,1838
364310,193,1914
364320,170,1844
364330,208,1963
364340,157,1851
364350,204,1963
364360,167,1851
364370,195,1958
364380,166,1810
364390,213,1955
364400,167,1858
364410,208,1955
364420,176,1886
364430,203,1983
364440,161,1867
364450,198,1975
364460,171,1870
364470,209,1984
364480,162,1853
364490,198,2011
364500,175,1877
364510,208,1989
364520,175,1863
364530,208,1997
364540,163,1863
364550,205,2013
364560,170,1903
364570,208,1968
364580,171,1859
364590,208,1983
364600,163,1856
364610,208,1972
364620,173,1872
364630,208,1982
364640,164,1885
364650,206,2090
364660,170,1872
364670,199,1968
364680,161,1826
364690,199,1969
364700,160,1917
364710,199,1951
364720,159,1872
364730,196,1984
