timestamp_ms,wire1_pin34,wire2_pin32
11131,11,25
11141,144,9
11151,0,18
11161,153,22
11171,0,30
11181,150,16
11191,0,29
11201,145,16
11211,0,15
11221,146,14
11231,0,27
11241,146,14
11251,0,17
11261,145,24
11271,0,8
11281,144,15
11291,0,16
11301,141,0
11311,0,26
11321,146,16
11331,0,17
11341,146,15
11351,0,0
11361,151,43
11371,0,0
11381,148,33
11391,0,0
11401,144,0
11411,0,12
11421,147,14
11431,0,23
11441,145,17
11451,0,57
11461,144,29
11471,0,31
11481,149,22
11491,0,19
11501,147,0
11511,0,23
11521,147,28
11531,0,44
11541,153,15
11551,0,21
11561,151,0
11571,0,16
11581,144,16
11591,0,26
11601,144,21
11611,0,22
11621,148,28
11631,0,27
11641,144,16
11651,0,26
11661,145,28
11671,0,19
11681,147,26
11691,0,33
11701,149,0
11711,0,46
11721,145,16
11731,0,38
11741,146,27
11751,0,32
11761,144,34
11771,0,33
11781,144,27
11791,0,27
11801,145,35
11811,0,23
11821,143,25
11831,0,25
11841,145,32
11851,0,30
11861,144,29
11871,0,20
11881,143,7
11891,0,26
11901,147,28
11911,0,34
11921,145,33
11931,0,37
11941,144,27
11951,0,29
11961,144,30
11971,0,26
11981,143,21
11991,0,25
12001,145,16
12011,0,18
12021,147,20
12031,0,22
12041,147,21
12051,0,15
12061,148,27
12071,0,39
12081,154,30
12091,0,27
12101,145,10
12111,0,16
12121,147,16
12131,0,16
12141,142,16
12151,0,10
12161,142,16
12171,0,43
12181,143,17
12191,0,49
12201,151,53
12211,0,79
12221,147,40
12231,0,35
12241,149,26
12251,0,32
12261,146,25
12271,0,32
12281,144,33
12291,0,40
12301,138,45
12311,0,42
12321,143,37
12331,0,44
12341,144,49
12351,0,36
12361,144,47
12371,0,49
12381,139,48
12391,0,37
12401,144,39
12411,0,33
12421,137,40
12431,0,19
12441,138,18
12451,0,32
12461,147,41
12471,0,30
12481,150,30
12491,0,27
12501,141,19
12511,0,15
12521,166,22
12531,0,21
12541,147,25
12551,0,15
12561,149,14
12571,0,18
12581,145,11
12591,0,17
12601,144,16
12611,0,16
12621,146,22
12631,0,16
12641,141,18
12651,0,39
12661,144,33
12671,0,25
12681,143,23
12691,0,39
12701,142,20
12711,0,21
12721,141,22
12731,0,28
12741,144,36
12751,0,29
12761,139,43
12771,0,17
12781,143,21
12791,0,27
12801,144,19
12811,0,11
12821,141,30
12831,0,21
12841,148,22
12851,0,18
12861,142,19
12871,0,29
12881,147,31
12891,0,31
12901,144,34
12911,0,32
12921,151,30
12931,0,17
12941,143,22
12951,0,21
12961,147,21
12971,0,19
12981,146,27
12991,0,29
13001,144,19
13011,0,16
13021,149,17
13031,0,16
13041,143,21
13051,0,20
13061,147,21
13071,0,28
13081,147,16
13091,0,25
13101,148,33
13111,0,41
13121,146,30
17630,0,54
17640,153,31
17650,0,42
17660,155,38
17670,0,39
17680,144,47
17690,0,36
17700,151,44
17710,0,47
17720,150,50
17730,0,53
17740,154,60
17750,0,50
17760,142,50
17770,0,45
17780,144,41
17790,0,44
17800,149,54
17810,0,51
17820,148,48
17830,0,55
17840,153,48
17850,0,50
17860,157,49
17870,0,53
17880,151,48
17890,0,50
17900,155,48
17910,0,47
17920,151,48
17930,0,43
17940,150,46
17950,0,44
17960,145,49
17970,0,41
17980,144,42
17990,0,41
18000,141,32
18010,0,40
18020,141,48
18030,0,41
18040,144,43
18050,0,37
18060,153,38
18070,0,42
18080,151,39
18090,0,34
18100,144,33
18110,0,39
18120,145,71
18130,0,27
18140,155,30
18150,0,24
18160,146,49
18170,0,44
18180,156,48
18190,0,48
18200,154,35
18210,0,29
18220,148,34
18230,0,46
18240,151,29
18250,0,26
18260,167,33
18270,0,30
18280,161,22
18290,0,41
18300,157,38
18310,0,30
18320,160,49
18330,0,39
18340,149,41
18350,0,44
18360,141,46
18370,0,28
18380,146,32
18390,0,55
18400,144,13
18410,0,50
18420,144,48
18430,0,43
18440,143,43
18450,0,48
18460,141,64
18470,0,47
18480,128,50
18490,0,47
18500,143,18
18510,0,39
18520,143,64
18530,0,54
18540,134,58
18550,0,48
18560,135,58
18570,0,48
18580,133,49
18590,0,48
18600,135,71
18610,0,52
18620,144,61
18630,0,53
18640,138,46
18650,0,47
18660,138,55
18670,0,55
18680,144,54
18690,0,51
18700,146,48
18710,0,60
18720,150,59
18730,0,48
18740,145,48
18750,0,45
18760,144,49
18770,0,48
18780,144,49
18790,0,48
18800,145,48
18810,0,51
18820,138,48
18830,0,48
18840,146,51
18850,0,34
18860,141,43
18870,0,45
18880,145,51
18890,0,35
18900,137,32
18910,0,31
18920,144,32
18930,0,36
18940,146,39
18950,0,37
18960,149,39
18970,0,48
18980,147,64
18990,0,47
19000,144,42
19010,0,31
19020,147,42
19030,0,38
19040,147,35
19050,0,30
19060,146,46
19070,0,48
19080,145,46
19090,0,46
19100,143,44
19110,0,48
19120,146,36
19130,0,41
19140,140,55
19150,0,46
19160,137,51
19170,0,61
19180,145,43
19190,0,42
19200,144,43
19210,0,47
19220,144,48
19230,0,50
19240,133,45
19250,0,43
19260,144,47
19270,0,46
19280,145,50
19290,0,46
19300,143,48
19310,0,48
19320,145,55
19330,0,47
19340,144,48
19350,0,47
19360,143,53
19370,0,48
19380,144,20
19390,0,45
19400,145,49
19410,0,42
19420,138,51
19430,0,46
19440,144,50
19450,0,47
19460,140,51
19470,0,109
19480,144,51
19490,0,38
19500,144,49
19510,0,37
19520,143,52
19530,0,62
19540,144,48
19550,0,35
19560,143,49
19570,0,51
19580,143,47
19590,0,50
19600,139,52
19610,0,43
19620,138,55
24129,9,37
24139,96,48
24149,31,33
24159,99,48
24169,38,35
24179,98,45
24189,35,43
24199,98,45
24209,33,11
24219,95,48
24229,35,29
24239,98,33
24249,34,42
24259,100,41
24269,34,32
24279,100,39
24289,34,37
24299,99,33
24309,39,35
24319,103,47
24329,41,37
24339,99,44
24349,43,28
24359,98,45
24369,35,36
24379,98,48
24389,34,32
24399,96,48
24409,39,32
24419,96,40
24429,40,44
24439,98,42
24449,41,37
24459,98,30
24469,41,37
24479,90,48
24489,39,33
24499,96,47
24509,34,39
24519,93,48
24529,35,48
24539,84,49
24549,25,38
24559,94,42
24569,37,42
24579,96,34
24589,29,27
24599,88,36
24609,27,43
24619,94,50
24629,35,59
24639,94,50
24649,31,38
24659,86,47
24669,32,41
24679,94,62
24689,35,55
24699,97,64
24709,34,48
24719,85,61
24729,37,51
24739,99,48
24749,32,53
24759,96,50
24769,38,35
24779,85,48
24789,35,51
24799,88,53
24809,32,65
24819,93,64
24829,30,64
24839,90,50
24849,28,49
24859,91,47
24869,27,46
24879,94,39
24889,39,35
24899,97,48
24909,37,33
24919,92,48
24929,30,41
24939,94,35
24949,39,30
24959,94,39
24969,39,30
24979,97,48
24989,42,47
24999,97,39
25009,36,38
25019,81,39
25029,32,45
25039,90,54
25049,38,58
25059,84,48
25069,44,54
25079,98,64
25089,44,62
25099,86,57
25109,32,59
25119,87,67
25129,34,58
25139,89,63
25149,41,48
25159,95,67
25169,32,49
25179,96,51
25189,35,43
25199,88,47
25209,41,42
25219,93,53
25229,31,46
25239,96,47
25249,39,50
25259,87,49
25269,31,48
25279,90,45
25289,32,34
25299,94,51
25309,33,49
25319,95,50
25329,35,64
25339,85,46
25349,34,41
25359,96,49
25369,37,8
25379,86,48
25389,36,36
25399,94,44
25409,33,48
25419,87,23
25429,32,25
25439,82,44
25449,37,34
25459,90,47
25469,32,42
25479,95,11
25489,42,39
25499,94,47
25509,39,54
25519,95,37
25529,39,48
25539,85,0
25549,30,48
25559,80,68
25569,41,54
25579,93,53
25589,45,54
25599,95,49
25609,34,47
25619,84,62
25629,34,43
25639,87,0
25649,35,45
25659,86,48
25669,33,35
25679,83,48
25689,40,38
25699,93,48
25709,31,48
25719,82,50
25729,27,38
25739,81,48
25749,29,38
25759,90,48
25769,40,48
25779,80,48
25789,37,47
25799,91,51
25809,42,49
25819,83,49
25829,39,46
25839,96,48
25849,41,36
25859,91,42
25869,37,45
25879,83,44
25889,29,32
25899,89,38
25909,35,45
25919,91,49
25929,39,48
25939,85,43
25949,32,46
25959,90,51
25969,32,35
25979,89,45
25989,39,43
25999,80,48
26009,31,45
26019,92,48
26029,41,39
26039,80,48
26049,33,47
26059,90,42
26069,44,45
26079,83,48
26089,41,43
26099,89,43
26109,28,32
26119,82,48
30628,43,32
30638,67,37
30648,64,37
30658,59,33
30668,64,32
30678,67,42
30688,65,31
30698,65,37
30708,64,26
30718,60,31
30728,64,30
30738,67,47
30748,67,26
30758,61,38
30768,64,36
30778,70,41
30788,67,35
30798,70,37
30808,64,38
30818,70,31
30828,64,16
30838,67,36
30848,69,29
30858,68,34
30868,63,33
30878,64,38
30888,64,30
30898,71,36
30908,68,38
30918,62,45
30928,61,37
30938,72,36
30948,68,26
30958,70,38
30968,70,42
30978,70,38
30988,69,48
30998,69,43
31008,64,34
31018,62,48
31028,65,32
31038,64,38
31048,63,34
31058,69,37
31068,69,33
31078,71,43
31088,69,32
31098,65,42
31108,62,38
31118,69,20
31128,64,20
31138,65,29
31148,63,15
31158,65,32
31168,63,28
