timestamp_ms,wire1_pin34,wire2_pin32
13657,0,0
13667,0,0
13677,0,0
13687,0,0
13697,0,0
13707,0,0
13717,0,0
13727,0,0
13737,0,0
13747,0,0
13757,0,0
13767,0,0
13777,0,0
13787,0,0
13797,0,0
13807,0,0
13817,0,0
13827,0,0
13837,0,0
13847,0,0
13857,0,0
13867,0,0
13877,0,0
13887,0,0
13897,0,0
13907,0,0
13917,0,0
13927,0,0
13937,0,0
13947,0,0
13957,0,0
13967,0,0
13977,0,0
13987,0,0
13997,0,0
14007,0,0
14017,0,0
14027,0,0
14037,0,0
14047,0,0
14057,0,0
14067,0,0
14077,0,0
14087,0,21
14097,0,35
14107,0,30
14117,0,16
14127,0,10
14137,0,8
14147,0,31
14157,0,35
14167,0,38
14177,0,31
14187,0,29
14197,0,36
14207,0,31
14217,0,29
14227,0,37
14237,0,48
14247,0,63
14257,0,78
14267,0,89
14277,0,105
14287,0,96
14297,0,112
14307,0,119
14317,0,117
14327,0,99
14337,0,83
14347,0,93
14357,0,97
14367,0,110
14377,0,70
14387,0,91
14397,0,84
14407,0,98
14417,0,117
14427,0,176
14437,0,341
14447,0,465
14457,111,537
14467,190,460
14477,153,385
14487,108,348
14497,64,272
14507,304,262
14517,333,228
14527,278,221
14537,208,164
14547,145,159
14557,103,144
14567,55,112
14577,27,96
14587,5,80
14597,0,80
14607,0,65
14617,0,71
14627,0,48
14637,0,66
14647,0,53
14657,0,68
14667,0,78
14677,0,64
14687,0,76
14697,0,150
14707,0,256
14717,0,235
14727,237,427
14737,793,432
14747,718,431
14757,581,399
14767,1581,422
14777,3929,370
14787,3943,320
14797,3937,304
14807,3931,273
14817,3931,272
14827,3938,253
14837,3947,225
14847,3938,214
14857,3926,172
14867,3690,144
14877,2861,129
14887,2282,156
14897,1814,134
14907,1422,110
14917,1230,79
14927,2466,59
14937,3648,39
14947,3934,16
14957,3927,6
14967,3936,0
14977,3927,0
14987,3925,0
14997,3221,0
15007,3799,0
15017,3941,0
15027,3943,0
15037,3930,0
15047,3937,0
15057,3939,0
15067,3939,0
15077,3933,0
15087,3875,0
15097,3931,0
15107,3936,0
15117,3933,0
15127,3939,0
15137,3940,0
15147,3935,0
15157,3935,0
15167,3933,0
15177,3935,0
15187,3926,0
15197,3782,0
15207,2917,0
15217,2322,0
15227,1846,0
15237,1447,0
15247,1133,0
15257,871,0
15267,675,0
15277,526,0
15287,391,0
15297,293,0
15307,215,0
15317,150,0
15327,110,0
15337,66,0
15347,35,0
15357,7,0
15367,0,0
15377,0,0
15387,0,0
15397,0,0
15407,0,0
15417,0,0
15427,0,0
15437,0,0
15447,0,0
15457,0,0
15467,0,0
15477,0,0
15487,0,0
15497,0,0
15507,0,0
15517,0,0
15527,0,0
15537,0,0
15547,0,0
15557,0,0
15567,0,0
15577,0,0
15587,0,0
15597,0,0
15607,0,0
15617,0,0
15627,0,0
15637,0,0
15647,0,0
20156,0,0
20166,0,0
20176,0,0
20186,0,0
20196,0,0
20206,0,0
20216,0,0
20226,0,0
20236,0,0
20246,0,0
20256,0,0
20266,0,0
20276,0,0
20286,0,12
20296,0,0
20306,0,0
20316,0,0
20326,0,0
20336,0,0
20346,0,0
20356,0,0
20366,0,0
20376,0,0
20386,0,0
20396,0,0
20406,0,0
20416,0,0
20426,0,0
20436,0,0
20446,0,0
20456,0,0
20466,0,0
20476,0,0
20486,0,0
20496,0,0
20506,0,0
20516,0,0
20526,0,0
20536,0,0
20546,0,0
20556,0,0
20566,0,0
20576,0,0
20586,0,7
20596,0,30
20606,0,95
20616,0,94
20626,0,135
20636,0,160
20646,0,142
20656,0,140
20666,0,142
20676,0,123
20686,0,107
20696,0,117
20706,0,169
20716,0,149
20726,0,118
20736,0,108
20746,0,105
20756,0,83
20766,0,86
20776,0,64
20786,0,48
20796,0,45
20806,0,48
20816,0,31
20826,0,25
20836,0,22
20846,0,36
20856,0,19
20866,0,22
20876,0,12
20886,0,15
20896,0,19
20906,0,14
20916,0,1
20926,0,0
20936,0,0
20946,0,0
20956,0,0
20966,0,0
20976,0,16
20986,0,7
20996,0,32
21006,0,19
21016,0,16
21026,0,0
21036,0,0
21046,0,0
21056,0,0
21066,0,0
21076,0,0
21086,0,0
21096,0,0
21106,0,0
21116,0,0
21126,0,0
21136,0,0
21146,0,0
21156,0,0
21166,0,0
21176,0,0
21186,0,0
21196,0,0
21206,0,0
21216,30,0
21226,48,0
21236,33,0
21246,20,0
21256,0,0
21266,0,58
21276,1039,144
21286,1298,219
21296,2231,293
21306,3946,240
21316,3927,753
21326,3936,818
21336,3926,796
21346,3931,854
21356,3935,843
21366,3945,874
21376,3938,1023
21386,3829,1082
21396,3925,1040
21406,3935,1097
21416,3936,994
21426,3932,880
21436,3942,1011
21446,3943,1139
21456,3941,1082
21466,3939,1127
21476,3939,1037
21486,3938,845
21496,3936,963
21506,3943,946
21516,3925,866
21526,3941,897
21536,3941,830
21546,3941,688
21556,3938,667
21566,3568,902
21576,2793,826
21586,2227,868
21596,1771,817
21606,1389,700
21616,1082,676
21626,832,614
21636,645,506
21646,490,373
21656,370,366
21666,274,299
21676,196,236
21686,145,179
21696,94,138
21706,1397,108
21716,3939,78
21726,3939,54
21736,3932,30
21746,3939,17
21756,3941,0
21766,3950,0
21776,3931,0
21786,3923,0
21796,3941,0
21806,3935,0
21816,3935,0
21826,3935,0
21836,3929,0
21846,3941,0
21856,3938,0
21866,3934,0
21876,3928,0
21886,3125,0
21896,2483,0
21906,1985,0
21916,1563,0
21926,1221,0
21936,945,0
21946,730,0
21956,617,0
21966,497,0
21976,384,0
21986,289,0
21996,208,0
22006,146,0
22016,98,0
22026,61,0
22036,33,0
22046,5,0
22056,0,0
22066,0,0
22076,0,0
22086,0,0
22096,0,0
22106,0,0
22116,0,0
22126,0,0
